Layer[0],TEE[1-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.506965,8.163702,0.001120,0.014625,0.000384,0.001504,0.003104,0.000576,8.700172
0.421714,0.779137,0.001088,0.015361,0.000352,0.001824,0.001792,0.000832,1.231220
0.438610,0.790945,0.001024,0.016640,0.000641,0.001696,0.001152,0.000576,1.259253
0.421201,0.767328,0.000960,0.015168,0.000416,0.001568,0.001056,0.000576,1.216050
0.420242,0.795169,0.000896,0.032834,0.000352,0.001600,0.001120,0.000608,1.260501
0.421169,0.796481,0.000992,0.015137,0.000416,0.001568,0.001280,0.000608,1.246516
0.418354,0.756512,0.001088,0.014976,0.000417,0.001568,0.001056,0.000608,1.203219
0.421714,0.781152,0.001056,0.014720,0.000352,0.001632,0.001600,0.000608,1.230899
0.417169,0.755488,0.001472,0.021249,0.000640,0.001664,0.001024,0.000416,1.206514
0.421106,0.764320,0.000864,0.014881,0.000384,0.001600,0.001632,0.000608,1.212915
0.440851,0.757440,0.000928,0.014304,0.000384,0.001632,0.001152,0.000384,1.224660
0.421362,0.753184,0.000800,0.014336,0.000384,0.001633,0.001056,0.000384,1.200147
0.420241,0.750048,0.000832,0.014336,0.000640,0.001569,0.001056,0.000384,1.196210
0.420529,0.783873,0.000800,0.014369,0.000608,0.001632,0.001088,0.000352,1.230291
0.420690,0.761088,0.000832,0.014433,0.000352,0.001568,0.001088,0.000448,1.207635
0.417842,0.790241,0.000832,0.014497,0.000416,0.001696,0.001152,0.000608,1.236628
0.418481,0.758912,0.000832,0.014561,0.000352,0.001504,0.001152,0.000576,1.204338
0.420561,0.791073,0.000864,0.014528,0.000384,0.001504,0.001120,0.000416,1.238068
0.421586,0.769760,0.000832,0.014497,0.000352,0.001568,0.001152,0.000352,1.217715
0.421458,0.761088,0.000896,0.014496,0.000640,0.001632,0.001184,0.000384,1.209299
0.421617,0.794946,0.000992,0.015072,0.000640,0.001569,0.001120,0.000384,1.244564
0.442259,0.755199,0.000896,0.014497,0.000352,0.001632,0.001152,0.000384,1.223283
0.415922,0.790433,0.000768,0.014465,0.000608,0.001632,0.001120,0.000352,1.232500
0.421234,0.766208,0.000864,0.049698,0.000640,0.001632,0.001152,0.000576,1.250868
0.415378,0.791265,0.000768,0.014785,0.000384,0.001632,0.001152,0.000576,1.233204
0.421266,0.774752,0.000864,0.014657,0.000384,0.001664,0.001184,0.000576,1.225075
0.416657,0.806690,0.000928,0.014401,0.000416,0.001632,0.001088,0.000384,1.250356
0.420721,0.760383,0.000896,0.014880,0.000608,0.001600,0.001088,0.000384,1.208050
0.416210,0.803521,0.000864,0.014945,0.000352,0.001664,0.001088,0.000608,1.246420
0.437747,0.790945,0.000896,0.014561,0.000384,0.001696,0.001056,0.000352,1.254997
0.416305,0.767264,0.000896,0.014368,0.000384,0.001600,0.001248,0.000416,1.209618
0.416657,0.768000,0.000800,0.014176,0.000352,0.001632,0.001121,0.000608,1.210707
0.420465,0.760832,0.000832,0.014401,0.000352,0.001536,0.001152,0.000352,1.207346
0.420849,0.764288,0.000736,0.014401,0.000416,0.001632,0.001152,0.000384,1.210770
0.420562,0.789153,0.000960,0.014561,0.000608,0.001664,0.001088,0.000384,1.237204
0.420594,0.775712,0.000929,0.014464,0.000384,0.001632,0.001120,0.000352,1.223731
0.416945,0.759551,0.000992,0.014529,0.000608,0.001568,0.001216,0.000608,1.204146
0.417105,0.766144,0.000928,0.014624,0.000416,0.001537,0.001088,0.000608,1.210387
0.416658,0.761600,0.000896,0.014464,0.000352,0.001568,0.001120,0.000576,1.204083
0.416722,0.793825,0.000896,0.014433,0.000352,0.001568,0.001120,0.000576,1.236788
0.439058,0.767968,0.000960,0.015104,0.000320,0.001536,0.001152,0.000576,1.234035
0.417362,0.790497,0.000864,0.014753,0.000384,0.001536,0.001152,0.000320,1.234324
0.420370,0.811522,0.000800,0.015777,0.000640,0.001600,0.001184,0.000416,1.259605
0.421170,0.766400,0.001024,0.015041,0.000352,0.001568,0.001088,0.000384,1.214643
