Layer[0],TEE[1-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.505653,8.131697,0.015809,0.000544,0.001536,0.012160,0.000640,8.676775
0.417297,0.765920,0.015649,0.000448,0.001536,0.001504,0.000320,1.214098
0.434738,0.775264,0.015361,0.000448,0.001536,0.001120,0.000320,1.235539
0.415985,0.762592,0.015936,0.000448,0.001504,0.001120,0.000384,1.205714
0.415505,0.780064,0.015489,0.000512,0.001568,0.001088,0.000352,1.222034
0.416113,0.768384,0.014753,0.000480,0.001536,0.001088,0.000288,1.210834
0.417073,0.769248,0.014849,0.000448,0.001568,0.001408,0.000352,1.213298
0.415345,0.788801,0.014721,0.000512,0.001472,0.001088,0.000416,1.230387
0.415922,0.803297,0.014529,0.000448,0.001568,0.001024,0.000352,1.244308
0.415506,0.762271,0.014689,0.000416,0.001504,0.001088,0.000384,1.202386
0.432946,0.763648,0.014784,0.000448,0.001504,0.001121,0.000320,1.222067
0.415889,0.764352,0.015585,0.000416,0.001504,0.000992,0.000352,1.206770
0.416049,0.762943,0.014817,0.000480,0.001408,0.001024,0.000320,1.203346
0.416658,0.755199,0.014433,0.000416,0.001472,0.000928,0.000352,1.196882
0.416946,0.765600,0.015296,0.000480,0.001504,0.001184,0.000320,1.209458
0.416401,0.789249,0.014561,0.000448,0.001440,0.001280,0.000384,1.231763
0.416593,0.787744,0.014337,0.000480,0.001504,0.001120,0.000352,1.230419
0.416466,0.754527,0.014625,0.000448,0.001440,0.001216,0.000352,1.197746
0.417073,0.784129,0.014593,0.000512,0.001536,0.001344,0.000384,1.227699
0.416945,0.751551,0.014433,0.000448,0.001536,0.001088,0.000352,1.194097
0.416017,0.752831,0.014849,0.000480,0.001504,0.000992,0.000384,1.194353
0.435826,0.763136,0.014464,0.000416,0.001504,0.001152,0.000320,1.224179
0.416018,0.754527,0.014433,0.000448,0.001504,0.001120,0.000352,1.196082
0.415793,0.764704,0.014336,0.000480,0.001601,0.001408,0.000384,1.205938
0.416658,0.793088,0.014464,0.000448,0.001376,0.001184,0.000352,1.234643
0.415857,0.758976,0.014464,0.000384,0.001441,0.001312,0.000384,1.200466
0.416913,0.777216,0.014849,0.000416,0.001536,0.001120,0.000448,1.221010
0.415985,0.770496,0.015521,0.000448,0.001600,0.001280,0.000416,1.213874
0.417521,0.756959,0.014913,0.000480,0.001536,0.001216,0.000416,1.200402
0.416593,0.805185,0.015425,0.000448,0.001472,0.001248,0.000384,1.248243
0.416433,0.764096,0.014433,0.000480,0.001472,0.001344,0.000416,1.205554
0.415953,0.748479,0.015489,0.000416,0.001536,0.001088,0.000352,1.191281
0.430898,0.763839,0.014785,0.000480,0.001472,0.001088,0.000384,1.220306
0.416369,0.768736,0.014816,0.000448,0.001408,0.001344,0.000353,1.209555
0.416082,0.765055,0.014529,0.000480,0.001440,0.001280,0.000384,1.207186
0.415761,0.759135,0.014497,0.000480,0.001504,0.001152,0.000352,1.199890
0.417009,0.767488,0.016769,0.000480,0.001472,0.001184,0.000352,1.212690
0.416658,0.789569,0.014912,0.000480,0.001408,0.000960,0.000352,1.232595
0.415985,0.759327,0.014529,0.000448,0.001472,0.001248,0.000352,1.200113
0.416529,0.757088,0.016000,0.000448,0.001536,0.001089,0.000288,1.200114
0.416786,0.778304,0.014721,0.000512,0.001408,0.000992,0.000352,1.220019
0.415633,0.787809,0.014656,0.000480,0.001504,0.001184,0.000352,1.228594
0.415954,0.753375,0.015809,0.000512,0.001504,0.001056,0.000352,1.196114
0.432370,0.794913,0.016768,0.000480,0.001473,0.001120,0.000352,1.255348
0.418034,0.766528,0.016544,0.000448,0.001472,0.001056,0.000320,1.212179
0.416274,0.758047,0.015041,0.000448,0.001440,0.001216,0.000384,1.199922
0.417681,0.762848,0.016000,0.000480,0.001472,0.001025,0.000384,1.208210
0.416497,0.764096,0.014400,0.000480,0.001504,0.001056,0.000352,1.205617
0.415985,0.774016,0.014657,0.000480,0.001536,0.001152,0.000352,1.215730
0.417586,0.767839,0.015873,0.000480,0.001440,0.001152,0.000352,1.212050
0.417170,0.764831,0.014337,0.000416,0.001504,0.000992,0.000384,1.206930
0.416402,0.771328,0.014464,0.000416,0.001408,0.001057,0.000416,1.212851
0.416017,0.760703,0.014593,0.000480,0.001440,0.000992,0.000416,1.201425
0.416081,0.746495,0.014529,0.000448,0.001504,0.000960,0.000352,1.187537
