Layer[0],TEE[1-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.510837,8.167182,0.000993,0.002144,0.013632,0.000640,8.704388
0.417841,0.788992,0.000864,0.002112,0.001248,0.000352,1.219890
0.450578,0.782081,0.000672,0.002176,0.001024,0.000352,1.242995
0.415889,0.744319,0.000800,0.002368,0.001184,0.000416,1.171664
0.421329,0.808129,0.000768,0.002368,0.001248,0.000352,1.241875
0.429234,0.772064,0.000608,0.001920,0.000928,0.000384,1.211762
0.415953,0.752446,0.001120,0.003072,0.001120,0.000320,1.181649
0.416209,0.796097,0.001056,0.003264,0.001120,0.000480,1.227410
0.415665,0.751743,0.000960,0.003168,0.000960,0.000352,1.180656
0.415281,0.767231,0.000896,0.002144,0.000897,0.000416,1.194513
0.415185,0.792544,0.000576,0.002336,0.000800,0.000352,1.218226
0.415153,0.762592,0.000768,0.002048,0.000768,0.000416,1.189073
0.415953,0.759039,0.000736,0.002337,0.000832,0.000352,1.185425
0.415921,0.780512,0.000736,0.002080,0.000928,0.000288,1.206482
0.416273,0.766623,0.001024,0.002464,0.000864,0.000416,1.193008
0.414833,0.763584,0.000736,0.002080,0.000800,0.000352,1.188305
0.427729,0.766655,0.000800,0.002144,0.000896,0.000320,1.204465
0.415921,0.779264,0.000992,0.002784,0.001024,0.000320,1.206737
0.419633,0.768448,0.000768,0.001984,0.001024,0.000352,1.199057
0.416209,0.802048,0.000864,0.002560,0.001248,0.000416,1.233075
0.420113,0.771040,0.000832,0.002240,0.001152,0.000352,1.203409
0.421777,0.821666,0.000832,0.002144,0.001088,0.000352,1.255923
0.420273,0.768000,0.000768,0.002144,0.001216,0.000416,1.200113
0.420177,0.768128,0.000864,0.002176,0.001184,0.000416,1.200465
0.416049,0.818625,0.001120,0.002368,0.001056,0.000416,1.248371
0.420177,0.758687,0.000704,0.002240,0.001216,0.000384,1.190673
0.419953,0.771487,0.000864,0.002240,0.001120,0.000352,1.203954
0.472723,0.760511,0.000833,0.002240,0.001088,0.000384,1.245267
0.420402,0.803105,0.000800,0.002304,0.001248,0.000384,1.236051
0.420433,0.826146,0.000864,0.002177,0.001280,0.000384,1.259508
0.419985,0.774016,0.000864,0.002144,0.001152,0.000320,1.205681
0.420113,0.763424,0.000832,0.002208,0.001152,0.000384,1.195697
0.419857,0.810305,0.001184,0.002784,0.001248,0.000384,1.244659
0.420305,0.760735,0.000736,0.002144,0.001280,0.000352,1.193296
0.419122,0.769151,0.000768,0.002080,0.001152,0.000384,1.199858
0.437169,0.794816,0.000832,0.002176,0.001056,0.000385,1.244083
0.419954,0.770367,0.000800,0.002400,0.000896,0.000352,1.202770
0.415505,0.755455,0.000800,0.002240,0.000928,0.000416,1.182064
0.415442,0.795840,0.000928,0.002336,0.000864,0.000352,1.223347
0.420881,0.777536,0.000960,0.002368,0.001184,0.000416,1.211089
0.414321,0.792129,0.001120,0.002560,0.001024,0.000384,1.218418
0.420722,0.792704,0.000832,0.002145,0.000992,0.000416,1.225331
0.415697,0.767328,0.000960,0.002304,0.001056,0.000384,1.195697
0.415793,0.777792,0.000800,0.002016,0.001024,0.000384,1.205425
0.419794,0.765919,0.000928,0.002144,0.001120,0.000417,1.197394
0.415537,0.764159,0.000736,0.002080,0.001024,0.000416,1.190513
0.438002,0.758783,0.000768,0.002208,0.001088,0.000384,1.207985
0.416209,0.764767,0.000768,0.002240,0.001216,0.000384,1.192016
0.417073,0.771456,0.000672,0.002240,0.001216,0.000384,1.200273
0.420177,0.758431,0.000800,0.002209,0.001056,0.000384,1.190161
0.419889,0.798625,0.000736,0.002272,0.000960,0.000384,1.229618
0.420370,0.787648,0.000832,0.002880,0.000992,0.000384,1.219858
0.415281,0.767744,0.000736,0.002176,0.000992,0.000384,1.194321
0.420081,0.764031,0.000704,0.002272,0.001056,0.000384,1.195536
0.415665,0.822498,0.000672,0.002304,0.001088,0.000352,1.249331
0.421713,0.792193,0.000768,0.002528,0.001152,0.000384,1.229714
0.420945,0.762879,0.000672,0.002208,0.001120,0.000384,1.196113
0.436658,0.776800,0.000704,0.001920,0.000928,0.000352,1.223378
0.420689,0.769664,0.000704,0.002144,0.001152,0.000320,1.202225
0.420753,0.755999,0.000736,0.002176,0.000961,0.000352,1.187889
0.415281,0.766047,0.000704,0.002145,0.001056,0.000352,1.191313
0.415473,0.767200,0.000768,0.002048,0.000864,0.000416,1.193297
0.420401,0.793792,0.000736,0.002336,0.001120,0.000384,1.226386
0.415889,0.798784,0.000864,0.002209,0.001120,0.000352,1.226323
0.415505,0.763711,0.000736,0.002592,0.001185,0.000384,1.191313
0.416881,0.791648,0.000992,0.002304,0.000928,0.000385,1.220562
0.415377,0.755263,0.000704,0.002176,0.001056,0.000384,1.181968
0.420145,0.757631,0.000960,0.002208,0.001056,0.000384,1.190065
0.434097,0.807425,0.000864,0.002208,0.001024,0.000384,1.253843
0.415473,0.770655,0.000768,0.002112,0.001056,0.000352,1.197105
0.420881,0.755839,0.000737,0.002112,0.001056,0.000352,1.187601
0.420273,0.755231,0.000768,0.002048,0.001088,0.000384,1.185840
0.420242,0.766943,0.000736,0.002112,0.001024,0.000448,1.198482
0.420081,0.814625,0.001120,0.003009,0.001024,0.000416,1.247923
0.415473,0.753119,0.000768,0.002112,0.000928,0.000384,1.179600
0.419665,0.753823,0.000640,0.002176,0.001056,0.000384,1.184048
0.415409,0.815234,0.000896,0.002272,0.000992,0.000384,1.242547
0.419889,0.755134,0.000800,0.002048,0.000960,0.000384,1.185457
0.420690,0.781344,0.000960,0.002944,0.001088,0.000352,1.214738
0.437138,0.777984,0.000704,0.002208,0.001024,0.000416,1.225810
0.419985,0.765983,0.000704,0.002176,0.000960,0.000416,1.196689
0.420369,0.752575,0.000704,0.002560,0.001056,0.000384,1.183696
0.420017,0.758207,0.000768,0.002177,0.001024,0.000384,1.189009
0.420913,0.781984,0.000800,0.002816,0.001056,0.000384,1.215794
0.419890,0.812257,0.000928,0.002880,0.001088,0.000416,1.246579
0.419889,0.754751,0.000800,0.002081,0.001024,0.000384,1.186545
0.420945,0.770944,0.001184,0.003072,0.001152,0.000448,1.205233
0.417009,0.793441,0.000800,0.002144,0.001056,0.000448,1.222706
0.421265,0.780576,0.000864,0.002145,0.001184,0.000384,1.213970
0.421362,0.762687,0.000768,0.002208,0.001248,0.000448,1.195505
0.438738,0.767423,0.000800,0.002112,0.001216,0.000416,1.218706
0.421010,0.765759,0.000736,0.002112,0.000960,0.000384,1.198513
0.421457,0.793408,0.000864,0.002080,0.000992,0.000416,1.226034
0.420497,0.767552,0.000896,0.002240,0.000928,0.000352,1.199217
0.415921,0.757663,0.000928,0.002048,0.000960,0.000352,1.184240
0.420977,0.817442,0.001120,0.003136,0.001152,0.000384,1.252179
0.420306,0.769279,0.000864,0.002048,0.001057,0.000384,1.201298
0.421521,0.805825,0.000928,0.002080,0.000992,0.000448,1.238066
0.416337,0.787104,0.000960,0.002208,0.000992,0.000384,1.216690
0.421041,0.758111,0.000768,0.002240,0.000992,0.000384,1.191153
0.421937,0.762335,0.000864,0.002208,0.001024,0.000416,1.195153
0.439026,0.768288,0.000832,0.002208,0.000960,0.000352,1.219378
0.420145,0.756255,0.000800,0.002144,0.001056,0.000384,1.188304
0.421393,0.764383,0.000704,0.002272,0.001089,0.000416,1.196817
0.420914,0.763679,0.000736,0.002272,0.000992,0.000416,1.195953
0.421201,0.771616,0.000800,0.002272,0.000992,0.000384,1.204369
0.421777,0.784544,0.000800,0.002176,0.001152,0.000416,1.218834
0.420210,0.767583,0.000736,0.002240,0.001216,0.000352,1.199217
0.422129,0.756063,0.000736,0.002049,0.001056,0.000384,1.190001
0.416593,0.778304,0.000864,0.002112,0.001120,0.000352,1.206065
0.420497,0.764511,0.000800,0.002144,0.001024,0.000352,1.195953
0.417554,0.771839,0.000832,0.002080,0.000992,0.000384,1.200850
0.441074,0.770624,0.000736,0.002112,0.001056,0.000352,1.223954
0.421073,0.768640,0.000704,0.002112,0.001056,0.000384,1.200913
0.421362,0.791552,0.000736,0.001952,0.001056,0.000352,1.223091
0.435858,0.767264,0.000768,0.002304,0.001152,0.000384,1.215122
0.420721,0.765567,0.000672,0.002336,0.001057,0.000352,1.197489
0.420689,0.787680,0.000768,0.002048,0.000992,0.000352,1.219537
0.420785,0.770239,0.000768,0.002112,0.001120,0.000416,1.203121
0.419921,0.762272,0.000768,0.002016,0.001056,0.000416,1.193265
0.415633,0.821506,0.001152,0.003008,0.001056,0.000352,1.249235
0.420273,0.761439,0.000832,0.002080,0.001057,0.000352,1.192849
0.419345,0.763775,0.000705,0.002176,0.000960,0.000352,1.193617
0.436402,0.761567,0.000768,0.001984,0.001024,0.000384,1.208625
0.415473,0.750111,0.000800,0.002048,0.000928,0.000416,1.176976
0.420177,0.768255,0.000800,0.002017,0.000960,0.000352,1.199345
0.439410,0.795297,0.000768,0.002016,0.000960,0.000416,1.246419
0.419121,0.761728,0.000736,0.002208,0.001056,0.000384,1.192593
0.420146,0.820577,0.001024,0.002305,0.001184,0.000352,1.253076
