Layer[0],TEE[1-7],Layer[8],Layer[9],Layer[10],classifier
0.513109,8.149355,0.003424,0.013537,0.000672,8.688961
0.421969,0.786592,0.003168,0.001504,0.000320,1.222385
0.421233,0.785760,0.002272,0.001056,0.000352,1.216497
0.425137,0.862211,0.002848,0.001344,0.000352,1.299732
0.422065,0.758431,0.003392,0.001376,0.000352,1.192368
0.420401,0.761375,0.003328,0.001280,0.000320,1.193681
0.420561,0.773439,0.002529,0.001280,0.000352,1.205265
0.420337,0.791937,0.003360,0.001344,0.000384,1.224626
0.420305,0.798881,0.002368,0.001344,0.000384,1.229906
0.416624,0.780191,0.003649,0.001312,0.000352,1.208081
0.421393,0.798272,0.003456,0.001312,0.000384,1.232914
0.416081,0.767135,0.002624,0.001248,0.000352,1.195248
0.420465,0.773312,0.003328,0.001312,0.000320,1.206097
0.442001,0.771071,0.003456,0.001312,0.000384,1.225010
0.420497,0.769055,0.002944,0.001312,0.000384,1.201521
0.420849,0.775040,0.002496,0.001248,0.000320,1.206993
0.416785,0.772576,0.003104,0.001344,0.000384,1.200881
0.415889,0.773311,0.003265,0.001248,0.000352,1.201201
0.420338,0.791328,0.002432,0.001280,0.000352,1.223282
0.420017,0.751966,0.002912,0.001248,0.000320,1.183632
0.420433,0.774112,0.002720,0.001280,0.000320,1.206481
0.415985,0.777791,0.003168,0.001120,0.000416,1.206353
0.420177,0.750974,0.002368,0.000992,0.000320,1.181040
0.415985,0.762303,0.003168,0.001088,0.000384,1.188720
0.436434,0.801089,0.002400,0.001088,0.000352,1.248691
0.420305,0.773344,0.002976,0.001056,0.000352,1.204657
0.419473,0.769983,0.002240,0.001024,0.000352,1.198929
0.414929,0.775615,0.002336,0.001088,0.000352,1.200784
0.420369,0.786688,0.002560,0.001088,0.000384,1.217778
0.421329,0.824930,0.003232,0.001184,0.000384,1.258739
0.421041,0.773760,0.003264,0.001184,0.000384,1.207089
0.420017,0.768191,0.002496,0.001120,0.000320,1.198225
0.437681,0.767423,0.002816,0.001120,0.000352,1.216305
0.420146,0.768927,0.002464,0.001280,0.000256,1.200177
0.420913,0.776800,0.002400,0.001088,0.000384,1.207921
0.437170,0.775904,0.003136,0.001152,0.000352,1.224562
0.420497,0.765311,0.002304,0.001056,0.000352,1.195825
0.415217,0.790176,0.002496,0.001056,0.000352,1.215537
