Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],TEE[10-10],classifier
0.529973,0.017536,0.206120,0.004929,0.048066,0.000608,0.013408,0.000352,0.001536,0.010337,0.126725,0.968838
0.422224,0.017696,0.205896,0.004865,0.073666,0.000800,0.013920,0.000384,0.001664,0.001728,0.111589,0.863586
0.421745,0.017633,0.203112,0.004896,0.048034,0.000832,0.013760,0.000608,0.001664,0.001473,0.110916,0.834785
0.416304,0.017345,0.202696,0.004864,0.047874,0.000768,0.013760,0.000384,0.001600,0.001120,0.116452,0.832384
0.416464,0.017249,0.203208,0.004864,0.048642,0.000832,0.013889,0.000384,0.001536,0.001024,0.114244,0.831169
0.438321,0.017504,0.203176,0.004896,0.049218,0.000800,0.014145,0.000384,0.001696,0.001216,0.116037,0.856738
0.421297,0.017345,0.202728,0.004992,0.048802,0.000800,0.013760,0.000384,0.001569,0.001184,0.116548,0.838145
0.421393,0.017345,0.203207,0.005248,0.047554,0.000864,0.014304,0.000352,0.001696,0.001120,0.118277,0.840353
0.420592,0.017505,0.203336,0.005184,0.048162,0.000832,0.013729,0.000384,0.001536,0.001056,0.115140,0.836512
0.417169,0.017536,0.202600,0.004801,0.048354,0.000832,0.013664,0.000416,0.001472,0.001120,0.113541,0.829953
0.417297,0.017409,0.202663,0.004993,0.047874,0.001024,0.013504,0.000352,0.001472,0.001056,0.115525,0.831649
0.422096,0.017409,0.202408,0.005056,0.047810,0.000800,0.013569,0.000384,0.001600,0.001120,0.113828,0.834112
0.416560,0.017472,0.202504,0.004896,0.065443,0.000864,0.013633,0.000384,0.001600,0.001120,0.122821,0.856546
0.420305,0.017344,0.202408,0.004896,0.047137,0.000576,0.013729,0.000384,0.001536,0.001120,0.114181,0.832129
0.420753,0.017344,0.202504,0.004832,0.047586,0.001056,0.013441,0.000352,0.001536,0.001152,0.119461,0.838945
0.416369,0.017344,0.202216,0.004768,0.048322,0.000832,0.013569,0.000320,0.001472,0.001120,0.117765,0.832481
0.437297,0.017472,0.202152,0.004801,0.048289,0.000800,0.013472,0.000352,0.001504,0.001152,0.115493,0.851329
0.421424,0.017377,0.203144,0.004960,0.047682,0.000832,0.013568,0.000320,0.001600,0.001216,0.114692,0.835456
0.420528,0.017569,0.202888,0.005312,0.047426,0.000576,0.013729,0.000544,0.001568,0.001376,0.115556,0.835776
0.416464,0.017569,0.202824,0.005280,0.047266,0.000832,0.013473,0.000416,0.001440,0.001184,0.107108,0.821920
0.424144,0.017313,0.203496,0.005248,0.048034,0.000832,0.013505,0.000384,0.001568,0.001056,0.113636,0.838112
0.421553,0.017472,0.201960,0.004864,0.047585,0.000608,0.013505,0.000384,0.001504,0.001184,0.118917,0.838241
0.421104,0.017536,0.202152,0.004864,0.047234,0.000832,0.013441,0.000416,0.001504,0.001120,0.115525,0.834625
