Layer[0],Layer[1],TEE[2-10],classifier
0.532725,0.019137,8.052668,8.673173
0.421360,0.017793,0.708284,1.220944
0.420752,0.017345,0.700412,1.212175
0.421040,0.017345,0.698012,1.208079
0.420817,0.017280,0.698364,1.204527
0.421073,0.017505,0.718140,1.231249
0.420337,0.017312,0.693660,1.203151
0.420208,0.017504,0.692315,1.202287
0.436625,0.017313,0.694299,1.219632
0.420785,0.017569,0.693627,1.202448
0.420721,0.017921,0.695259,1.223760
0.420880,0.017857,0.692475,1.200143
0.420560,0.017473,0.688891,1.197007
0.420945,0.017537,0.707868,1.220336
0.422449,0.017825,0.701467,1.212880
0.416497,0.017377,0.689275,1.192015
0.434545,0.017825,0.680698,1.202575
0.421713,0.017377,0.677178,1.183663
0.420592,0.017505,0.676507,1.182894
0.433841,0.017601,0.689915,1.212240
0.416880,0.017249,0.681691,1.182990
0.416401,0.017473,0.683002,1.182415
0.417233,0.017440,0.671291,1.173038
0.416304,0.017473,0.665402,1.164109
0.420657,0.017729,0.700539,1.208144
0.416369,0.017504,0.691164,1.191343
0.421488,0.017281,0.683195,1.191183
0.420784,0.017537,0.718268,1.227216
0.420432,0.017472,0.670203,1.172974
0.420209,0.017376,0.689627,1.196847
0.439313,0.017376,0.676731,1.200463
0.420593,0.017504,0.685723,1.190319
0.420112,0.017505,0.672794,1.179214
0.436210,0.017376,0.667643,1.186223
0.416049,0.017440,0.689276,1.191631
0.416881,0.017281,0.684826,1.186831
0.420496,0.017505,0.684443,1.191055
0.420113,0.017537,0.678394,1.183151
0.419537,0.017344,0.714204,1.224720
0.415952,0.017505,0.694075,1.200367
0.420304,0.017504,0.699196,1.205263
0.421040,0.017248,0.703996,1.213712
0.417456,0.017313,0.682267,1.182958
0.416080,0.017280,0.682075,1.183919
0.435697,0.017472,0.693275,1.220880
0.420177,0.017249,0.681786,1.190447
0.415472,0.017409,0.686011,1.186191
0.420016,0.017345,0.690267,1.196047
0.420144,0.017409,0.685723,1.192719
0.415952,0.017505,0.708796,1.214928
0.416273,0.017504,0.691068,1.193871
0.414768,0.017473,0.689339,1.187791
0.420208,0.017280,0.733085,1.241809
0.419920,0.017441,0.687387,1.192623
0.416592,0.017313,0.682331,1.184782
0.436753,0.017377,0.686555,1.211376
0.419760,0.017569,0.689595,1.194991
0.420528,0.017377,0.690075,1.195727
0.432689,0.017344,0.692796,1.214863
0.419953,0.017280,0.686683,1.189999
0.420304,0.017632,0.711772,1.230096
0.420593,0.017280,0.689563,1.196175
0.420721,0.017505,0.686747,1.192431
0.415824,0.017249,0.705884,1.212623
0.420560,0.017281,0.687227,1.192367
0.419665,0.017409,0.679738,1.183791
0.421649,0.017313,0.733789,1.245233
0.420496,0.017313,0.691227,1.196943
0.416592,0.017313,0.689947,1.192526
0.439377,0.017729,0.700923,1.232432
0.415793,0.017408,0.676251,1.182575
0.416208,0.017537,0.667322,1.171694
0.415281,0.017536,0.671643,1.174798
0.421681,0.017185,0.672698,1.180399
0.415440,0.017953,0.730109,1.232528
0.416689,0.017441,0.686811,1.186799
0.420305,0.017249,0.709851,1.214256
0.415665,0.017280,0.697340,1.198255
0.416368,0.017441,0.692379,1.197039
0.416209,0.017472,0.694012,1.193871
0.415344,0.017409,0.702555,1.203343
0.415120,0.017280,0.677403,1.174862
0.415825,0.017344,0.678427,1.179759
0.433553,0.017505,0.696443,1.216720
0.415344,0.017505,0.692027,1.191342
0.415025,0.017504,0.680891,1.182319
0.416240,0.017473,0.678170,1.184974
0.420689,0.017472,0.691996,1.198703
0.415569,0.017505,0.710971,1.215952
0.419761,0.017345,0.693595,1.200047
0.419312,0.017409,0.690619,1.195247
0.419792,0.017441,0.706524,1.211119
0.420145,0.017889,0.689979,1.196047
0.420368,0.017568,0.677787,1.181870
0.438577,0.017409,0.681435,1.209551
0.415857,0.017312,0.673051,1.172238
0.415600,0.017473,0.678011,1.178414
0.437585,0.017473,0.680858,1.205487
0.415664,0.017313,0.689947,1.195246
0.420080,0.017697,0.678395,1.182894
0.417520,0.017729,0.706652,1.216176
0.415953,0.017665,0.682938,1.185391
0.415152,0.017825,0.700027,1.201199
0.416080,0.017217,0.691707,1.192590
0.415889,0.017281,0.683962,1.184303
0.420208,0.017569,0.706908,1.215023
0.421009,0.017345,0.679770,1.187503
0.420272,0.017344,0.677947,1.183854
0.435729,0.017728,0.699164,1.224144
0.420593,0.017633,0.715580,1.221424
0.421553,0.017665,0.676282,1.181935
0.421777,0.017440,0.690460,1.197295
0.420945,0.017473,0.668890,1.174542
0.420977,0.017761,0.714300,1.221680
0.420529,0.017440,0.675675,1.181935
0.415376,0.017473,0.682203,1.185935
0.420976,0.017569,0.696539,1.205871
0.420144,0.017441,0.676954,1.180334
0.416464,0.017696,0.683195,1.184975
0.444209,0.017633,0.692571,1.223216
0.415952,0.017633,0.684731,1.183790
0.420593,0.017664,0.682555,1.187791
0.436178,0.017664,0.682619,1.205840
0.415440,0.017504,0.686651,1.187151
0.416465,0.017312,0.687163,1.187471
0.420145,0.017312,0.676251,1.179886
0.420240,0.017921,0.690363,1.195951
0.421264,0.017440,0.702140,1.211823
0.421264,0.017505,0.686715,1.192686
0.420945,0.017505,0.694843,1.201935
0.420081,0.017664,0.707100,1.214832
0.420433,0.017505,0.687355,1.193551
0.416016,0.017345,0.691067,1.192655
0.437521,0.017536,0.690011,1.211344
0.420657,0.017537,0.716444,1.221968
0.416113,0.017472,0.687483,1.189551
0.441809,0.017441,0.687291,1.214544
0.420145,0.017600,0.691547,1.198031
0.415792,0.017568,0.706172,1.209584
0.421009,0.017696,0.687771,1.194095
0.420912,0.017601,0.676315,1.184014
0.419984,0.017953,0.709340,1.216399
0.416208,0.017825,0.674267,1.174414
0.419185,0.017760,0.687291,1.193935
0.420497,0.017441,0.696603,1.206288
0.416016,0.017441,0.683707,1.184174
0.420625,0.017697,0.685691,1.192175
0.434161,0.017729,0.685019,1.208207
0.425776,0.017697,0.714780,1.233776
0.421456,0.017537,0.697339,1.205743
0.416017,0.017473,0.686139,1.190287
0.420977,0.017505,0.693051,1.201199
0.417808,0.017697,0.706492,1.215663
0.416433,0.017505,0.689723,1.192143
0.421297,0.017344,0.693308,1.200335
0.420337,0.017281,0.718332,1.226928
0.420497,0.017217,0.689947,1.197199
0.420433,0.017632,0.691324,1.201071
