Layer[0],Layer[1],TEE[2-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.510740,0.017601,8.068032,0.047746,0.000768,0.013665,0.000416,0.001504,0.011136,0.000608,8.681912
0.416945,0.017248,0.683356,0.048418,0.000576,0.013664,0.000384,0.001792,0.001216,0.000384,1.192495
0.417745,0.017857,0.686619,0.048386,0.000608,0.013505,0.000416,0.001856,0.001120,0.000288,1.197008
0.416400,0.017633,0.687003,0.048770,0.000608,0.013953,0.000448,0.001760,0.001120,0.000352,1.197871
0.438034,0.017537,0.692507,0.048418,0.000544,0.013889,0.000416,0.001792,0.001216,0.000320,1.222097
0.415857,0.017281,0.671162,0.048930,0.000576,0.013825,0.000384,0.001536,0.001024,0.000384,1.179631
0.417360,0.017216,0.678651,0.048482,0.000544,0.013601,0.000384,0.001504,0.000992,0.000352,1.187119
0.416721,0.017248,0.678587,0.048258,0.000608,0.013665,0.000384,0.001536,0.000992,0.000320,1.185615
0.415281,0.017408,0.677467,0.048738,0.000576,0.013441,0.000384,0.001440,0.000960,0.000352,1.184623
0.415856,0.017696,0.684539,0.064387,0.000608,0.013633,0.000384,0.001504,0.001184,0.000384,1.209296
0.415664,0.017312,0.676987,0.048258,0.000576,0.013569,0.000384,0.001504,0.001248,0.000384,1.183695
0.416017,0.017537,0.687227,0.048994,0.000544,0.013505,0.000384,0.001536,0.001088,0.000416,1.195184
0.416368,0.017697,0.714460,0.048962,0.000640,0.013601,0.000448,0.001472,0.001280,0.000416,1.224208
0.416112,0.017536,0.684251,0.048609,0.000544,0.013632,0.000384,0.001504,0.001120,0.000416,1.193807
0.416208,0.017345,0.670363,0.048738,0.000576,0.013568,0.000384,0.001472,0.001248,0.000352,1.178350
0.415697,0.055778,0.677531,0.049570,0.000640,0.013408,0.000384,0.001505,0.001248,0.000384,1.224977
0.415345,0.017249,0.682043,0.048066,0.000640,0.013568,0.000384,0.001472,0.001216,0.000384,1.188624
0.416337,0.017377,0.707708,0.048386,0.000608,0.013472,0.000384,0.001408,0.001184,0.000448,1.215600
0.435345,0.017344,0.685211,0.048194,0.000608,0.013537,0.000416,0.001472,0.001184,0.000352,1.212112
0.416368,0.017537,0.690300,0.047906,0.000576,0.013536,0.000384,0.001472,0.001184,0.000352,1.198831
0.416369,0.017729,0.675163,0.048386,0.000608,0.013568,0.000448,0.001536,0.001184,0.000352,1.209968
0.415793,0.017504,0.686044,0.047874,0.000544,0.013504,0.000384,0.001504,0.001152,0.000352,1.192719
0.416369,0.017377,0.690651,0.048098,0.000608,0.013601,0.000352,0.001472,0.001216,0.000384,1.197520
0.416240,0.017665,0.708764,0.049922,0.000544,0.013601,0.000384,0.001536,0.001376,0.000352,1.220336
0.415537,0.017217,0.671642,0.047938,0.000576,0.013473,0.000416,0.001504,0.001056,0.000384,1.178063
