Layer[0],Layer[1],TEE[2-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.516739,0.018065,8.097934,0.001183,0.014708,0.000416,0.001726,0.002909,0.000640,8.664295
0.426865,0.018128,0.780513,0.001215,0.014643,0.000607,0.001854,0.002526,0.000543,1.259173
0.439340,0.017745,0.785478,0.000959,0.014675,0.000383,0.001759,0.001695,0.000319,1.271178
0.442281,0.017841,0.765783,0.001023,0.015027,0.000607,0.001982,0.001439,0.000352,1.257047
0.493470,0.018800,0.794654,0.001247,0.016658,0.000640,0.002206,0.001439,0.000607,1.339473
0.527776,0.021326,0.962256,0.001535,0.018704,0.000639,0.002398,0.003389,0.000864,1.552125
0.714115,0.029799,1.261075,0.001759,0.025259,0.000831,0.003133,0.002877,0.000991,2.052277
0.866497,0.036161,1.527090,0.002142,0.030694,0.000992,0.003709,0.003933,0.001055,2.491265
0.907519,0.036673,1.508482,0.002111,0.030342,0.000864,0.003997,0.003229,0.001055,2.511408
0.869759,0.037216,1.632281,0.002014,0.031110,0.000895,0.003613,0.003804,0.001151,2.602882
0.864484,0.035842,1.515004,0.001982,0.030439,0.001023,0.003325,0.003325,0.001023,2.470930
0.861830,0.035777,1.500745,0.001854,0.029767,0.001023,0.003037,0.001598,0.001087,2.451906
0.909672,0.036194,1.530466,0.001535,0.030119,0.000959,0.003709,0.002685,0.000863,2.531774
0.864654,0.035874,1.518860,0.001407,0.029415,0.000991,0.003422,0.002526,0.000863,2.475341
0.865037,0.036258,1.486887,0.001535,0.029063,0.001215,0.003293,0.002622,0.000671,2.442409
0.869290,0.036898,1.564261,0.002142,0.030630,0.000991,0.003581,0.003901,0.001055,2.532030
0.906251,0.036609,1.516910,0.001950,0.029895,0.001023,0.003933,0.003613,0.001023,2.517291
0.864814,0.036322,1.527876,0.001663,0.031366,0.001023,0.003517,0.002110,0.000607,2.486308
0.859794,0.035842,1.464633,0.030695,0.028968,0.000831,0.002877,0.001950,0.000639,2.439276
0.865325,0.035970,1.485224,0.001566,0.029320,0.000991,0.003485,0.002206,0.000607,2.442825
0.899153,0.036641,1.511666,0.001694,0.030214,0.000991,0.003645,0.002749,0.000671,2.503286
0.868554,0.036354,1.589201,0.001663,0.031270,0.000991,0.003421,0.003901,0.000864,2.556425
0.867894,0.036546,1.571506,0.001631,0.029736,0.000768,0.003389,0.002909,0.000832,2.531804
0.864504,0.036226,1.490230,0.001471,0.029511,0.000991,0.003166,0.002046,0.000735,2.446052
0.888900,0.035970,1.514946,0.001631,0.029352,0.001055,0.003133,0.001566,0.000863,2.491806
0.872562,0.036354,1.604823,0.001695,0.029416,0.000832,0.003389,0.001791,0.000672,2.567839
0.857342,0.035683,1.465514,0.001599,0.029192,0.000767,0.003198,0.001823,0.000831,2.410017
0.865112,0.035907,1.503850,0.001599,0.029064,0.000991,0.003357,0.002142,0.000640,2.462006
0.900603,0.036194,1.516992,0.001791,0.029735,0.001055,0.003166,0.002046,0.000735,2.509647
0.872946,0.036259,1.610803,0.001950,0.031175,0.001087,0.003709,0.003293,0.000672,2.582898
0.873681,0.036386,1.512803,0.001695,0.030823,0.001023,0.003613,0.002814,0.000672,2.479815
0.863130,0.036002,1.575823,0.001598,0.030599,0.001055,0.003421,0.002526,0.000671,2.533787
0.909151,0.035907,1.529608,0.001599,0.030120,0.000991,0.003421,0.002046,0.000831,2.530492
0.862628,0.036611,1.591861,0.001727,0.030375,0.000735,0.003453,0.002110,0.000863,2.547183
0.874779,0.036514,1.536834,0.001854,0.030408,0.000991,0.003357,0.002111,0.000863,2.505936
0.863396,0.036067,1.540670,0.001407,0.029033,0.000767,0.003069,0.002174,0.000608,2.493786
0.899910,0.036450,1.504572,0.001567,0.029896,0.001023,0.003421,0.002142,0.000832,2.497143
0.873627,0.036098,1.556434,0.001727,0.029608,0.000959,0.003358,0.002078,0.000671,2.520261
0.863524,0.036354,1.525643,0.002014,0.030759,0.001055,0.003390,0.002014,0.000831,2.482467
0.874043,0.035939,1.491654,0.001694,0.030215,0.000991,0.003261,0.002110,0.000960,2.457047
0.863140,0.035779,1.553971,0.001662,0.029928,0.000863,0.003293,0.001919,0.000959,2.506352
0.862959,0.036355,1.567995,0.001727,0.029513,0.000863,0.003453,0.002207,0.000671,2.521409
0.872199,0.035812,1.512104,0.001791,0.030024,0.001055,0.003869,0.002207,0.000863,2.476453
0.908490,0.036035,1.504621,0.001631,0.029001,0.000768,0.003166,0.001695,0.000895,2.504047
0.866539,0.036035,1.589546,0.002014,0.030472,0.000992,0.003325,0.002046,0.000864,2.548747
0.861999,0.036451,1.570808,0.001502,0.031910,0.000768,0.003517,0.002174,0.000703,2.526397
0.862895,0.036547,1.524669,0.001535,0.029065,0.000991,0.003230,0.001918,0.000639,2.477860
0.899505,0.036196,1.508683,0.001663,0.031047,0.000991,0.003198,0.001887,0.000799,2.500690
0.862926,0.036100,1.555429,0.001694,0.029032,0.001023,0.003294,0.001919,0.000703,2.510889
0.860720,0.036227,1.518723,0.001662,0.029833,0.000959,0.003230,0.001855,0.000672,2.506765
0.869066,0.035844,1.519202,0.001407,0.029033,0.000991,0.003134,0.001886,0.000703,2.477508
0.898013,0.036388,1.530954,0.001790,0.029545,0.001023,0.003422,0.001855,0.000991,2.521214
0.864567,0.036163,1.604017,0.001854,0.030984,0.001023,0.003453,0.003005,0.000895,2.565307
0.536186,0.022990,1.035152,0.001631,0.020720,0.000736,0.002494,0.003198,0.000927,1.637687
0.899835,0.036835,1.532265,0.002111,0.030152,0.000959,0.003294,0.003485,0.000895,2.527226
0.873297,0.036100,1.574696,0.001951,0.031272,0.000991,0.003678,0.002494,0.000864,2.544108
0.863896,0.036355,1.575080,0.001503,0.029737,0.000991,0.003677,0.002270,0.000671,2.530231
0.874191,0.036291,1.510171,0.001375,0.029129,0.001023,0.003453,0.002238,0.000640,2.474468
0.902713,0.036164,1.564016,0.001503,0.029257,0.000992,0.003262,0.001823,0.000671,2.556706
0.866997,0.036323,1.531274,0.001726,0.029512,0.000927,0.003805,0.002046,0.000671,2.488696
