Layer[0],Layer[1],TEE[2-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.510324,0.018241,8.104288,0.014721,0.000704,0.001536,0.015009,0.000576,8.674167
0.417488,0.017472,0.747390,0.014912,0.000448,0.001505,0.001856,0.000384,1.210704
0.417392,0.017473,0.750462,0.016608,0.000705,0.001696,0.001120,0.000416,1.213584
0.416721,0.017664,0.736669,0.014848,0.000448,0.001664,0.001088,0.000384,1.197583
0.416144,0.017409,0.737117,0.014849,0.000544,0.001568,0.001120,0.000416,1.196815
0.415792,0.017313,0.777407,0.015616,0.000448,0.001505,0.001440,0.000352,1.238737
0.418384,0.017473,0.718621,0.014592,0.000448,0.001568,0.001408,0.000352,1.182094
0.416593,0.017536,0.731069,0.014625,0.000480,0.001760,0.001056,0.000384,1.191759
0.435153,0.017569,0.727261,0.014529,0.000512,0.001632,0.001120,0.000384,1.205744
0.415985,0.017601,0.732285,0.014368,0.000448,0.001568,0.001120,0.000352,1.190415
0.415825,0.017601,0.719580,0.014497,0.000480,0.001536,0.001152,0.000352,1.178415
0.415728,0.017697,0.750077,0.015360,0.000416,0.001472,0.001664,0.000384,1.209999
0.415505,0.017697,0.755134,0.014688,0.000448,0.001568,0.001184,0.000384,1.214288
0.415280,0.017473,0.754910,0.014496,0.000448,0.001504,0.001216,0.000352,1.213936
0.415600,0.017472,0.727133,0.014401,0.000448,0.001504,0.001216,0.000352,1.184463
0.416784,0.017665,0.730173,0.014305,0.000416,0.001536,0.001152,0.000352,1.189583
0.415729,0.017697,0.760990,0.014528,0.000512,0.001408,0.001056,0.000384,1.220401
0.415889,0.017569,0.729597,0.014304,0.000448,0.001440,0.001152,0.000320,1.188239
0.416401,0.017601,0.722844,0.014433,0.000448,0.001440,0.001120,0.000384,1.181743
0.433938,0.017600,0.765503,0.014464,0.000480,0.001440,0.001056,0.000352,1.242130
0.416080,0.017441,0.729341,0.014368,0.000448,0.001536,0.001120,0.000352,1.190095
0.416240,0.017665,0.734941,0.014337,0.000448,0.001600,0.001152,0.000416,1.194543
0.432721,0.017440,0.732221,0.014369,0.000448,0.001568,0.001152,0.000352,1.208239
0.415824,0.017793,0.759326,0.014625,0.000448,0.001472,0.001216,0.000352,1.218768
0.415856,0.017697,0.751582,0.015552,0.000448,0.001600,0.001184,0.000416,1.213295
0.416401,0.017601,0.728829,0.014432,0.000512,0.001568,0.001152,0.000384,1.188911
0.418769,0.017665,0.737725,0.014657,0.000512,0.001536,0.001440,0.000384,1.200944
0.416369,0.017601,0.756477,0.014465,0.000480,0.001440,0.001120,0.000384,1.216016
0.416401,0.017664,0.731005,0.014369,0.000480,0.001504,0.001120,0.000384,1.189391
0.416145,0.017568,0.733277,0.014593,0.000480,0.001536,0.001120,0.000384,1.191855
0.416049,0.017697,0.773022,0.014689,0.000480,0.001472,0.001056,0.000352,1.232753
