Layer[0],Layer[1],TEE[2-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.531349,0.017857,8.118912,0.000992,0.003585,0.018976,0.000672,8.702423
0.422929,0.017729,0.751806,0.001120,0.002560,0.001472,0.000608,1.207504
0.417744,0.017312,0.761790,0.000864,0.002592,0.001504,0.000288,1.208880
0.416688,0.017920,0.749118,0.000800,0.002112,0.001120,0.000352,1.195279
0.419280,0.017728,0.746462,0.000672,0.002112,0.001152,0.000384,1.195151
0.420976,0.017505,0.763390,0.000736,0.002400,0.001248,0.000320,1.213519
0.416336,0.017505,0.734461,0.000704,0.001984,0.001152,0.000384,1.179982
0.415760,0.017856,0.725469,0.000640,0.002144,0.001088,0.000320,1.169678
0.435538,0.017920,0.764927,0.000704,0.001856,0.001024,0.000384,1.228273
0.421937,0.017665,0.737021,0.000640,0.001952,0.000992,0.000320,1.187375
0.416624,0.017537,0.751454,0.000832,0.002144,0.001088,0.000352,1.199407
0.420240,0.017472,0.738973,0.000673,0.002848,0.001216,0.000384,1.188975
0.416080,0.017537,0.736989,0.000704,0.002752,0.001088,0.000352,1.182030
0.420529,0.017697,0.788031,0.000736,0.002944,0.001120,0.000320,1.238289
0.416241,0.017920,0.738942,0.000640,0.002016,0.001120,0.000320,1.184367
0.415537,0.017473,0.734845,0.000704,0.002016,0.001024,0.000384,1.178383
0.420816,0.017408,0.755902,0.000640,0.002080,0.001056,0.000352,1.205935
0.415729,0.017920,0.746270,0.000672,0.002144,0.001152,0.000320,1.191183
0.415504,0.017408,0.741085,0.000640,0.001952,0.000928,0.000320,1.183183
0.414993,0.017856,0.757726,0.000704,0.002080,0.000992,0.000352,1.200432
0.416016,0.017633,0.746878,0.000704,0.002112,0.001024,0.000352,1.193679
0.420433,0.017409,0.742813,0.001024,0.002944,0.001216,0.000448,1.193903
0.435377,0.017569,0.741629,0.000672,0.002080,0.001057,0.000352,1.205488
0.421489,0.017472,0.734781,0.000672,0.002561,0.001088,0.000352,1.184751
0.420880,0.018337,0.740029,0.000608,0.001856,0.001088,0.000416,1.189263
0.416208,0.017761,0.723292,0.000672,0.002016,0.001056,0.000352,1.167406
0.419888,0.017281,0.735357,0.000800,0.002144,0.000960,0.000384,1.184623
0.413744,0.017697,0.779070,0.000640,0.002145,0.001184,0.000384,1.221456
0.415089,0.017281,0.756061,0.000672,0.002593,0.001120,0.000352,1.198928
0.415696,0.017569,0.734141,0.000544,0.002144,0.001152,0.000352,1.177230
0.415472,0.017633,0.744157,0.000608,0.002721,0.001184,0.000384,1.188111
0.415025,0.017537,0.760158,0.000672,0.002016,0.001024,0.000352,1.202224
0.420337,0.017857,0.742333,0.000736,0.001920,0.000992,0.000320,1.190767
0.420977,0.037089,0.739742,0.000736,0.001984,0.001024,0.000352,1.208432
0.420593,0.017953,0.732157,0.000576,0.001984,0.001056,0.000352,1.180687
0.421168,0.017537,0.727613,0.000672,0.001824,0.001056,0.000352,1.176718
0.438097,0.017857,0.750749,0.000640,0.002113,0.001088,0.000384,1.218576
0.421168,0.017985,0.750110,0.000768,0.002048,0.001248,0.000384,1.201295
0.416145,0.017664,0.730461,0.000640,0.001952,0.001056,0.000384,1.173934
0.415472,0.017537,0.746813,0.000704,0.002720,0.001120,0.000384,1.190895
0.415472,0.017697,0.731965,0.000768,0.002688,0.001088,0.000352,1.177326
0.416080,0.017824,0.754878,0.000704,0.002080,0.001152,0.000320,1.199823
0.420464,0.018049,0.733277,0.000608,0.001888,0.001088,0.000352,1.181486
0.414961,0.017761,0.729084,0.000640,0.001920,0.001057,0.000352,1.171759
0.415025,0.017857,0.759966,0.000960,0.002912,0.001248,0.000416,1.204624
0.416113,0.017537,0.759582,0.000640,0.001824,0.001088,0.000224,1.202576
0.419760,0.017505,0.741789,0.000608,0.002080,0.001152,0.000352,1.190574
0.433010,0.017600,0.758814,0.000672,0.001952,0.001152,0.000384,1.219569
0.419441,0.017537,0.736637,0.000672,0.002656,0.001120,0.000384,1.184815
0.420465,0.017985,0.724700,0.000640,0.001952,0.001024,0.000352,1.172846
0.439025,0.017441,0.733725,0.000736,0.002048,0.001152,0.000352,1.201423
0.415088,0.017921,0.738269,0.000608,0.002560,0.001153,0.000352,1.182415
0.420113,0.017537,0.728252,0.000640,0.002784,0.001120,0.000384,1.176719
0.416368,0.017729,0.739357,0.000640,0.002016,0.000992,0.000352,1.183823
0.415568,0.017729,0.736317,0.000672,0.002688,0.001152,0.000384,1.180335
0.415280,0.017760,0.757374,0.000576,0.001856,0.001152,0.000352,1.200783
0.418448,0.017761,0.758878,0.000832,0.002432,0.001024,0.000416,1.208208
0.421009,0.017536,0.745405,0.000736,0.002208,0.001856,0.000416,1.196911
0.416240,0.017569,0.773662,0.000800,0.002177,0.001312,0.000416,1.219984
0.421104,0.017409,0.738685,0.000768,0.002112,0.001313,0.000352,1.189551
0.416881,0.017537,0.754109,0.000736,0.002273,0.001184,0.000352,1.201232
0.440850,0.017536,0.752894,0.000768,0.002272,0.001184,0.000384,1.222832
0.417713,0.017633,0.748733,0.000672,0.002048,0.001216,0.000384,1.195311
0.416049,0.017505,0.739325,0.000672,0.002080,0.001568,0.000416,1.185231
0.420209,0.017440,0.746526,0.000704,0.002144,0.001152,0.000384,1.195695
0.420784,0.017664,0.743422,0.000672,0.002368,0.001280,0.000352,1.193807
0.417584,0.017473,0.774911,0.000768,0.002240,0.001152,0.000384,1.222352
0.420561,0.017601,0.749725,0.000736,0.002209,0.001248,0.000352,1.199344
0.415664,0.017313,0.745853,0.000704,0.002080,0.001185,0.000384,1.190095
0.415344,0.017633,0.767838,0.001056,0.002625,0.001216,0.000384,1.212944
0.420913,0.017409,0.763070,0.000800,0.002176,0.001248,0.000320,1.214128
0.415345,0.017281,0.750397,0.000704,0.002144,0.001152,0.000320,1.194479
0.437009,0.017601,0.771838,0.000704,0.002176,0.001184,0.000352,1.238512
0.415953,0.017505,0.752381,0.000800,0.002112,0.001120,0.000384,1.197552
0.420017,0.017600,0.772895,0.000768,0.003168,0.001248,0.000384,1.224240
0.420593,0.017569,0.738621,0.000768,0.002240,0.001152,0.000416,1.189359
0.420784,0.017633,0.758686,0.000768,0.002176,0.001184,0.000352,1.210159
0.415728,0.017441,0.777214,0.000672,0.002304,0.001152,0.000320,1.222800
0.416144,0.017793,0.741085,0.000801,0.002848,0.001184,0.000352,1.187215
0.420432,0.017601,0.744958,0.000704,0.002144,0.000960,0.000320,1.193327
0.417008,0.035938,0.751613,0.000704,0.002144,0.001153,0.000352,1.217520
0.415473,0.017313,0.746301,0.000640,0.002208,0.001056,0.000352,1.190063
0.420081,0.017728,0.732829,0.000704,0.002112,0.001152,0.000352,1.181327
0.439346,0.017824,0.745374,0.000672,0.002112,0.001184,0.000384,1.213360
0.415344,0.017441,0.745885,0.000768,0.002144,0.001120,0.000385,1.189871
0.416721,0.017473,0.733661,0.000704,0.002016,0.001056,0.000352,1.179535
0.415632,0.017505,0.743997,0.000704,0.002976,0.001216,0.000384,1.188782
0.415697,0.017441,0.745149,0.000800,0.002112,0.001120,0.000352,1.188943
0.419729,0.017537,0.779390,0.001056,0.003200,0.001216,0.000448,1.229457
0.415184,0.017696,0.733949,0.000736,0.002913,0.001184,0.000384,1.179759
0.416145,0.017505,0.746461,0.000672,0.003040,0.001184,0.000385,1.193072
0.416656,0.017761,0.785471,0.000672,0.002048,0.001152,0.000384,1.230992
0.416368,0.017441,0.736797,0.000640,0.002240,0.001120,0.000352,1.181166
0.415473,0.017408,0.726013,0.000736,0.002176,0.001120,0.000352,1.170638
0.432273,0.017569,0.745757,0.000640,0.002144,0.001088,0.000352,1.206543
0.415345,0.017504,0.749790,0.001024,0.003200,0.001120,0.000384,1.196687
0.416913,0.017568,0.748414,0.000704,0.001984,0.000960,0.000352,1.193807
0.415312,0.017313,0.727325,0.000672,0.002240,0.001088,0.000288,1.171054
0.419504,0.017345,0.737213,0.000672,0.002176,0.001056,0.000384,1.185615
0.421456,0.017665,0.747997,0.000800,0.003136,0.001120,0.000384,1.201359
0.420881,0.017761,0.744797,0.000640,0.002208,0.001024,0.000416,1.195183
0.416176,0.017536,0.739261,0.000736,0.002176,0.001120,0.000352,1.184335
0.421200,0.017441,0.752094,0.000704,0.002304,0.001152,0.000352,1.202575
0.416112,0.017505,0.743101,0.000640,0.002177,0.001216,0.000384,1.188751
0.420400,0.017505,0.744989,0.000736,0.002145,0.001120,0.000384,1.194927
0.432657,0.017824,0.735805,0.000672,0.003297,0.001216,0.000384,1.199536
0.420145,0.017857,0.744829,0.000672,0.003008,0.001184,0.000448,1.194895
0.419889,0.017217,0.737853,0.000672,0.001984,0.001024,0.000384,1.185295
0.437105,0.017697,0.738909,0.000704,0.002016,0.001088,0.000384,1.205167
0.420368,0.017537,0.737213,0.000672,0.002176,0.001120,0.000416,1.187598
0.415280,0.017729,0.738397,0.000576,0.002112,0.001120,0.000320,1.181647
0.421009,0.017280,0.746910,0.000736,0.002176,0.001216,0.000352,1.197103
0.420753,0.017345,0.757821,0.000577,0.002720,0.001280,0.000384,1.207120
0.415185,0.017216,0.760126,0.000704,0.002912,0.001120,0.000384,1.203504
0.416465,0.017184,0.736093,0.000704,0.001889,0.001088,0.000448,1.179791
0.420657,0.017376,0.730013,0.000672,0.001984,0.001152,0.000320,1.179567
0.420657,0.017408,0.748318,0.000640,0.001984,0.001184,0.000288,1.196975
0.415728,0.017313,0.729661,0.000608,0.002976,0.001088,0.000352,1.174286
0.420432,0.017344,0.729853,0.000672,0.002016,0.001184,0.000320,1.177966
0.435058,0.017280,0.734621,0.000800,0.003200,0.001216,0.000416,1.200368
0.419921,0.017473,0.755453,0.000704,0.001952,0.001120,0.000384,1.203440
0.420336,0.017409,0.740765,0.000608,0.001984,0.001152,0.000384,1.188654
0.431921,0.017441,0.746301,0.000640,0.001824,0.001089,0.000640,1.206672
0.415184,0.017249,0.745565,0.000576,0.002080,0.001088,0.000384,1.188655
0.415793,0.017408,0.763455,0.000672,0.002208,0.001056,0.000352,1.207952
0.420337,0.017409,0.750077,0.000736,0.002145,0.001088,0.000384,1.199792
0.419921,0.017377,0.750045,0.000704,0.002016,0.001056,0.000352,1.197712
0.421072,0.017472,0.762110,0.001088,0.002912,0.001152,0.000384,1.212688
0.415600,0.017281,0.732125,0.000544,0.002720,0.001184,0.000576,1.176206
0.416049,0.017441,0.737853,0.000672,0.002112,0.001120,0.000448,1.182319
0.421680,0.017409,0.765438,0.000704,0.002336,0.001120,0.000384,1.215920
0.421072,0.017440,0.736189,0.000640,0.001984,0.001152,0.000352,1.186319
