Layer[0],Layer[1],TEE[2-7],Layer[8],Layer[9],Layer[10],classifier
0.530517,0.017792,8.112224,0.003072,0.017537,0.000672,8.691382
0.421585,0.017729,0.767134,0.004000,0.001504,0.000352,1.220752
0.418033,0.017729,0.772126,0.003424,0.001184,0.000352,1.219632
0.420689,0.017889,0.751229,0.003072,0.001408,0.000576,1.202224
0.420880,0.017760,0.750430,0.002528,0.001120,0.000576,1.200559
0.416785,0.018145,0.759166,0.003488,0.001184,0.000608,1.207312
0.421265,0.017697,0.746365,0.002624,0.001024,0.000416,1.196207
0.421905,0.017793,0.746813,0.003392,0.001536,0.000672,1.200496
0.446321,0.017856,0.755422,0.002240,0.001120,0.000608,1.230960
0.420720,0.018305,0.740861,0.002336,0.001120,0.000608,1.191118
0.420817,0.017537,0.751645,0.002720,0.001120,0.000384,1.201679
0.420752,0.017792,0.755454,0.002624,0.001152,0.000352,1.205775
0.421328,0.018048,0.748030,0.002592,0.001184,0.000576,1.198703
0.420369,0.017664,0.771679,0.003072,0.001184,0.000608,1.221616
0.421009,0.017984,0.757022,0.002368,0.001152,0.000641,1.207280
0.420432,0.018017,0.747261,0.002528,0.001152,0.000384,1.196559
0.416240,0.017633,0.771262,0.003072,0.001216,0.000576,1.217264
0.421297,0.017953,0.744765,0.002528,0.001152,0.000576,1.196687
0.421041,0.017665,0.748157,0.002721,0.001152,0.000384,1.198640
0.438769,0.017729,0.749950,0.002496,0.001120,0.000576,1.217712
0.421936,0.017568,0.749310,0.002592,0.001152,0.000384,1.200111
0.420401,0.017696,0.744926,0.002464,0.001120,0.000608,1.193743
0.421041,0.017953,0.746749,0.002816,0.001184,0.000384,1.196271
0.420528,0.017601,0.748830,0.002400,0.001120,0.000416,1.197903
0.415792,0.017601,0.766654,0.003328,0.001184,0.000448,1.211759
0.420528,0.017985,0.749374,0.003040,0.001056,0.000384,1.199119
0.421008,0.017632,0.746846,0.002496,0.001120,0.000416,1.196655
0.420817,0.017856,0.773311,0.002272,0.001120,0.000416,1.223120
0.420624,0.017857,0.748830,0.003328,0.001248,0.000416,1.200207
0.417937,0.017952,0.755869,0.002656,0.001120,0.000352,1.204560
0.439633,0.017665,0.782495,0.002816,0.001056,0.000608,1.253553
0.420624,0.017857,0.750750,0.002592,0.001120,0.000352,1.200207
0.420752,0.017569,0.732349,0.002656,0.001120,0.000544,1.181198
0.421841,0.017569,0.746365,0.002496,0.001505,0.000416,1.196592
0.420017,0.017440,0.744925,0.002464,0.001152,0.000384,1.192751
0.419344,0.017953,0.757246,0.002240,0.001152,0.000384,1.204207
0.420529,0.017697,0.749053,0.002496,0.001248,0.000385,1.197936
0.424977,0.017792,0.733309,0.002304,0.001120,0.000384,1.185967
0.420401,0.017921,0.770174,0.003040,0.001248,0.000416,1.220272
0.420177,0.017569,0.744893,0.002400,0.001120,0.000352,1.192559
0.419921,0.017953,0.744093,0.002304,0.001152,0.000384,1.191919
0.455602,0.017824,0.739870,0.002560,0.001152,0.000384,1.225136
0.420912,0.017601,0.747485,0.002528,0.001216,0.000448,1.197231
0.420401,0.017665,0.742589,0.002656,0.001120,0.000384,1.190959
0.420689,0.017697,0.749309,0.002368,0.001152,0.000384,1.198191
0.420592,0.017249,0.736989,0.002272,0.001152,0.000384,1.185070
0.421137,0.017441,0.770462,0.003840,0.001216,0.000416,1.221904
0.420176,0.017953,0.739229,0.002464,0.001120,0.000384,1.187118
0.420497,0.017664,0.734589,0.002560,0.001120,0.000449,1.182799
0.420624,0.017601,0.766878,0.002496,0.001120,0.000352,1.216208
0.420624,0.017985,0.740477,0.002432,0.001120,0.000416,1.189870
0.420689,0.017857,0.743197,0.002400,0.001152,0.000384,1.193071
0.437841,0.017633,0.753149,0.002593,0.001120,0.000384,1.220592
0.420721,0.017857,0.741565,0.002400,0.001152,0.000384,1.190799
0.420721,0.017889,0.743357,0.002400,0.001120,0.000352,1.192527
0.419888,0.017889,0.751998,0.002592,0.001152,0.000384,1.200975
0.420593,0.017921,0.747325,0.002816,0.001120,0.000416,1.198223
0.421169,0.017537,0.783550,0.002624,0.001152,0.000416,1.234737
0.421009,0.017729,0.748445,0.002528,0.001281,0.000416,1.198480
0.420528,0.017601,0.743453,0.002592,0.001056,0.000416,1.192047
0.420432,0.017825,0.761598,0.003488,0.001216,0.000385,1.212944
0.420369,0.017889,0.746813,0.002432,0.001184,0.000640,1.195887
0.420081,0.017601,0.752125,0.002688,0.001248,0.000384,1.201584
0.438546,0.017665,0.761950,0.002528,0.001120,0.000320,1.228881
0.419568,0.017761,0.742781,0.003776,0.001312,0.000384,1.191663
0.419760,0.017697,0.738621,0.002592,0.001057,0.000384,1.186063
0.420305,0.017633,0.729405,0.002560,0.001216,0.000416,1.178543
0.415217,0.017472,0.744254,0.003584,0.001248,0.000416,1.188367
0.415761,0.017568,0.758142,0.003553,0.001184,0.000416,1.202960
0.420304,0.017761,0.735197,0.002144,0.001056,0.000384,1.182094
0.420593,0.017345,0.741021,0.002592,0.001056,0.000384,1.189071
0.420977,0.017472,0.759870,0.003392,0.001248,0.000384,1.210576
0.420273,0.017761,0.735805,0.002336,0.001152,0.000384,1.183919
0.419889,0.017280,0.736733,0.002208,0.001120,0.000352,1.183599
0.420304,0.017600,0.775391,0.003232,0.001120,0.000384,1.224656
0.419793,0.018017,0.739261,0.002688,0.001088,0.000384,1.186575
0.420113,0.017312,0.737821,0.002432,0.001056,0.000384,1.186863
0.429489,0.017665,0.745373,0.002368,0.001024,0.000384,1.202543
0.415760,0.017505,0.737213,0.002368,0.001184,0.000288,1.180366
0.415568,0.017665,0.736637,0.002176,0.001152,0.000384,1.178894
0.420017,0.017953,0.742205,0.002208,0.001216,0.000384,1.190031
0.420145,0.017312,0.728637,0.002208,0.001184,0.000384,1.175854
0.420593,0.017441,0.764830,0.002432,0.001120,0.000352,1.211856
0.416176,0.017441,0.738557,0.002368,0.001152,0.000384,1.181647
0.420593,0.017728,0.744126,0.002368,0.001152,0.000576,1.193743
0.415633,0.018176,0.760190,0.002336,0.001089,0.000384,1.204784
0.416657,0.017985,0.736477,0.002464,0.001152,0.000416,1.182575
0.420721,0.017505,0.731772,0.002593,0.001152,0.000384,1.181327
0.416113,0.017505,0.765566,0.002368,0.001152,0.000416,1.210096
0.420433,0.017504,0.730492,0.002240,0.001120,0.000576,1.178927
0.420048,0.017953,0.751998,0.002432,0.001184,0.000384,1.201359
0.438802,0.017984,0.743870,0.002464,0.001056,0.000576,1.211952
0.420369,0.017665,0.750109,0.002752,0.001184,0.000384,1.198928
0.415344,0.017473,0.728957,0.002464,0.001152,0.000384,1.172782
0.420336,0.017857,0.745470,0.002560,0.001312,0.000320,1.195087
0.421520,0.017408,0.744926,0.002432,0.001120,0.000384,1.194575
0.416017,0.017920,0.768383,0.002592,0.001216,0.000352,1.214640
0.415824,0.017569,0.742461,0.002464,0.001216,0.000449,1.187151
0.415856,0.017633,0.735325,0.002592,0.001152,0.000640,1.180014
0.421265,0.017921,0.761054,0.002752,0.001120,0.000384,1.211888
0.420593,0.017633,0.744733,0.002464,0.001184,0.000448,1.194447
0.415728,0.017601,0.746589,0.002272,0.001120,0.000384,1.190639
0.439153,0.017953,0.791423,0.002368,0.001120,0.000384,1.259537
0.415824,0.017697,0.745181,0.002336,0.001152,0.000384,1.189262
0.420529,0.017761,0.739133,0.002496,0.001152,0.000640,1.187855
0.420240,0.018081,0.744605,0.002273,0.001120,0.000416,1.194479
0.420240,0.017441,0.751262,0.002304,0.001024,0.000416,1.198863
0.420496,0.017505,0.759710,0.003232,0.001216,0.000384,1.210159
0.420465,0.017825,0.746877,0.003104,0.001280,0.000384,1.196207
0.420401,0.017761,0.747005,0.002112,0.001184,0.000352,1.195407
0.420849,0.017888,0.769855,0.003680,0.001184,0.000384,1.220336
0.421713,0.017856,0.745886,0.002400,0.001120,0.000384,1.196015
0.420433,0.017536,0.738174,0.002592,0.001088,0.000384,1.187343
0.420817,0.017472,0.780287,0.003328,0.001280,0.000384,1.230928
0.420049,0.017569,0.747837,0.002464,0.001121,0.000416,1.195472
0.416400,0.017761,0.746525,0.002497,0.001184,0.000384,1.191375
0.436977,0.017761,0.760958,0.003008,0.001056,0.000384,1.225424
0.420657,0.017888,0.746398,0.002304,0.001120,0.000384,1.194799
0.420432,0.017409,0.756318,0.003488,0.001216,0.000416,1.205487
0.420784,0.017792,0.751326,0.003488,0.001216,0.000384,1.201167
0.420945,0.017505,0.738237,0.002464,0.001120,0.000640,1.187087
0.419984,0.017504,0.763390,0.002464,0.001089,0.000416,1.211312
0.420112,0.017601,0.737149,0.002464,0.001120,0.000448,1.185198
0.415825,0.017664,0.742558,0.002752,0.001120,0.000384,1.186287
0.420561,0.017664,0.766526,0.003232,0.001344,0.000416,1.217840
0.419857,0.017761,0.741725,0.002560,0.001216,0.000384,1.190927
0.415472,0.017697,0.747901,0.002304,0.001249,0.000384,1.191887
0.438386,0.017537,0.758589,0.003425,0.001216,0.000384,1.226257
0.419728,0.017537,0.738525,0.002240,0.001184,0.000384,1.186094
0.421777,0.017953,0.732476,0.002465,0.001152,0.000384,1.183279
0.420144,0.017825,0.742269,0.002369,0.001152,0.000352,1.190767
0.421137,0.017728,0.750238,0.002816,0.000992,0.000352,1.198319
0.416177,0.017792,0.770687,0.002432,0.001152,0.000352,1.214800
0.415281,0.017664,0.748830,0.002272,0.000992,0.000416,1.191599
0.415984,0.017729,0.746109,0.002400,0.001185,0.000384,1.190287
0.419825,0.017537,0.756733,0.003584,0.001216,0.000384,1.206992
0.420273,0.017697,0.741533,0.002400,0.001120,0.000384,1.189551
0.419952,0.017664,0.734365,0.002240,0.001120,0.000384,1.182254
0.444242,0.017537,0.743101,0.002464,0.001184,0.000416,1.214928
0.419664,0.017536,0.733085,0.002464,0.001152,0.000352,1.181198
0.420017,0.017984,0.730205,0.002400,0.001088,0.000384,1.178574
0.439185,0.017760,0.744478,0.002368,0.001088,0.000416,1.211984
0.415473,0.017728,0.739486,0.002432,0.001088,0.000384,1.182959
0.420400,0.017505,0.742429,0.002656,0.000992,0.000352,1.190414
0.419888,0.017601,0.747645,0.003329,0.001184,0.000384,1.196559
0.415409,0.017376,0.754622,0.002720,0.000992,0.000352,1.198127
0.420721,0.017889,0.770718,0.003360,0.001312,0.000384,1.221424
0.415952,0.017921,0.743805,0.002401,0.001216,0.000576,1.188047
0.415793,0.017569,0.749021,0.002784,0.001152,0.000384,1.193359
0.415793,0.017632,0.769503,0.003424,0.001408,0.000608,1.216464
0.415824,0.017729,0.745885,0.003232,0.001152,0.000384,1.190542
