Layer[0],Layer[1],Layer[2],TEE[3-10],classifier
0.537397,0.017920,0.206632,0.167879,0.997095
0.417904,0.017632,0.205064,0.209097,0.920356
0.418064,0.017505,0.202952,0.193095,0.896835
0.415952,0.017569,0.203048,0.235145,0.942117
0.416209,0.017921,0.202536,0.211624,0.921156
0.416176,0.017537,0.202792,0.195560,0.899459
0.416560,0.017505,0.202536,0.192328,0.896291
0.432305,0.017664,0.204200,0.220073,0.941989
0.415696,0.017441,0.202248,0.191399,0.895043
0.416016,0.017601,0.202952,0.198663,0.904515
0.416080,0.017537,0.220553,0.191303,0.918596
0.415952,0.017665,0.202056,0.197480,0.900323
0.416529,0.017696,0.202664,0.208360,0.918436
0.416496,0.017601,0.202344,0.171687,0.872930
0.432113,0.017601,0.202152,0.204776,0.923236
0.415633,0.017248,0.202248,0.208136,0.914180
0.415888,0.017313,0.202376,0.202952,0.904291
0.416400,0.017504,0.218953,0.195560,0.917956
0.415920,0.017473,0.202504,0.192167,0.895331
0.416336,0.017505,0.202920,0.194312,0.897731
0.416528,0.017729,0.202632,0.196648,0.901795
0.415920,0.017473,0.202568,0.217384,0.922372
0.416208,0.017665,0.202504,0.196136,0.902691
0.416432,0.017473,0.202664,0.213544,0.918116
0.416496,0.017696,0.223529,0.212456,0.941957
0.415857,0.017568,0.202600,0.203112,0.906596
0.416400,0.017345,0.202312,0.195272,0.896867
0.416336,0.017472,0.202600,0.212841,0.916132
0.415984,0.017729,0.202376,0.206664,0.910723
0.416561,0.017473,0.202535,0.191016,0.895107
0.415792,0.017505,0.202664,0.206568,0.909123
0.417040,0.044034,0.202888,0.211144,0.941189
0.416433,0.017569,0.202568,0.204424,0.909732
0.415761,0.017825,0.202215,0.209864,0.913284
0.415921,0.017473,0.202535,0.199079,0.902372
0.416784,0.018049,0.202312,0.213000,0.917956
0.415920,0.017697,0.202280,0.212584,0.917252
0.416080,0.017505,0.202536,0.208360,0.914244
0.433489,0.017568,0.202920,0.205224,0.927685
0.415920,0.017665,0.202216,0.191687,0.895779
0.416176,0.017441,0.202888,0.208328,0.912836
0.416368,0.017601,0.202376,0.224969,0.935780
0.416048,0.017665,0.203336,0.200360,0.905059
0.415601,0.017632,0.202888,0.200328,0.903876
0.416176,0.017537,0.202216,0.201000,0.904963
0.433489,0.017761,0.202376,0.209992,0.932581
0.416144,0.017537,0.202248,0.208936,0.912868
0.416176,0.017665,0.202728,0.196552,0.904067
0.416433,0.017504,0.202056,0.226217,0.931717
0.416208,0.017569,0.202088,0.209416,0.911651
0.416849,0.017472,0.202248,0.203208,0.907428
0.416208,0.017505,0.202280,0.214888,0.930980
0.431952,0.017664,0.203112,0.210120,0.932740
0.416464,0.017473,0.202760,0.206984,0.910340
0.416080,0.017505,0.202664,0.208072,0.916420
0.416240,0.017505,0.202696,0.230793,0.933860
0.415985,0.017728,0.202536,0.199400,0.905252
0.416112,0.017568,0.202888,0.196392,0.900451
0.416016,0.017921,0.202440,0.200007,0.904419
0.433105,0.017473,0.203528,0.207464,0.931172
0.415409,0.017600,0.202376,0.201736,0.905700
0.416208,0.017601,0.202376,0.200008,0.903843
0.416496,0.017569,0.219913,0.216936,0.941221
0.416560,0.017569,0.202344,0.199240,0.901539
0.416560,0.017505,0.202344,0.202376,0.905892
0.416464,0.017537,0.202376,0.198440,0.903939
0.415952,0.017761,0.202696,0.210728,0.917891
0.416369,0.017408,0.202024,0.212969,0.918884
0.415793,0.017633,0.202312,0.193031,0.894532
0.415984,0.017345,0.219048,0.236170,0.967174
0.416112,0.017473,0.202728,0.203912,0.906947
0.416112,0.017505,0.202056,0.201800,0.906787
0.415792,0.017665,0.201896,0.211592,0.913348
0.416816,0.017793,0.202120,0.203080,0.907908
0.415248,0.017633,0.202280,0.208680,0.911779
0.415825,0.017504,0.202184,0.209417,0.912804
0.444594,0.017568,0.202120,0.208360,0.941509
0.415664,0.017569,0.202248,0.194951,0.898755
0.416528,0.017793,0.203048,0.233257,0.937093
0.415600,0.017441,0.202056,0.207432,0.934885
0.415728,0.017665,0.202472,0.205992,0.908420
0.416401,0.017664,0.202152,0.211241,0.916996
0.415697,0.017569,0.202375,0.207561,0.911044
0.435409,0.017569,0.202120,0.208136,0.930021
0.415600,0.017505,0.204360,0.208872,0.915396
0.416017,0.017313,0.202216,0.188743,0.892099
0.416241,0.017408,0.202568,0.213801,0.925829
0.416496,0.017505,0.202248,0.193703,0.897635
0.417200,0.017537,0.201960,0.200040,0.902563
0.415697,0.017504,0.202600,0.197480,0.901540
0.431024,0.017664,0.202728,0.212393,0.933508
0.415952,0.017665,0.202472,0.187655,0.889571
0.415600,0.017249,0.204008,0.190151,0.893091
0.415344,0.017633,0.202440,0.219464,0.923300
0.415984,0.017409,0.201864,0.198023,0.898563
0.415216,0.017441,0.202280,0.202248,0.904163
0.416432,0.017569,0.202696,0.204840,0.907203
0.431889,0.017633,0.202120,0.213704,0.933189
0.416240,0.017409,0.202696,0.209352,0.915524
0.416080,0.017537,0.202248,0.209864,0.914243
0.416273,0.017697,0.202152,0.227336,0.935173
0.415952,0.017536,0.202376,0.212745,0.917636
0.415952,0.017473,0.203272,0.212616,0.917220
0.415761,0.017472,0.202919,0.209929,0.915716
0.432849,0.017536,0.202920,0.210248,0.932069
0.415952,0.017537,0.202600,0.196360,0.903011
0.415825,0.017537,0.202663,0.193672,0.899044
0.416113,0.017600,0.219977,0.203656,0.927365
0.415888,0.017441,0.202664,0.202696,0.906339
0.416592,0.017665,0.202536,0.194375,0.896739
0.416688,0.017633,0.202760,0.194920,0.901827
0.415696,0.017665,0.202568,0.206760,0.913155
0.416304,0.017569,0.203528,0.211912,0.920836
0.415601,0.017601,0.202663,0.199624,0.903908
0.417072,0.017569,0.220361,0.210024,0.935556
0.415920,0.017633,0.202312,0.207944,0.911524
0.416240,0.017793,0.202280,0.206760,0.910531
0.416721,0.017953,0.202440,0.205608,0.910116
0.415985,0.017728,0.202184,0.212009,0.916516
0.417137,0.017664,0.202184,0.191880,0.898531
0.416369,0.017505,0.202728,0.209448,0.915108
0.433905,0.017696,0.202408,0.206280,0.927493
0.416177,0.017568,0.202408,0.202696,0.906340
0.415856,0.017504,0.202344,0.211977,0.919396
0.415952,0.017633,0.202248,0.210344,0.934597
0.415793,0.017857,0.202023,0.208201,0.912452
0.416560,0.017504,0.202856,0.208552,0.914628
0.415888,0.017729,0.202664,0.208200,0.913283
0.432337,0.017728,0.202024,0.210953,0.929444
0.415664,0.017505,0.202088,0.204264,0.905539
0.415632,0.017441,0.202600,0.208392,0.911460
0.414576,0.017537,0.202696,0.228489,0.933540
0.417073,0.017504,0.202216,0.207272,0.910084
0.415344,0.017665,0.202376,0.211304,0.913763
0.416849,0.017472,0.202696,0.210729,0.919108
0.433041,0.017505,0.202504,0.198088,0.917732
0.414896,0.017665,0.202376,0.196839,0.905987
0.415792,0.017441,0.202216,0.196968,0.898339
0.415600,0.017473,0.202312,0.236649,0.947269
0.416400,0.017664,0.202344,0.209224,0.914404
0.417008,0.017632,0.204296,0.215657,0.926532
0.415024,0.017633,0.203144,0.193415,0.898019
0.432177,0.017697,0.202824,0.201256,0.924388
0.416369,0.017504,0.202344,0.190920,0.897763
0.414928,0.017440,0.202408,0.197064,0.900644
0.416113,0.017536,0.202056,0.222889,0.927333
0.416048,0.017569,0.202792,0.198888,0.904643
0.415824,0.017633,0.202376,0.195656,0.897219
0.416369,0.017504,0.201960,0.193992,0.896803
0.432721,0.017601,0.202408,0.194855,0.914308
0.416752,0.017857,0.202312,0.214376,0.920388
0.416240,0.017537,0.202056,0.196424,0.902691
0.416208,0.017697,0.219880,0.202440,0.926308
0.417040,0.017633,0.202760,0.200104,0.904707
0.416592,0.017568,0.203048,0.200008,0.906596
0.416944,0.017473,0.202632,0.197064,0.902531
0.417072,0.017441,0.202632,0.200776,0.906979
0.416080,0.017472,0.202152,0.213705,0.916932
0.417040,0.017728,0.202632,0.189288,0.894083
0.416400,0.017536,0.223433,0.198184,0.925700
0.416048,0.017665,0.202216,0.201992,0.906692
0.416304,0.017665,0.202184,0.202536,0.906627
0.416785,0.017472,0.202408,0.197800,0.902148
0.415920,0.017697,0.202408,0.198856,0.901443
0.416400,0.017473,0.203048,0.191463,0.896931
0.416880,0.017729,0.203432,0.204840,0.909187
0.418096,0.017569,0.223561,0.208008,0.937700
0.415952,0.017473,0.202536,0.194887,0.897188
0.416336,0.017569,0.202312,0.194215,0.895043
0.415696,0.017537,0.202664,0.203656,0.906467
0.416401,0.017729,0.205032,0.211272,0.916612
0.416528,0.017665,0.201992,0.200840,0.905091
