Layer[0],Layer[1],Layer[2],TEE[3-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.527572,0.017760,0.205736,0.190568,0.047682,0.000896,0.013472,0.000416,0.001472,0.002753,0.000576,1.017256
0.418160,0.017729,0.203976,0.188039,0.048226,0.000800,0.013665,0.000416,0.001568,0.001696,0.000384,0.903620
0.417392,0.017889,0.242794,0.196039,0.048994,0.000800,0.013793,0.000416,0.001472,0.001280,0.000352,0.952933
0.416880,0.017696,0.202792,0.204424,0.048034,0.000800,0.013953,0.000416,0.001568,0.001312,0.000576,0.918020
0.417072,0.017856,0.203208,0.195240,0.048354,0.000800,0.013857,0.000384,0.001568,0.001088,0.000352,0.909540
0.416017,0.017760,0.202727,0.192936,0.068547,0.000640,0.014528,0.000448,0.001824,0.001248,0.000416,0.928421
0.416112,0.018081,0.203176,0.197800,0.048290,0.000608,0.014336,0.000384,0.001664,0.001281,0.000384,0.911908
0.416593,0.017569,0.203144,0.183463,0.048002,0.000800,0.013632,0.000384,0.001568,0.001056,0.000416,0.894691
0.415985,0.017664,0.202568,0.175271,0.048162,0.000864,0.014049,0.000416,0.001664,0.001088,0.000416,0.887395
0.436529,0.017985,0.203880,0.184103,0.048546,0.000544,0.014113,0.000416,0.001536,0.001088,0.000384,0.918980
0.416400,0.017569,0.202184,0.179559,0.048642,0.000608,0.013729,0.000416,0.001472,0.001088,0.000352,0.890563
0.415504,0.017313,0.202536,0.173319,0.048610,0.000608,0.013504,0.000384,0.001504,0.001088,0.000384,0.883682
0.415569,0.017472,0.202056,0.253802,0.053314,0.000640,0.013601,0.000384,0.001472,0.001088,0.000384,0.970054
0.417937,0.017505,0.203368,0.191719,0.048386,0.000640,0.013697,0.000416,0.001632,0.001120,0.000448,0.906436
0.416081,0.017921,0.202568,0.194599,0.050498,0.000672,0.013569,0.000384,0.001536,0.001088,0.000384,0.909028
0.416464,0.017985,0.202408,0.195015,0.048066,0.000704,0.013697,0.000384,0.001600,0.001248,0.000352,0.908419
0.416369,0.017985,0.202696,0.192423,0.048898,0.000608,0.013697,0.000416,0.001600,0.001216,0.000576,0.923012
0.415825,0.018016,0.201928,0.186216,0.048482,0.000608,0.013632,0.000416,0.001600,0.001184,0.000352,0.897379
0.416240,0.017665,0.202632,0.175239,0.048290,0.000608,0.013536,0.000384,0.001568,0.001152,0.000384,0.886594
0.415985,0.017728,0.221353,0.187688,0.048322,0.000640,0.013696,0.000384,0.001536,0.001056,0.000352,0.918596
0.416528,0.017793,0.202280,0.182759,0.048642,0.000608,0.013473,0.000384,0.001568,0.001120,0.000352,0.894403
0.415537,0.017728,0.202344,0.175079,0.048418,0.000608,0.013441,0.000448,0.001536,0.001216,0.000352,0.886115
0.415600,0.017473,0.202632,0.183847,0.048162,0.000608,0.013441,0.000416,0.001504,0.001184,0.000384,0.894147
0.415473,0.017537,0.202408,0.186535,0.048418,0.000608,0.013440,0.000384,0.001569,0.001120,0.000352,0.898212
0.415921,0.017792,0.202536,0.190152,0.048898,0.000608,0.013856,0.000416,0.001537,0.001312,0.000384,0.903236
0.415888,0.017344,0.202216,0.188552,0.048962,0.000608,0.013600,0.000384,0.001504,0.001312,0.000384,0.900931
0.416081,0.017729,0.219624,0.188392,0.048930,0.000672,0.013408,0.000416,0.001504,0.001248,0.000576,0.918020
0.415697,0.017281,0.202696,0.192327,0.049186,0.000640,0.013729,0.000384,0.001536,0.001280,0.000608,0.904068
0.415249,0.017696,0.202056,0.183591,0.048609,0.000672,0.013664,0.000384,0.001536,0.001216,0.000416,0.893827
0.415697,0.017857,0.202120,0.183335,0.048098,0.000608,0.013664,0.000416,0.001504,0.001216,0.000416,0.893828
0.416305,0.017920,0.202056,0.180776,0.048610,0.000640,0.013568,0.000384,0.001536,0.001184,0.000384,0.891971
0.415953,0.017728,0.202184,0.183784,0.048450,0.000608,0.013536,0.000352,0.001568,0.001088,0.000384,0.893987
0.416625,0.017409,0.202088,0.188391,0.048418,0.000640,0.013441,0.000384,0.001504,0.001216,0.000352,0.899876
0.433905,0.018017,0.202600,0.192327,0.049058,0.000608,0.013409,0.000416,0.001536,0.001152,0.000352,0.922884
0.416112,0.017441,0.203368,0.186471,0.048770,0.000608,0.013537,0.000384,0.001504,0.001120,0.000320,0.898467
0.415440,0.017952,0.202472,0.202312,0.048866,0.000640,0.013633,0.000416,0.001536,0.001152,0.000384,0.914980
0.415568,0.018081,0.202152,0.188935,0.064259,0.000736,0.013665,0.000480,0.001536,0.001056,0.000384,0.917892
