Layer[0],Layer[1],Layer[2],TEE[3-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.511476,0.017921,0.205928,0.209320,0.000960,0.013825,0.000384,0.001536,0.002528,0.000576,0.972902
0.418480,0.017793,0.203624,0.228393,0.001088,0.014304,0.000352,0.001472,0.001120,0.000320,0.894819
0.416176,0.017952,0.203304,0.250954,0.000736,0.014945,0.000384,0.001504,0.000864,0.000256,0.914564
0.430929,0.017825,0.202344,0.245993,0.000992,0.014913,0.000416,0.001504,0.001056,0.000352,0.924100
0.415569,0.017664,0.202087,0.229865,0.000832,0.014624,0.000384,0.001632,0.000992,0.000352,0.891235
0.415344,0.017793,0.201928,0.220264,0.000736,0.014273,0.000384,0.001568,0.000896,0.000384,0.880514
0.422288,0.017665,0.202440,0.261514,0.000800,0.015361,0.000384,0.001472,0.001280,0.000352,0.934949
0.416144,0.017601,0.202184,0.250474,0.000864,0.014560,0.000384,0.001569,0.001472,0.000352,0.914660
0.420944,0.017728,0.202696,0.245930,0.000736,0.014561,0.000352,0.001568,0.001312,0.000320,0.914308
0.420816,0.017568,0.202728,0.236777,0.000768,0.014112,0.000352,0.001568,0.001152,0.000352,0.904867
0.416784,0.017760,0.201960,0.237610,0.000768,0.014432,0.000384,0.001536,0.001248,0.000384,0.902211
0.420528,0.017761,0.202248,0.242538,0.000800,0.015712,0.000352,0.001504,0.001344,0.000384,0.911972
0.420368,0.017537,0.202376,0.247082,0.000800,0.014912,0.000416,0.001536,0.001088,0.000352,0.914628
0.420784,0.017569,0.222569,0.246570,0.000768,0.014560,0.000416,0.001440,0.001056,0.000352,0.934596
0.421329,0.017697,0.202120,0.243305,0.000736,0.014049,0.000384,0.001536,0.001056,0.000320,0.910628
0.421328,0.017473,0.202248,0.246409,0.000768,0.014784,0.000416,0.001536,0.001312,0.000384,0.914979
0.420688,0.017312,0.202216,0.232169,0.000736,0.014305,0.000384,0.001440,0.001248,0.000352,0.899587
0.415696,0.017569,0.202600,0.244138,0.000768,0.014048,0.000384,0.001376,0.001056,0.000352,0.906019
0.422064,0.017633,0.201960,0.238697,0.000769,0.014080,0.000320,0.001504,0.001056,0.000320,0.907203
0.420945,0.017505,0.201864,0.242601,0.000800,0.013985,0.000416,0.001472,0.001024,0.000320,0.909604
0.438609,0.017761,0.202632,0.239785,0.000768,0.014080,0.000384,0.001600,0.001120,0.000320,0.927140
0.415761,0.017408,0.202120,0.239850,0.000704,0.014048,0.000416,0.001537,0.001152,0.000352,0.901252
0.416144,0.017537,0.202632,0.246537,0.000704,0.014080,0.000448,0.001504,0.001088,0.000352,0.909955
0.416017,0.017632,0.202312,0.267723,0.000832,0.014081,0.000416,0.001472,0.001152,0.000384,0.930469
0.417008,0.017569,0.202920,0.228553,0.000800,0.013952,0.000416,0.001504,0.000992,0.000352,0.892227
0.420529,0.017473,0.202696,0.233193,0.000768,0.014016,0.000416,0.001504,0.001088,0.000384,0.900292
0.420913,0.017601,0.201799,0.232810,0.000704,0.013792,0.000448,0.001504,0.001024,0.000320,0.898755
0.435729,0.017729,0.202504,0.242954,0.000832,0.014208,0.000384,0.001504,0.001024,0.000352,0.926244
0.421297,0.017472,0.202440,0.242314,0.000704,0.013952,0.000384,0.001633,0.001088,0.000384,0.910276
0.415313,0.017601,0.201895,0.224265,0.000672,0.013825,0.000384,0.001568,0.001472,0.000352,0.885091
0.415312,0.017697,0.201992,0.262346,0.000736,0.014177,0.000352,0.001536,0.001088,0.000384,0.925220
0.416304,0.017505,0.202120,0.223369,0.000768,0.013760,0.000384,0.001537,0.000960,0.000352,0.884931
0.419888,0.017473,0.202280,0.220681,0.000896,0.014336,0.000352,0.001536,0.000928,0.000320,0.885986
0.415376,0.017729,0.201960,0.232841,0.000736,0.013792,0.000384,0.001505,0.000896,0.000288,0.892643
0.436497,0.017537,0.202216,0.240010,0.000704,0.013888,0.000352,0.001504,0.000928,0.000384,0.922980
0.420177,0.017504,0.201960,0.225641,0.000736,0.013729,0.000352,0.001504,0.000928,0.000384,0.890211
0.414352,0.017505,0.202152,0.232073,0.000736,0.013889,0.000416,0.001504,0.000992,0.000352,0.891395
0.420432,0.017825,0.202152,0.261674,0.000769,0.014208,0.000384,0.001440,0.001056,0.000384,0.931300
0.419120,0.017537,0.202664,0.233129,0.000768,0.014017,0.000352,0.001472,0.000992,0.000320,0.899267
0.420880,0.017537,0.202824,0.231817,0.000800,0.014113,0.000352,0.001504,0.001024,0.000352,0.898979
0.421232,0.017761,0.202824,0.249514,0.000736,0.014016,0.000352,0.001504,0.001120,0.000352,0.918820
0.434289,0.017760,0.202248,0.252938,0.000768,0.014017,0.000352,0.001536,0.000992,0.000352,0.934437
0.421072,0.017600,0.202312,0.235785,0.001249,0.014912,0.000384,0.001472,0.000992,0.000352,0.904515
0.420752,0.017697,0.202184,0.230505,0.000768,0.014113,0.000384,0.001472,0.000992,0.000224,0.897475
0.420817,0.017697,0.202024,0.274090,0.000832,0.014176,0.000512,0.001568,0.000992,0.000224,0.941477
0.416848,0.017473,0.202184,0.228521,0.000832,0.013984,0.000352,0.001441,0.000992,0.000320,0.891395
0.420433,0.017857,0.202184,0.231977,0.000800,0.013952,0.000416,0.001472,0.000960,0.000353,0.898116
0.416176,0.017472,0.203816,0.223977,0.000800,0.013857,0.000416,0.001440,0.000960,0.000320,0.887107
0.440018,0.017536,0.202152,0.232777,0.000800,0.014049,0.000384,0.001440,0.000896,0.000320,0.918084
0.416337,0.017472,0.202664,0.237610,0.000960,0.013856,0.000384,0.001408,0.000928,0.000352,0.899524
0.417649,0.017568,0.202312,0.230761,0.000736,0.014113,0.000352,0.001472,0.000992,0.000384,0.895715
0.416048,0.017633,0.202536,0.252522,0.000736,0.014656,0.000416,0.001440,0.000960,0.000352,0.915524
0.420208,0.017473,0.203368,0.232361,0.000896,0.013985,0.000352,0.001440,0.000960,0.000352,0.898499
0.421073,0.017505,0.201928,0.213160,0.000640,0.013921,0.000352,0.001472,0.000896,0.000352,0.879235
0.419153,0.017760,0.203720,0.266571,0.000736,0.014881,0.000544,0.001728,0.001952,0.000576,0.937797
0.441169,0.017697,0.202760,0.229513,0.000736,0.014017,0.000352,0.001504,0.000992,0.000384,0.918116
0.422288,0.017953,0.203624,0.256554,0.001056,0.015745,0.000640,0.001696,0.002400,0.000896,0.932932
0.417329,0.017505,0.202728,0.270698,0.000736,0.014753,0.000416,0.001472,0.001632,0.000576,0.937157
0.420881,0.017728,0.218153,0.243114,0.000768,0.014432,0.000288,0.001504,0.001088,0.000384,0.927108
0.416656,0.017856,0.202568,0.229193,0.000768,0.014465,0.000384,0.001440,0.001056,0.000352,0.893443
0.421200,0.017601,0.202152,0.246186,0.000864,0.014176,0.000352,0.001536,0.001025,0.000384,0.914148
0.420529,0.017504,0.204200,0.225193,0.000704,0.014049,0.000384,0.001536,0.001088,0.000352,0.893603
0.416080,0.017697,0.202184,0.232841,0.000704,0.013793,0.000384,0.001568,0.000992,0.000320,0.894147
0.421648,0.017537,0.202216,0.232649,0.001248,0.015361,0.000384,0.001440,0.000896,0.000352,0.901091
0.421969,0.017504,0.201800,0.233289,0.000736,0.014528,0.000448,0.001536,0.000992,0.000352,0.900995
0.420112,0.017729,0.220105,0.244425,0.000736,0.015585,0.000352,0.001504,0.000992,0.000352,0.929668
0.415889,0.017824,0.201735,0.245098,0.000768,0.014081,0.000352,0.001504,0.001056,0.000384,0.907300
0.421649,0.017792,0.202344,0.238858,0.000768,0.013888,0.000384,0.001537,0.001056,0.000352,0.907172
0.420816,0.017601,0.201928,0.238025,0.000736,0.014689,0.000352,0.001504,0.001088,0.000576,0.906243
0.420049,0.017601,0.201768,0.245097,0.000800,0.013889,0.000384,0.001472,0.001024,0.000384,0.911364
0.420977,0.017601,0.202568,0.228233,0.000736,0.014368,0.000352,0.001537,0.000960,0.000384,0.896292
0.421489,0.017472,0.202376,0.247530,0.000736,0.013953,0.000416,0.001472,0.000960,0.000352,0.914852
0.416272,0.017313,0.220712,0.241034,0.000768,0.013985,0.000416,0.001536,0.001024,0.000352,0.921764
0.420529,0.017473,0.201800,0.245801,0.000736,0.013985,0.000352,0.001440,0.001056,0.000352,0.911940
0.420400,0.017569,0.202600,0.244361,0.000736,0.014113,0.000352,0.001440,0.001024,0.000384,0.909955
0.420241,0.017697,0.202760,0.226153,0.000704,0.013888,0.000352,0.001472,0.001184,0.000352,0.891427
0.415472,0.017569,0.202120,0.232969,0.000800,0.014529,0.000352,0.001536,0.000896,0.000384,0.893795
0.415216,0.017729,0.202216,0.239337,0.000672,0.014241,0.000384,0.001440,0.000992,0.000352,0.899779
0.420464,0.017793,0.201896,0.222217,0.000864,0.014368,0.000417,0.001472,0.000992,0.000576,0.887651
0.420113,0.017633,0.217864,0.229961,0.000800,0.014049,0.000352,0.001568,0.001120,0.000352,0.911524
0.421232,0.017473,0.201832,0.230857,0.000800,0.014145,0.000384,0.001504,0.001024,0.000384,0.896419
0.415792,0.017825,0.202216,0.224649,0.000704,0.013793,0.000416,0.001472,0.001024,0.000384,0.885411
0.415665,0.017536,0.201736,0.233961,0.000736,0.014240,0.000352,0.001536,0.001088,0.000352,0.893859
0.415248,0.017728,0.202312,0.231017,0.000800,0.013857,0.000384,0.001376,0.000992,0.000352,0.891619
0.420592,0.017537,0.201832,0.231401,0.000736,0.013857,0.000384,0.001440,0.001024,0.000320,0.896547
0.420336,0.017505,0.201800,0.221993,0.000736,0.014304,0.000385,0.001472,0.000992,0.000320,0.887875
0.419952,0.017697,0.219369,0.234697,0.000768,0.013760,0.000384,0.001473,0.000928,0.000320,0.917156
0.416016,0.017601,0.201736,0.233993,0.000832,0.014017,0.000384,0.001440,0.000992,0.000352,0.895235
0.419985,0.017536,0.201800,0.223433,0.000736,0.014177,0.000384,0.001440,0.000896,0.000320,0.888195
0.421937,0.017601,0.201992,0.231337,0.000704,0.014304,0.000416,0.001441,0.001024,0.000352,0.900548
0.415920,0.017505,0.201864,0.235849,0.000768,0.013953,0.000384,0.001472,0.001088,0.000352,0.896899
0.420625,0.017505,0.202024,0.226088,0.000736,0.014368,0.000352,0.001440,0.001024,0.000384,0.892483
0.420849,0.017569,0.201864,0.226153,0.000768,0.013792,0.000320,0.001408,0.000992,0.000608,0.891523
0.416336,0.017345,0.220232,0.214121,0.000800,0.013920,0.000352,0.001440,0.000961,0.000320,0.893699
0.420497,0.017601,0.203272,0.227529,0.001248,0.016480,0.000384,0.001377,0.000928,0.000352,0.897668
0.419857,0.017537,0.201704,0.222440,0.000768,0.014145,0.000352,0.001440,0.000992,0.000384,0.887427
0.420081,0.017441,0.201960,0.224104,0.000832,0.013920,0.000416,0.001344,0.000896,0.000352,0.888515
0.438257,0.017505,0.202024,0.232265,0.000768,0.014145,0.000384,0.001440,0.000992,0.000352,0.916772
0.415824,0.017633,0.202440,0.226633,0.000864,0.014177,0.000352,0.001472,0.001120,0.000352,0.888195
0.417488,0.017569,0.204840,0.255114,0.000768,0.014529,0.000384,0.001408,0.001152,0.000384,0.923268
0.416336,0.017793,0.217929,0.303948,0.000832,0.014432,0.000352,0.001536,0.000928,0.000576,0.982246
0.415729,0.017696,0.202312,0.273291,0.000864,0.013985,0.000384,0.001408,0.000960,0.000384,0.933541
0.414992,0.017697,0.202568,0.235465,0.000832,0.014049,0.000384,0.001440,0.000800,0.000416,0.894915
0.415152,0.017665,0.202151,0.222952,0.000832,0.013921,0.000384,0.001472,0.000992,0.000352,0.882403
0.440402,0.017344,0.202088,0.217961,0.000768,0.013761,0.000384,0.001440,0.000832,0.000352,0.901988
0.414896,0.017632,0.202024,0.229385,0.000832,0.013633,0.000416,0.001440,0.000832,0.000320,0.889219
0.415888,0.017505,0.201928,0.255754,0.000768,0.014241,0.000352,0.001408,0.001024,0.000352,0.916900
0.415216,0.017633,0.201928,0.252298,0.000800,0.013760,0.000384,0.001504,0.000864,0.000352,0.913699
0.416273,0.018208,0.201960,0.239178,0.000736,0.014240,0.000352,0.001536,0.000864,0.000256,0.900740
0.416368,0.017569,0.201768,0.255018,0.000736,0.014241,0.000352,0.001504,0.000928,0.000576,0.917060
0.415664,0.017889,0.201768,0.289163,0.000896,0.013825,0.000384,0.001472,0.000864,0.000320,0.950437
0.429521,0.017504,0.201992,0.262123,0.000864,0.013824,0.000352,0.001536,0.001024,0.000256,0.938084
0.415536,0.017665,0.202056,0.220969,0.000832,0.013984,0.000384,0.001472,0.000864,0.000256,0.880930
0.415792,0.017377,0.201704,0.269386,0.000800,0.013600,0.000384,0.001536,0.000992,0.000576,0.929924
0.415664,0.017441,0.202120,0.262698,0.001184,0.014017,0.000416,0.001536,0.000896,0.000288,0.923332
0.415249,0.017184,0.201960,0.219625,0.000864,0.014272,0.000385,0.001504,0.001024,0.000224,0.878915
0.414608,0.017473,0.202280,0.225321,0.000736,0.013760,0.000352,0.001504,0.000768,0.000256,0.883715
0.415185,0.017472,0.202216,0.231433,0.000800,0.014337,0.000384,0.001504,0.000992,0.000256,0.892963
0.427697,0.017569,0.202024,0.228456,0.000800,0.013856,0.000352,0.001504,0.000800,0.000256,0.901475
0.417041,0.018016,0.202088,0.239754,0.001408,0.015297,0.000416,0.001472,0.000864,0.000320,0.905380
0.417584,0.017921,0.201992,0.229193,0.000704,0.014273,0.000352,0.001504,0.000928,0.000384,0.891939
0.416177,0.017633,0.201959,0.221512,0.000800,0.013985,0.000352,0.001440,0.000896,0.000352,0.882083
0.420849,0.017697,0.202216,0.218920,0.000800,0.013985,0.000384,0.001472,0.001024,0.000352,0.884899
0.416657,0.017825,0.202376,0.207176,0.001024,0.013888,0.000352,0.001472,0.000928,0.000320,0.869347
0.416432,0.017601,0.203176,0.233417,0.000992,0.014401,0.000384,0.001344,0.000832,0.000352,0.895939
0.418256,0.017696,0.218217,0.234633,0.001248,0.014369,0.000384,0.001568,0.000896,0.000416,0.917860
0.416400,0.017697,0.203048,0.235657,0.000928,0.014721,0.000416,0.001472,0.000960,0.000288,0.898851
0.417169,0.017569,0.201831,0.230186,0.000896,0.014208,0.000384,0.001536,0.000864,0.000384,0.892067
0.418352,0.017601,0.202600,0.234185,0.000736,0.014529,0.000352,0.001472,0.001088,0.000352,0.898307
0.419536,0.017985,0.203752,0.242762,0.000864,0.014464,0.000384,0.001568,0.001088,0.000385,0.912260
0.417456,0.017697,0.202152,0.242025,0.000896,0.015105,0.000416,0.001600,0.000960,0.000288,0.906243
0.417968,0.017473,0.203560,0.233609,0.001216,0.014241,0.000416,0.001536,0.000928,0.000288,0.899139
0.416400,0.017601,0.217704,0.230249,0.001184,0.015649,0.000384,0.001504,0.000928,0.000384,0.910307
0.417521,0.017440,0.202791,0.235114,0.000832,0.014784,0.000384,0.001760,0.000928,0.000352,0.899044
0.416432,0.017440,0.202312,0.220937,0.000896,0.014144,0.000384,0.001568,0.000960,0.000256,0.882371
0.415953,0.017632,0.202088,0.222793,0.000864,0.014369,0.000448,0.001536,0.001024,0.000352,0.884515
0.432529,0.017824,0.202472,0.231881,0.001024,0.014912,0.000544,0.001536,0.000864,0.000352,0.911427
0.416656,0.017729,0.202088,0.220969,0.000800,0.014432,0.000352,0.001536,0.000864,0.000224,0.882818
0.415952,0.017985,0.201800,0.237417,0.000800,0.014465,0.000384,0.001472,0.000768,0.000256,0.898563
0.419152,0.017761,0.203976,0.266378,0.000768,0.014304,0.000480,0.001568,0.001152,0.000352,0.935236
0.418449,0.017504,0.202568,0.234634,0.000896,0.014816,0.000384,0.001632,0.000960,0.000288,0.900099
0.417649,0.017536,0.202600,0.248234,0.000800,0.015073,0.000352,0.001536,0.000736,0.000288,0.911972
0.417200,0.017889,0.202376,0.258282,0.000896,0.014400,0.000352,0.001569,0.000960,0.000384,0.921636
0.444625,0.017568,0.202248,0.222313,0.000928,0.013793,0.000352,0.001472,0.000704,0.000320,0.911556
0.416528,0.017473,0.202312,0.220136,0.000832,0.014657,0.000384,0.001760,0.000928,0.000384,0.883010
0.415632,0.017665,0.202888,0.221385,0.000800,0.015776,0.000384,0.001632,0.000832,0.000353,0.884739
0.417809,0.017825,0.202280,0.248937,0.000864,0.014977,0.000448,0.001568,0.000832,0.000384,0.913476
