Layer[0],Layer[1],Layer[2],TEE[3-9],Layer[10],classifier
0.515380,0.017889,0.208552,0.290443,0.000961,1.041001
0.419472,0.017729,0.203880,0.271307,0.000768,0.921252
0.417297,0.017953,0.202439,0.282283,0.000736,0.926437
0.420912,0.017537,0.202504,0.271146,0.000768,0.921188
0.421137,0.017761,0.202439,0.261739,0.000768,0.911524
0.420593,0.017537,0.203656,0.268490,0.000736,0.918916
0.421136,0.017761,0.202728,0.278987,0.000864,0.927812
0.421136,0.017536,0.202600,0.249546,0.000736,0.898179
0.420561,0.017601,0.202728,0.276458,0.000704,0.925733
0.415760,0.017601,0.218888,0.275242,0.000704,0.935236
0.416080,0.017729,0.202312,0.262250,0.000704,0.905827
0.420016,0.017601,0.202344,0.271882,0.000736,0.919236
0.420817,0.017793,0.202215,0.294732,0.000640,0.942533
0.415793,0.017536,0.202088,0.277899,0.000704,0.921316
0.416176,0.017665,0.202120,0.262410,0.000704,0.905635
0.420208,0.017793,0.202152,0.272363,0.000736,0.919940
0.432753,0.017665,0.202504,0.265002,0.000768,0.925636
0.420497,0.017569,0.202216,0.261834,0.000736,0.909540
0.415953,0.018048,0.202248,0.274475,0.000832,0.919076
0.416592,0.017505,0.201928,0.281867,0.000800,0.925412
0.415632,0.017601,0.202248,0.248138,0.000736,0.890595
0.415792,0.017760,0.202184,0.256938,0.000736,0.899619
0.415792,0.017665,0.201992,0.268106,0.000736,0.910403
0.431697,0.017793,0.201960,0.251210,0.000608,0.909796
0.416176,0.017793,0.202152,0.254250,0.000800,0.897603
0.415888,0.018209,0.202056,0.255882,0.000672,0.898851
0.416080,0.017665,0.220521,0.258506,0.000704,0.920260
0.416112,0.017601,0.202120,0.258954,0.000672,0.901859
0.420304,0.017505,0.201960,0.265866,0.000768,0.913635
0.416400,0.017760,0.202184,0.265899,0.000736,0.909732
0.415824,0.017729,0.202440,0.270827,0.000800,0.914052
0.421169,0.017569,0.202056,0.259434,0.000736,0.907716
0.421457,0.017760,0.202407,0.270347,0.000736,0.918916
0.415664,0.017536,0.218057,0.270698,0.000640,0.928868
0.415697,0.017760,0.201928,0.266635,0.000672,0.908164
0.415760,0.017505,0.201928,0.261994,0.000832,0.904739
0.416176,0.017665,0.202632,0.265611,0.000768,0.909028
0.415953,0.017504,0.202120,0.265515,0.000608,0.907684
0.416848,0.017473,0.202376,0.260042,0.000768,0.905059
0.417168,0.017409,0.202216,0.279083,0.000736,0.923332
0.434353,0.017473,0.202184,0.269931,0.000704,0.932197
0.421168,0.017665,0.202120,0.267946,0.000673,0.915876
0.415825,0.017505,0.202023,0.269739,0.000672,0.912196
0.415536,0.017664,0.202408,0.293964,0.000832,0.936453
0.415888,0.017569,0.202184,0.258602,0.000672,0.901155
0.416528,0.017601,0.202120,0.270250,0.000736,0.913219
0.415888,0.017697,0.202248,0.260202,0.000832,0.903523
0.432561,0.017505,0.202408,0.270922,0.000672,0.930788
0.415889,0.017504,0.202408,0.250570,0.000768,0.894083
0.415952,0.017665,0.201992,0.269610,0.000608,0.912004
0.415824,0.017505,0.202024,0.302092,0.000768,0.944165
0.416848,0.017953,0.202472,0.254346,0.000832,0.898819
0.416336,0.017537,0.201992,0.253066,0.000800,0.895523
0.420049,0.017728,0.202088,0.267595,0.000704,0.914020
0.445458,0.017568,0.202408,0.260875,0.000768,0.932709
0.415473,0.017760,0.202408,0.257290,0.000705,0.899972
0.415953,0.017536,0.202888,0.269099,0.000768,0.912164
0.415792,0.017601,0.218153,0.269418,0.000768,0.929444
0.415985,0.017728,0.202120,0.272107,0.000704,0.915364
0.416560,0.017568,0.202536,0.268171,0.000800,0.912260
0.415408,0.017537,0.202344,0.265866,0.000768,0.908323
0.415856,0.017473,0.202280,0.254218,0.000800,0.897091
0.415600,0.017761,0.203464,0.264906,0.000640,0.908707
0.415856,0.017729,0.202600,0.263434,0.000736,0.906115
0.415824,0.017601,0.233897,0.257930,0.000736,0.932164
0.417521,0.017760,0.202471,0.267691,0.000800,0.912356
0.415728,0.017761,0.202184,0.258186,0.000736,0.900579
0.415984,0.017537,0.202216,0.273482,0.000768,0.917636
0.416561,0.017729,0.202247,0.275211,0.000800,0.919940
0.420337,0.017601,0.202184,0.269322,0.000800,0.916452
0.419985,0.017472,0.202055,0.253546,0.000832,0.899843
0.431408,0.017472,0.202440,0.255882,0.000640,0.913860
0.415472,0.017504,0.202184,0.268171,0.000672,0.910372
0.415473,0.017632,0.202312,0.258602,0.000640,0.900900
0.415824,0.017601,0.202408,0.274218,0.000704,0.917444
0.415792,0.017569,0.202216,0.269419,0.000672,0.911460
0.416048,0.017505,0.202920,0.257514,0.000736,0.900995
0.415504,0.017569,0.202312,0.266474,0.000640,0.909603
0.434001,0.017729,0.201992,0.273098,0.000768,0.934148
0.416145,0.017408,0.201992,0.262219,0.000672,0.904484
0.415792,0.017633,0.201960,0.257962,0.000672,0.900451
0.415953,0.017568,0.202120,0.290572,0.000832,0.933093
0.420272,0.017568,0.201992,0.267531,0.000768,0.914084
0.416400,0.017568,0.202088,0.262826,0.000640,0.905732
0.415952,0.017889,0.202344,0.267915,0.000640,0.911172
0.435409,0.017505,0.202023,0.255466,0.000864,0.918020
0.415537,0.018272,0.202248,0.265419,0.000704,0.908900
0.416048,0.017665,0.202472,0.256778,0.000736,0.901091
0.416368,0.017537,0.202248,0.280939,0.000768,0.924964
0.419665,0.017505,0.203784,0.248969,0.000864,0.897539
0.415728,0.017504,0.202408,0.261578,0.000704,0.905444
0.420049,0.017824,0.202088,0.261675,0.000736,0.908708
0.435601,0.017888,0.202056,0.275819,0.000736,0.938405
0.418896,0.017857,0.202056,0.268171,0.000640,0.913828
0.421009,0.017600,0.202216,0.271883,0.000864,0.920356
0.415536,0.017633,0.221289,0.265418,0.000672,0.927460
0.420016,0.017633,0.202376,0.263210,0.000640,0.910595
0.415824,0.018625,0.202344,0.269290,0.000896,0.914467
0.420048,0.017536,0.202856,0.273003,0.000768,0.921476
0.419120,0.017697,0.202248,0.272331,0.000736,0.919012
0.414352,0.018113,0.202056,0.269739,0.000736,0.911236
0.414416,0.018145,0.202088,0.259562,0.000832,0.901251
0.436369,0.017569,0.202152,0.272139,0.000736,0.936677
0.415728,0.017664,0.202248,0.292492,0.001024,0.940357
0.420305,0.017632,0.202312,0.271019,0.000736,0.919364
0.415665,0.017601,0.202600,0.293643,0.000864,0.938021
0.419153,0.017504,0.202120,0.260203,0.000704,0.907940
0.420112,0.017793,0.202184,0.258186,0.000928,0.906659
0.419760,0.018816,0.202024,0.284075,0.000801,0.932805
0.434481,0.018241,0.202728,0.272554,0.000800,0.935941
0.420016,0.018145,0.202472,0.270411,0.000736,0.918788
0.419729,0.018401,0.202248,0.272202,0.000704,0.920548
0.420017,0.018400,0.222025,0.297644,0.000768,0.966502
0.415536,0.018401,0.201992,0.272266,0.000833,0.915940
0.420080,0.017537,0.202024,0.260394,0.000704,0.907747
0.419729,0.018497,0.202184,0.272522,0.000704,0.921220
0.415377,0.018496,0.202311,0.269067,0.000800,0.913188
0.415505,0.018432,0.202088,0.261803,0.000800,0.906884
0.420593,0.018272,0.203240,0.273483,0.000736,0.924068
0.435185,0.018337,0.202888,0.279019,0.000704,0.944005
0.419761,0.018336,0.202056,0.246314,0.000640,0.893795
0.415728,0.018368,0.201864,0.268971,0.000704,0.911940
0.420016,0.018209,0.202120,0.272843,0.000864,0.922180
0.419984,0.017697,0.202248,0.266570,0.000737,0.914148
0.419793,0.017761,0.202984,0.246921,0.000608,0.895267
0.419633,0.018336,0.202184,0.268107,0.000800,0.915940
0.432561,0.018401,0.202856,0.314860,0.000704,0.977478
0.415953,0.018273,0.202216,0.248841,0.000672,0.893571
0.415761,0.017601,0.202152,0.273642,0.000896,0.917380
0.420273,0.017729,0.220360,0.269387,0.000672,0.934661
0.415664,0.017793,0.201960,0.254730,0.000640,0.897251
0.415504,0.017473,0.202184,0.266026,0.000736,0.907716
0.419889,0.017441,0.202216,0.261034,0.000768,0.907428
0.415792,0.017889,0.202184,0.264266,0.000672,0.907556
0.415440,0.017377,0.201992,0.264554,0.000672,0.905924
0.420464,0.018113,0.203368,0.262922,0.000704,0.911140
0.416273,0.017760,0.225097,0.278443,0.000704,0.943717
0.419952,0.017441,0.202280,0.277227,0.000608,0.924804
0.415889,0.017536,0.202536,0.263115,0.000736,0.906948
0.420177,0.017729,0.202472,0.254282,0.000704,0.902212
0.420496,0.017761,0.202248,0.278635,0.000672,0.927044
0.416177,0.017664,0.202408,0.294412,0.000704,0.937477
0.415536,0.017697,0.202920,0.252138,0.000672,0.894211
0.432689,0.017569,0.202312,0.272299,0.000800,0.932453
0.415248,0.017601,0.204744,0.238281,0.000705,0.882499
0.419921,0.017793,0.202536,0.267306,0.000576,0.913924
0.415440,0.017536,0.202216,0.267499,0.000608,0.908804
0.416496,0.017889,0.202120,0.272426,0.000608,0.916803
0.416336,0.017825,0.202312,0.264490,0.000864,0.907843
0.419920,0.017505,0.202088,0.255370,0.000768,0.901539
0.431665,0.017633,0.202152,0.284299,0.000704,0.941893
0.419792,0.017537,0.202056,0.256234,0.000576,0.901795
0.420081,0.017249,0.202152,0.267914,0.000672,0.913988
0.415825,0.020865,0.202215,0.305772,0.000801,0.951942
0.420305,0.017568,0.202088,0.268619,0.000768,0.915556
0.415696,0.017697,0.202056,0.264938,0.000800,0.907171
0.416144,0.017505,0.202696,0.264650,0.000800,0.908195
0.437937,0.017665,0.202312,0.271786,0.000768,0.937540
0.421328,0.017728,0.202344,0.242794,0.000672,0.890595
0.420689,0.017633,0.203400,0.266698,0.000672,0.915172
0.419888,0.017665,0.202056,0.274123,0.000736,0.920292
0.419825,0.017760,0.201896,0.264907,0.000768,0.910628
0.415569,0.017601,0.202535,0.260586,0.000704,0.903844
0.421392,0.017825,0.202152,0.268427,0.000768,0.916196
0.434673,0.017633,0.202376,0.266570,0.000704,0.929285
0.415408,0.017249,0.201960,0.257674,0.000704,0.898947
0.416784,0.017665,0.203752,0.281387,0.000864,0.929348
0.420144,0.017921,0.202792,0.279275,0.000800,0.928420
0.416113,0.017376,0.202376,0.255722,0.000737,0.899332
0.419217,0.017569,0.202183,0.261515,0.000704,0.908196
0.416113,0.017665,0.204264,0.260906,0.000704,0.906468
0.432849,0.017665,0.202184,0.246281,0.000704,0.905764
0.416080,0.017921,0.202344,0.271370,0.000736,0.914115
0.420464,0.017761,0.202120,0.250698,0.000640,0.897123
0.416464,0.017857,0.201992,0.288075,0.000736,0.930500
0.416240,0.017473,0.201896,0.240489,0.000768,0.882083
0.420016,0.017793,0.202024,0.267210,0.000768,0.914436
0.415760,0.017761,0.202568,0.267338,0.000832,0.910820
0.430961,0.018305,0.202824,0.263594,0.000832,0.923556
