Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.533429,0.018017,0.206792,0.005056,0.215049,0.001088,0.003136,0.002560,0.000608,0.996743
0.419728,0.017569,0.203816,0.005184,0.275083,0.000992,0.003968,0.001152,0.000320,0.938084
0.417937,0.017536,0.203624,0.005249,0.280171,0.000736,0.002272,0.001216,0.000352,0.935909
0.418480,0.017505,0.202760,0.005344,0.239241,0.000832,0.004001,0.000992,0.000416,0.897699
0.416977,0.017473,0.234185,0.005216,0.241065,0.000768,0.001920,0.001216,0.000352,0.926981
0.418897,0.017312,0.202408,0.005313,0.254634,0.000800,0.003072,0.000800,0.000352,0.913188
0.416177,0.017537,0.202568,0.005248,0.249930,0.000672,0.002208,0.000960,0.000448,0.903812
0.416464,0.017505,0.203240,0.005344,0.251786,0.000864,0.003616,0.000736,0.000384,0.909827
0.416624,0.017665,0.203368,0.005312,0.236713,0.000800,0.001920,0.000801,0.000352,0.891299
0.421617,0.017633,0.203272,0.005472,0.246666,0.000704,0.002240,0.000928,0.000416,0.908036
0.423952,0.017440,0.202408,0.005248,0.262667,0.000672,0.002048,0.001280,0.000384,0.925092
0.434449,0.017601,0.202568,0.005248,0.259754,0.000673,0.002112,0.001248,0.000352,0.932645
0.418320,0.017441,0.202408,0.005216,0.263338,0.000705,0.002048,0.001088,0.000384,0.920324
0.417104,0.017505,0.202760,0.005248,0.254762,0.000704,0.002240,0.001216,0.000384,0.910467
0.418064,0.017697,0.202280,0.005312,0.281675,0.000896,0.002240,0.001216,0.000384,0.937957
0.416560,0.017569,0.202344,0.005344,0.250090,0.000736,0.002240,0.001248,0.000416,0.904835
0.417649,0.017696,0.202760,0.005249,0.263306,0.000736,0.002112,0.001184,0.000352,0.919268
0.421616,0.017473,0.202344,0.005440,0.255786,0.000640,0.002208,0.001216,0.000352,0.915363
0.436337,0.017665,0.203304,0.005344,0.261834,0.000768,0.002112,0.001344,0.000384,0.938084
0.416176,0.017729,0.203208,0.005184,0.264011,0.000736,0.002240,0.001184,0.000384,0.919876
0.416656,0.017729,0.202568,0.005248,0.252618,0.000768,0.002208,0.001248,0.000416,0.907651
0.416177,0.017600,0.216841,0.005216,0.268811,0.000672,0.002304,0.001088,0.000384,0.937733
0.415984,0.017889,0.202248,0.005248,0.259818,0.000768,0.002240,0.001184,0.000385,0.914276
0.417040,0.017504,0.202344,0.005280,0.257130,0.000704,0.002240,0.001440,0.000384,0.913444
0.417009,0.017728,0.202120,0.005217,0.262730,0.000672,0.002144,0.001152,0.000384,0.916964
0.416848,0.017665,0.202472,0.005248,0.267594,0.000737,0.002240,0.001216,0.000416,0.922980
0.417648,0.017857,0.202024,0.005312,0.252906,0.000800,0.002272,0.001152,0.000416,0.908259
0.418352,0.017473,0.202248,0.005248,0.252234,0.000736,0.002016,0.001344,0.000384,0.908451
0.420689,0.017504,0.217992,0.005312,0.272363,0.000800,0.002144,0.001056,0.000352,0.947877
0.422256,0.017537,0.202312,0.005312,0.256682,0.000704,0.001952,0.001120,0.000416,0.916196
0.416113,0.017505,0.202152,0.005248,0.246185,0.000704,0.002144,0.001056,0.000384,0.899620
0.417296,0.017633,0.202536,0.005280,0.257738,0.000672,0.002016,0.001184,0.000384,0.912035
0.417424,0.017440,0.202440,0.005216,0.256074,0.000704,0.001984,0.001024,0.000384,0.910532
0.420848,0.017504,0.202184,0.005280,0.246570,0.000704,0.002080,0.001216,0.000384,0.905603
0.424112,0.017505,0.202312,0.005216,0.255626,0.000704,0.002112,0.001088,0.000385,0.917284
0.439025,0.017537,0.202312,0.005312,0.272779,0.000736,0.002688,0.001152,0.000384,0.949989
0.421456,0.017633,0.202376,0.005312,0.246378,0.000704,0.002048,0.001088,0.000352,0.905571
0.421425,0.017537,0.202728,0.005280,0.265354,0.000736,0.002017,0.001088,0.000416,0.924805
0.416656,0.017697,0.202216,0.005280,0.300812,0.000736,0.002112,0.001120,0.000416,0.955109
