Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-8],Layer[9],Layer[10],classifier
1.206160,0.017889,0.683898,0.005153,0.569366,0.003232,0.000704,2.577605
0.418608,0.017601,0.203560,0.005024,0.259274,0.001984,0.000608,0.914916
0.416369,0.017312,0.220265,0.005248,0.254410,0.001280,0.000352,0.922148
0.415984,0.017441,0.202504,0.004864,0.244106,0.001472,0.000384,0.894243
0.415760,0.017345,0.202568,0.004800,0.249034,0.001408,0.000384,0.898339
0.415888,0.017537,0.202472,0.004864,0.246506,0.001408,0.000352,0.896483
0.415760,0.017697,0.202728,0.004864,0.246410,0.001312,0.000384,0.899075
0.416784,0.017729,0.202504,0.004800,0.247626,0.001504,0.000384,0.899203
0.415664,0.017441,0.202760,0.004800,0.247786,0.001376,0.000384,0.897379
0.431409,0.017601,0.203144,0.005024,0.258378,0.001472,0.000416,0.927108
0.415985,0.017760,0.202504,0.005025,0.257578,0.001440,0.000416,0.907812
0.415569,0.017600,0.202504,0.004865,0.263018,0.001408,0.000384,0.912548
0.415888,0.017697,0.202152,0.004864,0.285803,0.001440,0.000352,0.935876
0.415888,0.017473,0.202568,0.004864,0.243497,0.001184,0.000289,0.893443
0.416336,0.017441,0.203016,0.004800,0.284683,0.001280,0.000384,0.935685
0.415824,0.017473,0.202056,0.004800,0.252042,0.001408,0.000352,0.901315
0.434289,0.017792,0.202408,0.004865,0.249545,0.001248,0.000384,0.917123
0.415600,0.017761,0.201832,0.004832,0.267530,0.001248,0.000384,0.916803
0.417360,0.017824,0.201800,0.005088,0.251274,0.001280,0.000384,0.902691
0.415472,0.017537,0.202376,0.005024,0.273707,0.001568,0.000416,0.925124
0.416656,0.017953,0.202152,0.004832,0.251594,0.001376,0.000352,0.902115
0.416368,0.017921,0.202184,0.004896,0.261002,0.001536,0.000352,0.911363
0.416368,0.017377,0.201576,0.004832,0.248170,0.001312,0.000288,0.896579
0.435761,0.017793,0.202408,0.004896,0.256106,0.001504,0.000320,0.925764
0.415824,0.017761,0.202280,0.004832,0.264746,0.001728,0.000416,0.915267
0.416144,0.017857,0.201832,0.004864,0.261866,0.001280,0.000384,0.911715
0.416016,0.017729,0.220200,0.005153,0.267306,0.001248,0.000352,0.935396
0.415600,0.017889,0.201448,0.004832,0.252810,0.001280,0.000384,0.901283
0.415856,0.017249,0.202056,0.005024,0.265066,0.001536,0.000384,0.913731
0.415760,0.017921,0.202120,0.005088,0.257770,0.001504,0.000352,0.909155
0.416272,0.017696,0.202952,0.004832,0.264939,0.001408,0.000352,0.916676
0.415857,0.017920,0.202600,0.004993,0.257194,0.001376,0.000384,0.908132
0.416017,0.017697,0.202151,0.005025,0.262058,0.001344,0.000352,0.911940
0.416273,0.017472,0.222793,0.005152,0.291628,0.001376,0.000352,0.962406
0.415825,0.017760,0.201864,0.004864,0.244522,0.001216,0.000384,0.894339
0.416240,0.017953,0.201992,0.004832,0.257482,0.001536,0.000384,0.908227
0.416016,0.017665,0.203944,0.004832,0.263018,0.001536,0.000384,0.913859
0.416784,0.017473,0.201992,0.004992,0.265098,0.001312,0.000384,0.915587
0.416080,0.017601,0.202632,0.004864,0.243530,0.001440,0.000416,0.895843
