Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-9],Layer[10],classifier
0.534325,0.018177,0.207304,0.004896,0.228105,0.000992,1.000712
0.422225,0.017601,0.204616,0.005184,0.265163,0.000736,0.926149
0.416656,0.017761,0.203848,0.005280,0.250794,0.000640,0.901379
0.416528,0.017729,0.204520,0.004832,0.251370,0.000576,0.901507
0.435249,0.017665,0.202888,0.004864,0.253674,0.000704,0.921764
0.416336,0.017601,0.203176,0.004832,0.224969,0.000704,0.872450
0.420592,0.017473,0.203784,0.004864,0.285227,0.000704,0.939941
0.416880,0.017825,0.203368,0.004832,0.254474,0.000800,0.903971
0.416080,0.017665,0.202376,0.004896,0.254570,0.000672,0.901699
0.415601,0.017504,0.202312,0.004833,0.230313,0.000480,0.876067
0.416016,0.017248,0.202504,0.004832,0.246314,0.000640,0.893283
0.436113,0.017504,0.202600,0.004864,0.263691,0.000672,0.932229
0.415888,0.017441,0.202472,0.004832,0.254410,0.000640,0.901571
0.415088,0.017281,0.203048,0.004832,0.268171,0.000608,0.914564
0.415280,0.017248,0.203528,0.004832,0.248874,0.000608,0.895523
0.420080,0.020864,0.202376,0.004832,0.246313,0.000608,0.900867
0.420177,0.017280,0.202632,0.004833,0.250825,0.000640,0.902404
0.415248,0.017377,0.202504,0.004832,0.251434,0.000768,0.896963
0.420465,0.017441,0.221352,0.004960,0.265195,0.000704,0.936005
0.416528,0.017377,0.202504,0.004800,0.237769,0.000608,0.884930
0.416816,0.017249,0.202824,0.004896,0.272363,0.000704,0.923748
0.415536,0.017569,0.202248,0.004960,0.225577,0.000672,0.871746
0.438609,0.017312,0.202696,0.004769,0.284107,0.000672,0.953797
0.415185,0.017376,0.202600,0.004800,0.226440,0.000544,0.872226
0.414992,0.017249,0.203080,0.004896,0.250122,0.000576,0.896323
0.420145,0.017312,0.219433,0.004896,0.247850,0.000576,0.916132
0.420305,0.017216,0.202664,0.004865,0.254697,0.000640,0.906084
0.415345,0.017408,0.202376,0.004832,0.220553,0.000640,0.866082
0.420337,0.017377,0.202792,0.004864,0.253994,0.000640,0.905604
0.432977,0.017633,0.202312,0.004800,0.253130,0.000640,0.917124
0.416656,0.017344,0.204200,0.004832,0.249770,0.000672,0.899971
0.415952,0.018785,0.202920,0.004800,0.249578,0.000576,0.897475
0.416016,0.017377,0.204136,0.004864,0.254698,0.000704,0.903395
0.415696,0.017217,0.202376,0.004896,0.244490,0.000576,0.890115
0.415793,0.017920,0.202376,0.004897,0.263978,0.000704,0.911044
0.415792,0.017409,0.202440,0.004896,0.247722,0.000576,0.894083
0.439889,0.017569,0.202312,0.004832,0.256298,0.000704,0.927364
0.415568,0.017505,0.202408,0.004928,0.257482,0.000608,0.903235
0.415921,0.017504,0.202215,0.004833,0.249225,0.000576,0.895652
0.415568,0.017249,0.202728,0.004800,0.246505,0.000608,0.892866
0.420433,0.017345,0.202696,0.004864,0.262122,0.000576,0.914404
0.415312,0.017569,0.202664,0.004832,0.224361,0.000544,0.870466
0.416016,0.017312,0.202376,0.004832,0.252778,0.000640,0.899747
0.415825,0.017344,0.219625,0.005056,0.227465,0.000640,0.891555
0.415408,0.017377,0.204904,0.004800,0.243658,0.000608,0.892163
0.419888,0.017409,0.203208,0.004864,0.241226,0.000640,0.892355
0.415185,0.017440,0.202312,0.004929,0.248969,0.000704,0.894883
0.437713,0.017409,0.202248,0.004864,0.249674,0.000704,0.918212
0.415793,0.017120,0.202280,0.004769,0.253226,0.000576,0.899140
0.415600,0.017089,0.203528,0.004864,0.224617,0.000576,0.870882
0.416400,0.017281,0.203112,0.004896,0.288875,0.000608,0.938148
0.415504,0.017185,0.202344,0.004864,0.251498,0.000768,0.897475
0.420112,0.017441,0.202088,0.004832,0.261578,0.000576,0.911971
0.415856,0.017217,0.202152,0.004928,0.267018,0.000544,0.912516
0.433745,0.017313,0.202472,0.004864,0.259050,0.000704,0.923940
0.415377,0.017665,0.202247,0.004801,0.240425,0.000608,0.886563
0.415472,0.017217,0.202312,0.004832,0.245737,0.000608,0.891459
0.416272,0.017249,0.202536,0.004832,0.302220,0.000608,0.949157
0.420465,0.017441,0.202568,0.004896,0.233417,0.000608,0.884931
0.419793,0.017344,0.202248,0.004832,0.250442,0.000576,0.900707
0.421424,0.017505,0.203304,0.004800,0.261866,0.000609,0.917828
0.430800,0.017537,0.202728,0.005024,0.248202,0.000608,0.910147
0.420720,0.017505,0.202408,0.004800,0.256714,0.000640,0.908675
0.415504,0.017345,0.202120,0.004768,0.265611,0.000576,0.910788
0.420017,0.017216,0.201992,0.004832,0.254282,0.000608,0.904676
0.416048,0.017345,0.202248,0.004864,0.281323,0.000704,0.927396
0.415280,0.017409,0.203303,0.004768,0.256746,0.000608,0.903427
0.415312,0.017345,0.202056,0.004864,0.236554,0.000640,0.881475
0.420305,0.017184,0.232265,0.005057,0.238153,0.000704,0.919940
0.415600,0.017185,0.202856,0.004832,0.251786,0.000544,0.897699
0.416112,0.017505,0.202504,0.004832,0.258794,0.000736,0.909955
0.420400,0.017729,0.202824,0.004896,0.242825,0.000640,0.895139
0.420432,0.017249,0.202312,0.004864,0.254058,0.000672,0.905347
0.416016,0.017409,0.202280,0.004832,0.213545,0.000608,0.859810
0.416304,0.017537,0.202952,0.004864,0.252906,0.000928,0.900963
0.415568,0.017345,0.202760,0.004864,0.278251,0.000736,0.924484
0.415824,0.017249,0.202408,0.004864,0.241930,0.000608,0.888515
0.415633,0.017216,0.202855,0.004833,0.267850,0.000672,0.915844
0.416240,0.017408,0.202376,0.004864,0.252042,0.000640,0.898979
0.436817,0.017825,0.203304,0.004864,0.288107,0.000608,0.958277
0.415952,0.019265,0.203528,0.004800,0.246346,0.000672,0.896355
0.415536,0.017441,0.202536,0.004864,0.245898,0.000544,0.892675
0.416240,0.017440,0.202568,0.004832,0.273099,0.000704,0.920388
0.416048,0.017441,0.202920,0.004864,0.248298,0.000544,0.895459
0.415536,0.017857,0.202632,0.004832,0.258314,0.000800,0.905987
0.415856,0.017633,0.202024,0.004800,0.257738,0.000736,0.904291
0.429681,0.017409,0.202696,0.004800,0.256650,0.000640,0.917124
0.414865,0.017376,0.202152,0.004864,0.234314,0.000640,0.879619
0.415504,0.017281,0.202440,0.004800,0.246090,0.000576,0.891747
0.415920,0.017761,0.202184,0.004800,0.273195,0.000608,0.921732
0.416848,0.017441,0.203656,0.004864,0.262826,0.000609,0.914692
0.414832,0.017473,0.202664,0.004896,0.258186,0.000640,0.905027
0.416241,0.017600,0.202088,0.004800,0.237130,0.000608,0.883971
0.446226,0.017441,0.202728,0.004864,0.262634,0.000576,0.940581
0.415120,0.017857,0.202184,0.004832,0.249962,0.000576,0.896067
0.415600,0.017537,0.202280,0.004832,0.267179,0.000672,0.913828
0.416720,0.017216,0.202696,0.004800,0.273835,0.000576,0.921572
0.415792,0.017633,0.202920,0.004768,0.243305,0.000576,0.890690
0.419888,0.017889,0.202408,0.004832,0.234505,0.000544,0.885730
0.416209,0.017504,0.202152,0.004800,0.238794,0.000576,0.885571
0.438386,0.017632,0.202408,0.004833,0.260874,0.000704,0.931365
0.419665,0.017441,0.202312,0.004864,0.242281,0.000704,0.893027
0.415280,0.017217,0.202856,0.004832,0.267211,0.000544,0.912964
0.416272,0.018081,0.202312,0.004800,0.280267,0.000608,0.927684
0.415985,0.020929,0.202407,0.004801,0.259466,0.000640,0.909188
0.415984,0.017217,0.202216,0.004832,0.239465,0.000640,0.886147
0.415249,0.017536,0.202344,0.004801,0.276778,0.000608,0.922181
0.415536,0.017249,0.218697,0.004896,0.258186,0.000640,0.920932
0.426577,0.017409,0.202056,0.004832,0.244586,0.000672,0.901508
0.420432,0.017313,0.202856,0.004832,0.263339,0.000640,0.915012
0.415376,0.017441,0.202247,0.004865,0.259914,0.000608,0.905923
0.420176,0.017441,0.202760,0.004832,0.253706,0.000544,0.905635
0.414992,0.017633,0.202440,0.004832,0.236457,0.000704,0.882530
0.415408,0.017441,0.202088,0.004800,0.250186,0.000608,0.895747
0.415697,0.017472,0.214441,0.004864,0.214536,0.000608,0.872739
0.415281,0.017504,0.202312,0.004864,0.248074,0.000672,0.894275
0.415633,0.017376,0.202248,0.004865,0.255370,0.000672,0.900868
0.420112,0.017217,0.202088,0.004800,0.249002,0.000608,0.899203
0.434161,0.017473,0.202088,0.004832,0.276331,0.000736,0.941477
0.416017,0.017504,0.203560,0.004833,0.262634,0.000640,0.914884
0.415825,0.017441,0.202631,0.004833,0.239049,0.000544,0.886307
0.421041,0.017472,0.202600,0.004833,0.274378,0.000608,0.927364
0.416273,0.017568,0.201992,0.004801,0.247177,0.000640,0.894019
0.420305,0.017441,0.201927,0.004833,0.254666,0.000640,0.905220
0.415664,0.017377,0.201800,0.004864,0.274443,0.000704,0.919588
0.432049,0.017505,0.201896,0.004800,0.266058,0.000672,0.928613
0.415312,0.017632,0.201928,0.004768,0.249002,0.000480,0.893955
0.420657,0.017664,0.204456,0.004833,0.255274,0.000640,0.908868
0.415376,0.017473,0.202344,0.004896,0.258602,0.000672,0.905571
0.415376,0.017409,0.202248,0.004896,0.252714,0.000672,0.901411
0.415569,0.017600,0.202440,0.005024,0.241994,0.000640,0.888675
0.420400,0.017665,0.202120,0.004832,0.247434,0.000736,0.898820
0.431409,0.017472,0.201960,0.004864,0.228553,0.000672,0.890434
0.419984,0.017217,0.202408,0.004800,0.236841,0.000609,0.887267
0.415152,0.017505,0.202376,0.004832,0.232745,0.000512,0.878370
0.415377,0.017504,0.203944,0.004801,0.242153,0.000608,0.889603
0.415408,0.017313,0.202024,0.004832,0.228809,0.000672,0.874530
0.420368,0.017217,0.202728,0.004800,0.249002,0.000608,0.900355
0.415921,0.017344,0.201672,0.004833,0.276298,0.000544,0.921700
0.420945,0.017697,0.233001,0.005120,0.258762,0.000672,0.944869
0.420913,0.017408,0.203208,0.004768,0.229833,0.000640,0.882467
0.420721,0.017313,0.202920,0.004800,0.251050,0.000576,0.903076
0.416400,0.017569,0.203272,0.004800,0.251210,0.000608,0.899555
0.436625,0.017568,0.202408,0.004800,0.253546,0.000608,0.921316
0.415760,0.017377,0.202184,0.004864,0.248393,0.000640,0.894595
0.415824,0.017345,0.202248,0.004832,0.238121,0.000544,0.884354
0.419825,0.017409,0.201928,0.004768,0.271786,0.000609,0.921637
0.420784,0.017217,0.202056,0.004768,0.242954,0.000608,0.893795
0.420529,0.017121,0.202696,0.004800,0.249866,0.000640,0.901444
0.415760,0.017665,0.202632,0.004864,0.253578,0.000608,0.903395
0.438993,0.017729,0.202632,0.004832,0.252650,0.000704,0.923556
0.415568,0.017313,0.202536,0.004832,0.241066,0.000576,0.887459
0.419984,0.017409,0.202504,0.004832,0.233321,0.000576,0.883587
0.415568,0.017345,0.202888,0.004800,0.272587,0.000608,0.919460
0.421329,0.017408,0.202088,0.004833,0.229577,0.000608,0.881219
0.420080,0.017217,0.202536,0.004864,0.232617,0.000544,0.883490
0.415312,0.017249,0.202216,0.004864,0.237642,0.000640,0.883203
0.433969,0.017377,0.202408,0.004768,0.240074,0.000704,0.904900
0.414864,0.017185,0.202184,0.004800,0.230377,0.000576,0.875714
0.421808,0.017536,0.204328,0.004864,0.252330,0.000640,0.908835
0.420880,0.017408,0.203016,0.005440,0.241674,0.000608,0.894371
0.420080,0.017441,0.202952,0.004832,0.235561,0.000608,0.887107
0.420016,0.017249,0.202792,0.004896,0.230089,0.000544,0.880738
0.415729,0.017248,0.202504,0.004897,0.234185,0.000672,0.880771
0.422097,0.017408,0.218761,0.004960,0.240266,0.000608,0.909828
0.415600,0.017281,0.202312,0.004800,0.231145,0.000640,0.876962
0.416177,0.017217,0.202247,0.004833,0.239049,0.000608,0.885411
0.415728,0.017440,0.202728,0.004800,0.238634,0.000640,0.885315
0.433201,0.017441,0.201832,0.004800,0.262411,0.000704,0.925797
0.417873,0.018528,0.205320,0.005377,0.257386,0.000608,0.913604
0.421360,0.018048,0.203304,0.005216,0.244106,0.000608,0.898179
0.416176,0.018113,0.202472,0.005280,0.251466,0.000640,0.899651
0.420592,0.017281,0.202600,0.004864,0.244970,0.000672,0.896451
0.419952,0.017217,0.202344,0.004864,0.265706,0.000576,0.916228
0.415408,0.017249,0.202536,0.004832,0.227369,0.000544,0.872706
0.442513,0.017505,0.202504,0.004832,0.233385,0.000640,0.906947
0.416433,0.017312,0.202632,0.004769,0.259210,0.000640,0.906372
0.415664,0.017377,0.202504,0.004800,0.247018,0.000640,0.893251
0.415184,0.017473,0.202248,0.004800,0.256170,0.000640,0.902051
0.420593,0.017664,0.203111,0.004833,0.246409,0.000576,0.899747
0.420561,0.017440,0.213705,0.004992,0.239945,0.000608,0.903139
0.419984,0.017217,0.202376,0.004832,0.251690,0.000608,0.901699
0.436657,0.017472,0.204392,0.004768,0.268171,0.000672,0.937669
0.420721,0.017569,0.202823,0.004769,0.237961,0.000544,0.889603
0.415184,0.017601,0.202312,0.004800,0.246665,0.000480,0.892451
0.415568,0.017185,0.201928,0.004768,0.232041,0.000512,0.877410
0.420241,0.017408,0.202024,0.004865,0.247785,0.000544,0.898371
0.420272,0.017345,0.202056,0.004768,0.246538,0.000640,0.896899
0.424689,0.017761,0.206792,0.005280,0.288971,0.000832,0.952645
0.445905,0.017569,0.204200,0.005056,0.247530,0.000608,0.927012
0.416208,0.017729,0.202856,0.004864,0.221257,0.000608,0.868802
0.420497,0.017312,0.202280,0.004832,0.252330,0.000544,0.904355
0.415728,0.017249,0.202088,0.004832,0.224393,0.000608,0.869890
0.415696,0.017153,0.203240,0.004896,0.233929,0.000576,0.880834
0.415409,0.017569,0.202567,0.004865,0.233993,0.000544,0.880323
0.419985,0.017440,0.202984,0.004833,0.238953,0.000576,0.890595
0.414801,0.017312,0.220873,0.004960,0.245418,0.000608,0.909604
0.415889,0.017408,0.202504,0.004801,0.252489,0.000608,0.899012
0.420336,0.017505,0.202856,0.004800,0.242441,0.000576,0.894019
0.415472,0.017312,0.202760,0.004800,0.260683,0.000576,0.908708
0.438738,0.017184,0.202696,0.004833,0.270442,0.000608,0.940165
0.415569,0.017152,0.202408,0.004864,0.249578,0.000576,0.895331
0.420112,0.017569,0.202120,0.004800,0.251402,0.000576,0.902083
0.415345,0.017376,0.202344,0.004801,0.266890,0.000544,0.912580
0.420112,0.017185,0.202120,0.004832,0.242666,0.000608,0.892995
0.420208,0.017153,0.202632,0.004800,0.249002,0.000640,0.899619
0.419633,0.017408,0.202440,0.004864,0.228297,0.000608,0.878723
0.433169,0.017665,0.202408,0.004800,0.274795,0.000672,0.939429
0.420048,0.017312,0.202408,0.004800,0.263499,0.000672,0.916484
0.416400,0.017473,0.203368,0.004768,0.230985,0.000576,0.878658
0.415057,0.017280,0.202568,0.004832,0.286732,0.000640,0.932677
0.415152,0.017473,0.201864,0.004800,0.248842,0.000608,0.893987
0.420305,0.017345,0.202279,0.004801,0.239561,0.000608,0.890307
0.414801,0.017184,0.202280,0.004832,0.260234,0.000576,0.904932
0.433457,0.017312,0.202408,0.004769,0.237513,0.000832,0.901699
0.420305,0.017665,0.202472,0.004832,0.237737,0.000544,0.889251
0.419569,0.017409,0.201896,0.004800,0.244521,0.000512,0.893987
0.419793,0.017217,0.202312,0.004960,0.232713,0.000544,0.883619
0.420368,0.017504,0.202728,0.004864,0.265643,0.000608,0.920068
0.415920,0.017345,0.202632,0.004864,0.232745,0.000576,0.879746
0.415312,0.017473,0.202824,0.004864,0.233065,0.000545,0.879459
0.416912,0.017409,0.219848,0.004929,0.276746,0.000640,0.942980
0.415440,0.017121,0.201960,0.004800,0.242185,0.000609,0.887683
0.415280,0.017313,0.201896,0.004768,0.240170,0.000608,0.884995
0.420368,0.017985,0.207144,0.005185,0.314284,0.001312,0.975398
0.422576,0.017633,0.203784,0.004992,0.248298,0.000608,0.903715
0.420976,0.017281,0.203240,0.005024,0.240010,0.000608,0.892387
0.418960,0.017345,0.203432,0.004832,0.245738,0.000640,0.897475
0.422161,0.017600,0.223689,0.005024,0.253418,0.000800,0.929732
0.415857,0.017600,0.202152,0.004864,0.255754,0.000640,0.902980
0.420784,0.017664,0.202952,0.004832,0.237578,0.000576,0.890339
0.416592,0.017440,0.202952,0.004768,0.255562,0.000704,0.903683
0.416785,0.017632,0.203368,0.004864,0.232810,0.000608,0.881283
0.420592,0.017569,0.202312,0.004832,0.235786,0.000576,0.887203
0.416176,0.017761,0.202824,0.004864,0.244042,0.000800,0.892067
0.420848,0.017505,0.221865,0.005024,0.242121,0.000544,0.913667
0.415888,0.017472,0.202696,0.004800,0.230633,0.000609,0.877603
0.416337,0.017472,0.202120,0.004800,0.247914,0.000640,0.895139
0.420177,0.017664,0.202216,0.004833,0.262346,0.000736,0.914052
0.435377,0.017697,0.202952,0.004832,0.237769,0.000832,0.905283
0.420368,0.017569,0.203208,0.004800,0.242442,0.000864,0.895171
0.420720,0.017761,0.202856,0.004864,0.254250,0.000608,0.906627
0.418033,0.017857,0.203848,0.005088,0.271274,0.000736,0.923589
0.415953,0.017729,0.203015,0.004833,0.246761,0.000704,0.895107
0.420944,0.017473,0.203080,0.004864,0.246858,0.000672,0.899491
0.416400,0.017473,0.202504,0.004800,0.236745,0.000544,0.883778
0.451153,0.017473,0.203176,0.004832,0.243594,0.000608,0.926596
0.420369,0.017216,0.203367,0.004865,0.248969,0.000641,0.900836
0.416176,0.017569,0.202248,0.004896,0.241225,0.000640,0.888866
0.421329,0.017504,0.202792,0.005057,0.275786,0.000769,0.928997
0.415824,0.017697,0.202664,0.004800,0.252266,0.000576,0.899395
0.416176,0.017505,0.202536,0.004768,0.264906,0.000576,0.912323
0.415505,0.017664,0.203336,0.004896,0.255754,0.000640,0.903396
0.441298,0.018305,0.209640,0.005312,0.312972,0.001088,1.001095
0.418321,0.017889,0.204712,0.005056,0.252970,0.000576,0.905924
0.416912,0.017857,0.203528,0.005408,0.244490,0.000608,0.894467
0.416496,0.017185,0.233577,0.005120,0.232713,0.000608,0.912067
0.415792,0.017569,0.202504,0.004768,0.241417,0.000704,0.888514
0.420432,0.017825,0.203496,0.004864,0.251722,0.000672,0.905347
0.415728,0.017505,0.202920,0.005024,0.230985,0.000832,0.878658
0.416560,0.017505,0.202664,0.004864,0.254666,0.000672,0.902403
0.415697,0.017889,0.203335,0.004800,0.237993,0.000672,0.885923
0.416400,0.017953,0.202632,0.004864,0.254282,0.000640,0.902339
0.415152,0.017313,0.220488,0.004961,0.251081,0.000640,0.915491
0.416432,0.017536,0.203720,0.004800,0.260043,0.000640,0.909540
0.420784,0.017537,0.203048,0.004832,0.233961,0.000544,0.886466
0.415536,0.017409,0.202280,0.004864,0.248490,0.000736,0.894467
0.432209,0.017505,0.204040,0.004832,0.252746,0.000512,0.917348
0.416304,0.017537,0.203496,0.004896,0.256906,0.000704,0.907235
0.420753,0.017632,0.202824,0.004832,0.252746,0.000608,0.904739
0.421136,0.017377,0.219721,0.005152,0.251882,0.000896,0.922244
0.415888,0.017441,0.202824,0.004800,0.249610,0.000576,0.896771
0.415505,0.017408,0.202248,0.004896,0.249322,0.000736,0.895523
0.415216,0.017377,0.202792,0.004864,0.275595,0.000576,0.922244
0.437137,0.017536,0.202728,0.004801,0.242601,0.000704,0.910563
0.420080,0.017473,0.203080,0.004800,0.247466,0.000608,0.899235
0.421072,0.017505,0.202760,0.004832,0.249706,0.000576,0.902179
0.416368,0.017569,0.202376,0.004896,0.267818,0.000608,0.915331
0.420049,0.017665,0.202600,0.004832,0.251146,0.000672,0.903588
0.420881,0.018240,0.202792,0.004833,0.245577,0.000576,0.898563
0.420336,0.017537,0.202312,0.004896,0.247082,0.000640,0.898307
0.447826,0.017569,0.202248,0.004864,0.289963,0.000672,0.968710
0.415728,0.017249,0.202728,0.004832,0.253066,0.000704,0.899811
0.415857,0.017664,0.202728,0.004897,0.239337,0.000608,0.886339
0.420848,0.017569,0.202600,0.004832,0.262794,0.000544,0.914724
0.420624,0.017537,0.202344,0.004800,0.249354,0.000672,0.901027
0.415664,0.017665,0.201992,0.004896,0.248425,0.000608,0.895395
0.416816,0.017441,0.202056,0.004864,0.256106,0.000576,0.903971
0.435857,0.017504,0.203304,0.004865,0.250857,0.000609,0.919972
0.420304,0.017633,0.202792,0.004832,0.247530,0.000608,0.899299
0.420496,0.017665,0.204712,0.004864,0.236649,0.000576,0.890851
0.420593,0.017632,0.202568,0.004833,0.284011,0.000704,0.935941
0.420145,0.017441,0.202664,0.004800,0.251466,0.000576,0.902692
0.415632,0.020993,0.202952,0.004800,0.251338,0.000576,0.901219
0.416464,0.017441,0.202856,0.004864,0.253354,0.000576,0.901059
0.437265,0.017697,0.202280,0.004832,0.251466,0.000544,0.919812
0.416656,0.017665,0.202600,0.004832,0.236009,0.000576,0.883842
0.421424,0.017313,0.203496,0.004896,0.249674,0.000608,0.902819
0.415537,0.017569,0.203143,0.004832,0.287755,0.000768,0.936549
