Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-8],Layer[9],Layer[10],classifier
0.504500,0.017793,0.206216,0.004800,0.047234,0.167558,0.002336,0.000576,0.959142
0.417809,0.017313,0.217000,0.005280,0.048162,0.215657,0.001440,0.000384,0.931205
0.416912,0.017888,0.203016,0.004992,0.048738,0.215081,0.001696,0.000384,0.915748
0.417105,0.017729,0.202567,0.005057,0.048962,0.199239,0.001345,0.000320,0.900004
0.416304,0.017824,0.202920,0.005056,0.048258,0.197512,0.001472,0.000352,0.898723
0.416016,0.017409,0.202440,0.005248,0.048226,0.198824,0.001312,0.000352,0.896835
0.415952,0.017345,0.202280,0.005216,0.048322,0.195847,0.001376,0.000416,0.895427
0.416977,0.017760,0.202856,0.005313,0.049121,0.217512,0.001600,0.000416,0.918660
0.434129,0.017729,0.202632,0.005280,0.050146,0.202248,0.001536,0.000448,0.922084
0.416016,0.017376,0.202920,0.005248,0.049026,0.206632,0.001537,0.000384,0.906148
0.416144,0.017569,0.202600,0.005280,0.049154,0.196296,0.001376,0.000352,0.896035
0.416048,0.017473,0.202888,0.004768,0.050114,0.223561,0.001504,0.000352,0.923972
0.415504,0.017409,0.202696,0.005312,0.049538,0.189575,0.001376,0.000384,0.889058
0.416240,0.017377,0.202376,0.005024,0.048226,0.199784,0.001376,0.000384,0.898499
0.415825,0.017313,0.202215,0.005313,0.048322,0.211176,0.001472,0.000384,0.909892
0.433233,0.017569,0.202856,0.005248,0.048898,0.207656,0.001440,0.000352,0.924932
0.415536,0.017537,0.202376,0.005312,0.048834,0.203400,0.001568,0.000384,0.902563
0.415792,0.017409,0.202312,0.005280,0.049154,0.203848,0.001344,0.000384,0.902563
0.416113,0.017536,0.221033,0.005152,0.048866,0.199816,0.001440,0.000384,0.919652
0.415952,0.017345,0.202632,0.005024,0.049250,0.199848,0.001536,0.000416,0.899651
0.415121,0.017440,0.202984,0.005153,0.049154,0.206856,0.001376,0.000352,0.905732
0.416080,0.017505,0.201896,0.005280,0.049186,0.205064,0.001344,0.000384,0.903331
0.418000,0.017409,0.202632,0.005024,0.049250,0.200712,0.001440,0.000384,0.902755
0.417553,0.017537,0.202952,0.005248,0.048130,0.196615,0.001312,0.000384,0.896964
0.415664,0.017633,0.202280,0.004992,0.049794,0.196871,0.001409,0.000416,0.896260
0.415729,0.017408,0.222249,0.005472,0.048610,0.198280,0.001376,0.000384,0.916836
0.415601,0.017472,0.202280,0.005281,0.049474,0.211304,0.001472,0.000384,0.910596
0.415600,0.017601,0.202440,0.004800,0.049250,0.198504,0.001376,0.000352,0.896803
0.415536,0.017409,0.201992,0.005024,0.048802,0.201448,0.001536,0.000608,0.899523
0.415696,0.017441,0.202600,0.005280,0.049218,0.204232,0.001536,0.000384,0.903363
0.415760,0.018113,0.203112,0.005248,0.049506,0.206600,0.001472,0.000384,0.907683
0.415632,0.017409,0.202376,0.005216,0.048546,0.200360,0.001472,0.000384,0.898115
0.433425,0.017505,0.202248,0.004992,0.049090,0.209576,0.001376,0.000384,0.925156
0.415792,0.017473,0.202568,0.005120,0.048226,0.198440,0.001440,0.000352,0.896035
0.415952,0.017729,0.202920,0.005216,0.049538,0.197960,0.001408,0.000384,0.898659
0.416432,0.017537,0.202184,0.005216,0.048642,0.206088,0.001280,0.000384,0.904291
0.416208,0.017505,0.202312,0.005312,0.048258,0.198855,0.001312,0.000352,0.897283
0.415824,0.017569,0.202536,0.005184,0.049730,0.205640,0.001472,0.000384,0.905091
0.415952,0.017313,0.202280,0.005248,0.049922,0.203656,0.001344,0.000352,0.903619
0.434129,0.017696,0.202503,0.005025,0.048802,0.206376,0.001376,0.000384,0.923684
0.416912,0.017761,0.202472,0.004992,0.049698,0.190823,0.001312,0.000384,0.891042
0.415377,0.017568,0.201992,0.005216,0.049249,0.202568,0.001376,0.000384,0.900516
0.415441,0.017696,0.202184,0.005249,0.048065,0.218377,0.001376,0.000352,0.916132
0.415888,0.017345,0.202024,0.005248,0.049570,0.190856,0.001216,0.000384,0.889219
0.416336,0.017537,0.202088,0.005216,0.048674,0.195880,0.001376,0.000352,0.894915
0.416240,0.017633,0.202216,0.005216,0.049090,0.205896,0.001536,0.000416,0.904867
0.433649,0.017601,0.202408,0.005280,0.051010,0.190344,0.001408,0.000448,0.909284
0.416144,0.017601,0.202408,0.004960,0.049250,0.198472,0.001408,0.000416,0.897411
0.415728,0.017345,0.202568,0.004832,0.049634,0.201256,0.001344,0.000384,0.900163
0.415792,0.017568,0.202408,0.005216,0.049794,0.221353,0.001600,0.000416,0.921636
0.415024,0.017313,0.202152,0.005280,0.051170,0.196680,0.001600,0.000416,0.896803
0.415729,0.017632,0.202248,0.005217,0.049729,0.199176,0.001408,0.000352,0.898083
0.415889,0.017824,0.202152,0.005217,0.049794,0.190887,0.001440,0.000320,0.890243
0.434065,0.017633,0.202280,0.004800,0.049506,0.199592,0.001376,0.000384,0.916644
0.415344,0.017601,0.202184,0.005216,0.048770,0.199144,0.001472,0.000384,0.897219
0.415985,0.017344,0.202408,0.005025,0.048129,0.209865,0.001280,0.000608,0.907556
0.416817,0.017408,0.202504,0.005216,0.068323,0.210216,0.001377,0.000352,0.929349
0.415313,0.017504,0.202856,0.005217,0.048418,0.214824,0.001376,0.000384,0.913188
0.415665,0.017601,0.202023,0.005249,0.049730,0.196903,0.001664,0.000416,0.896804
0.416017,0.017569,0.202407,0.004736,0.048930,0.215752,0.001408,0.000384,0.914436
0.416368,0.017409,0.202344,0.005280,0.048994,0.199559,0.001504,0.000416,0.898756
0.415600,0.017473,0.202536,0.005248,0.049506,0.191335,0.001408,0.000384,0.890243
0.415761,0.017793,0.202407,0.005249,0.048642,0.212072,0.001568,0.000448,0.910660
0.415376,0.017601,0.221609,0.005248,0.049218,0.192936,0.001376,0.000384,0.910724
0.415952,0.017505,0.202248,0.005248,0.049090,0.206152,0.001504,0.000384,0.906531
0.417104,0.017601,0.202536,0.005024,0.048866,0.214728,0.001696,0.000416,0.916228
0.415792,0.017761,0.202152,0.004992,0.049122,0.220137,0.001440,0.000448,0.920580
0.417649,0.017568,0.202472,0.005249,0.050050,0.212808,0.001504,0.000608,0.915140
0.417393,0.017696,0.202984,0.005249,0.049186,0.205576,0.001408,0.000352,0.908996
0.417296,0.017569,0.202376,0.005216,0.048930,0.197768,0.001376,0.000352,0.897859
0.437201,0.017921,0.202344,0.005280,0.049154,0.201128,0.001408,0.000320,0.921796
0.416720,0.017505,0.202952,0.004992,0.047714,0.201832,0.001536,0.000384,0.901347
0.416304,0.017569,0.202088,0.005024,0.048194,0.201672,0.001440,0.000448,0.900355
0.427697,0.017793,0.202152,0.005248,0.050306,0.223945,0.001440,0.000416,0.936101
0.415984,0.017409,0.202600,0.005216,0.048642,0.194760,0.001248,0.000384,0.894115
0.416176,0.017633,0.202376,0.005216,0.049506,0.207176,0.001376,0.000352,0.907203
0.416720,0.017504,0.202632,0.005312,0.049570,0.196616,0.001184,0.000384,0.897507
0.438705,0.017569,0.203080,0.005280,0.049506,0.216457,0.001248,0.000384,0.939461
0.416305,0.017440,0.202536,0.005153,0.049058,0.196679,0.001344,0.000416,0.896931
0.415633,0.017280,0.202408,0.005216,0.048546,0.207176,0.001248,0.000384,0.904772
0.415632,0.018016,0.203496,0.005312,0.049473,0.220713,0.001248,0.000384,0.921284
0.414672,0.017249,0.202696,0.005312,0.049122,0.205544,0.001312,0.000384,0.903363
0.416336,0.017568,0.201992,0.005280,0.049890,0.194696,0.001280,0.000608,0.894979
0.416080,0.017601,0.202184,0.005312,0.048706,0.194855,0.001249,0.000384,0.893091
