Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-9],Layer[10],classifier
0.531988,0.017664,0.206664,0.004833,0.047809,0.224649,0.000896,1.043848
0.417520,0.017633,0.204424,0.004864,0.048290,0.194632,0.000640,0.895939
0.417553,0.017888,0.205480,0.004769,0.047746,0.206984,0.000704,0.910020
0.419088,0.017792,0.203720,0.005024,0.047906,0.217353,0.000896,0.921924
0.416496,0.017857,0.202888,0.004864,0.047714,0.202824,0.000608,0.900803
0.420369,0.017569,0.203336,0.005248,0.047618,0.213160,0.000672,0.915812
0.439025,0.017505,0.202632,0.004896,0.048258,0.206440,0.000576,0.926948
0.415953,0.017792,0.202504,0.005281,0.048065,0.203240,0.000576,0.900804
0.416528,0.017537,0.202824,0.004864,0.047906,0.200680,0.000576,0.898179
0.416880,0.017633,0.202472,0.004960,0.048386,0.215081,0.000608,0.912900
0.415216,0.017537,0.202440,0.004832,0.048066,0.204232,0.000608,0.900035
0.416400,0.017569,0.202088,0.004864,0.048802,0.204872,0.000608,0.901411
0.420016,0.017697,0.202248,0.005088,0.048290,0.194567,0.000545,0.894915
0.450833,0.017697,0.202664,0.004832,0.048354,0.204616,0.000576,0.936196
0.417648,0.017345,0.202312,0.005280,0.048514,0.204680,0.000576,0.903459
0.415344,0.017505,0.202568,0.005056,0.047842,0.198984,0.000640,0.894467
0.416017,0.017377,0.202631,0.005088,0.047362,0.224968,0.000736,0.920901
0.417584,0.017569,0.202184,0.005152,0.048130,0.207592,0.000640,0.905508
0.416880,0.017537,0.202344,0.004832,0.047330,0.204136,0.000608,0.900163
0.416528,0.017697,0.202280,0.004864,0.048258,0.199655,0.000608,0.896675
0.432849,0.017697,0.202504,0.004768,0.047650,0.201032,0.000544,0.913316
0.417649,0.017536,0.202568,0.004801,0.048001,0.188680,0.000512,0.885699
0.416817,0.017472,0.202568,0.004801,0.047457,0.201320,0.000576,0.898403
0.417457,0.017760,0.202248,0.004833,0.047649,0.243082,0.000704,0.941861
0.420625,0.017473,0.202664,0.004768,0.047618,0.197415,0.000672,0.898147
0.420144,0.017408,0.202632,0.004832,0.048034,0.206440,0.000576,0.906339
0.415632,0.017665,0.202568,0.004800,0.048194,0.196775,0.000736,0.892195
0.437841,0.017921,0.202792,0.004800,0.047586,0.209768,0.000640,0.927876
0.419825,0.017632,0.203816,0.005185,0.047842,0.184359,0.000544,0.885347
0.419697,0.017472,0.202120,0.005025,0.048257,0.185896,0.000576,0.885059
0.415312,0.017377,0.202600,0.004832,0.048578,0.212168,0.000544,0.908355
0.420048,0.017569,0.202440,0.004992,0.048290,0.191752,0.000608,0.892195
0.419504,0.017473,0.202472,0.004768,0.047874,0.188808,0.000576,0.887747
0.420496,0.017441,0.202600,0.004896,0.048354,0.192744,0.000608,0.894339
0.438065,0.017729,0.201992,0.005024,0.047682,0.216809,0.000672,0.935429
0.419825,0.017696,0.203016,0.005217,0.047233,0.189864,0.000672,0.889379
0.415216,0.017473,0.202087,0.005024,0.047810,0.185255,0.000704,0.879906
0.414161,0.017728,0.202248,0.005025,0.048130,0.215048,0.000704,0.909700
0.420048,0.017601,0.202088,0.004960,0.048066,0.190791,0.000576,0.890018
0.419856,0.017505,0.202440,0.005024,0.048322,0.195559,0.000640,0.895715
0.419761,0.017632,0.202824,0.004801,0.049922,0.191879,0.000672,0.894147
0.436209,0.017473,0.201992,0.004832,0.048034,0.195176,0.000608,0.911044
0.420976,0.017697,0.202248,0.004992,0.047938,0.201128,0.000576,0.901987
0.415632,0.017633,0.202472,0.004832,0.048226,0.206344,0.000672,0.902307
0.420241,0.017857,0.201992,0.004800,0.047426,0.239209,0.000768,0.939621
0.420209,0.017505,0.202280,0.005024,0.048098,0.192999,0.000576,0.893219
0.415568,0.017505,0.202184,0.005280,0.047810,0.198280,0.000672,0.894499
0.419920,0.017377,0.202408,0.004800,0.048482,0.198728,0.000672,0.898915
0.436273,0.017633,0.203400,0.004768,0.047906,0.218536,0.000608,0.935524
0.415344,0.017217,0.202120,0.004992,0.047778,0.206728,0.000608,0.901123
0.419889,0.017505,0.202344,0.004800,0.047522,0.193415,0.000704,0.892803
0.415696,0.017281,0.203464,0.004768,0.047554,0.211656,0.000608,0.907747
0.419953,0.017633,0.202280,0.004800,0.048098,0.198311,0.000577,0.897956
0.420305,0.017504,0.202152,0.004800,0.048258,0.197800,0.000608,0.898435
0.421168,0.017729,0.202664,0.004768,0.048386,0.193992,0.000512,0.895299
0.437201,0.017600,0.204168,0.004993,0.048226,0.194087,0.000576,0.914212
0.417297,0.017633,0.202952,0.005056,0.047714,0.211784,0.000672,0.909700
0.420208,0.017505,0.202312,0.004960,0.047586,0.202344,0.000576,0.901763
0.415344,0.017505,0.202151,0.004993,0.047842,0.229129,0.000704,0.923685
0.419665,0.017665,0.202535,0.005025,0.047938,0.192071,0.000576,0.892035
0.419888,0.017569,0.202248,0.005024,0.047874,0.198888,0.000576,0.897859
0.420112,0.017537,0.202248,0.005024,0.047746,0.198504,0.000576,0.897699
0.447729,0.017728,0.202280,0.004768,0.048514,0.230025,0.000544,0.957285
0.417072,0.017857,0.202248,0.004832,0.048258,0.204616,0.000672,0.902723
0.420624,0.018017,0.202664,0.004992,0.047810,0.193960,0.000544,0.894371
0.420208,0.017313,0.202312,0.004800,0.047586,0.215369,0.000576,0.915364
0.420049,0.017536,0.203432,0.005025,0.047809,0.196168,0.000608,0.896899
0.420240,0.017633,0.202664,0.005024,0.047490,0.194664,0.000608,0.894915
0.415344,0.017633,0.202248,0.005024,0.047714,0.196712,0.000704,0.891811
0.434545,0.017505,0.202312,0.004928,0.048898,0.205288,0.000544,0.920612
0.420560,0.017505,0.202664,0.004864,0.048002,0.209704,0.000544,0.909219
0.420177,0.017281,0.202568,0.004832,0.047586,0.208456,0.000544,0.907492
0.420497,0.018176,0.202472,0.004768,0.047233,0.219625,0.000704,0.920484
0.415473,0.017697,0.203336,0.004800,0.047330,0.202376,0.000640,0.899140
0.419952,0.017696,0.202312,0.004992,0.047074,0.193224,0.000736,0.891971
0.419921,0.017345,0.202376,0.005248,0.047106,0.199079,0.000737,0.898692
0.434321,0.017664,0.202535,0.004833,0.048450,0.206152,0.000768,0.920900
0.421392,0.017504,0.202376,0.004800,0.047522,0.195944,0.000608,0.896259
0.415024,0.017537,0.202440,0.005056,0.048226,0.201000,0.000640,0.895715
0.420081,0.017665,0.202408,0.004992,0.049314,0.197224,0.000544,0.899044
0.419664,0.017281,0.202824,0.005024,0.048226,0.189384,0.000576,0.888579
0.420240,0.017249,0.202280,0.004768,0.047650,0.186279,0.000609,0.885219
0.419920,0.017536,0.201896,0.004800,0.047842,0.194600,0.000576,0.893347
0.439249,0.017665,0.202279,0.005057,0.048002,0.212808,0.000640,0.933060
0.420400,0.017441,0.202792,0.004832,0.048066,0.193927,0.000640,0.895107
0.420368,0.017760,0.202536,0.005056,0.047778,0.201864,0.000576,0.902563
0.420080,0.017601,0.202248,0.004960,0.048034,0.194664,0.000608,0.894307
0.420113,0.017344,0.202344,0.005056,0.047554,0.205192,0.000640,0.905347
0.419792,0.017217,0.203720,0.005088,0.047490,0.200680,0.000576,0.900387
0.419505,0.017601,0.202056,0.004896,0.047554,0.203400,0.000640,0.902436
0.435985,0.017601,0.202472,0.005120,0.048706,0.188871,0.000736,0.907140
0.420112,0.017441,0.202856,0.005088,0.047842,0.191784,0.000608,0.892003
0.421840,0.017729,0.203272,0.005024,0.048354,0.202632,0.000704,0.906051
0.416145,0.017664,0.202472,0.004769,0.048001,0.229737,0.000704,0.927045
0.415216,0.017729,0.203752,0.005024,0.048066,0.189448,0.000640,0.886595
0.415505,0.017664,0.202184,0.004832,0.047841,0.196968,0.000640,0.891427
0.415440,0.017665,0.202280,0.004832,0.047714,0.196168,0.000640,0.891235
