Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-10],classifier
0.512756,0.017633,0.205480,0.004768,0.047746,0.000608,0.121413,0.977158
0.417968,0.017473,0.203368,0.005056,0.048546,0.000576,0.131909,0.895907
0.416912,0.017537,0.222249,0.005184,0.048866,0.000768,0.139333,0.920228
0.416177,0.017632,0.202983,0.004833,0.048642,0.000800,0.134341,0.897220
0.416976,0.018048,0.203112,0.005280,0.050178,0.000640,0.144134,0.909540
0.420753,0.017665,0.202696,0.005024,0.048258,0.000608,0.141541,0.903908
0.416113,0.017344,0.203528,0.004897,0.048962,0.000576,0.130821,0.892003
0.420337,0.017313,0.203816,0.004832,0.048578,0.000832,0.158886,0.922885
0.416080,0.017281,0.203432,0.004800,0.048034,0.000608,0.143558,0.901027
0.416657,0.017568,0.219369,0.005312,0.049538,0.000608,0.135526,0.915684
0.415376,0.017184,0.203048,0.004832,0.047906,0.000768,0.131301,0.889667
0.415921,0.017536,0.202823,0.005025,0.047970,0.000640,0.141413,0.897476
0.416688,0.017345,0.203368,0.004832,0.048802,0.000608,0.136741,0.893603
0.415920,0.017441,0.202472,0.004832,0.049346,0.000576,0.123077,0.878658
0.415184,0.017281,0.202376,0.004864,0.048962,0.000704,0.159526,0.912483
0.416144,0.017473,0.202600,0.005248,0.047938,0.000768,0.130085,0.886243
0.415408,0.017185,0.217929,0.004992,0.048194,0.000576,0.140133,0.916676
0.417041,0.017441,0.203176,0.004800,0.050050,0.000768,0.119780,0.878243
0.416208,0.017537,0.202824,0.004832,0.048482,0.000608,0.143174,0.897763
0.415696,0.017537,0.204136,0.004832,0.048386,0.000640,0.140166,0.899523
0.428944,0.017505,0.202760,0.004832,0.047714,0.000608,0.131045,0.906211
0.415345,0.017312,0.202440,0.004768,0.047330,0.000608,0.124965,0.878243
0.415952,0.017312,0.202760,0.004800,0.048450,0.000608,0.130981,0.890115
0.415505,0.017344,0.202952,0.004865,0.048162,0.000576,0.135461,0.893347
0.416144,0.017633,0.202824,0.004832,0.048322,0.000704,0.124261,0.886467
0.421104,0.017441,0.202760,0.005056,0.048418,0.000608,0.146726,0.909987
0.415633,0.017376,0.202504,0.004801,0.048833,0.000544,0.129382,0.885059
0.434993,0.017344,0.202440,0.004993,0.049057,0.000705,0.132165,0.907459
0.416016,0.017537,0.202151,0.004864,0.047522,0.000544,0.142469,0.896643
0.416080,0.017345,0.202312,0.005088,0.048098,0.000768,0.130341,0.896611
0.415472,0.017313,0.202504,0.004800,0.047138,0.000576,0.131749,0.889027
0.420753,0.017216,0.202440,0.004833,0.048545,0.000801,0.133029,0.898019
0.415760,0.017441,0.202152,0.004832,0.047138,0.000800,0.133989,0.897123
0.420081,0.017441,0.202280,0.004992,0.046946,0.000640,0.132069,0.897476
0.438098,0.017376,0.203208,0.004801,0.047426,0.000800,0.134149,0.915364
0.415664,0.017537,0.202888,0.005216,0.047394,0.000800,0.141798,0.900739
0.420016,0.017537,0.202568,0.004928,0.048994,0.000800,0.132549,0.901187
0.420881,0.017601,0.202503,0.004864,0.047746,0.000832,0.151814,0.925092
0.421041,0.017505,0.202536,0.004832,0.048802,0.001056,0.128997,0.895107
0.420336,0.017281,0.202248,0.004896,0.048034,0.001056,0.158438,0.930468
0.422672,0.017825,0.204424,0.005056,0.048930,0.000832,0.158822,0.939236
0.442898,0.017888,0.203240,0.004832,0.049762,0.000832,0.129541,0.916100
0.421232,0.017697,0.202984,0.004864,0.048738,0.000768,0.136293,0.903747
0.416432,0.017345,0.203304,0.004800,0.048386,0.000832,0.132005,0.890883
0.416881,0.017696,0.221736,0.005184,0.049122,0.000832,0.140614,0.924197
0.421072,0.017697,0.202536,0.004832,0.050306,0.000800,0.133510,0.901731
0.415664,0.017153,0.202120,0.004800,0.049314,0.000992,0.125413,0.885218
0.419856,0.017281,0.202376,0.004832,0.048162,0.000800,0.149958,0.909827
0.438161,0.017505,0.202664,0.004992,0.049154,0.000576,0.149478,0.930437
0.415984,0.017281,0.202472,0.004928,0.048834,0.000608,0.127653,0.886626
0.421104,0.017313,0.202856,0.004832,0.048002,0.000608,0.130117,0.890594
0.419600,0.017313,0.222921,0.005248,0.047906,0.000608,0.133125,0.919908
0.420752,0.017505,0.202184,0.004800,0.047298,0.000576,0.135077,0.895395
0.420688,0.017505,0.202632,0.004832,0.046946,0.000640,0.130757,0.900643
0.419889,0.017376,0.202632,0.004833,0.047681,0.000800,0.152261,0.914628
0.419952,0.017537,0.203592,0.004800,0.048482,0.000576,0.126597,0.891074
0.415729,0.017440,0.202824,0.005281,0.048545,0.000640,0.128453,0.883971
0.415888,0.017985,0.202600,0.004800,0.049378,0.000512,0.135269,0.912932
0.420528,0.017280,0.220361,0.004960,0.047970,0.000800,0.131013,0.910340
0.420080,0.017313,0.202184,0.004864,0.049474,0.000800,0.140742,0.900387
0.420209,0.017312,0.202280,0.004801,0.048449,0.000737,0.133861,0.898659
0.420368,0.017345,0.202440,0.005280,0.047778,0.000800,0.132485,0.897603
0.416048,0.017504,0.201960,0.004928,0.048834,0.000576,0.135110,0.892291
0.415921,0.017569,0.202311,0.004993,0.048962,0.000832,0.136101,0.893987
0.420464,0.017889,0.202312,0.005024,0.048418,0.000832,0.138629,0.904740
0.420464,0.017441,0.220072,0.005185,0.048770,0.000992,0.132709,0.914659
0.419856,0.017345,0.202312,0.004832,0.049314,0.000864,0.132581,0.895555
0.416113,0.017633,0.202695,0.004801,0.047810,0.000832,0.138213,0.896964
0.415504,0.017313,0.203176,0.004832,0.049122,0.000832,0.142117,0.903299
0.421744,0.017249,0.202344,0.004800,0.048578,0.000768,0.135589,0.900931
0.420464,0.017409,0.202568,0.005024,0.048194,0.000832,0.136549,0.906435
0.420432,0.017312,0.202280,0.005024,0.048386,0.000800,0.134438,0.899747
0.434545,0.019105,0.202568,0.005088,0.047938,0.000800,0.136454,0.917924
0.420528,0.017600,0.202216,0.004864,0.049250,0.001056,0.128869,0.902275
0.420368,0.017281,0.202472,0.005024,0.048546,0.000800,0.138918,0.906531
0.415824,0.017377,0.203208,0.005024,0.048258,0.000640,0.126053,0.884066
0.415920,0.017345,0.202408,0.004992,0.047234,0.000576,0.149190,0.919236
0.422096,0.017537,0.202376,0.004864,0.047170,0.000576,0.148262,0.910531
0.415600,0.017313,0.202376,0.004768,0.046850,0.000608,0.155142,0.912451
0.440049,0.018145,0.202215,0.005281,0.046850,0.000768,0.131685,0.914851
0.420336,0.017473,0.202760,0.004800,0.046818,0.000608,0.124453,0.884802
0.420240,0.017537,0.202056,0.004832,0.046946,0.000640,0.137477,0.894051
0.415152,0.017601,0.202376,0.004864,0.046818,0.000832,0.163206,0.915172
