Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.542934,0.017760,0.205417,0.004896,0.047682,0.000832,0.182663,0.000672,0.002016,0.002528,0.000608,1.017288
0.417393,0.017697,0.204168,0.004832,0.048002,0.000544,0.179463,0.000640,0.002048,0.001280,0.000320,0.884195
0.416976,0.017729,0.204104,0.004864,0.048322,0.000512,0.191016,0.000576,0.002080,0.001120,0.000384,0.896355
0.416433,0.017633,0.203080,0.004864,0.048706,0.000736,0.226441,0.000832,0.002976,0.001184,0.000352,0.933253
0.416048,0.017665,0.203496,0.004832,0.048770,0.000576,0.198664,0.000768,0.002400,0.001280,0.000352,0.903011
0.417488,0.017761,0.202760,0.004960,0.048546,0.000608,0.196456,0.000736,0.002336,0.001312,0.000416,0.901891
0.417200,0.017441,0.202632,0.004864,0.047650,0.000576,0.194343,0.001408,0.002912,0.001216,0.000352,0.899523
0.432401,0.017505,0.202408,0.004800,0.048674,0.000608,0.190280,0.000832,0.002240,0.001184,0.000352,0.910212
0.416785,0.017472,0.202376,0.004929,0.047841,0.000576,0.203688,0.000896,0.002720,0.001344,0.000448,0.907876
0.415952,0.017377,0.202728,0.004800,0.048770,0.000608,0.194696,0.000800,0.002272,0.001088,0.000384,0.898115
0.416400,0.017569,0.202536,0.004896,0.068130,0.000640,0.188935,0.000832,0.002080,0.001280,0.000320,0.912516
0.416240,0.017761,0.202792,0.004832,0.048130,0.000608,0.194824,0.000992,0.002240,0.001472,0.000352,0.899011
0.415952,0.017697,0.202056,0.004864,0.048130,0.000608,0.192616,0.000832,0.002144,0.001216,0.000384,0.895011
0.417264,0.017761,0.203688,0.004800,0.048802,0.000576,0.197704,0.000928,0.002144,0.001120,0.000384,0.904515
0.433137,0.017632,0.202536,0.004800,0.049282,0.000608,0.186472,0.000928,0.002016,0.001248,0.000352,0.907331
0.416624,0.017665,0.202760,0.004864,0.048290,0.000544,0.202344,0.000832,0.002112,0.001216,0.000384,0.906756
0.416112,0.017729,0.202792,0.004864,0.048642,0.000576,0.196264,0.000864,0.001952,0.001184,0.000448,0.899267
0.416305,0.017408,0.220553,0.005120,0.048994,0.000576,0.198536,0.000832,0.001920,0.001376,0.000416,0.921092
0.415920,0.017409,0.202376,0.004992,0.048546,0.000576,0.193288,0.000736,0.002272,0.001056,0.000384,0.896131
