Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-7],Layer[8],Layer[9],Layer[10],classifier
0.547126,0.017921,0.205576,0.004864,0.047682,0.000768,0.159558,0.002112,0.011585,0.000576,1.006920
0.417905,0.017888,0.204264,0.005025,0.047489,0.000801,0.201767,0.002305,0.001536,0.000544,0.908420
0.417297,0.017536,0.203528,0.005121,0.048098,0.000768,0.193735,0.002080,0.001600,0.000608,0.898563
0.418033,0.017600,0.218473,0.005120,0.047842,0.000576,0.198568,0.002048,0.000992,0.000416,0.918500
0.416592,0.017761,0.202728,0.004896,0.048866,0.000576,0.177895,0.001984,0.001280,0.000320,0.880547
0.417073,0.017729,0.202407,0.004896,0.048578,0.000544,0.188327,0.002048,0.001376,0.000352,0.891747
0.415664,0.017313,0.202728,0.005024,0.047618,0.000576,0.191751,0.002112,0.001120,0.000352,0.891939
0.416177,0.017344,0.202120,0.004897,0.047873,0.000608,0.192424,0.001984,0.001120,0.000384,0.892419
0.416304,0.017312,0.202248,0.004832,0.048290,0.000544,0.192840,0.001984,0.001088,0.000352,0.893443
0.416272,0.018209,0.202536,0.004960,0.047586,0.000576,0.192744,0.002080,0.001184,0.000416,0.894499
0.416432,0.017697,0.220872,0.005025,0.047713,0.000608,0.195144,0.002144,0.000992,0.000352,0.915556
0.416624,0.017377,0.203240,0.005216,0.047362,0.000576,0.201960,0.002240,0.001152,0.000384,0.904291
0.416209,0.017696,0.202696,0.004993,0.048417,0.000608,0.192872,0.002048,0.001088,0.000384,0.895363
0.416273,0.017537,0.202503,0.005025,0.047970,0.000576,0.198855,0.002273,0.001152,0.000384,0.900036
0.416080,0.017921,0.202472,0.005120,0.047842,0.000576,0.196360,0.002016,0.001056,0.000384,0.897731
0.416560,0.017633,0.202536,0.005088,0.047938,0.000608,0.194408,0.002176,0.001152,0.000416,0.896835
0.416112,0.017505,0.202696,0.005056,0.047170,0.000576,0.193704,0.002112,0.000928,0.000416,0.893859
0.416752,0.017313,0.219369,0.005088,0.048002,0.000608,0.193671,0.003201,0.001248,0.000384,0.914116
0.416016,0.017632,0.202376,0.004864,0.048386,0.000576,0.183015,0.001984,0.001184,0.000384,0.883779
