Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],TEE[7-7],Layer[8],Layer[9],Layer[10],classifier
0.528181,0.017793,0.206376,0.004864,0.046786,0.000800,0.013344,0.182279,0.002208,0.008896,0.000608,1.020104
0.418320,0.017505,0.203816,0.005024,0.047490,0.000800,0.013312,0.175943,0.002337,0.001536,0.000576,0.895363
0.418320,0.017697,0.203528,0.005312,0.047330,0.000800,0.013729,0.184199,0.002560,0.001920,0.000576,0.904739
0.418288,0.017761,0.202824,0.005024,0.047906,0.000800,0.013857,0.164422,0.002464,0.001664,0.000544,0.886050
0.417456,0.017760,0.202248,0.005152,0.048162,0.000704,0.013953,0.179655,0.002464,0.001536,0.000736,0.898147
0.416400,0.017665,0.202344,0.005312,0.047650,0.000736,0.013696,0.157478,0.002305,0.001216,0.000288,0.873731
0.416368,0.017568,0.215721,0.005312,0.047810,0.000800,0.014048,0.172519,0.004192,0.001088,0.000320,0.904388
0.416816,0.017505,0.202216,0.005120,0.048290,0.000768,0.013792,0.169607,0.002208,0.000960,0.000384,0.885826
0.417425,0.017632,0.202568,0.005088,0.047649,0.000800,0.013729,0.177639,0.003392,0.001056,0.000384,0.895427
0.416177,0.017601,0.202407,0.005024,0.049442,0.000800,0.013728,0.170311,0.002272,0.000960,0.000384,0.888739
0.415696,0.017377,0.202376,0.005024,0.049186,0.000800,0.013697,0.171366,0.002336,0.001089,0.000256,0.886499
0.416369,0.017728,0.202984,0.005057,0.048353,0.000800,0.013409,0.165222,0.002432,0.001152,0.000352,0.881571
0.415696,0.017537,0.202472,0.005056,0.048194,0.000832,0.013505,0.181159,0.002176,0.001024,0.000384,0.896259
0.416145,0.017536,0.216201,0.005248,0.048770,0.000800,0.013441,0.167270,0.002112,0.000832,0.000320,0.898403
0.416688,0.017697,0.203176,0.005280,0.047458,0.000768,0.013568,0.174023,0.002176,0.001024,0.000384,0.890115
0.416208,0.017409,0.203080,0.004832,0.048034,0.000768,0.013824,0.171367,0.002176,0.000928,0.000320,0.886082
0.415472,0.017441,0.202696,0.004960,0.047810,0.000800,0.013601,0.177830,0.002080,0.000832,0.000256,0.890595
0.435441,0.017664,0.203175,0.005025,0.048002,0.000864,0.013408,0.171303,0.002304,0.000896,0.000352,0.907331
0.416336,0.017633,0.202504,0.005088,0.047554,0.000672,0.013312,0.170599,0.002240,0.000864,0.000352,0.884642
0.416337,0.017696,0.202312,0.004993,0.047617,0.000832,0.013313,0.177511,0.002240,0.000896,0.000320,0.892259
0.415888,0.021025,0.202568,0.005024,0.049218,0.000832,0.013441,0.180263,0.002272,0.001056,0.000320,0.898627
0.415728,0.017729,0.202376,0.005056,0.048610,0.001024,0.013441,0.170566,0.002208,0.000896,0.000320,0.886627
0.416081,0.017536,0.202120,0.005024,0.047778,0.000608,0.013441,0.156582,0.002496,0.000928,0.000224,0.869602
0.416401,0.017536,0.203592,0.005121,0.047906,0.000800,0.013728,0.172615,0.002784,0.001024,0.000320,0.890563
0.432017,0.017792,0.202280,0.005281,0.047361,0.000992,0.013441,0.192296,0.002240,0.000864,0.000384,0.922724
0.414897,0.017920,0.202728,0.005249,0.048097,0.000832,0.013377,0.165030,0.002080,0.001056,0.000288,0.879651
0.416272,0.017472,0.202248,0.005120,0.048034,0.000864,0.013377,0.181095,0.002560,0.000992,0.000320,0.895971
0.415632,0.017249,0.202120,0.005216,0.047202,0.000800,0.013376,0.158982,0.002272,0.000896,0.015360,0.886658
0.415185,0.017472,0.202376,0.004833,0.048577,0.000800,0.013600,0.162726,0.002400,0.000896,0.000352,0.875907
0.416848,0.017665,0.202440,0.005088,0.049570,0.000864,0.013856,0.177127,0.002497,0.001056,0.000384,0.896259
0.416656,0.017441,0.202248,0.005056,0.047970,0.000704,0.013568,0.166279,0.002336,0.000960,0.000384,0.880354
0.416496,0.017921,0.217513,0.005024,0.047426,0.000864,0.013568,0.170183,0.002272,0.000896,0.000352,0.900995
0.415856,0.017889,0.202024,0.005024,0.047490,0.000768,0.013440,0.159047,0.002176,0.001248,0.000224,0.871746
0.416304,0.017441,0.202088,0.005056,0.047330,0.000832,0.013441,0.169030,0.002272,0.000896,0.000384,0.885411
0.415504,0.017409,0.203464,0.005216,0.047074,0.000800,0.013504,0.164903,0.002272,0.001024,0.000416,0.879746
0.417360,0.017761,0.202792,0.005280,0.047298,0.000672,0.013377,0.165862,0.002304,0.000896,0.000352,0.881826
0.416240,0.017633,0.202440,0.005312,0.048066,0.000864,0.013537,0.175431,0.002336,0.001120,0.000384,0.891011
0.417457,0.017600,0.202632,0.005281,0.048001,0.000800,0.013409,0.171847,0.002240,0.000960,0.000384,0.889155
0.417809,0.017728,0.221705,0.005376,0.048418,0.000800,0.013505,0.172967,0.002240,0.000992,0.000352,0.910084
0.415633,0.017664,0.204232,0.004961,0.047906,0.000896,0.013472,0.174407,0.002176,0.001024,0.000352,0.891459
0.416017,0.017664,0.202375,0.005089,0.047458,0.001024,0.013440,0.176679,0.002368,0.001024,0.000352,0.891203
0.416528,0.017409,0.202536,0.005056,0.047586,0.001024,0.013408,0.159111,0.002400,0.000960,0.000352,0.874626
0.415952,0.017441,0.202792,0.005472,0.047714,0.000800,0.013377,0.165542,0.002400,0.000896,0.000352,0.880706
0.416048,0.017761,0.201832,0.004992,0.047490,0.000864,0.013409,0.184423,0.002208,0.001056,0.000352,0.899331
0.416400,0.017633,0.202280,0.005248,0.047106,0.001024,0.013441,0.175110,0.002177,0.000960,0.000352,0.889571
0.415856,0.017729,0.221097,0.005152,0.047874,0.000800,0.013344,0.172295,0.002176,0.001024,0.000352,0.905763
0.417744,0.017857,0.202504,0.005344,0.048962,0.000832,0.013601,0.166406,0.002464,0.001056,0.000416,0.885666
0.416720,0.017600,0.202824,0.005056,0.047906,0.000800,0.013505,0.171111,0.002272,0.000928,0.000384,0.887587
0.416817,0.017568,0.202600,0.005249,0.047841,0.000832,0.013888,0.165575,0.002496,0.001056,0.000352,0.882211
0.435121,0.017537,0.202119,0.005056,0.048034,0.000864,0.013664,0.167719,0.002336,0.000960,0.000384,0.901987
0.415824,0.017537,0.202728,0.005312,0.048002,0.000832,0.013665,0.162406,0.002304,0.000992,0.000416,0.877538
0.416304,0.017601,0.202536,0.005056,0.047202,0.000832,0.013473,0.173158,0.002272,0.000960,0.000352,0.888099
0.415985,0.017536,0.202408,0.005185,0.066850,0.000896,0.013633,0.165350,0.002208,0.001088,0.000385,0.899684
0.416144,0.017601,0.202632,0.005280,0.048578,0.000832,0.013505,0.172006,0.002304,0.000960,0.000352,0.889443
0.416241,0.017536,0.202215,0.005249,0.047586,0.000992,0.013440,0.170215,0.002176,0.000896,0.000384,0.884227
0.416432,0.017441,0.202120,0.005312,0.048002,0.000832,0.013312,0.172295,0.002240,0.000928,0.000352,0.887618
0.435473,0.017729,0.202696,0.005280,0.048098,0.000800,0.013376,0.171367,0.002336,0.000960,0.000384,0.906883
0.416144,0.017569,0.202568,0.005024,0.047522,0.000800,0.013408,0.165511,0.002144,0.001056,0.000672,0.880354
0.416240,0.017793,0.202120,0.004992,0.048578,0.000832,0.013472,0.172679,0.002176,0.000992,0.000576,0.888482
0.416304,0.017697,0.202600,0.005248,0.047490,0.000800,0.013345,0.191751,0.002240,0.000960,0.000384,0.906851
0.416529,0.017376,0.202056,0.005025,0.047457,0.000769,0.013600,0.171495,0.002176,0.000896,0.000544,0.885635
0.416048,0.017473,0.202504,0.005184,0.047202,0.000992,0.013345,0.178279,0.002080,0.000928,0.000576,0.891939
0.418352,0.017569,0.201800,0.005216,0.047074,0.001024,0.013345,0.167846,0.002048,0.000992,0.000352,0.883170
0.433169,0.017568,0.203368,0.005248,0.046946,0.000864,0.013409,0.173415,0.002336,0.000992,0.000384,0.906276
0.416656,0.017697,0.201928,0.005472,0.047778,0.000832,0.013441,0.162310,0.002112,0.000864,0.000384,0.876770
0.416753,0.017696,0.201992,0.005089,0.047521,0.000800,0.013408,0.174087,0.002048,0.001024,0.000416,0.888387
0.416016,0.017601,0.203240,0.005216,0.046946,0.001024,0.013345,0.209896,0.002336,0.001120,0.000384,0.925636
0.415920,0.017409,0.201959,0.005281,0.046882,0.001024,0.013344,0.171879,0.001984,0.000832,0.000352,0.884451
0.417329,0.017600,0.202152,0.004993,0.047425,0.000800,0.013376,0.169863,0.002144,0.000896,0.000384,0.884803
0.415633,0.017440,0.202376,0.004960,0.047041,0.001024,0.013345,0.167911,0.001952,0.000896,0.000352,0.880355
