Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],TEE[7-8],Layer[9],Layer[10],classifier
0.507636,0.017665,0.206248,0.004800,0.047202,0.000800,0.013441,0.161350,0.009665,0.000576,0.978471
0.418384,0.017985,0.203624,0.005248,0.048290,0.001024,0.013665,0.180135,0.001824,0.000384,0.900355
0.436017,0.017729,0.203016,0.004992,0.047714,0.000576,0.013601,0.191399,0.001984,0.000384,0.927012
0.421489,0.017633,0.203624,0.005056,0.047906,0.000800,0.014368,0.179687,0.001536,0.000384,0.901827
0.420848,0.017409,0.202664,0.005056,0.047874,0.000768,0.014145,0.179015,0.001376,0.000384,0.897795
0.419889,0.017440,0.202664,0.005025,0.047937,0.000800,0.014081,0.201416,0.001472,0.000384,0.919396
0.416048,0.017728,0.202952,0.005088,0.049474,0.000800,0.014209,0.176295,0.001408,0.000384,0.893795
0.416560,0.017793,0.203016,0.005024,0.048962,0.000800,0.013857,0.171814,0.001408,0.000352,0.887714
0.421008,0.017633,0.205352,0.004992,0.048706,0.000832,0.013665,0.186471,0.001280,0.000352,0.909956
0.434961,0.017857,0.202984,0.005312,0.048834,0.000768,0.013568,0.176903,0.001440,0.000416,0.910787
0.420465,0.017792,0.202408,0.005153,0.049217,0.000800,0.013632,0.157350,0.001408,0.000384,0.876706
0.420305,0.017825,0.202952,0.004800,0.048450,0.000800,0.013568,0.177223,0.001312,0.000384,0.895555
0.420593,0.017697,0.202792,0.004960,0.048738,0.000800,0.013568,0.193608,0.001472,0.000384,0.912676
0.422384,0.017601,0.203400,0.005024,0.047842,0.000768,0.013697,0.185191,0.001440,0.000352,0.905924
0.416016,0.017472,0.202792,0.005088,0.048226,0.000832,0.014401,0.170407,0.001344,0.000384,0.885699
0.420369,0.017473,0.204328,0.005248,0.048706,0.000768,0.013920,0.177287,0.001440,0.000384,0.898052
0.436017,0.017505,0.202472,0.004992,0.048930,0.000832,0.013761,0.184519,0.001408,0.000352,0.920612
0.417073,0.017600,0.204104,0.005281,0.048322,0.000768,0.014272,0.174791,0.001472,0.000416,0.891875
0.420048,0.017441,0.202408,0.005248,0.048386,0.000832,0.013793,0.173767,0.001376,0.000320,0.891779
0.422448,0.017632,0.203208,0.005248,0.048546,0.000832,0.031330,0.167110,0.001312,0.000352,0.905827
0.421392,0.017345,0.203880,0.005056,0.048002,0.000576,0.013473,0.166086,0.001376,0.000352,0.886146
0.422032,0.017505,0.204104,0.004832,0.047938,0.000576,0.013377,0.169126,0.001408,0.000384,0.888515
0.415344,0.017697,0.203368,0.004992,0.048066,0.000576,0.013505,0.175526,0.001441,0.000384,0.889795
0.441841,0.017537,0.204488,0.005056,0.048802,0.000832,0.013825,0.176679,0.001408,0.000384,0.918660
0.417360,0.017633,0.203560,0.005024,0.048194,0.000832,0.013409,0.172743,0.001408,0.000320,0.889347
0.420817,0.017536,0.203207,0.005025,0.048386,0.000800,0.013632,0.181991,0.001504,0.000352,0.900515
0.420912,0.017696,0.202728,0.005184,0.047938,0.000800,0.013857,0.199592,0.001408,0.000352,0.920612
0.421392,0.017505,0.203048,0.005216,0.048226,0.000800,0.013825,0.170534,0.001792,0.000352,0.890690
0.417616,0.017633,0.203752,0.004832,0.048770,0.000800,0.014625,0.174343,0.001280,0.000384,0.892067
0.422449,0.017600,0.203080,0.004832,0.048577,0.000832,0.013505,0.176775,0.001408,0.000384,0.897059
0.440145,0.017761,0.202792,0.004832,0.047874,0.000832,0.013537,0.180391,0.001376,0.000352,0.917764
0.415216,0.017569,0.202696,0.005184,0.048706,0.000832,0.013408,0.170279,0.001280,0.000416,0.882882
0.420624,0.017537,0.203016,0.005088,0.048834,0.000800,0.013537,0.163014,0.001312,0.000352,0.883746
