Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],TEE[8-10],classifier
0.529812,0.017728,0.205448,0.004864,0.048770,0.000608,0.013409,0.000384,0.089796,0.978278
0.417168,0.017824,0.203912,0.004800,0.048833,0.000608,0.014497,0.000384,0.126949,0.908516
0.416624,0.017888,0.203528,0.023617,0.049314,0.000608,0.014753,0.000352,0.120709,0.919204
0.416592,0.017729,0.203560,0.004864,0.047874,0.000576,0.014305,0.000384,0.118597,0.893059
0.416336,0.028097,0.203464,0.004800,0.048962,0.000608,0.014881,0.000384,0.123973,0.912675
0.416336,0.017793,0.203048,0.004896,0.048706,0.000608,0.014849,0.000576,0.130341,0.909507
0.416625,0.017728,0.202952,0.004865,0.048962,0.000576,0.013952,0.000384,0.117893,0.893219
0.416016,0.017569,0.202984,0.004832,0.048098,0.000576,0.013889,0.000384,0.117348,0.897443
0.415952,0.017537,0.202984,0.004928,0.048770,0.000576,0.013857,0.000416,0.116996,0.899619
0.416209,0.018240,0.220553,0.004928,0.049026,0.000608,0.013729,0.000416,0.117796,0.912772
0.417104,0.017601,0.202600,0.004928,0.048130,0.000640,0.014752,0.000576,0.119620,0.899939
0.415856,0.017793,0.202760,0.004800,0.047682,0.000576,0.013952,0.000352,0.119045,0.901603
0.415856,0.017569,0.202376,0.004832,0.047746,0.000608,0.013536,0.000416,0.116933,0.901731
0.415729,0.017664,0.203048,0.004801,0.047233,0.000576,0.013665,0.000384,0.118853,0.892483
0.416752,0.017825,0.202248,0.004800,0.047426,0.000576,0.013824,0.000480,0.118533,0.893123
0.417136,0.017729,0.202664,0.004768,0.047202,0.000576,0.013729,0.000416,0.117732,0.893187
0.415920,0.017569,0.218984,0.005088,0.047426,0.000608,0.013473,0.000416,0.118469,0.909347
0.415632,0.017793,0.202408,0.004928,0.047202,0.000576,0.013504,0.000320,0.118501,0.899267
0.415792,0.017792,0.202376,0.004896,0.047266,0.000576,0.013793,0.000448,0.117413,0.899043
0.416080,0.017792,0.202472,0.004832,0.047234,0.000608,0.014017,0.000416,0.117605,0.891587
0.417840,0.017569,0.202856,0.004768,0.047234,0.000576,0.013473,0.000352,0.118436,0.898531
0.416048,0.017537,0.202792,0.004832,0.046978,0.000608,0.013472,0.000448,0.119461,0.899587
0.416273,0.017600,0.202472,0.004864,0.047426,0.000576,0.013441,0.000352,0.119141,0.903012
0.416080,0.017761,0.221001,0.005024,0.047170,0.000576,0.013440,0.000416,0.118948,0.911300
0.416112,0.017633,0.202344,0.004896,0.047170,0.000576,0.014081,0.000416,0.117508,0.898723
0.417040,0.017824,0.202664,0.004800,0.047106,0.000608,0.013441,0.000448,0.118180,0.896611
0.416528,0.017569,0.202504,0.004768,0.047458,0.000608,0.014176,0.000416,0.114277,0.891971
0.417136,0.017889,0.202568,0.004800,0.047394,0.000608,0.013793,0.000352,0.119045,0.899811
0.416528,0.017569,0.202920,0.004864,0.047106,0.000576,0.013633,0.000416,0.118628,0.889795
0.416400,0.017537,0.202760,0.004800,0.049346,0.000608,0.013569,0.000384,0.118340,0.903043
0.435409,0.017793,0.202664,0.004768,0.047650,0.000608,0.013920,0.000320,0.118885,0.910723
0.417073,0.017601,0.202664,0.004832,0.047682,0.000544,0.013984,0.000416,0.112453,0.887747
0.417136,0.017857,0.202792,0.004864,0.047330,0.000640,0.013825,0.000416,0.117860,0.896675
0.415921,0.017568,0.202952,0.004832,0.047234,0.000608,0.013825,0.000352,0.116933,0.891331
0.415888,0.017697,0.202568,0.004832,0.047266,0.000576,0.013696,0.000416,0.115781,0.893347
0.415857,0.017792,0.203304,0.004897,0.047041,0.000609,0.013760,0.000416,0.116005,0.889315
0.416144,0.017856,0.203528,0.004864,0.047138,0.000608,0.013665,0.000416,0.117285,0.896739
0.434385,0.017793,0.202664,0.004896,0.046946,0.000608,0.013696,0.000416,0.117829,0.908932
0.416816,0.018081,0.203592,0.004864,0.047298,0.000576,0.013985,0.000416,0.120228,0.905475
0.416241,0.017633,0.202984,0.004864,0.049218,0.000608,0.014400,0.000576,0.120709,0.899460
0.415953,0.017696,0.202728,0.004897,0.048225,0.000576,0.014113,0.000352,0.118245,0.914596
0.416048,0.017857,0.202344,0.004800,0.047906,0.000576,0.014016,0.000384,0.116005,0.888418
0.416496,0.017729,0.202312,0.004768,0.047554,0.000608,0.013697,0.000384,0.119877,0.900579
0.415536,0.017569,0.202728,0.004864,0.047394,0.000608,0.013568,0.000352,0.117765,0.889891
0.435441,0.017697,0.202504,0.004768,0.047458,0.000576,0.013633,0.000416,0.117572,0.912772
0.416657,0.017632,0.201992,0.004865,0.047329,0.000576,0.013632,0.000416,0.117637,0.898692
0.415824,0.017569,0.202792,0.004768,0.047266,0.000608,0.013504,0.000384,0.118789,0.894947
0.417232,0.017792,0.202536,0.004832,0.047138,0.000608,0.013441,0.000416,0.143622,0.926564
0.418288,0.017825,0.205160,0.004960,0.047490,0.000608,0.013921,0.000416,0.122917,0.908099
0.416496,0.017697,0.203624,0.004800,0.049666,0.000576,0.014689,0.000384,0.119140,0.901315
0.416529,0.017760,0.202600,0.004833,0.048834,0.000608,0.014400,0.000384,0.119909,0.896643
0.434513,0.017665,0.202792,0.004832,0.048322,0.000544,0.013985,0.000384,0.117636,0.914276
0.416912,0.017633,0.202728,0.004800,0.047650,0.000576,0.013761,0.000416,0.117284,0.891939
0.415441,0.017376,0.202792,0.004769,0.047553,0.000640,0.013377,0.000416,0.122757,0.902308
0.416145,0.017824,0.203208,0.004801,0.047521,0.000576,0.013473,0.000384,0.137157,0.910692
0.416529,0.017537,0.202663,0.004801,0.047202,0.000576,0.013408,0.000384,0.117765,0.896740
0.416624,0.017761,0.202760,0.004832,0.047298,0.000576,0.013441,0.000384,0.116516,0.890531
0.416817,0.017728,0.202536,0.004865,0.047425,0.000640,0.013504,0.000416,0.119493,0.902084
0.433841,0.017696,0.202696,0.004864,0.047362,0.000576,0.013537,0.000416,0.118372,0.908868
0.417904,0.017825,0.204328,0.004864,0.049346,0.000608,0.014625,0.000416,0.124453,0.907108
0.417905,0.017473,0.202567,0.004801,0.047874,0.000608,0.013984,0.000416,0.121541,0.904836
0.416624,0.017920,0.202216,0.004800,0.065091,0.000736,0.013985,0.000352,0.127141,0.919044
0.417553,0.017504,0.202248,0.004897,0.047745,0.000608,0.013760,0.000416,0.109796,0.880995
0.416272,0.017665,0.202248,0.004864,0.047714,0.000576,0.013697,0.000352,0.115204,0.890979
0.417073,0.017601,0.202119,0.004864,0.047426,0.000544,0.013440,0.000416,0.114245,0.896036
0.436561,0.017665,0.202024,0.004832,0.047170,0.000608,0.013472,0.000384,0.117989,0.910020
0.416464,0.017537,0.202600,0.004800,0.047362,0.000608,0.013408,0.000416,0.104484,0.875042
0.416592,0.017537,0.202376,0.004832,0.047106,0.000608,0.013441,0.000352,0.114564,0.893827
0.416496,0.017665,0.203176,0.004832,0.047042,0.000608,0.013408,0.000416,0.148550,0.927652
0.415857,0.017376,0.202408,0.004896,0.048738,0.000576,0.014721,0.000576,0.111588,0.888227
0.415761,0.017344,0.204424,0.004865,0.048609,0.000608,0.013440,0.000384,0.112165,0.895043
0.415760,0.017217,0.202440,0.004864,0.047458,0.000640,0.013408,0.000384,0.112261,0.885986
0.444658,0.017504,0.202471,0.004865,0.047426,0.000608,0.013472,0.000384,0.110308,0.911492
0.415825,0.017504,0.202248,0.004864,0.047297,0.000640,0.013441,0.000448,0.116805,0.889283
0.414673,0.017376,0.202504,0.004929,0.047201,0.000576,0.013409,0.000416,0.116677,0.892835
0.415120,0.017633,0.202760,0.004832,0.047074,0.000640,0.013696,0.000384,0.138630,0.927396
0.416656,0.017441,0.202248,0.004832,0.047202,0.000608,0.013440,0.000384,0.112101,0.881986
0.415376,0.017600,0.202312,0.004768,0.047266,0.000576,0.013409,0.000416,0.112516,0.888419
0.417169,0.017760,0.202440,0.004865,0.047681,0.000609,0.013696,0.000384,0.118277,0.892643
