Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],TEE[8-9],Layer[10],classifier
0.523957,0.017601,0.206184,0.004928,0.046818,0.000576,0.013376,0.000384,0.171399,0.000896,0.994119
0.417488,0.017377,0.203720,0.004864,0.047586,0.000544,0.014208,0.000352,0.175527,0.000576,0.889826
0.439537,0.017345,0.203336,0.005024,0.048034,0.000544,0.014369,0.000416,0.192903,0.001024,0.931076
0.416592,0.017281,0.202888,0.004832,0.047842,0.000544,0.014017,0.000384,0.178823,0.000544,0.891267
0.417168,0.017505,0.202664,0.004896,0.049282,0.000736,0.014368,0.000416,0.174951,0.000512,0.890146
0.416337,0.017376,0.223657,0.005248,0.048609,0.000768,0.014657,0.000608,0.196712,0.000704,0.933413
0.416337,0.017472,0.202568,0.004929,0.048801,0.000833,0.014464,0.000416,0.184999,0.000512,0.899428
0.417552,0.017504,0.202568,0.004864,0.049282,0.000576,0.014017,0.000384,0.182343,0.000736,0.897443
0.420944,0.017344,0.203080,0.004896,0.048290,0.000576,0.013729,0.000416,0.184071,0.000608,0.901891
0.421041,0.017345,0.203496,0.005024,0.048322,0.000608,0.013504,0.000416,0.183400,0.000544,0.902852
0.420464,0.017217,0.202472,0.004832,0.047874,0.000544,0.014016,0.000416,0.167431,0.000544,0.883619
0.421713,0.017281,0.202408,0.005088,0.048098,0.000576,0.013888,0.000416,0.173031,0.000672,0.890339
0.415792,0.017249,0.222088,0.005217,0.048226,0.000576,0.013440,0.000416,0.175591,0.000576,0.905987
0.415952,0.017377,0.202120,0.004800,0.048066,0.000544,0.013473,0.000416,0.170278,0.000544,0.880002
0.416048,0.017505,0.202536,0.004800,0.047842,0.000576,0.013376,0.000416,0.168775,0.000544,0.878818
0.416048,0.017536,0.202344,0.004832,0.047330,0.000576,0.013409,0.000416,0.174855,0.000608,0.884963
0.435857,0.017537,0.201928,0.004864,0.047266,0.000576,0.013344,0.000448,0.175527,0.000544,0.905251
0.416304,0.017377,0.202184,0.005088,0.047522,0.000800,0.013408,0.000448,0.177767,0.000641,0.888803
0.416720,0.017505,0.202632,0.004992,0.047554,0.000736,0.013472,0.000416,0.164807,0.000640,0.876610
0.417073,0.017504,0.219465,0.005184,0.048610,0.000576,0.013633,0.000384,0.184839,0.000608,0.916196
0.416912,0.017377,0.201992,0.004832,0.048738,0.000576,0.013505,0.000416,0.166854,0.000640,0.878818
0.420241,0.017472,0.202088,0.005057,0.047905,0.000576,0.013440,0.000384,0.168167,0.000576,0.883203
0.416592,0.017601,0.202120,0.004800,0.047202,0.000576,0.013408,0.000384,0.170887,0.000576,0.881442
0.433201,0.017345,0.202312,0.004832,0.046914,0.000608,0.013408,0.000352,0.179783,0.000640,0.906500
0.421456,0.017601,0.202376,0.004928,0.047106,0.000544,0.013376,0.000416,0.164647,0.000672,0.880098
0.416432,0.017505,0.202152,0.005088,0.047106,0.000576,0.013377,0.000352,0.172102,0.000672,0.882627
0.421553,0.017441,0.202152,0.005024,0.047074,0.000576,0.013440,0.000352,0.199848,0.000640,0.916292
0.416816,0.017473,0.202024,0.005088,0.047074,0.000704,0.013504,0.000352,0.178375,0.000640,0.889026
0.417968,0.017569,0.202248,0.004832,0.047138,0.000512,0.013504,0.000384,0.177959,0.000640,0.890370
0.416944,0.017537,0.202184,0.005184,0.047714,0.000736,0.013696,0.000384,0.183495,0.000672,0.895811
0.435154,0.017472,0.202344,0.004768,0.048162,0.000544,0.013537,0.000416,0.178119,0.000608,0.908228
0.416336,0.017409,0.203208,0.004864,0.049154,0.000736,0.013441,0.000416,0.176135,0.000512,0.889443
0.423921,0.017505,0.202120,0.005184,0.047874,0.000544,0.013600,0.000352,0.168583,0.000576,0.887363
0.420688,0.017505,0.203432,0.005088,0.048514,0.000768,0.013313,0.000416,0.190983,0.000640,0.908291
0.416784,0.018017,0.202920,0.004864,0.047874,0.000768,0.013376,0.000385,0.174726,0.000576,0.887426
0.416689,0.017280,0.202440,0.004864,0.047714,0.000480,0.013377,0.000416,0.173287,0.000544,0.883555
0.420688,0.017505,0.202536,0.004992,0.047554,0.000576,0.013600,0.000416,0.170022,0.000832,0.886338
0.442705,0.017313,0.202376,0.004800,0.047330,0.000544,0.013473,0.000384,0.176166,0.000672,0.913348
0.420176,0.017248,0.202408,0.004832,0.047426,0.000800,0.013345,0.000352,0.173063,0.000576,0.887395
0.415984,0.017441,0.202440,0.004992,0.047266,0.000576,0.013600,0.000384,0.178023,0.000608,0.888834
0.416433,0.017376,0.202792,0.005024,0.048257,0.000576,0.013473,0.000384,0.176423,0.000576,0.888387
0.416912,0.017217,0.202120,0.005120,0.047746,0.000576,0.013376,0.000384,0.185096,0.000544,0.895939
0.417680,0.017441,0.202248,0.005056,0.047522,0.000768,0.013440,0.000416,0.167047,0.000608,0.879842
0.421808,0.017344,0.202504,0.004832,0.046978,0.000640,0.013409,0.000352,0.171687,0.000768,0.887971
0.421840,0.017441,0.218889,0.005024,0.047170,0.000544,0.013280,0.000384,0.208776,0.000544,0.941957
