Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],TEE[9-10],classifier
0.542901,0.017889,0.206056,0.004864,0.048002,0.000800,0.013505,0.000352,0.001504,0.092131,0.998215
0.418864,0.017697,0.203784,0.004896,0.047362,0.000608,0.013601,0.000352,0.001536,0.121413,0.903715
0.433009,0.017889,0.203432,0.004896,0.048098,0.000608,0.013568,0.000352,0.001568,0.117285,0.908707
0.416368,0.017505,0.223529,0.004896,0.049154,0.000768,0.014273,0.000320,0.001600,0.116164,0.915716
0.416145,0.017728,0.202856,0.004833,0.047905,0.000576,0.014017,0.000384,0.001472,0.114341,0.892547
0.416145,0.017473,0.202280,0.004896,0.049058,0.000576,0.014112,0.000352,0.001536,0.113285,0.891715
0.418321,0.017793,0.202151,0.004897,0.048674,0.000608,0.014272,0.000384,0.001504,0.116773,0.896547
0.416113,0.017505,0.202407,0.004832,0.049346,0.000576,0.013920,0.000384,0.001536,0.117125,0.896612
0.416305,0.017889,0.202216,0.005312,0.048450,0.000576,0.013856,0.000320,0.001536,0.117381,0.894499
0.415568,0.017632,0.202504,0.004896,0.049218,0.000576,0.013537,0.000384,0.001472,0.115941,0.891427
0.435633,0.017377,0.202280,0.004960,0.049026,0.000800,0.013568,0.000320,0.001440,0.113829,0.906275
0.416272,0.017536,0.202088,0.004832,0.050434,0.000576,0.014273,0.000352,0.001472,0.113284,0.889219
0.418192,0.017505,0.202568,0.004832,0.049122,0.000544,0.013665,0.000384,0.001440,0.115044,0.895971
0.415952,0.017217,0.202376,0.004896,0.050466,0.000576,0.014049,0.000352,0.001504,0.114852,0.908868
0.416817,0.017888,0.205096,0.004897,0.048193,0.000576,0.013665,0.000384,0.001472,0.114149,0.893955
0.418641,0.017697,0.203688,0.004896,0.048002,0.000608,0.013536,0.000384,0.001536,0.118437,0.896771
0.417072,0.017729,0.202952,0.004960,0.047746,0.000576,0.013568,0.000352,0.001537,0.118852,0.901283
0.437873,0.017697,0.202664,0.004864,0.048290,0.000608,0.013601,0.000352,0.001408,0.121157,0.919268
0.415921,0.017568,0.202664,0.004865,0.048321,0.000576,0.013537,0.000352,0.001536,0.114629,0.887843
0.415984,0.017825,0.202472,0.004864,0.047970,0.000576,0.013984,0.000384,0.001440,0.115909,0.894114
0.416080,0.017665,0.202024,0.005280,0.048834,0.000576,0.013569,0.000384,0.001504,0.133797,0.910788
0.416272,0.017409,0.202408,0.004864,0.048066,0.000576,0.013601,0.000384,0.001504,0.104260,0.879938
