Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],TEE[9-9],Layer[10],classifier
0.541365,0.017696,0.205160,0.004865,0.047329,0.000576,0.013409,0.000384,0.001440,0.155974,0.000832,0.997415
0.418128,0.017761,0.204488,0.004768,0.048578,0.000640,0.013824,0.000320,0.001473,0.176870,0.000961,0.896164
0.419089,0.017281,0.204424,0.005056,0.048802,0.000608,0.013920,0.000320,0.001440,0.185832,0.000800,0.906564
0.417968,0.017345,0.203496,0.004896,0.048194,0.000608,0.014048,0.000384,0.001504,0.197288,0.000800,0.914756
0.417553,0.017249,0.202599,0.004960,0.047810,0.000576,0.013728,0.000352,0.001472,0.179047,0.000832,0.893763
0.416945,0.017248,0.202344,0.005025,0.047521,0.000577,0.013920,0.000352,0.001472,0.181639,0.000832,0.894851
0.418640,0.020897,0.202216,0.004768,0.048002,0.000544,0.013921,0.000352,0.001472,0.182951,0.000800,0.902243
0.431153,0.018017,0.202472,0.004800,0.048194,0.000608,0.014113,0.000352,0.001472,0.176423,0.000800,0.905284
0.417137,0.017184,0.202568,0.004833,0.047809,0.000481,0.013760,0.000384,0.001536,0.173479,0.000736,0.887555
0.418480,0.017473,0.203592,0.004832,0.048930,0.000640,0.013760,0.000352,0.001440,0.177799,0.000768,0.896196
0.417776,0.017441,0.202312,0.004832,0.048610,0.000576,0.013728,0.000384,0.001441,0.207848,0.000768,0.924708
0.417104,0.017633,0.202504,0.004800,0.048034,0.000608,0.014016,0.000352,0.001440,0.187656,0.001024,0.903459
0.417616,0.017313,0.202440,0.005024,0.048610,0.000640,0.014049,0.000384,0.001440,0.173447,0.001024,0.890883
0.416656,0.017313,0.202120,0.004768,0.048514,0.000640,0.013856,0.000352,0.001440,0.178343,0.000897,0.893539
0.434065,0.017472,0.202824,0.005217,0.047425,0.000576,0.013569,0.000320,0.001408,0.185095,0.000768,0.917091
0.415600,0.017281,0.202696,0.004800,0.048066,0.000608,0.013537,0.000384,0.001408,0.177223,0.000768,0.890563
0.416528,0.017441,0.202280,0.004768,0.047554,0.000608,0.013473,0.000320,0.001504,0.178311,0.000864,0.891555
0.417201,0.017473,0.202599,0.004768,0.047266,0.000608,0.013472,0.000384,0.001440,0.205096,0.000896,0.919172
0.416144,0.017345,0.202792,0.004832,0.047906,0.000608,0.014081,0.000352,0.001568,0.174535,0.001056,0.890435
0.416656,0.017249,0.202920,0.005248,0.048674,0.000640,0.013953,0.000352,0.001536,0.177575,0.001056,0.893827
0.415312,0.017377,0.202376,0.005056,0.048866,0.000608,0.013601,0.000384,0.001472,0.174407,0.001056,0.888643
0.433713,0.017281,0.202952,0.004768,0.049282,0.000608,0.013472,0.000352,0.001376,0.178567,0.001056,0.911652
0.417488,0.017345,0.202536,0.004800,0.048898,0.000608,0.013408,0.000416,0.001504,0.184647,0.001088,0.900355
0.415760,0.017377,0.202408,0.005280,0.048962,0.000576,0.013440,0.000384,0.001504,0.181000,0.000736,0.895523
0.415664,0.017281,0.202792,0.005216,0.048962,0.000608,0.013696,0.000384,0.001472,0.194856,0.000864,0.909955
0.416848,0.017313,0.202504,0.005056,0.048130,0.000544,0.013440,0.000416,0.001504,0.177735,0.001024,0.892034
0.415633,0.017536,0.202568,0.005281,0.048770,0.000576,0.013792,0.000352,0.001504,0.164423,0.000704,0.879203
0.415984,0.017313,0.202920,0.004960,0.048162,0.000608,0.013665,0.000416,0.001536,0.176551,0.000832,0.890819
0.434929,0.017505,0.202472,0.005248,0.048354,0.000576,0.013728,0.000352,0.001536,0.171879,0.000832,0.906499
0.415697,0.017344,0.202856,0.005345,0.048129,0.000608,0.014209,0.000352,0.001504,0.178855,0.000736,0.893443
0.416177,0.017440,0.202280,0.005281,0.048801,0.000576,0.013857,0.000352,0.001504,0.179783,0.000864,0.895011
0.415280,0.017600,0.201928,0.004768,0.048866,0.000608,0.048802,0.000768,0.001696,0.173159,0.000928,0.923076
0.415536,0.017313,0.202248,0.005280,0.047938,0.000608,0.013536,0.000352,0.001472,0.166279,0.000768,0.879682
0.416464,0.017281,0.202376,0.004832,0.047970,0.000576,0.013505,0.000384,0.001568,0.184903,0.000960,0.899203
0.416016,0.017345,0.202536,0.004992,0.047618,0.000608,0.013504,0.000384,0.001505,0.180807,0.000768,0.894435
0.431345,0.017313,0.202440,0.005248,0.047202,0.000576,0.013376,0.000416,0.001505,0.177511,0.000992,0.905988
0.415568,0.017537,0.202152,0.004832,0.046978,0.000672,0.013377,0.000384,0.001504,0.173223,0.000928,0.885123
0.415920,0.017473,0.202568,0.005248,0.047010,0.000640,0.013408,0.000384,0.001504,0.178087,0.000896,0.891074
0.417137,0.017280,0.202119,0.005025,0.066274,0.000640,0.014145,0.000384,0.001472,0.179655,0.000576,0.913636
0.416176,0.017281,0.203336,0.005024,0.049506,0.000576,0.013761,0.000384,0.001472,0.171782,0.000832,0.888195
0.418961,0.017217,0.202376,0.005216,0.048642,0.000608,0.013856,0.000384,0.001472,0.182888,0.001056,0.900868
0.415409,0.017504,0.202408,0.004801,0.048225,0.000608,0.013953,0.000384,0.001504,0.178951,0.000672,0.892675
0.434225,0.017313,0.202408,0.005216,0.048194,0.000608,0.013536,0.000352,0.001408,0.178503,0.000961,0.911204
0.416752,0.017537,0.202632,0.005024,0.047746,0.000608,0.013473,0.000352,0.001472,0.173639,0.000768,0.887811
0.415536,0.017248,0.203496,0.004768,0.047202,0.000576,0.013441,0.000384,0.001504,0.182119,0.000768,0.895683
0.416592,0.017345,0.222569,0.005248,0.047810,0.000576,0.013472,0.000352,0.001472,0.176775,0.001024,0.911716
0.417521,0.017569,0.203559,0.004800,0.047170,0.000608,0.013472,0.000384,0.001504,0.180647,0.000992,0.896003
0.417840,0.017216,0.202728,0.004800,0.047554,0.000608,0.013537,0.000352,0.001472,0.179687,0.000608,0.894339
0.416496,0.017473,0.202024,0.005280,0.047458,0.000544,0.013408,0.000417,0.001504,0.187399,0.000832,0.901795
0.434833,0.017505,0.202984,0.004768,0.048994,0.000640,0.013568,0.000352,0.001504,0.177319,0.000769,0.911460
0.417008,0.017281,0.203080,0.005024,0.047618,0.000640,0.013537,0.000384,0.001440,0.174182,0.000992,0.889091
0.416240,0.017377,0.202824,0.004992,0.047234,0.000608,0.013536,0.000352,0.001472,0.183240,0.001056,0.896515
0.416689,0.017249,0.220584,0.005120,0.047714,0.000672,0.013505,0.000384,0.001504,0.184743,0.001056,0.917732
0.415408,0.017345,0.202024,0.004800,0.047682,0.000608,0.013536,0.000416,0.001440,0.178406,0.001056,0.890627
0.416240,0.017281,0.202311,0.004864,0.047042,0.000576,0.013472,0.000384,0.001504,0.180679,0.001056,0.893443
0.416560,0.017281,0.202472,0.004832,0.046850,0.000608,0.013441,0.000384,0.001504,0.185159,0.000832,0.897795
0.417200,0.017473,0.202312,0.005024,0.047458,0.000608,0.013440,0.000352,0.001536,0.177511,0.000864,0.891714
0.416624,0.017473,0.202536,0.004768,0.047522,0.000640,0.013601,0.000352,0.001472,0.179911,0.000832,0.893507
0.417041,0.017312,0.202439,0.005057,0.047106,0.000608,0.013664,0.000352,0.001472,0.177383,0.000832,0.891875
0.416017,0.017280,0.229545,0.005153,0.046977,0.000609,0.013408,0.000384,0.001472,0.174343,0.000960,0.914724
0.416048,0.017345,0.202120,0.005312,0.046946,0.000608,0.013473,0.000384,0.001536,0.186567,0.000640,0.898883
0.416048,0.017377,0.202152,0.005248,0.048290,0.000640,0.013792,0.000384,0.001568,0.174310,0.000961,0.888739
0.416368,0.017281,0.202120,0.005312,0.047938,0.000576,0.013729,0.000384,0.001536,0.171783,0.000736,0.886019
0.416304,0.017313,0.202152,0.005088,0.047522,0.000608,0.013569,0.000384,0.001472,0.174055,0.000736,0.887107
0.416912,0.017313,0.202568,0.005056,0.047394,0.000608,0.013504,0.000352,0.001536,0.175591,0.000960,0.889442
0.415984,0.017281,0.202792,0.004832,0.046946,0.000608,0.013504,0.000352,0.001536,0.158695,0.000768,0.871586
0.416816,0.017280,0.223977,0.005216,0.047426,0.000608,0.013441,0.000320,0.001408,0.172487,0.001024,0.908068
0.419664,0.017505,0.202216,0.005216,0.047138,0.000608,0.013376,0.000353,0.001440,0.178759,0.001056,0.895875
0.416465,0.017344,0.202696,0.005025,0.049026,0.000576,0.013888,0.000352,0.001408,0.180103,0.000992,0.896131
0.417488,0.017473,0.203752,0.004992,0.048002,0.000640,0.013440,0.000352,0.001440,0.171623,0.000704,0.887586
0.415920,0.017249,0.202952,0.005216,0.048130,0.000576,0.013440,0.000384,0.001568,0.185768,0.000768,0.899651
0.416560,0.017217,0.202536,0.004768,0.049090,0.000608,0.013697,0.000352,0.001440,0.182855,0.001120,0.898499
0.418096,0.017537,0.203048,0.005120,0.048258,0.000576,0.013440,0.000384,0.001472,0.175111,0.001088,0.892130
0.417392,0.017313,0.222473,0.005280,0.047938,0.000576,0.013472,0.000384,0.001472,0.173734,0.000672,0.908739
0.416592,0.017441,0.203496,0.004768,0.047746,0.000576,0.013344,0.000384,0.001408,0.175526,0.001025,0.890243
0.417968,0.017536,0.202248,0.005248,0.047426,0.000576,0.013345,0.000384,0.001472,0.184327,0.001088,0.899555
0.415760,0.017569,0.203080,0.005280,0.047490,0.000608,0.013440,0.000384,0.001472,0.162855,0.000832,0.877122
0.418480,0.017569,0.202184,0.005280,0.048418,0.000608,0.013537,0.000384,0.001664,0.179879,0.001024,0.897731
0.416528,0.017537,0.202248,0.005088,0.048642,0.000576,0.013313,0.000320,0.001408,0.177799,0.000704,0.892579
0.416784,0.017249,0.202440,0.005024,0.047938,0.000640,0.013473,0.000352,0.001376,0.173703,0.001056,0.887875
0.416528,0.017537,0.240586,0.005152,0.048098,0.000640,0.013600,0.000384,0.001504,0.176007,0.000736,0.930084
0.416272,0.017281,0.203048,0.004832,0.049794,0.000576,0.014561,0.000352,0.001504,0.176583,0.000768,0.893763
0.415249,0.017248,0.202407,0.004833,0.049346,0.000640,0.013824,0.000352,0.001440,0.181671,0.000800,0.895812
0.416080,0.017569,0.203272,0.004960,0.048386,0.000608,0.013600,0.000352,0.001440,0.165383,0.000896,0.881346
0.416497,0.017184,0.203112,0.004993,0.047329,0.000608,0.013537,0.000352,0.001408,0.175399,0.000864,0.889795
0.416208,0.017377,0.202472,0.004864,0.047874,0.000608,0.013537,0.000384,0.001504,0.207592,0.001024,0.921028
0.417840,0.017537,0.202696,0.004832,0.047458,0.000640,0.013441,0.000352,0.001376,0.176903,0.000992,0.891683
