IN[5632],IN[2560],IN[3072],IN[4],IN[128],IN[8192],IN[6144],IN[8704],IN[4096],IN[16],IN[1536],IN[5120],IN[1024],IN[2048],IN[6656],IN[64],IN[32],IN[256],IN[7680],IN[8],IN[9728],IN[512],IN[3584],IN[9216],IN[7168],IN[10240],IN[1],IN[2],IN[4608]
0.16531400000000002,0.125057,0.146082,0.08566499999999999,0.078593,0.19069,0.15965,0.157666,0.166594,0.07180800000000001,0.152065,0.128737,0.105377,0.143425,0.120545,0.079073,0.093921,0.083616,0.150593,0.079713,0.206594,0.078945,0.118369,0.178146,0.148577,0.14653,0.07356900000000001,0.083233,0.140289
0.139073,0.15693,0.145698,0.084865,0.097569,0.137473,0.180674,0.195778,0.163234,0.066465,0.129634,0.171457,0.10300899999999999,0.103425,0.122946,0.08643300000000001,0.07081699999999999,0.07689700000000001,0.12941,0.11081700000000001,0.20233800000000002,0.102177,0.160193,0.212546,0.171425,0.17177699999999999,0.080481,0.08716900000000001,0.135937
0.142049,0.11801700000000001,0.10774500000000001,0.079457,0.082209,0.13497699999999999,0.18045,0.16605,0.11296099999999999,0.070592,0.14486500000000002,0.17696199999999998,0.109345,0.119585,0.142369,0.078689,0.073888,0.074625,0.148833,0.080033,0.184193,0.10304100000000001,0.170785,0.185634,0.195777,0.183586,0.07699199999999999,0.079489,0.147489
0.171298,0.12096099999999999,0.10780899999999999,0.074337,0.081217,0.129057,0.15593800000000002,0.197794,0.157281,0.08934500000000001,0.099329,0.157666,0.107329,0.12070499999999999,0.161698,0.076769,0.083521,0.097825,0.148481,0.071137,0.16614500000000001,0.095777,0.15344100000000002,0.210722,0.180354,0.18118599999999999,0.08515299999999999,0.079297,0.131105
0.160898,0.11308900000000001,0.146337,0.072545,0.08336,0.17005,0.146241,0.20509000000000002,0.138785,0.070369,0.11443299999999999,0.17888099999999998,0.106465,0.105473,0.180418,0.07504,0.07417699999999999,0.105121,0.187618,0.088865,0.20093,0.09926499999999999,0.161858,0.190946,0.17686500000000002,0.196962,0.11392100000000001,0.087745,0.144226
0.13033699999999998,0.109793,0.119617,0.067649,0.070177,0.141537,0.137473,0.150018,0.149346,0.075552,0.13837,0.159906,0.108001,0.108641,0.15936199999999998,0.072193,0.095649,0.09363300000000001,0.147458,0.08067300000000001,0.173154,0.075905,0.154434,0.144897,0.17241800000000002,0.154114,0.073408,0.081089,0.136737
0.152834,0.102433,0.14332999999999999,0.079872,0.076224,0.156226,0.165378,0.180482,0.132321,0.07472100000000001,0.12828900000000001,0.176481,0.099553,0.088001,0.12313699999999998,0.075809,0.104897,0.103809,0.170722,0.07344099999999999,0.180802,0.12070499999999999,0.146305,0.15478599999999998,0.177026,0.20806599999999997,0.105121,0.10304100000000001,0.11565
0.176034,0.11500899999999999,0.12780899999999998,0.077889,0.10339300000000001,0.15949000000000002,0.156449,0.184641,0.135457,0.072193,0.11136199999999999,0.177377,0.092416,0.11773,0.144673,0.073025,0.075329,0.10115299999999999,0.168449,0.100865,0.142753,0.100385,0.169409,0.174177,0.140289,0.19689700000000002,0.078592,0.066496,0.154945
0.16957,0.148225,0.152642,0.07545700000000001,0.077632,0.162145,0.186306,0.17286600000000002,0.146977,0.070272,0.10678499999999999,0.175426,0.126433,0.105825,0.167297,0.09907300000000001,0.07488099999999999,0.088033,0.14796900000000002,0.081217,0.159777,0.091392,0.165185,0.13251400000000002,0.182658,0.157986,0.074241,0.087521,0.157889
0.15856099999999998,0.12313699999999998,0.10323299999999999,0.074977,0.092545,0.12598499999999999,0.17449800000000001,0.170242,0.145793,0.076065,0.11670599999999999,0.17264100000000002,0.10470499999999999,0.094816,0.135554,0.103457,0.099425,0.090433,0.164354,0.076769,0.20253,0.10441700000000001,0.163522,0.17491400000000001,0.18198599999999998,0.141921,0.07888099999999999,0.07347200000000001,0.151362
