TEE[0-0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
8.670524,0.017890,0.252021,0.004897,0.047012,0.000736,0.013409,0.000352,0.001504,0.002401,0.000512,9.019706
1.211110,0.018049,0.204818,0.005248,0.047844,0.000768,0.014625,0.000576,0.001568,0.001696,0.000576,1.516256
1.204614,0.017890,0.204945,0.005057,0.049124,0.000576,0.014273,0.000640,0.001536,0.001569,0.000576,1.510592
1.180644,0.017730,0.204689,0.005281,0.048324,0.000576,0.013985,0.000544,0.001504,0.001472,0.000353,1.484670
1.223111,0.017569,0.204913,0.005312,0.048356,0.000608,0.013985,0.000608,0.001600,0.001056,0.000352,1.526273
1.202758,0.017602,0.204849,0.004960,0.048708,0.000608,0.013793,0.000576,0.001504,0.000992,0.000352,1.505343
1.241481,0.017794,0.204849,0.005121,0.048452,0.000576,0.013697,0.000576,0.001568,0.001057,0.000416,1.545155
1.188932,0.017794,0.204593,0.005217,0.048036,0.000576,0.013665,0.000384,0.001568,0.001056,0.000384,1.491358
1.254922,0.017985,0.204562,0.005280,0.048836,0.000544,0.013698,0.000384,0.001504,0.001216,0.000384,1.558307
1.194341,0.017698,0.203729,0.004897,0.048932,0.000576,0.013793,0.000352,0.001536,0.001024,0.000384,1.496158
1.237097,0.017890,0.224050,0.005248,0.048676,0.000576,0.014305,0.000353,0.001568,0.001024,0.000608,1.560964
1.222344,0.017857,0.204146,0.005248,0.049540,0.000544,0.013762,0.000384,0.001504,0.001024,0.000384,1.525985
1.182084,0.017698,0.203729,0.005249,0.048452,0.000608,0.013889,0.000384,0.001440,0.001088,0.000352,1.483805
1.257418,0.017794,0.203633,0.004992,0.049188,0.000576,0.013826,0.000416,0.001472,0.001024,0.000576,1.559811
1.197573,0.018017,0.204018,0.005344,0.047844,0.000640,0.014050,0.000384,0.001536,0.001248,0.000576,1.500863
1.209318,0.017954,0.204081,0.005089,0.048964,0.000608,0.013761,0.000416,0.001440,0.001120,0.000384,1.511840
1.193669,0.017986,0.203633,0.005281,0.048644,0.000576,0.014113,0.000352,0.001440,0.001056,0.000416,1.495935
1.230216,0.017729,0.203569,0.005025,0.049412,0.000544,0.013889,0.000416,0.001472,0.001057,0.000352,1.534338
1.211526,0.017697,0.204210,0.005280,0.048292,0.000576,0.013825,0.000352,0.001472,0.001024,0.000352,1.513152
1.189828,0.017698,0.220530,0.005248,0.050148,0.000544,0.014050,0.000384,0.001568,0.001056,0.000608,1.511071
1.231111,0.017857,0.204177,0.005057,0.050148,0.000576,0.013665,0.000417,0.001408,0.001024,0.000384,1.534401
1.229192,0.018114,0.210098,0.005248,0.048868,0.000576,0.014434,0.000384,0.001568,0.001504,0.000416,1.541474
1.230952,0.018082,0.205457,0.005441,0.048388,0.000608,0.013953,0.000352,0.001568,0.001088,0.000576,1.535650
1.191684,0.017985,0.204945,0.005281,0.048260,0.000544,0.014049,0.000352,0.001536,0.001281,0.000384,1.494718
1.198853,0.017569,0.204722,0.005056,0.048836,0.000576,0.013729,0.000384,0.001537,0.001024,0.000384,1.500831
1.225543,0.024675,0.204721,0.004992,0.049413,0.000576,0.013857,0.000352,0.001504,0.001152,0.000384,1.536609
1.214406,0.017954,0.204273,0.005313,0.048676,0.000576,0.013889,0.000384,0.001600,0.001344,0.000576,1.518175
1.191236,0.017730,0.203889,0.005313,0.048900,0.000544,0.013857,0.000416,0.001536,0.001248,0.000384,1.493821
1.211974,0.017601,0.222835,0.005121,0.049028,0.000608,0.013633,0.000352,0.001632,0.001057,0.000352,1.533569
1.197125,0.017889,0.203666,0.005120,0.049220,0.000576,0.013601,0.000384,0.001504,0.001056,0.000384,1.499134
1.202950,0.017825,0.203569,0.005216,0.048548,0.000576,0.013506,0.000384,0.001440,0.001120,0.000352,1.503327
1.250953,0.017921,0.204049,0.005281,0.049444,0.000608,0.013793,0.000384,0.001376,0.001025,0.000384,1.553283
1.208166,0.017761,0.203857,0.005312,0.048836,0.000576,0.013890,0.000384,0.001440,0.001056,0.000352,1.509791
1.208261,0.017857,0.205330,0.005088,0.048804,0.000608,0.013601,0.000384,0.001473,0.001024,0.000384,1.511007
1.181796,0.017730,0.204177,0.005056,0.048420,0.000609,0.013569,0.000352,0.001472,0.001024,0.000384,1.483005
1.194500,0.017666,0.203921,0.005025,0.048516,0.000544,0.013441,0.000576,0.001504,0.001024,0.000352,1.494941
1.188260,0.017954,0.204721,0.005248,0.048548,0.000576,0.013505,0.000352,0.001440,0.001056,0.000384,1.490877
1.183684,0.017826,0.203921,0.004832,0.070630,0.000640,0.013666,0.000448,0.001568,0.000960,0.000352,1.507103
1.200805,0.017857,0.203698,0.005056,0.048964,0.000608,0.013441,0.000416,0.001473,0.001120,0.000416,1.502302
1.191716,0.018081,0.204337,0.005025,0.048004,0.000608,0.013825,0.000384,0.001472,0.001057,0.000384,1.493630
1.205702,0.017697,0.203794,0.005088,0.048900,0.000608,0.013985,0.000353,0.001536,0.000832,0.000352,1.507455
1.185444,0.017889,0.203122,0.005280,0.048836,0.000576,0.013601,0.000384,0.001408,0.000960,0.000288,1.486205
1.231367,0.017986,0.204657,0.005281,0.048644,0.000736,0.014817,0.000384,0.001536,0.001729,0.000448,1.536001
1.216742,0.017826,0.203569,0.005024,0.048389,0.000768,0.013953,0.000416,0.001408,0.001088,0.000352,1.518687
1.196612,0.017953,0.203313,0.005249,0.049124,0.000576,0.013505,0.000384,0.001537,0.001024,0.000384,1.497726
1.229159,0.017601,0.203633,0.005249,0.049124,0.000576,0.013825,0.000352,0.001601,0.001216,0.000320,1.531073
1.152545,0.017986,0.204177,0.005312,0.048452,0.000576,0.013762,0.000352,0.001408,0.000992,0.000352,1.454970
1.205829,0.017890,0.203889,0.005152,0.048132,0.000833,0.013761,0.000384,0.001472,0.001184,0.000352,1.507166
1.164833,0.017889,0.203729,0.005025,0.049252,0.000608,0.013729,0.000352,0.001376,0.000993,0.000384,1.466844
1.184612,0.017858,0.204305,0.005056,0.050181,0.000608,0.013569,0.000352,0.001408,0.001024,0.000352,1.487869
1.178083,0.017602,0.203761,0.004960,0.048389,0.000576,0.013537,0.000352,0.001472,0.000992,0.000320,1.478620
1.268490,0.017857,0.203249,0.005249,0.049092,0.001024,0.013409,0.000384,0.001440,0.001056,0.000417,1.569924
1.205125,0.017698,0.204785,0.005024,0.049092,0.000928,0.013857,0.000448,0.001376,0.001024,0.000384,1.508254
1.210502,0.017762,0.223987,0.005280,0.048676,0.000608,0.013410,0.000352,0.001440,0.001088,0.000352,1.532449
1.187396,0.017858,0.204273,0.005217,0.048868,0.000576,0.013377,0.000416,0.001408,0.001088,0.000384,1.489469
1.186467,0.017857,0.204369,0.005313,0.048548,0.000576,0.013665,0.000416,0.001536,0.001120,0.000352,1.488573
1.189732,0.017665,0.204434,0.005088,0.048580,0.000544,0.013313,0.000352,0.001472,0.000992,0.000352,1.491261
1.173315,0.017985,0.203153,0.005248,0.049348,0.000800,0.013409,0.000384,0.001441,0.000960,0.000352,1.474204
1.223879,0.017634,0.203729,0.005024,0.049445,0.000864,0.013729,0.000384,0.001408,0.001280,0.000384,1.526752
1.191780,0.017826,0.204017,0.005056,0.049124,0.000608,0.013474,0.000352,0.001440,0.001024,0.000384,1.493501
1.214150,0.017794,0.204017,0.005281,0.049604,0.000832,0.013793,0.000384,0.001504,0.001024,0.000384,1.517663
1.226726,0.018049,0.203697,0.005025,0.048516,0.000992,0.013409,0.000384,0.001472,0.000992,0.000384,1.527840
