IN[0],INFER[0-0],OUT[0],TEE[0-0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.098817,8.611238,0.091681,8.808040,0.017888,0.253186,0.004832,0.047361,0.000800,0.013568,0.000576,0.001408,0.008480,0.000608,9.162795
0.151585,1.016169,0.081184,1.255242,0.022401,0.204769,0.004896,0.048193,0.000800,0.014080,0.000544,0.001536,0.001216,0.000576,1.559629
0.199586,1.006024,0.084609,1.297771,0.017824,0.204578,0.005344,0.047648,0.000576,0.014048,0.000352,0.001472,0.001184,0.000608,1.596877
0.160609,1.010697,0.114305,1.293259,0.017792,0.204001,0.005280,0.047809,0.000544,0.014240,0.000352,0.001472,0.001440,0.000416,1.591981
0.157537,1.005288,0.083105,1.253482,0.017664,0.203809,0.005345,0.047840,0.000640,0.013984,0.000384,0.001504,0.001280,0.000448,1.551756
0.180001,1.012968,0.092225,1.291498,0.017856,0.203362,0.005248,0.066433,0.000640,0.013984,0.000384,0.001568,0.001248,0.000384,1.608525
0.149857,1.000296,0.107329,1.264202,0.018272,0.204066,0.005248,0.047584,0.000576,0.014016,0.000352,0.001536,0.001248,0.000384,1.563181
0.162081,1.000232,0.091360,1.260778,0.017889,0.203553,0.005376,0.047809,0.000608,0.013824,0.000384,0.001568,0.001248,0.000384,1.558669
0.173570,1.001384,0.082080,1.264170,0.017761,0.203169,0.005280,0.048545,0.000576,0.013696,0.000384,0.001536,0.001152,0.000416,1.561869
0.157378,0.999784,0.083552,1.247370,0.017665,0.202977,0.005280,0.049729,0.000640,0.013696,0.000384,0.001536,0.001088,0.000384,1.545965
0.178434,1.021064,0.086433,1.292843,0.017664,0.203617,0.005248,0.048737,0.000576,0.014144,0.000416,0.001536,0.000960,0.000352,1.591725
0.157410,1.004392,0.091617,1.260427,0.017792,0.203393,0.005248,0.047585,0.000608,0.013696,0.000416,0.001440,0.001152,0.000352,1.557549
0.156642,1.020648,0.084449,1.269387,0.017856,0.203265,0.005280,0.048737,0.000608,0.013472,0.000352,0.001440,0.001088,0.000416,1.566925
0.163618,1.000744,0.091552,1.262858,0.017696,0.203105,0.005280,0.047745,0.000576,0.013568,0.000352,0.001472,0.001120,0.000384,1.559469
0.152737,1.018792,0.093089,1.270730,0.017888,0.203586,0.005280,0.048192,0.000576,0.013376,0.000352,0.001504,0.000928,0.000384,1.567916
0.163329,1.001896,0.082657,1.254602,0.017632,0.203618,0.005312,0.048480,0.000576,0.013632,0.000352,0.001504,0.001344,0.000352,1.553324
0.159457,1.000424,0.091969,1.258826,0.017824,0.203650,0.005280,0.067360,0.000608,0.013760,0.000384,0.001472,0.001184,0.000384,1.576844
