IN[0],INFER[0-10],OUT[10],TEE[0-10],classifier
0.111044,9.090157,0.073218,9.282132,9.284468
0.165157,1.589167,0.076995,1.838391,1.840279
0.147396,1.598735,0.085091,1.838999,1.841303
0.151780,1.582255,0.075202,1.817590,1.819478
0.205542,1.631120,0.097507,1.947546,1.950938
0.163141,1.589232,0.076418,1.837335,1.839575
0.169925,1.601040,0.127844,1.907289,1.909305
0.150788,1.601936,0.077282,1.838550,1.840310
0.168709,1.587183,0.072866,1.837526,1.839414
0.149893,1.585455,0.074178,1.817750,1.819478
0.150564,1.576367,0.071970,1.805845,1.807798
0.132868,1.578127,0.074691,1.794038,1.795990
0.131652,1.598544,0.073986,1.812150,1.813942
0.145829,1.587055,0.093987,1.833143,1.834455
0.151140,1.598960,0.071458,1.829110,1.830710
0.140836,1.619024,0.081954,1.848855,1.850903
0.146948,1.586704,0.074914,1.815030,1.816566
0.133060,1.588399,0.073986,1.802998,1.804854
0.135492,1.584975,0.068706,1.795541,1.796949
0.132772,1.602320,0.079170,1.821366,1.823030
0.144997,1.598991,0.074306,1.825462,1.827318
0.146149,1.597807,0.111236,1.863160,1.864952
0.148964,1.601552,0.073154,1.832118,1.834039
0.129604,1.599983,0.079171,1.817046,1.818710
0.127844,1.585391,0.071906,1.792981,1.794677
0.145220,1.599120,0.111811,1.863511,1.865783
0.138532,1.582863,0.069762,1.798741,1.800469
0.142309,1.612847,0.078274,1.840663,1.842391
0.151205,1.584719,0.069538,1.813590,1.814902
0.131332,1.597520,0.074466,1.810422,1.812086
0.147364,1.570607,0.069570,1.795157,1.796693
0.214086,1.623408,0.091651,1.940633,1.942841
0.156516,1.585647,0.074243,1.825110,1.826806
0.171973,1.603248,0.072578,1.854583,1.856023
0.148965,1.585103,0.067874,1.808854,1.810230
0.131140,1.571823,0.071426,1.781109,1.782453
0.146180,1.579151,0.079074,1.811541,1.813205
0.146308,1.579631,0.077602,1.810613,1.812245
0.146052,1.576142,0.089155,1.818070,1.819670
0.146468,1.583631,0.066978,1.802773,1.803925
0.148836,1.598767,0.095715,1.851095,1.852759
0.152133,1.579887,0.075330,1.814774,1.816086
0.145764,1.593552,0.083074,1.830070,1.831862
0.148388,1.584271,0.067906,1.807062,1.808406
0.144548,1.614896,0.079778,1.846134,1.847830
0.143940,1.600336,0.073442,1.823542,1.824630
0.146661,1.608143,0.093250,1.855063,1.856663
0.147908,1.570638,0.074978,1.799701,1.801334
0.143333,1.595567,0.078498,1.824502,1.826102
0.149892,1.583151,0.068450,1.807637,1.808917
0.145348,1.596175,0.075458,1.823958,1.825718
0.149220,1.583503,0.070691,1.810998,1.812502
0.142884,1.592623,0.077186,1.819606,1.821142
0.115331,1.595760,0.073986,1.792629,1.794357
0.152900,1.597616,0.090499,1.848119,1.849879
0.147780,1.583087,0.073347,1.811030,1.812822
0.167909,1.597360,0.074690,1.846135,1.847351
0.127971,1.574287,0.069058,1.777973,1.779573
0.144932,1.602928,0.087970,1.843478,1.845142
0.143044,1.583247,0.067618,1.800277,1.801461
0.145572,1.586671,0.125604,1.864951,1.866551
0.152644,1.592943,0.074018,1.826774,1.828022
0.142084,1.600144,0.087586,1.836758,1.838614
0.146373,1.583087,0.074658,1.812054,1.813718
0.144132,1.613936,0.076898,1.841814,1.843414
0.129508,1.568750,0.067202,1.771604,1.772788
0.152068,1.613104,0.067714,1.840118,1.841846
0.144324,1.582639,0.073603,1.807030,1.808342
0.148420,1.580111,0.074755,1.809846,1.811094
0.144548,1.593679,0.072130,1.816534,1.817878
0.130564,1.596336,0.069666,1.804278,1.805846
0.151045,1.612656,0.083042,1.854999,1.856631
0.144580,1.597104,0.073346,1.822742,1.824406
0.175525,1.614000,0.087235,1.883672,1.885144
0.145444,1.584559,0.078115,1.814230,1.815510
0.143684,1.595632,0.089154,1.835319,1.837015
0.145124,1.570479,0.071458,1.792853,1.794101
0.145668,1.599600,0.080418,1.833110,1.834902
0.143205,1.571310,0.073379,1.794742,1.796534
0.147109,1.590959,0.090115,1.836407,1.838263
0.145732,1.577710,0.074115,1.804662,1.806326
0.149828,1.594032,0.083266,1.835446,1.836982
0.146148,1.575631,0.075778,1.804693,1.805909
0.137348,1.592943,0.125828,1.863704,1.865368
0.128068,1.577839,0.075202,1.787893,1.789077
0.112356,1.596911,0.089987,1.806550,1.808022
0.192677,1.589391,0.080098,1.877367,1.879543
0.134916,1.597647,0.094787,1.835510,1.837206
0.148004,1.573039,0.067618,1.795477,1.796821
0.150213,1.592719,0.105123,1.855831,1.857463
0.151908,1.587504,0.074818,1.822006,1.823222
0.168197,1.594575,0.074275,1.845079,1.846903
0.148773,1.578991,0.073890,1.809398,1.811190
0.129635,1.574734,0.076579,1.788053,1.789525
0.132356,1.586864,0.071234,1.796982,1.798262
0.146212,1.581647,0.076099,1.810166,1.811606
0.145893,1.585359,0.093443,1.832215,1.834007
0.145029,1.587183,0.078306,1.816886,1.818198
0.147204,1.602512,0.079202,1.836502,1.838262
0.145444,1.580719,0.070690,1.804053,1.805237
0.151845,1.597839,0.125412,1.883192,1.884888
0.151844,1.587024,0.072194,1.816598,1.817942
0.148293,1.600847,0.078883,1.835415,1.837111
0.147172,1.583567,0.071330,1.809493,1.811029
0.147204,1.596048,0.089634,1.840790,1.842710
0.148260,1.581871,0.071170,1.808406,1.810134
0.147685,1.602767,0.086723,1.846231,1.847991
0.146533,1.572879,0.074754,1.801622,1.803510
0.132132,1.586479,0.083010,1.809397,1.811062
0.146948,1.571567,0.069314,1.794485,1.795765
0.150628,1.601679,0.086147,1.846519,1.848375
0.148197,1.581903,0.080450,1.817942,1.819542
0.136964,1.590831,0.084579,1.819414,1.820982
0.150309,1.578927,0.076098,1.812694,1.814550
0.181701,1.603728,0.081026,1.873623,1.875735
0.131364,1.571438,0.067298,1.776916,1.778388
0.135044,1.598672,0.081122,1.822934,1.824566
0.147748,1.587023,0.070851,1.812310,1.813782
0.147621,1.592719,0.115363,1.863416,1.865304
0.152517,1.578447,0.069954,1.809142,1.810646
0.164773,1.600783,0.072771,1.847095,1.849207
0.131204,1.584239,0.069058,1.791925,1.793717
0.154341,1.581327,0.077698,1.820790,1.822326
0.148932,1.574318,0.069314,1.800053,1.801653
0.152196,1.582927,0.077634,1.819958,1.821814
0.147108,1.589328,0.114755,1.858487,1.860439
0.125635,1.580879,0.067938,1.780692,1.781908
0.126852,1.594959,0.089667,1.819094,1.820726
0.143332,1.571471,0.072770,1.794837,1.796021
0.142533,1.597199,0.076419,1.822839,1.824471
0.145477,1.586351,0.073762,1.813622,1.815158
0.146788,1.602831,0.080451,1.837815,1.839543
0.145284,1.571983,0.076162,1.799861,1.801045
0.144004,1.594320,0.083458,1.827990,1.829398
0.143492,1.577455,0.066882,1.793685,1.794933
0.141669,1.590479,0.084994,1.822743,1.823927
0.141764,1.576975,0.073634,1.798933,1.800533
0.127332,1.599824,0.093155,1.827031,1.828599
0.141988,1.578799,0.069602,1.796373,1.797621
0.150084,1.598480,0.079298,1.835958,1.837718
0.143812,1.582735,0.073090,1.806901,1.808470
0.143396,1.599408,0.074018,1.824054,1.825590
0.143268,1.569390,0.078882,1.797590,1.799350
0.123524,1.589231,0.079362,1.798581,1.800245
0.143332,1.580719,0.069058,1.798453,1.799573
0.122276,1.584367,0.076610,1.789461,1.790933
0.141669,1.579727,0.067010,1.795254,1.796854
0.117860,1.580687,0.073506,1.778293,1.779733
0.145893,1.575278,0.076994,1.805878,1.807222
0.147493,1.596879,0.084771,1.836727,1.838391
0.131779,1.568430,0.067010,1.774548,1.775669
0.149508,1.588911,0.077315,1.823222,1.824566
0.144740,1.568398,0.074946,1.795765,1.797525
0.145348,1.583119,0.077571,1.813206,1.814934
0.143556,1.580943,0.072194,1.803349,1.804726
0.142852,1.591087,0.079203,1.820534,1.822070
0.141924,1.582607,0.071842,1.803862,1.805654
0.158628,1.594544,0.071714,1.831830,1.833430
0.130628,1.566351,0.072642,1.776373,1.777557
0.150085,1.580367,0.066530,1.803318,1.804566
0.145797,1.574894,0.074755,1.801974,1.803126
0.148101,1.573743,0.069122,1.797942,1.799350
0.144933,1.581839,0.073186,1.806390,1.807990
0.177413,1.577775,0.074210,1.836374,1.838070
0.144228,1.566255,0.090530,1.808181,1.809493
0.141412,1.579310,0.073987,1.801494,1.802774
0.129315,1.592464,0.079650,1.808373,1.810037
0.143685,1.576686,0.072130,1.798294,1.799542
0.146756,1.602064,0.094915,1.852311,1.854071
0.150149,1.578735,0.074690,1.812342,1.814070
0.150660,1.595856,0.105539,1.859735,1.861431
0.134276,1.575086,0.076226,1.794229,1.795797
0.168005,1.596720,0.085026,1.856823,1.858519
0.145093,1.577359,0.074114,1.802678,1.803830
