IN[0],INFER[0-1],OUT[1],TEE[0-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.121604,8.543839,0.090403,8.762726,0.275368,0.005728,0.047554,0.000832,0.013568,0.000384,0.001472,0.012417,0.000576,9.127249
0.142661,1.018974,0.068290,1.235557,0.194406,0.005152,0.048386,0.000544,0.014016,0.000416,0.001472,0.001696,0.000320,1.506925
0.153732,1.019615,0.074498,1.254021,0.198182,0.009344,0.048162,0.000608,0.013664,0.000384,0.001504,0.001504,0.000352,1.532813
0.152004,1.020894,0.071170,1.250853,0.193958,0.005184,0.048930,0.000608,0.014176,0.000352,0.001536,0.001536,0.000352,1.522989
0.145636,1.018526,0.069123,1.239750,0.193797,0.005185,0.049025,0.000608,0.013824,0.000608,0.001473,0.001344,0.000352,1.510830
0.148964,1.039519,0.074883,1.269766,0.198182,0.005120,0.048865,0.000576,0.013537,0.000416,0.001472,0.001344,0.000384,1.544718
0.150884,1.020830,0.072450,1.250149,0.193926,0.005120,0.048962,0.000608,0.014016,0.000384,0.001536,0.001408,0.000448,1.521293
0.150212,1.037599,0.087011,1.282022,0.197830,0.005152,0.047650,0.000608,0.013760,0.000384,0.001536,0.001376,0.000448,1.556398
0.149829,1.017278,0.068034,1.241989,0.193190,0.005152,0.047362,0.000608,0.014048,0.000352,0.001536,0.001376,0.000416,1.510861
0.161028,1.037343,0.077538,1.285350,0.193254,0.005600,0.048641,0.000640,0.013825,0.000352,0.001536,0.001408,0.000416,1.556558
0.149284,1.018398,0.066594,1.239845,0.193190,0.005152,0.048897,0.000608,0.013793,0.000352,0.001504,0.001472,0.000416,1.510157
0.149573,1.019230,0.068194,1.243173,0.231495,0.009121,0.048609,0.000608,0.013601,0.000416,0.001440,0.001472,0.000480,1.555823
0.138981,1.017310,0.070306,1.233733,0.193446,0.005376,0.048578,0.000576,0.013632,0.000320,0.001568,0.001344,0.000416,1.503885
0.133732,1.016926,0.067074,1.224612,0.197350,0.005121,0.049249,0.000576,0.013696,0.000352,0.001504,0.001408,0.000416,1.499149
0.155397,1.040735,0.068258,1.271046,0.192966,0.005632,0.047681,0.000608,0.013729,0.000352,0.001408,0.001152,0.000384,1.539918
0.147012,1.025823,0.067810,1.246565,0.192934,0.005600,0.048802,0.000608,0.013536,0.000384,0.001504,0.001152,0.000384,1.516397
0.153957,1.038431,0.082210,1.281734,0.193862,0.005536,0.048610,0.000576,0.013696,0.000384,0.001472,0.001152,0.000416,1.552174
0.131460,1.017342,0.067938,1.222821,0.193349,0.005536,0.048193,0.000608,0.013600,0.000384,0.001472,0.001121,0.000416,1.492397
0.138980,1.033503,0.089218,1.268645,0.196806,0.005601,0.049281,0.000608,0.013536,0.000384,0.001504,0.001152,0.000416,1.543470
0.150212,1.018943,0.067618,1.244069,0.193286,0.005600,0.049601,0.000640,0.014145,0.000384,0.001408,0.001152,0.000384,1.515629
0.148036,1.017567,0.067778,1.240901,0.216294,0.008896,0.047810,0.000576,0.013984,0.000384,0.001472,0.001473,0.000384,1.538222
0.138500,1.020286,0.069186,1.234661,0.195621,0.005152,0.047617,0.000672,0.013857,0.000384,0.001472,0.001408,0.000416,1.506637
