TEE[0-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
9.132700,0.005728,0.049123,0.000544,0.013409,0.000416,0.001472,0.002560,0.000576,9.213505
1.725144,0.005569,0.048963,0.000864,0.014433,0.000352,0.001793,0.001696,0.000352,1.807294
1.699702,0.005280,0.048995,0.000800,0.014081,0.000352,0.001760,0.001152,0.000352,1.780987
1.706007,0.005281,0.049699,0.000544,0.014177,0.000416,0.001536,0.000960,0.000352,1.785692
1.707959,0.005472,0.053924,0.000640,0.014497,0.000416,0.001568,0.001216,0.000352,1.795005
1.683957,0.005440,0.049027,0.000641,0.013921,0.000384,0.001472,0.001120,0.000416,1.764283
1.662068,0.005312,0.049380,0.000608,0.013665,0.000352,0.001472,0.001248,0.000352,1.742361
1.670549,0.005920,0.048836,0.000608,0.013761,0.000352,0.001376,0.001184,0.000384,1.751354
1.685333,0.005185,0.047875,0.000608,0.013409,0.000384,0.001504,0.001024,0.000416,1.763098
1.680213,0.005281,0.048099,0.000576,0.013441,0.000384,0.001440,0.001152,0.000384,1.758555
1.662771,0.005249,0.048323,0.000576,0.013601,0.000416,0.001568,0.001121,0.000384,1.741753
1.694550,0.005472,0.048707,0.000576,0.014081,0.000448,0.001569,0.001088,0.000576,1.776444
1.663476,0.005249,0.049507,0.000672,0.013793,0.000416,0.001568,0.001120,0.000352,1.743833
1.741017,0.005345,0.049379,0.000800,0.013569,0.000384,0.001472,0.000896,0.000320,1.820639
1.655859,0.005377,0.049571,0.000672,0.013793,0.000416,0.001536,0.001152,0.000385,1.737081
1.687285,0.005280,0.048707,0.000576,0.013441,0.000384,0.001473,0.001056,0.000384,1.766715
1.662099,0.005312,0.049828,0.000576,0.013441,0.000384,0.001408,0.001024,0.000320,1.741721
1.677236,0.005184,0.047779,0.000609,0.013536,0.000480,0.001376,0.000992,0.000384,1.755034
1.666708,0.005345,0.047875,0.000576,0.013441,0.000384,0.001472,0.001120,0.000416,1.744665
1.673013,0.005216,0.047652,0.000832,0.013505,0.000416,0.001568,0.001120,0.000352,1.751642
1.689237,0.005185,0.047491,0.000576,0.013345,0.000416,0.001408,0.001024,0.000384,1.766042
1.684213,0.005408,0.048708,0.000608,0.013569,0.000384,0.001472,0.001216,0.000320,1.764698
1.661812,0.005408,0.048100,0.000544,0.013409,0.000384,0.001504,0.000864,0.000384,1.739481
1.713271,0.005280,0.047908,0.000576,0.013409,0.000416,0.001472,0.001056,0.000320,1.791932
1.670900,0.005312,0.048003,0.000608,0.013697,0.000384,0.001441,0.001248,0.000448,1.751034
1.660691,0.005153,0.051363,0.000608,0.014113,0.000384,0.001440,0.001216,0.000384,1.743801
1.659604,0.005248,0.049348,0.000640,0.013665,0.000448,0.001504,0.001216,0.000352,1.739609
1.725848,0.005376,0.050852,0.000576,0.013473,0.000384,0.001472,0.000960,0.000352,1.806877
1.688373,0.005217,0.048099,0.000608,0.013569,0.000416,0.001504,0.000960,0.000352,1.766298
1.718935,0.005216,0.048196,0.000640,0.013537,0.000416,0.001504,0.001056,0.000352,1.798525
1.679253,0.005344,0.048516,0.000608,0.013537,0.000416,0.001472,0.000992,0.000352,1.758522
1.698134,0.005377,0.048707,0.000608,0.014049,0.000448,0.001600,0.001248,0.000353,1.779516
1.655123,0.005280,0.049700,0.001056,0.013601,0.000352,0.001536,0.001216,0.000384,1.734904
1.688213,0.005344,0.049315,0.001025,0.013536,0.000416,0.001536,0.001376,0.000352,1.768795
1.654291,0.005409,0.048611,0.000544,0.013537,0.000384,0.001472,0.001152,0.000320,1.734104
1.729624,0.005345,0.050051,0.000608,0.014113,0.000416,0.001536,0.001216,0.000352,1.811070
1.664851,0.005248,0.049315,0.000576,0.013632,0.000417,0.001600,0.001088,0.000384,1.744025
1.684564,0.005248,0.049315,0.000577,0.013536,0.000417,0.001536,0.001248,0.000384,1.764026
1.656915,0.005216,0.049091,0.000544,0.013505,0.000416,0.001441,0.001088,0.000352,1.735833
1.715799,0.005280,0.049059,0.000577,0.013440,0.000416,0.001472,0.001088,0.000416,1.795837
1.711831,0.005249,0.048483,0.000608,0.013569,0.000448,0.001472,0.001056,0.000384,1.790556
1.719671,0.005376,0.049028,0.000576,0.013633,0.000416,0.001504,0.001312,0.000352,1.799933
1.666003,0.005312,0.049155,0.000737,0.013568,0.000352,0.001504,0.001120,0.000416,1.745593
1.723192,0.005376,0.049123,0.000576,0.013441,0.000384,0.001568,0.001152,0.000384,1.802813
1.671636,0.005377,0.049123,0.000768,0.013473,0.000384,0.001504,0.001088,0.000352,1.752089
1.701942,0.005281,0.049155,0.000608,0.013409,0.000384,0.001536,0.001280,0.000384,1.781211
1.698774,0.005344,0.049220,0.000576,0.014433,0.000384,0.001408,0.001088,0.000352,1.778267
1.691989,0.005280,0.048707,0.000577,0.013504,0.000384,0.001472,0.001184,0.000320,1.770875
1.671284,0.005344,0.052004,0.000608,0.013505,0.000384,0.001408,0.001184,0.000352,1.753529
1.683060,0.005312,0.049092,0.000832,0.013505,0.000384,0.001376,0.001184,0.000352,1.763738
1.657490,0.005376,0.049603,0.000737,0.013601,0.000352,0.001440,0.001248,0.000352,1.738648
1.712630,0.005376,0.048739,0.000832,0.013569,0.000416,0.001441,0.001152,0.000352,1.792188
1.675700,0.006305,0.049315,0.000544,0.013601,0.000416,0.001504,0.000992,0.000352,1.757209
1.700150,0.005505,0.049251,0.000800,0.013601,0.000416,0.001504,0.001056,0.000384,1.780892
1.659539,0.005216,0.049060,0.000576,0.013473,0.000416,0.001504,0.001248,0.000352,1.739032
1.691061,0.005248,0.049028,0.000544,0.013505,0.000416,0.001472,0.001120,0.000352,1.770490
1.698805,0.005217,0.048387,0.000832,0.013537,0.000384,0.001504,0.001056,0.000384,1.777531
1.691189,0.005313,0.047843,0.000800,0.013473,0.000416,0.001440,0.001120,0.000384,1.769691
1.691030,0.005120,0.048548,0.000608,0.013377,0.000416,0.001472,0.000960,0.000384,1.769275
1.705782,0.005408,0.048515,0.000768,0.013697,0.000352,0.001440,0.001024,0.000384,1.784603
1.677076,0.005344,0.048292,0.000800,0.013537,0.000416,0.001472,0.001088,0.000384,1.756729
1.732568,0.005344,0.048484,0.000800,0.013409,0.000384,0.001472,0.001056,0.000384,1.811261
1.668275,0.007649,0.048195,0.000576,0.013409,0.000384,0.001504,0.000992,0.000352,1.749209
1.686549,0.005377,0.051491,0.000608,0.013665,0.000416,0.001504,0.001088,0.000352,1.769435
1.685012,0.005280,0.049476,0.000576,0.013569,0.000384,0.001440,0.001152,0.000256,1.764954
1.680309,0.005376,0.049284,0.000544,0.013441,0.000384,0.001408,0.000960,0.000384,1.759642
1.690901,0.005377,0.049667,0.000608,0.013377,0.000384,0.001472,0.001185,0.000352,1.770875
1.682932,0.005280,0.048707,0.000545,0.013472,0.000352,0.001440,0.001024,0.000416,1.761434
1.659186,0.005248,0.048707,0.000608,0.013441,0.000384,0.001505,0.000960,0.000416,1.737688
1.717111,0.005345,0.048867,0.000608,0.013409,0.000384,0.001504,0.001152,0.000384,1.795485
1.655506,0.005472,0.049411,0.000608,0.013505,0.000352,0.001537,0.001248,0.000384,1.736888
1.687796,0.005280,0.049347,0.000640,0.013409,0.000384,0.001409,0.001056,0.000320,1.766490
1.638993,0.005281,0.050051,0.000512,0.013377,0.000384,0.001568,0.000896,0.000352,1.718454
1.679476,0.005504,0.049539,0.000640,0.013601,0.000448,0.001376,0.001120,0.000352,1.760314
1.672756,0.005408,0.049156,0.000864,0.013569,0.000480,0.001440,0.000992,0.000320,1.752153
1.682868,0.005217,0.048995,0.000608,0.013569,0.000416,0.001536,0.000928,0.000352,1.761465
1.655058,0.005377,0.048675,0.000576,0.013441,0.000352,0.001408,0.001121,0.000352,1.733240
1.672756,0.007489,0.048899,0.000832,0.013473,0.000448,0.001440,0.000928,0.000384,1.753401
1.669620,0.005344,0.049092,0.000544,0.013505,0.000352,0.001504,0.000992,0.000384,1.748185
1.721047,0.006208,0.049443,0.000801,0.014049,0.000384,0.001696,0.001664,0.000608,1.804125
1.669459,0.005537,0.049059,0.000608,0.013921,0.000352,0.001537,0.001376,0.000576,1.751673
1.657907,0.005376,0.048355,0.000576,0.013473,0.000352,0.001504,0.000992,0.000352,1.736120
1.651666,0.005184,0.048003,0.000800,0.013345,0.000416,0.001537,0.000928,0.000256,1.728856
1.701974,0.005601,0.049379,0.000800,0.013505,0.000416,0.001504,0.000960,0.000352,1.782459
1.679507,0.005344,0.047747,0.000512,0.013409,0.000352,0.001505,0.000768,0.000256,1.756058
1.681236,0.005345,0.047939,0.000480,0.013537,0.000416,0.001536,0.000768,0.000352,1.757689
1.660659,0.005280,0.047876,0.000768,0.013281,0.000384,0.001440,0.000800,0.000384,1.737528
1.659027,0.005536,0.050500,0.000832,0.013313,0.000384,0.001440,0.000896,0.000352,1.738968
1.654514,0.005537,0.048067,0.000576,0.013633,0.000384,0.001472,0.001024,0.000352,1.733047
1.723063,0.005344,0.048356,0.000608,0.013665,0.000384,0.001504,0.001056,0.000352,1.801148
1.667507,0.005281,0.048451,0.000576,0.013505,0.000384,0.001472,0.001121,0.000384,1.746233
1.682644,0.006880,0.048516,0.000768,0.013377,0.000384,0.001440,0.000960,0.000384,1.762457
1.647218,0.005440,0.048067,0.000576,0.013313,0.000352,0.001472,0.000896,0.000416,1.724215
1.728856,0.005344,0.048644,0.000800,0.013665,0.000416,0.001504,0.001152,0.000352,1.809437
1.655795,0.005408,0.048452,0.000640,0.013537,0.000384,0.001472,0.001024,0.000256,1.733880
1.690357,0.011713,0.049187,0.000576,0.013569,0.000416,0.001472,0.001056,0.000352,1.777563
1.669619,0.005440,0.048675,0.000576,0.013473,0.000416,0.001505,0.001120,0.000352,1.749145
1.699989,0.006273,0.048067,0.000608,0.013889,0.000448,0.001472,0.001217,0.000384,1.780507
1.674099,0.005792,0.048323,0.000864,0.013441,0.000416,0.001440,0.001120,0.000352,1.755001
1.702645,0.005601,0.052035,0.000672,0.014081,0.000416,0.001473,0.001184,0.000384,1.787003
1.665107,0.005473,0.049251,0.000832,0.014241,0.000384,0.001568,0.001280,0.000352,1.746425
