IN[0],INFER[0-2],OUT[2],TEE[0-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.129441,9.113830,0.103648,9.352583,0.013281,0.049248,0.000768,0.013472,0.000384,0.001600,0.002080,0.000640,9.439240
0.150433,1.518827,0.093953,1.770285,0.008960,0.049505,0.000608,0.014304,0.000640,0.001728,0.001376,0.000384,1.852814
0.158914,1.501195,0.074817,1.741742,0.005920,0.048384,0.000608,0.014176,0.000608,0.001792,0.001600,0.000352,1.819982
0.159393,1.540492,0.107073,1.814542,0.005856,0.048160,0.000608,0.014080,0.000352,0.001728,0.001344,0.000384,1.891566
0.160705,1.498380,0.074432,1.739821,0.014336,0.050465,0.000544,0.014304,0.000576,0.001696,0.001472,0.000352,1.828846
0.157282,1.529163,0.078689,1.773102,0.005696,0.048448,0.000576,0.014689,0.000576,0.001632,0.001472,0.000384,1.851023
0.179458,1.500331,0.074017,1.760814,0.005632,0.048352,0.000608,0.014592,0.000352,0.001568,0.001504,0.000384,1.838638
0.155457,1.517676,0.086560,1.768013,0.005664,0.048673,0.000576,0.014720,0.000416,0.001632,0.001376,0.000384,1.845998
0.155810,1.499243,0.072193,1.733710,0.005664,0.049056,0.000640,0.014080,0.000608,0.001760,0.001216,0.000416,1.812110
0.151937,1.518604,0.082593,1.761454,0.005760,0.048896,0.000608,0.014144,0.000384,0.001760,0.001344,0.000416,1.839278
0.154913,1.501420,0.075392,1.739981,0.005665,0.048672,0.000640,0.014400,0.000416,0.001504,0.001504,0.000416,1.817742
0.156609,1.504140,0.074337,1.758766,0.005600,0.048736,0.000608,0.014080,0.000384,0.001440,0.001120,0.000416,1.836046
0.157249,1.498252,0.074016,1.735597,0.005537,0.048608,0.000576,0.013856,0.000352,0.001600,0.001248,0.000384,1.812334
0.154689,1.499276,0.074176,1.734797,0.005760,0.048672,0.000608,0.014944,0.000416,0.001696,0.001088,0.000384,1.812974
0.158497,1.500044,0.074944,1.739949,0.010816,0.049057,0.000640,0.015072,0.000416,0.001600,0.001248,0.000416,1.824046
0.156289,1.509388,0.074976,1.745581,0.005600,0.048321,0.000608,0.014368,0.000352,0.001760,0.001184,0.000352,1.822478
0.178785,1.497836,0.098048,1.782349,0.007680,0.048833,0.000672,0.014688,0.000640,0.001888,0.001216,0.000448,1.863566
