TEE[0-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
9.177643,0.049315,0.000608,0.013441,0.000352,0.001536,0.012481,0.000608,9.263569
1.695853,0.049444,0.000672,0.013825,0.000384,0.001824,0.001728,0.000384,1.772690
1.681899,0.049635,0.000672,0.013889,0.000352,0.001568,0.001376,0.000384,1.759568
1.715534,0.049700,0.000704,0.014241,0.000352,0.001824,0.001056,0.000352,1.792787
1.685003,0.049411,0.000640,0.014433,0.000352,0.001632,0.001088,0.000384,1.760976
1.698925,0.051395,0.000576,0.014497,0.000608,0.001664,0.001120,0.000352,1.777906
1.677707,0.049700,0.000672,0.013857,0.000352,0.001536,0.000992,0.000384,1.753744
1.691181,0.050595,0.000640,0.013761,0.000416,0.001472,0.000992,0.000384,1.767090
1.676907,0.049219,0.000640,0.013505,0.000384,0.001473,0.000992,0.000384,1.750704
1.716718,0.050499,0.000640,0.013601,0.000416,0.001536,0.000928,0.000384,1.793266
1.684908,0.049955,0.000640,0.013441,0.000416,0.001440,0.001088,0.000352,1.759760
1.687116,0.050051,0.000576,0.013537,0.000384,0.001536,0.001056,0.000352,1.761072
1.640457,0.050403,0.000512,0.013569,0.000384,0.001376,0.000993,0.000288,1.714958
1.687532,0.049411,0.000672,0.013377,0.000352,0.001440,0.000992,0.000352,1.761617
1.702925,0.049187,0.000641,0.013600,0.000416,0.001473,0.001120,0.000384,1.777170
1.687948,0.048771,0.000640,0.013441,0.000576,0.001568,0.000992,0.000352,1.762321
1.707821,0.050147,0.000672,0.013569,0.000608,0.001536,0.001089,0.000384,1.783026
1.721838,0.051363,0.000704,0.013633,0.000608,0.001568,0.001120,0.000384,1.798035
1.676748,0.048899,0.000704,0.013505,0.000416,0.001440,0.001056,0.000416,1.750224
1.742287,0.048835,0.000736,0.013441,0.000416,0.001472,0.001088,0.000384,1.815156
1.733487,0.050339,0.000576,0.013409,0.000384,0.001408,0.000960,0.000352,1.808180
1.694668,0.051043,0.000736,0.013729,0.000384,0.001536,0.001024,0.000384,1.770865
1.702157,0.050180,0.000704,0.013664,0.000608,0.001440,0.001120,0.000352,1.777874
1.700013,0.052227,0.000640,0.013441,0.000384,0.001536,0.001121,0.000352,1.777714
1.710381,0.049892,0.000672,0.013569,0.000416,0.001472,0.001120,0.000384,1.785394
1.684203,0.050468,0.000672,0.013441,0.000416,0.001440,0.000992,0.000352,1.759504
1.655626,0.049699,0.000736,0.014113,0.000608,0.001408,0.001024,0.000352,1.730830
