IN[0],INFER[0-3],OUT[3],TEE[0-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.107747,9.017325,0.073219,9.204819,0.049761,0.000864,0.013601,0.000352,0.001504,0.002432,0.000544,9.279541
0.145860,1.503533,0.073186,1.728435,0.049634,0.000832,0.013984,0.000384,0.001472,0.001697,0.000320,1.800918
0.152964,1.531694,0.084163,1.777749,0.050145,0.000832,0.014017,0.000384,0.001792,0.001952,0.000384,1.852567
0.132740,1.503917,0.069442,1.713331,0.050370,0.000864,0.015584,0.000416,0.001728,0.001729,0.000384,1.788438
0.146756,1.520238,0.072002,1.745972,0.049921,0.000896,0.015521,0.000416,0.001536,0.001344,0.000416,1.820022
0.148452,1.506029,0.072866,1.734131,0.050466,0.000864,0.014592,0.000448,0.001696,0.001408,0.000384,1.808277
0.167109,1.525837,0.070595,1.770453,0.049217,0.000896,0.014209,0.000384,0.001728,0.001408,0.000384,1.842711
0.154308,1.507341,0.067906,1.736083,0.048706,0.000864,0.014080,0.000352,0.001536,0.001408,0.000416,1.807318
0.166149,1.526286,0.131748,1.832759,0.060962,0.000960,0.014304,0.000384,0.001568,0.001632,0.000416,1.918233
0.150948,1.505709,0.098467,1.763188,0.048962,0.000864,0.014240,0.000448,0.001568,0.001537,0.000384,1.835703
0.145316,1.505997,0.069922,1.728467,0.049250,0.000864,0.014144,0.000416,0.001536,0.001441,0.000416,1.801206
0.147749,1.521549,0.079139,1.756277,0.049537,0.000864,0.014817,0.000384,0.001792,0.001472,0.000384,1.829719
0.149157,1.504717,0.068258,1.729012,0.048897,0.000928,0.014593,0.000384,0.001856,0.001376,0.000416,1.802038
0.146692,1.521102,0.085762,1.761556,0.049058,0.000832,0.014464,0.000384,0.001824,0.001408,0.000352,1.834998
0.147044,1.503405,0.077282,1.734739,0.049538,0.000864,0.013984,0.000384,0.001728,0.001408,0.000352,1.807381
0.129060,1.520301,0.081955,1.739444,0.049249,0.000832,0.013985,0.000416,0.001760,0.001408,0.000384,1.812246
0.155909,1.505453,0.072162,1.740020,0.048961,0.000832,0.014369,0.000416,0.001792,0.001504,0.000352,1.812310
0.139684,1.521038,0.089987,1.758197,0.049217,0.000832,0.014721,0.000352,0.001536,0.001472,0.000352,1.830679
0.149060,1.505773,0.070722,1.732499,0.049090,0.000896,0.014624,0.000384,0.001760,0.001280,0.000352,1.805269
0.153477,1.549870,0.085699,1.796598,0.048641,0.000832,0.014593,0.000384,0.001760,0.001184,0.000384,1.868632
0.145892,1.505229,0.072418,1.729203,0.049090,0.000864,0.013856,0.000320,0.001760,0.001120,0.000352,1.800630
0.149797,1.525517,0.099426,1.781846,0.049121,0.000864,0.014688,0.000352,0.001792,0.001248,0.000352,1.855000
0.147973,1.507661,0.070114,1.733268,0.049186,0.000864,0.014816,0.000352,0.001792,0.001248,0.000352,1.806038
0.149317,1.533517,0.114980,1.805718,0.049985,0.000864,0.014337,0.000384,0.001728,0.001216,0.000384,1.879288
0.145956,1.505516,0.069667,1.728660,0.049793,0.000800,0.014849,0.000416,0.001504,0.001152,0.000416,1.801686
0.148133,1.525645,0.090179,1.771381,0.048834,0.000896,0.014688,0.000352,0.001760,0.001216,0.000352,1.843543
0.133732,1.502189,0.070114,1.713651,0.048866,0.000832,0.015168,0.000320,0.001504,0.001344,0.000384,1.786005
0.172357,1.535789,0.076067,1.791542,0.049089,0.000864,0.015169,0.000416,0.001792,0.001312,0.000352,1.864952
0.186949,1.579087,0.112131,1.886296,0.105603,0.000960,0.015073,0.000352,0.001824,0.001248,0.000384,2.017212
0.146404,1.504685,0.070850,1.729075,0.049602,0.000832,0.015200,0.000416,0.001504,0.001248,0.000480,1.802549
0.147621,1.524653,0.125348,1.805494,0.049154,0.000864,0.014592,0.000384,0.001728,0.001280,0.000448,1.878776
0.132419,1.504940,0.069730,1.714515,0.048769,0.000864,0.013953,0.000320,0.001728,0.001472,0.000480,1.786357
0.148996,1.526702,0.088802,1.771540,0.049186,0.000864,0.014304,0.000352,0.001568,0.001184,0.000448,1.843798
0.146053,1.506509,0.071074,1.730804,0.049313,0.000832,0.014465,0.000352,0.001536,0.001344,0.000448,1.803350
0.149284,1.518605,0.121155,1.796886,0.049377,0.000832,0.013984,0.000321,0.001728,0.001312,0.000448,1.869560
0.155653,1.515341,0.074306,1.752756,0.049058,0.000832,0.014560,0.000384,0.001760,0.001472,0.000449,1.825719
0.150437,1.525709,0.088323,1.772277,0.049698,0.000800,0.014208,0.000352,0.001472,0.001312,0.000416,1.845303
0.155813,1.503981,0.069794,1.736660,0.049217,0.000832,0.013889,0.000416,0.001760,0.001440,0.000416,1.808726
0.142468,1.523277,0.075779,1.749236,0.048865,0.000864,0.013825,0.000352,0.001728,0.001344,0.000448,1.820758
0.188517,1.507533,0.073794,1.777076,0.049346,0.000896,0.014496,0.000384,0.001761,0.001312,0.000448,1.849911
0.149028,1.525006,0.108835,1.790677,0.048930,0.000896,0.015776,0.000352,0.001824,0.001344,0.000480,1.864983
0.148165,1.505773,0.078402,1.739924,0.048834,0.000832,0.013856,0.000352,0.001504,0.001504,0.000448,1.811670
0.149637,1.522125,0.074114,1.753172,0.049282,0.000832,0.013856,0.000320,0.001537,0.001216,0.000480,1.825079
0.143300,1.502925,0.070114,1.723635,0.048642,0.000864,0.014848,0.000320,0.001729,0.001184,0.000448,1.795958
0.167941,1.514062,0.070498,1.759733,0.050433,0.000864,0.015105,0.000384,0.001792,0.001120,0.000384,1.834327
0.138052,1.503597,0.069954,1.718547,0.048994,0.000832,0.015072,0.000352,0.001760,0.001280,0.000352,1.791477
0.151076,1.516526,0.072482,1.747508,0.048865,0.000832,0.014913,0.000352,0.001760,0.001216,0.000384,1.820054
0.149252,1.504685,0.073603,1.734612,0.049409,0.000832,0.014209,0.000384,0.001536,0.001120,0.000352,1.806774
0.140516,1.503916,0.073027,1.724692,0.049249,0.000864,0.014529,0.000352,0.001824,0.001408,0.000384,1.797366
0.146852,1.504781,0.097443,1.756596,0.048674,0.000864,0.015424,0.000640,0.001536,0.001376,0.000416,1.829782
0.157892,1.503756,0.075491,1.743860,0.049505,0.000896,0.014305,0.000416,0.001728,0.001248,0.000384,1.816726
