TEE[0-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
9.192003,0.001056,0.016129,0.000416,0.001504,0.012513,0.000640,9.232325
1.752297,0.001472,0.015201,0.000352,0.001536,0.001696,0.000576,1.780554
1.734055,0.001057,0.015681,0.000352,0.001856,0.001376,0.000352,1.760969
1.759304,0.001377,0.017505,0.000544,0.001984,0.001536,0.000352,1.790539
1.757417,0.000992,0.016033,0.000352,0.001600,0.001600,0.000384,1.786250
1.763401,0.001120,0.016001,0.000352,0.001536,0.001760,0.000384,1.791466
1.721638,0.001024,0.016001,0.000384,0.001504,0.001568,0.000352,1.750888
1.720326,0.000897,0.015809,0.000352,0.001504,0.001376,0.000416,1.748904
1.732775,0.000896,0.015233,0.000448,0.001473,0.001152,0.000384,1.758985
1.733255,0.001248,0.015105,0.000416,0.001600,0.001088,0.000352,1.760809
1.773354,0.000960,0.014625,0.000352,0.001536,0.001088,0.000352,1.799307
1.759816,0.000896,0.014593,0.000352,0.001568,0.001056,0.000352,1.785802
1.754857,0.001216,0.015361,0.000320,0.001728,0.001376,0.000320,1.782922
1.718566,0.001024,0.015457,0.000384,0.001728,0.001089,0.000416,1.746184
1.729574,0.001024,0.034146,0.000608,0.001568,0.001088,0.000416,1.776201
1.763881,0.000992,0.014817,0.000352,0.001504,0.001120,0.000352,1.789866
1.767562,0.001024,0.016289,0.000352,0.001440,0.001120,0.000352,1.796555
1.752456,0.001024,0.015841,0.000576,0.001472,0.001312,0.000353,1.780842
1.766569,0.001344,0.015681,0.000384,0.001856,0.001056,0.000384,1.794858
1.752937,0.001472,0.016449,0.000640,0.001728,0.001312,0.000352,1.782570
1.785290,0.000928,0.015649,0.000384,0.001665,0.001088,0.000352,1.812492
1.765129,0.001120,0.015105,0.000416,0.001569,0.001088,0.000352,1.792619
1.794635,0.001248,0.016385,0.000320,0.001504,0.001120,0.000352,1.823340
1.764137,0.000864,0.015105,0.000448,0.001472,0.001088,0.000384,1.790955
1.790826,0.001216,0.014657,0.000352,0.001504,0.001056,0.000352,1.817772
1.803851,0.001536,0.017345,0.000384,0.001664,0.001312,0.000512,1.836077
1.812716,0.001280,0.016993,0.000640,0.002080,0.001728,0.000832,1.846222
1.812971,0.001152,0.016545,0.000384,0.001952,0.001728,0.000800,1.845581
1.776906,0.001152,0.016961,0.000352,0.001505,0.001600,0.000608,1.808268
1.745576,0.001120,0.017505,0.000352,0.001792,0.001504,0.000352,1.775945
1.785354,0.001088,0.015937,0.000608,0.001664,0.001376,0.000384,1.814187
1.745479,0.000929,0.016001,0.000352,0.001760,0.001376,0.000384,1.773802
1.736231,0.001024,0.015137,0.000352,0.001792,0.001184,0.000320,1.763081
1.732647,0.000992,0.015105,0.000352,0.001536,0.000992,0.000416,1.759624
1.780842,0.001024,0.014945,0.000608,0.001536,0.001024,0.000608,1.807947
1.764105,0.001024,0.015681,0.000320,0.001472,0.001024,0.000576,1.791402
1.758825,0.001056,0.015521,0.000608,0.001696,0.001216,0.000384,1.786154
1.760617,0.001152,0.016129,0.000576,0.001824,0.001473,0.000352,1.789451
1.784618,0.000864,0.015137,0.000608,0.001792,0.001056,0.000384,1.811500
1.758600,0.000960,0.017697,0.000320,0.001728,0.001153,0.000576,1.787819
1.782378,0.000992,0.016801,0.000576,0.001472,0.001120,0.000384,1.810668
1.730023,0.000992,0.016225,0.000320,0.001632,0.001120,0.000384,1.757992
1.787786,0.001408,0.015905,0.000608,0.001568,0.001152,0.000384,1.816812
1.734407,0.001024,0.014977,0.000384,0.001536,0.001344,0.000384,1.761128
1.744200,0.001440,0.015297,0.000832,0.001536,0.001152,0.000608,1.773289
1.769289,0.000992,0.015489,0.000576,0.001728,0.001088,0.000352,1.796619
1.741672,0.001088,0.015649,0.000384,0.001664,0.001248,0.000352,1.769929
1.728135,0.000992,0.015937,0.000352,0.001504,0.001089,0.000320,1.755689
1.741511,0.001024,0.015873,0.000608,0.001472,0.001056,0.000352,1.768649
1.735463,0.001152,0.015649,0.000416,0.001632,0.001024,0.000352,1.762953
1.758633,0.000960,0.016033,0.000384,0.001728,0.001120,0.000384,1.786858
1.750600,0.000960,0.016033,0.000640,0.001920,0.001600,0.000352,1.779177
1.729127,0.000928,0.015393,0.000384,0.001600,0.001313,0.000352,1.756233
1.783498,0.001088,0.015585,0.000384,0.001600,0.001184,0.000352,1.811595
1.758344,0.000992,0.015393,0.000416,0.001472,0.001184,0.000352,1.785353
1.783914,0.000960,0.015521,0.000384,0.001664,0.001216,0.000640,1.811819
1.730502,0.000992,0.015169,0.000640,0.001761,0.001088,0.000352,1.758152
1.776810,0.000960,0.015041,0.000352,0.001504,0.001216,0.000352,1.803947
1.753992,0.000960,0.015521,0.000672,0.001537,0.001184,0.000384,1.781034
1.753928,0.001089,0.014976,0.000384,0.001536,0.001024,0.000608,1.780458
1.762792,0.001185,0.015072,0.000576,0.001504,0.000992,0.000352,1.789834
1.787114,0.001120,0.015265,0.000576,0.001568,0.000928,0.000384,1.814284
1.734855,0.000928,0.015008,0.000352,0.001505,0.001184,0.000384,1.761801
1.750919,0.001088,0.015617,0.000608,0.001696,0.001120,0.000352,1.778857
1.741191,0.001440,0.016193,0.000352,0.001504,0.001088,0.000384,1.770505
1.762633,0.001088,0.015329,0.000576,0.001664,0.001312,0.000384,1.791242
1.739815,0.001056,0.015169,0.000640,0.001664,0.001344,0.000384,1.767304
1.781993,0.000992,0.016000,0.000641,0.001504,0.001024,0.000352,1.809483
1.724167,0.001088,0.015361,0.000800,0.001632,0.001216,0.000352,1.751880
1.741575,0.000992,0.015201,0.000416,0.001504,0.000992,0.000352,1.768681
1.764041,0.000960,0.014945,0.000352,0.001504,0.001120,0.000384,1.790730
1.757512,0.001184,0.015361,0.000352,0.001440,0.001184,0.000352,1.784970
1.753064,0.000896,0.014721,0.000352,0.001472,0.001184,0.000352,1.779273
1.751208,0.000864,0.014369,0.000448,0.001472,0.001024,0.000416,1.777033
1.725062,0.000832,0.015009,0.000384,0.001504,0.001024,0.000352,1.751399
1.766313,0.001056,0.015521,0.000384,0.001440,0.001088,0.000384,1.794602
1.770600,0.001504,0.015809,0.000608,0.001376,0.001216,0.000320,1.799370
1.772329,0.000928,0.015425,0.000608,0.001473,0.001344,0.000352,1.799915
1.723654,0.000800,0.015361,0.000576,0.001505,0.001344,0.000384,1.750696
1.788746,0.001024,0.015553,0.000384,0.001472,0.001248,0.000352,1.815884
1.732422,0.000768,0.015009,0.000384,0.001504,0.001120,0.000384,1.758728
1.752392,0.000864,0.015105,0.000384,0.001441,0.000992,0.000320,1.778570
1.751592,0.000928,0.014561,0.000320,0.001472,0.000960,0.000384,1.776586
1.750600,0.000960,0.014785,0.000320,0.001536,0.000992,0.000416,1.776393
1.756136,0.000960,0.014913,0.000352,0.001504,0.000992,0.000384,1.782154
1.749672,0.000992,0.015297,0.000384,0.001504,0.001152,0.000384,1.776521
1.750984,0.001056,0.014849,0.000576,0.001408,0.000992,0.000384,1.776842
1.741639,0.000960,0.014625,0.000544,0.001408,0.000896,0.000352,1.766696
1.758888,0.000960,0.014529,0.000576,0.001440,0.000928,0.000352,1.783945
1.800330,0.001057,0.014656,0.000384,0.001537,0.001216,0.000416,1.826636
1.765385,0.001088,0.015681,0.000352,0.001632,0.001088,0.000608,1.792971
1.769608,0.001184,0.016097,0.000576,0.001568,0.001504,0.000384,1.798570
1.750375,0.001440,0.015232,0.000609,0.001408,0.001376,0.000352,1.778793
1.763817,0.001056,0.014849,0.000416,0.001792,0.001536,0.000352,1.791402
1.761576,0.001440,0.014913,0.000384,0.001536,0.001185,0.000384,1.790058
1.791561,0.001120,0.015201,0.000640,0.001504,0.001248,0.000416,1.819628
1.718982,0.001056,0.015393,0.000576,0.001504,0.001120,0.000384,1.746727
1.788361,0.000992,0.014689,0.000352,0.001472,0.001152,0.000384,1.813771
1.717733,0.001088,0.015585,0.000608,0.001760,0.001312,0.000608,1.746471
1.771336,0.001504,0.015233,0.000352,0.001792,0.001216,0.000576,1.800266
1.754920,0.001184,0.015905,0.000544,0.001728,0.001120,0.000352,1.783305
1.745447,0.001249,0.015617,0.000576,0.001536,0.001408,0.000320,1.773769
1.723270,0.001152,0.016033,0.000576,0.001792,0.000992,0.000320,1.751880
1.731846,0.001120,0.015361,0.000384,0.001696,0.001056,0.000576,1.759848
1.772552,0.001152,0.015521,0.000576,0.001696,0.001184,0.000352,1.801066
1.734215,0.001280,0.016257,0.000352,0.001824,0.001216,0.000352,1.763688
1.750600,0.001120,0.015457,0.000608,0.001408,0.001216,0.000608,1.778729
1.764808,0.001024,0.017345,0.000384,0.001568,0.001024,0.000352,1.794027
1.794826,0.001216,0.016033,0.000384,0.001504,0.001153,0.000384,1.823692
1.744903,0.000928,0.015265,0.000768,0.001472,0.001216,0.000384,1.772425
1.796938,0.001184,0.015713,0.000544,0.001696,0.001120,0.000352,1.824332
1.772137,0.001120,0.017185,0.000320,0.001536,0.001408,0.000416,1.801546
1.773641,0.001152,0.015873,0.000576,0.001536,0.001152,0.000384,1.801962
1.763112,0.001056,0.015745,0.000832,0.001408,0.001152,0.000352,1.791114
1.768041,0.001056,0.016929,0.000576,0.001536,0.001248,0.000384,1.797578
1.736999,0.001056,0.015553,0.000352,0.001728,0.001120,0.000320,1.765000
1.781993,0.001440,0.016673,0.000416,0.001696,0.001344,0.000352,1.811851
1.770120,0.000992,0.015649,0.000608,0.001504,0.001088,0.000384,1.797866
1.756776,0.000993,0.015296,0.000352,0.001568,0.001344,0.000352,1.783978
1.718565,0.000897,0.015040,0.000609,0.001504,0.001280,0.000352,1.746375
1.758311,0.001120,0.014881,0.000384,0.001536,0.001216,0.000352,1.785065
1.723846,0.000896,0.014944,0.000640,0.001537,0.001184,0.000352,1.750824
1.743559,0.000992,0.014721,0.000352,0.001536,0.001184,0.000384,1.769929
1.732838,0.001024,0.014881,0.000608,0.001536,0.001184,0.000352,1.760167
1.765512,0.001312,0.015873,0.000608,0.001728,0.001121,0.000384,1.795370
1.730246,0.001441,0.016481,0.000352,0.001504,0.001120,0.000384,1.759688
1.779977,0.001537,0.015297,0.000608,0.001568,0.000992,0.000352,1.808267
1.739271,0.000960,0.015073,0.000352,0.001472,0.001088,0.000416,1.765608
1.778537,0.000992,0.014977,0.000352,0.001568,0.001121,0.000352,1.805323
1.750408,0.000896,0.014849,0.000352,0.001472,0.001056,0.000384,1.776713
1.749415,0.001248,0.014721,0.000352,0.001504,0.001440,0.000384,1.777449
1.745607,0.000832,0.014593,0.000352,0.001440,0.001152,0.000416,1.771593
1.759240,0.001025,0.014400,0.000384,0.001473,0.001024,0.000384,1.785386
1.738118,0.000928,0.014560,0.000384,0.001504,0.000960,0.000384,1.763880
1.780009,0.000960,0.015393,0.000352,0.001504,0.001152,0.000384,1.807083
1.762567,0.000928,0.014721,0.000384,0.001376,0.001120,0.000352,1.788841
1.778089,0.001152,0.014785,0.000672,0.001632,0.001088,0.000320,1.805482
1.747399,0.000896,0.014657,0.000384,0.001504,0.001120,0.000384,1.773736
1.749607,0.001248,0.014913,0.000576,0.001504,0.001024,0.000352,1.776969
1.757736,0.000928,0.016161,0.000608,0.001440,0.001088,0.000416,1.785866
1.727398,0.000960,0.014721,0.000640,0.001504,0.001184,0.000416,1.753959
1.725925,0.000928,0.014561,0.000832,0.001408,0.000992,0.000352,1.751623
1.759783,0.001024,0.014625,0.000352,0.001696,0.001088,0.000416,1.786697
1.769832,0.001057,0.014816,0.000384,0.001505,0.001120,0.000384,1.795914
1.779753,0.000992,0.015265,0.000832,0.001472,0.001696,0.000384,1.808106
1.755047,0.000897,0.014880,0.000384,0.001408,0.001152,0.000416,1.781033
1.737703,0.001184,0.016129,0.000640,0.001536,0.001088,0.000416,1.766280
1.737062,0.000928,0.015233,0.000384,0.001536,0.001089,0.000352,1.763176
1.750247,0.001120,0.014465,0.000832,0.001473,0.001024,0.000352,1.776681
1.732198,0.001248,0.016129,0.000416,0.001408,0.001056,0.000352,1.760679
1.764392,0.000832,0.014689,0.000416,0.001504,0.001088,0.000384,1.789993
1.750343,0.001280,0.014913,0.000416,0.001440,0.000960,0.000352,1.778376
1.746599,0.000928,0.015041,0.000352,0.001536,0.001120,0.000384,1.773353
1.743943,0.001088,0.014945,0.000608,0.001504,0.001344,0.000384,1.772040
1.736295,0.000928,0.014977,0.000576,0.001440,0.001184,0.000416,1.762312
1.731302,0.001088,0.015489,0.000576,0.001600,0.001408,0.000384,1.759815
1.733862,0.000896,0.015585,0.000640,0.001441,0.001152,0.000352,1.761160
1.731654,0.000960,0.015360,0.000576,0.001536,0.001120,0.000352,1.759080
1.742374,0.001024,0.015585,0.000608,0.001568,0.001152,0.000352,1.770824
1.743207,0.001441,0.015008,0.000832,0.001472,0.001504,0.000352,1.789738
1.731526,0.000992,0.015617,0.000384,0.001696,0.001121,0.000352,1.759080
1.765032,0.001024,0.015297,0.000320,0.001536,0.001696,0.000384,1.792841
1.723622,0.000928,0.015073,0.000640,0.001440,0.001152,0.000352,1.750663
1.770313,0.001152,0.014689,0.000608,0.001504,0.001184,0.000384,1.797706
1.726598,0.001056,0.015009,0.000384,0.001472,0.001312,0.000352,1.753863
1.756968,0.001248,0.015585,0.000352,0.001664,0.001376,0.000384,1.785257
1.732198,0.001088,0.015777,0.000384,0.001472,0.001120,0.000352,1.760103
1.755688,0.001184,0.015457,0.000640,0.001536,0.001184,0.000384,1.783593
1.765416,0.001088,0.015681,0.000608,0.001408,0.001152,0.000320,1.792713
1.745703,0.001024,0.014849,0.000608,0.001696,0.001345,0.000352,1.772681
1.758695,0.000993,0.015584,0.000576,0.001536,0.001216,0.000352,1.786089
1.771560,0.001152,0.015457,0.000640,0.001632,0.001440,0.000608,1.799882
1.732966,0.001216,0.015553,0.000576,0.001697,0.001184,0.000352,1.761000
1.776328,0.001216,0.015393,0.000544,0.001600,0.001408,0.000384,1.804362
1.765000,0.001408,0.015105,0.000416,0.001537,0.000992,0.000384,1.792746
1.759751,0.001441,0.015425,0.000384,0.001504,0.000992,0.000384,1.786697
1.753255,0.001024,0.015329,0.000384,0.001600,0.001280,0.000353,1.779785
1.790953,0.001280,0.015329,0.000576,0.001441,0.001376,0.000384,1.819243
1.734470,0.000992,0.015104,0.000352,0.001536,0.001120,0.000384,1.761480
1.743526,0.000928,0.014817,0.000384,0.001536,0.001121,0.000352,1.770120
1.755528,0.000864,0.014945,0.000640,0.001504,0.000992,0.000352,1.782057
1.750791,0.000929,0.015680,0.000608,0.001536,0.000992,0.000384,1.778313
1.757000,0.000864,0.014721,0.000608,0.001440,0.001056,0.000352,1.783465
1.803914,0.001121,0.015072,0.000833,0.001440,0.000992,0.000352,1.830924
1.730342,0.000768,0.015041,0.000608,0.001537,0.001024,0.000384,1.756808
1.753063,0.001248,0.015105,0.000416,0.001440,0.001120,0.000384,1.780489
1.719685,0.000928,0.014529,0.000864,0.001473,0.001056,0.000352,1.745863
1.767560,0.000960,0.014529,0.000352,0.001504,0.000928,0.000384,1.793706
1.748455,0.000864,0.014657,0.000608,0.001536,0.001089,0.000384,1.774281
