IN[0],INFER[0-4],OUT[4],TEE[0-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.083875,9.074862,0.070530,9.236179,0.001408,0.016929,0.000416,0.001600,0.002560,0.000544,9.264468
0.186854,1.557166,0.069666,1.820599,0.000800,0.016384,0.000416,0.001536,0.001248,0.000608,1.845623
0.155236,1.571791,0.082531,1.815126,0.001184,0.016320,0.000416,0.001568,0.001120,0.000640,1.840630
0.153988,1.557614,0.068866,1.788149,0.000832,0.015489,0.000384,0.001600,0.000896,0.000576,1.811574
0.136388,1.574639,0.108291,1.826870,0.001216,0.015937,0.000416,0.001536,0.000960,0.000640,1.852247
0.177989,1.566607,0.070338,1.822102,0.001440,0.018145,0.000608,0.001760,0.002592,0.000768,1.852375
0.181702,1.592175,0.099043,1.882040,0.001440,0.017697,0.000608,0.001952,0.003104,0.000896,1.912057
0.153637,1.556942,0.069730,1.786965,0.001408,0.016897,0.000672,0.001760,0.001504,0.000608,1.813366
0.151397,1.576655,0.121636,1.857816,0.001184,0.016736,0.000608,0.001632,0.001408,0.000384,1.884728
0.153637,1.556238,0.067010,1.783094,0.000800,0.015936,0.000640,0.001472,0.001120,0.000352,1.806934
0.154085,1.578543,0.094563,1.835223,0.001216,0.016384,0.000448,0.001473,0.001024,0.000352,1.860984
0.152709,1.558702,0.069795,1.786998,0.001248,0.016096,0.000384,0.001536,0.001120,0.000480,1.811638
0.136996,1.576559,0.078563,1.799318,0.001248,0.016480,0.000608,0.001632,0.001313,0.000352,1.824887
0.152325,1.558126,0.069699,1.786934,0.001024,0.015776,0.000384,0.001536,0.001024,0.000384,1.810774
0.139428,1.576558,0.125763,1.850039,0.001376,0.015617,0.000608,0.001728,0.001152,0.000384,1.875832
0.209863,1.573743,0.083490,1.876216,0.001568,0.017985,0.000416,0.002208,0.003168,0.000544,1.906681
0.191973,1.569551,0.073314,1.843767,0.001440,0.017856,0.000640,0.002112,0.002816,0.000800,1.873815
0.156549,1.577167,0.079363,1.819735,0.001248,0.015712,0.000448,0.001792,0.001248,0.000832,1.845239
0.152325,1.557774,0.070082,1.788086,0.000832,0.015840,0.000448,0.001536,0.001440,0.000384,1.812566
0.153125,1.576015,0.081666,1.819063,0.001376,0.016096,0.000416,0.001504,0.001056,0.000480,1.844983
0.155877,1.558542,0.070626,1.791829,0.000960,0.015649,0.000384,0.001696,0.001184,0.000416,1.815990
0.155013,1.572398,0.075842,1.811318,0.001280,0.015296,0.000672,0.001632,0.001185,0.000384,1.836887
0.151717,1.555118,0.069954,1.784181,0.000832,0.015617,0.000416,0.001696,0.001088,0.000352,1.808406
0.150820,1.575567,0.093923,1.829046,0.001344,0.015073,0.000608,0.001536,0.001216,0.000416,1.854263
0.153956,1.555502,0.069090,1.785717,0.000992,0.014945,0.000416,0.001408,0.000960,0.000384,1.809142
0.154852,1.577615,0.114467,1.854903,0.001664,0.015265,0.000672,0.001600,0.001024,0.000384,1.880216
0.150148,1.555247,0.067842,1.780469,0.000800,0.014976,0.000608,0.001600,0.001216,0.000384,1.803797
0.152549,1.579087,0.107651,1.847479,0.001409,0.014880,0.000608,0.001504,0.001152,0.000416,1.872184
0.146533,1.556622,0.068002,1.777749,0.000768,0.014913,0.000640,0.001632,0.000992,0.000352,1.800982
0.129251,1.577551,0.080930,1.796117,0.001376,0.015041,0.000640,0.001664,0.001024,0.000320,1.820982
0.143332,1.555854,0.068930,1.776117,0.000864,0.014849,0.000576,0.001536,0.001120,0.000480,1.799606
0.149861,1.572943,0.075970,1.806102,0.000736,0.015009,0.000576,0.001536,0.001088,0.000448,1.829559
0.147557,1.551950,0.066594,1.772661,0.000768,0.014721,0.000640,0.001504,0.000992,0.000384,1.795446
0.153700,1.575439,0.076227,1.812662,0.001184,0.015072,0.000672,0.001568,0.001248,0.000448,1.836886
0.159812,1.558126,0.071810,1.796981,0.001088,0.015361,0.000608,0.001664,0.001184,0.000448,1.821334
0.172710,1.584847,0.071618,1.835671,0.000800,0.014817,0.000640,0.001888,0.001216,0.000416,1.859512
0.149476,1.557583,0.067714,1.781909,0.000800,0.014784,0.000608,0.001536,0.001056,0.000384,1.804917
0.147620,1.555566,0.066658,1.775636,0.000768,0.014592,0.000640,0.001504,0.000992,0.000448,1.798613
0.148644,1.555246,0.068130,1.778389,0.000768,0.014656,0.000384,0.001536,0.001184,0.000448,1.801237
0.149892,1.556271,0.067266,1.779957,0.000736,0.014848,0.000416,0.001536,0.001120,0.000384,1.802965
0.150628,1.554607,0.068354,1.781653,0.000832,0.014944,0.000384,0.001632,0.001248,0.000352,1.805078
0.146500,1.554702,0.069474,1.777877,0.000992,0.014880,0.000416,0.001568,0.001248,0.000352,1.801205
0.134244,1.573903,0.088258,1.803925,0.001152,0.015521,0.000384,0.001472,0.001120,0.000352,1.828502
0.153156,1.558639,0.069570,1.788437,0.000928,0.015232,0.000640,0.001536,0.001408,0.000448,1.812662
0.141445,1.570446,0.124100,1.842071,0.000896,0.014721,0.000384,0.001504,0.001216,0.000352,1.864920
0.151173,1.566638,0.069122,1.793781,0.000960,0.014913,0.000384,0.001568,0.001184,0.000352,1.817014
