TEE[0-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
9.213603,0.016129,0.000640,0.001536,0.017281,0.000640,9.259013
1.743329,0.015521,0.000864,0.001568,0.001728,0.000320,1.771266
1.723233,0.015393,0.001216,0.001440,0.001984,0.000320,1.750178
1.730721,0.015617,0.000704,0.001632,0.001248,0.000384,1.756962
1.737569,0.015425,0.000576,0.001664,0.001888,0.000384,1.764835
1.755170,0.015329,0.000672,0.001632,0.001120,0.000352,1.796197
1.737313,0.015265,0.000704,0.001536,0.001792,0.000416,1.764482
1.763010,0.015809,0.000672,0.001568,0.001472,0.000416,1.790340
1.770083,0.014977,0.000736,0.001632,0.001536,0.000384,1.796996
1.786691,0.015137,0.000480,0.001504,0.001216,0.000384,1.812229
1.740193,0.014977,0.000640,0.001600,0.001665,0.000416,1.767075
1.772707,0.016321,0.000512,0.001632,0.001216,0.000384,1.800388
1.761027,0.014849,0.000544,0.001728,0.001248,0.000384,1.787108
1.751714,0.014721,0.000480,0.001536,0.001184,0.000448,1.777443
1.724640,0.014688,0.000704,0.001440,0.001184,0.000416,1.749762
1.752514,0.014593,0.000928,0.001536,0.001121,0.000384,1.777988
1.750562,0.016289,0.000960,0.001632,0.001216,0.000384,1.778115
1.791524,0.016385,0.000896,0.001568,0.001217,0.000416,1.818854
1.721888,0.014689,0.000704,0.001536,0.001120,0.000416,1.746785
1.773347,0.014657,0.000448,0.001504,0.001184,0.000416,1.798916
1.765186,0.014849,0.000672,0.001472,0.001280,0.000352,1.791236
1.749089,0.015457,0.000736,0.001536,0.001440,0.000384,1.775747
1.737057,0.015457,0.000704,0.001664,0.001408,0.000608,1.764418
1.783684,0.014977,0.000704,0.001504,0.001216,0.000384,1.809285
1.755970,0.014913,0.000768,0.001504,0.001152,0.000384,1.781828
1.735265,0.015233,0.000480,0.001472,0.001312,0.000352,1.761218
1.725057,0.014593,0.000704,0.001472,0.001280,0.000352,1.749986
1.766306,0.015841,0.000736,0.001569,0.001312,0.000384,1.793572
1.745217,0.014785,0.000736,0.001536,0.001120,0.000416,1.770850
1.770050,0.014529,0.000768,0.001504,0.001089,0.000384,1.795684
1.718208,0.014913,0.000768,0.001504,0.001248,0.000384,1.744897
1.794148,0.016033,0.000768,0.001569,0.001120,0.000384,1.821510
1.733377,0.014977,0.000704,0.001504,0.001216,0.000384,1.759010
1.774211,0.015233,0.000480,0.001632,0.001089,0.000352,1.799653
1.737409,0.015553,0.000672,0.001600,0.001312,0.000353,1.764707
1.761314,0.015553,0.000480,0.001728,0.001120,0.000352,1.787779
1.722048,0.015297,0.000672,0.001632,0.001120,0.000320,1.748065
1.782275,0.016033,0.000448,0.001728,0.001280,0.000352,1.809284
1.753857,0.015424,0.000480,0.001601,0.001248,0.000384,1.779939
1.766050,0.015520,0.000737,0.001536,0.001088,0.000384,1.792836
1.725952,0.015777,0.000704,0.001536,0.001185,0.000384,1.753122
1.758978,0.014625,0.000448,0.001472,0.001184,0.000384,1.784227
1.733344,0.015009,0.000544,0.001632,0.001248,0.000384,1.759490
1.787267,0.015649,0.000480,0.001696,0.001057,0.000384,1.813413
1.765603,0.015585,0.000480,0.001728,0.001152,0.000576,1.791332
1.746658,0.014945,0.000672,0.001568,0.001184,0.000384,1.772291
1.738625,0.014913,0.000704,0.001472,0.001216,0.000416,1.764099
1.762050,0.014656,0.000737,0.001504,0.001152,0.000416,1.787524
1.715584,0.015137,0.000736,0.001536,0.001152,0.000352,1.740993
1.790627,0.015905,0.000480,0.001568,0.001088,0.000384,1.817221
1.744097,0.014753,0.000672,0.001440,0.001152,0.000416,1.769795
1.742337,0.015872,0.000513,0.001536,0.001216,0.000352,1.768899
1.730368,0.014720,0.000736,0.001537,0.001280,0.000384,1.756130
1.755233,0.014656,0.000640,0.001440,0.001120,0.000320,1.780707
1.730241,0.014913,0.000672,0.001472,0.001216,0.000416,1.756034
1.728864,0.014945,0.000704,0.001472,0.001088,0.000352,1.754081
1.728736,0.015009,0.000672,0.001760,0.001376,0.000544,1.754849
1.721503,0.015041,0.000704,0.001536,0.001152,0.000352,1.747073
1.772002,0.014849,0.000768,0.001504,0.001089,0.000416,1.798020
1.737152,0.014689,0.000736,0.001504,0.001249,0.000352,1.762754
1.740033,0.014881,0.000704,0.001536,0.001280,0.000352,1.765506
1.763522,0.014945,0.000480,0.001440,0.001152,0.000384,1.788643
1.758978,0.015745,0.000704,0.001504,0.001440,0.000384,1.785539
1.762626,0.015329,0.000736,0.001824,0.001408,0.000352,1.789476
1.752801,0.015169,0.000704,0.001568,0.001184,0.000352,1.779587
1.738145,0.015681,0.000672,0.001472,0.001248,0.000352,1.764194
1.790979,0.015296,0.000480,0.001536,0.000960,0.000384,1.817157
1.719999,0.014976,0.000544,0.001792,0.001056,0.000384,1.745665
1.783716,0.016001,0.000544,0.001760,0.001056,0.000384,1.811173
1.734912,0.015264,0.000672,0.001665,0.001312,0.000416,1.761122
1.783075,0.014913,0.000480,0.001600,0.001184,0.000384,1.808612
1.738625,0.015425,0.000768,0.001440,0.001504,0.000384,1.764546
1.735488,0.016641,0.000480,0.001665,0.001056,0.000416,1.762882
1.733025,0.014785,0.000960,0.001600,0.001248,0.000384,1.758850
1.748321,0.014881,0.000512,0.001728,0.001312,0.000384,1.774338
1.727104,0.014785,0.000704,0.001440,0.001216,0.000416,1.752705
1.783075,0.014721,0.000704,0.001408,0.001312,0.000320,1.808356
1.737601,0.015233,0.000704,0.001696,0.001440,0.000384,1.763874
1.745601,0.015553,0.000896,0.001505,0.001312,0.000352,1.772739
1.722464,0.015585,0.000480,0.001504,0.001312,0.000416,1.749505
2.060915,0.017601,0.000512,0.001696,0.001344,0.000608,2.090260
1.737600,0.014945,0.000640,0.001504,0.001184,0.000384,1.763490
1.784387,0.015040,0.000512,0.001504,0.001184,0.000352,1.810021
1.712127,0.014977,0.000448,0.001504,0.001376,0.000384,1.737408
1.750145,0.015329,0.000704,0.001504,0.001152,0.000352,1.776099
1.759137,0.014912,0.000896,0.001408,0.001216,0.000384,1.784739
1.780834,0.014592,0.000865,0.001568,0.001216,0.000384,1.806276
1.760066,0.014977,0.000768,0.001536,0.001248,0.000384,1.786019
1.749857,0.014880,0.000512,0.001601,0.001248,0.000384,1.776291
1.770178,0.015553,0.000704,0.001664,0.001153,0.000384,1.796932
1.759010,0.015393,0.000544,0.001600,0.001312,0.000384,1.785539
1.725056,0.015425,0.000672,0.001664,0.001152,0.000384,1.751522
1.755553,0.015521,0.000512,0.001472,0.001376,0.000352,1.781763
1.759170,0.015681,0.000896,0.001600,0.001376,0.000384,1.786179
1.747649,0.014817,0.000896,0.001600,0.001216,0.000352,1.773410
1.757314,0.015361,0.000480,0.001568,0.001408,0.000384,1.783139
1.808484,0.018593,0.000800,0.001696,0.002336,0.000768,1.841574
1.741056,0.016480,0.000705,0.001440,0.001696,0.000384,1.769826
1.760386,0.016257,0.000768,0.001728,0.001600,0.000352,1.788483
1.744481,0.016800,0.000768,0.001600,0.001440,0.000320,1.772899
1.769762,0.015904,0.000737,0.001536,0.001216,0.000608,1.797316
1.717855,0.015809,0.000672,0.001537,0.001312,0.000416,1.744737
1.731712,0.015424,0.000672,0.001568,0.001312,0.000576,1.758306
1.760450,0.015457,0.000736,0.001472,0.001216,0.000353,1.787076
1.728576,0.015457,0.000800,0.001472,0.001312,0.000320,1.754817
1.723040,0.015361,0.000768,0.001408,0.001152,0.000384,1.749057
1.757857,0.015233,0.000736,0.001664,0.001152,0.000384,1.783971
1.761985,0.014944,0.000672,0.001665,0.001152,0.000384,1.788163
1.734464,0.014913,0.000768,0.001728,0.001152,0.000384,1.760385
1.743009,0.014977,0.000704,0.001536,0.001216,0.000384,1.768514
1.761057,0.015937,0.000736,0.001473,0.001600,0.000384,1.789220
1.763361,0.016961,0.000768,0.001664,0.001344,0.000320,1.791747
1.724575,0.015808,0.000704,0.001473,0.001280,0.000352,1.751393
1.765346,0.016481,0.000992,0.001633,0.001408,0.000384,1.793572
1.721407,0.015008,0.000768,0.001505,0.001280,0.000352,1.747265
1.744705,0.015169,0.000736,0.001536,0.001152,0.000384,1.770850
1.747265,0.015105,0.000960,0.001569,0.001248,0.000384,1.773379
1.755393,0.015168,0.001057,0.001536,0.001248,0.000448,1.782051
1.717023,0.014945,0.000800,0.001504,0.001184,0.000384,1.742848
1.740032,0.015008,0.000737,0.001472,0.001120,0.000352,1.765954
1.739136,0.015137,0.000736,0.001440,0.001120,0.000352,1.765601
1.790115,0.015585,0.000768,0.001408,0.001472,0.000352,1.816612
1.727583,0.015585,0.000736,0.001472,0.001152,0.000384,1.754113
1.751041,0.015392,0.000705,0.001536,0.001152,0.000416,1.777699
1.759361,0.015072,0.000704,0.001472,0.001152,0.000384,1.784963
1.776802,0.015681,0.000704,0.001504,0.001280,0.000385,1.804388
1.732416,0.015617,0.000704,0.001440,0.001120,0.000352,1.758530
1.755105,0.016289,0.000704,0.001601,0.001376,0.000352,1.783907
1.730784,0.015425,0.000704,0.001568,0.001408,0.000448,1.757537
