IN[0],INFER[0-5],OUT[5],TEE[0-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.087521,9.094274,0.066881,9.254660,0.015584,0.000448,0.001536,0.002080,0.000384,9.278692
0.120865,1.571819,0.073025,1.772717,0.016160,0.000416,0.001600,0.001408,0.000320,1.796653
0.151361,1.552747,0.067840,1.778029,0.015489,0.000480,0.001536,0.001376,0.000384,1.800974
0.127585,1.577835,0.091201,1.801325,0.016672,0.000480,0.001472,0.001312,0.000352,1.824973
0.168769,1.553036,0.067392,1.796461,0.016608,0.000480,0.001440,0.001088,0.000352,1.820014
0.122464,1.578796,0.067649,1.773869,0.015360,0.000448,0.001440,0.001056,0.000384,1.795501
0.124065,1.550539,0.067136,1.747564,0.014881,0.000480,0.001408,0.001376,0.000416,1.769165
0.114592,1.572812,0.066273,1.758285,0.014720,0.000480,0.001408,0.001024,0.000384,1.779213
0.203682,1.568875,0.075393,1.859566,0.018848,0.000736,0.001696,0.002336,0.000544,1.888302
0.139809,1.580652,0.071776,1.797965,0.017088,0.000672,0.001696,0.001408,0.000320,1.822285
0.139905,1.562923,0.072193,1.781293,0.016032,0.000544,0.001504,0.000928,0.000384,1.804173
0.149505,1.570571,0.075233,1.801645,0.016512,0.000512,0.001408,0.001024,0.000416,1.825229
0.140001,1.551243,0.065985,1.763181,0.014880,0.000512,0.001440,0.001056,0.000384,1.784685
0.148706,1.568843,0.069953,1.793966,0.015008,0.000448,0.001568,0.001184,0.000384,1.815726
0.140449,1.548876,0.064896,1.760173,0.015008,0.000928,0.001536,0.001184,0.000416,1.782317
0.135489,1.570539,0.069216,1.781421,0.014784,0.000544,0.001504,0.001152,0.000384,1.802765
0.148161,1.550347,0.066593,1.771693,0.014912,0.000480,0.001504,0.001216,0.000384,1.793645
0.141537,1.568203,0.074593,1.791534,0.014848,0.000480,0.001504,0.001184,0.000448,1.813518
0.147937,1.561483,0.068064,1.784621,0.015489,0.000480,0.001440,0.001248,0.000416,1.807022
0.177249,1.570764,0.067488,1.821741,0.015136,0.000480,0.001600,0.001216,0.000448,1.843725
0.180418,1.553867,0.068801,1.810318,0.015168,0.000512,0.001696,0.001248,0.000416,1.832846
0.153889,1.555243,0.069761,1.785773,0.015040,0.000576,0.001504,0.001312,0.000352,1.808141
0.153249,1.553836,0.067072,1.780365,0.015104,0.000704,0.001440,0.001216,0.000385,1.802670
0.167905,1.554763,0.069249,1.798413,0.015936,0.000448,0.001440,0.001248,0.000352,1.821165
0.153217,1.571212,0.070112,1.800877,0.016192,0.000512,0.001440,0.001408,0.000320,1.824109
0.144513,1.550828,0.066048,1.767565,0.015776,0.000480,0.001504,0.001088,0.000416,1.789837
0.158914,1.569163,0.069217,1.803758,0.016096,0.000512,0.001600,0.001120,0.000448,1.826542
0.135905,1.561419,0.067777,1.771277,0.015680,0.000512,0.001504,0.001152,0.000352,1.793709
0.176609,1.572684,0.072800,1.828461,0.016064,0.000448,0.001568,0.000992,0.000384,1.850893
0.178945,1.553132,0.068544,1.806765,0.015616,0.000448,0.001504,0.001216,0.000352,1.828877
0.135297,1.596332,0.108160,1.848237,0.016289,0.000544,0.001504,0.001152,0.000384,1.871982
0.181761,1.552972,0.070432,1.812653,0.014944,0.000512,0.001536,0.001120,0.000417,1.834254
0.215169,1.592076,0.082369,1.904494,0.019328,0.000992,0.001696,0.002784,0.000800,1.934158
0.157921,1.556076,0.069664,1.790637,0.016960,0.000448,0.001440,0.001568,0.000320,1.815149
0.162049,1.572300,0.073440,1.813453,0.015808,0.000480,0.001440,0.001280,0.000352,1.836269
0.156161,1.552587,0.073345,1.789165,0.015392,0.000512,0.001440,0.001280,0.000352,1.811917
0.146753,1.576331,0.072577,1.802893,0.015104,0.000512,0.001408,0.001312,0.000384,1.825101
0.138209,1.553292,0.068608,1.766381,0.014976,0.000512,0.001440,0.001376,0.000384,1.788558
0.150177,1.566795,0.070753,1.794413,0.015136,0.000480,0.001408,0.001184,0.000352,1.816525
0.147137,1.553707,0.071457,1.778317,0.014784,0.000448,0.001440,0.001152,0.000352,1.799885
0.153441,1.584524,0.080224,1.826381,0.015521,0.000480,0.001376,0.001216,0.000416,1.849102
0.178273,1.552939,0.069473,1.806765,0.016896,0.000512,0.001664,0.001152,0.000352,1.831085
0.162945,1.554348,0.067296,1.790733,0.016640,0.000544,0.001440,0.001152,0.000608,1.814285
0.161058,1.550795,0.068480,1.787053,0.016193,0.000448,0.001440,0.001152,0.000448,1.810062
0.161633,1.555851,0.067809,1.791373,0.015264,0.000512,0.001376,0.001152,0.000384,1.812973
0.155105,1.551020,0.066592,1.779213,0.015232,0.000480,0.001408,0.001184,0.000352,1.800781
0.154402,1.551499,0.066304,1.777517,0.014849,0.000480,0.001408,0.001152,0.000352,1.798926
0.154273,1.551179,0.088385,1.800877,0.015456,0.000416,0.001408,0.001376,0.000384,1.822989
0.148034,1.551019,0.067232,1.772141,0.014913,0.000480,0.001376,0.001184,0.000352,1.793422
0.151713,1.567788,0.077824,1.804493,0.015936,0.000544,0.001568,0.001152,0.000352,1.827405
0.150209,1.558283,0.067777,1.781773,0.015936,0.000512,0.001632,0.001120,0.000576,1.804973
0.154657,1.585355,0.075937,1.824685,0.016288,0.000544,0.001472,0.001280,0.000416,1.848365
0.155393,1.557195,0.069793,1.789069,0.015424,0.000512,0.001472,0.001280,0.000416,1.811821
0.191362,1.599308,0.082912,1.882126,0.016128,0.000480,0.001536,0.001120,0.000576,1.905582
0.154849,1.554891,0.068449,1.784717,0.016640,0.000480,0.001536,0.001088,0.000352,1.808141
0.134273,1.574347,0.071393,1.786477,0.015520,0.000512,0.001536,0.000992,0.000320,1.808749
0.152353,1.554636,0.073504,1.786381,0.016000,0.000512,0.001664,0.001120,0.000672,1.809773
0.137409,1.569131,0.073825,1.787117,0.015872,0.000512,0.001536,0.001120,0.000448,1.809741
0.136417,1.554251,0.065889,1.762093,0.015776,0.000544,0.001472,0.001088,0.000416,1.784493
0.139425,1.571340,0.072576,1.789933,0.015232,0.000576,0.001376,0.001120,0.000416,1.811917
0.160034,1.556075,0.068128,1.790733,0.015137,0.000480,0.001472,0.001152,0.000320,1.812686
0.172321,1.567755,0.076737,1.823821,0.015744,0.000480,0.001696,0.001280,0.000320,1.846509
0.134657,1.552044,0.066112,1.758221,0.015104,0.000512,0.001408,0.001088,0.000416,1.779757
0.150337,1.589932,0.082561,1.830094,0.015744,0.000480,0.001472,0.001152,0.000320,1.852302
0.134945,1.554923,0.069921,1.765805,0.015392,0.000480,0.001440,0.001120,0.000576,1.788205
0.147809,1.569835,0.072001,1.796269,0.016192,0.000512,0.001696,0.001632,0.000384,1.820109
0.134785,1.552939,0.065825,1.759853,0.015392,0.000480,0.001440,0.001024,0.000416,1.781901
0.133889,1.566827,0.070721,1.778669,0.016192,0.000512,0.001440,0.001056,0.000352,1.801261
0.134401,1.550699,0.066240,1.757804,0.015073,0.000512,0.001536,0.001120,0.000384,1.779885
0.148673,1.569868,0.071328,1.796109,0.015520,0.000416,0.001600,0.001120,0.000416,1.818445
0.137409,1.552747,0.066497,1.764205,0.015360,0.000448,0.001408,0.001152,0.000416,1.786189
0.148834,1.567723,0.071041,1.794414,0.015232,0.000448,0.001504,0.001120,0.000320,1.816302
0.146305,1.553835,0.066945,1.773325,0.015872,0.000416,0.001472,0.001088,0.000416,1.795821
0.165953,1.561547,0.067105,1.801709,0.016448,0.000512,0.001504,0.001408,0.000320,1.824685
0.127201,1.559628,0.065760,1.758637,0.016160,0.000448,0.001408,0.001152,0.000384,1.781517
0.185057,1.550220,0.066016,1.808205,0.015840,0.000512,0.001568,0.001120,0.000416,1.831117
0.151937,1.549803,0.066241,1.774669,0.015136,0.000512,0.001568,0.001152,0.000416,1.796333
0.152833,1.565196,0.069344,1.793805,0.015649,0.000480,0.001472,0.001088,0.000384,1.816014
0.131009,1.551115,0.066784,1.755404,0.015169,0.000480,0.001504,0.001056,0.000416,1.777293
0.132161,1.552203,0.068865,1.759853,0.015136,0.000544,0.001568,0.001152,0.000416,1.781997
0.116129,1.554059,0.070817,1.747309,0.014944,0.000544,0.001536,0.001120,0.000384,1.769101
0.147841,1.552523,0.066625,1.773293,0.015168,0.000512,0.001504,0.001120,0.000352,1.795309
0.114241,1.550411,0.089409,1.760301,0.015168,0.000480,0.001536,0.001184,0.000384,1.782317
0.150209,1.551851,0.068641,1.777869,0.015232,0.000448,0.001472,0.001152,0.000384,1.799533
0.149025,1.562508,0.070176,1.787949,0.015040,0.000480,0.001536,0.001248,0.000416,1.809581
0.135809,1.562828,0.068928,1.774733,0.015136,0.000512,0.001472,0.001152,0.000384,1.796685
0.134081,1.581163,0.071265,1.792845,0.015008,0.000512,0.001568,0.001216,0.000448,1.814861
0.135841,1.563915,0.066913,1.772781,0.014720,0.000480,0.001472,0.001088,0.000416,1.794317
0.172258,1.567147,0.069601,1.815310,0.014624,0.000480,0.001472,0.001120,0.000352,1.836590
0.157089,1.559916,0.069920,1.795149,0.015265,0.000480,0.001472,0.001216,0.000416,1.817358
0.161089,1.582412,0.081857,1.833198,0.015040,0.000544,0.001440,0.001216,0.000384,1.856078
0.174209,1.554635,0.069633,1.805741,0.014688,0.000544,0.001376,0.001120,0.000416,1.827469
0.147649,1.577611,0.074241,1.808333,0.015104,0.000544,0.001440,0.001152,0.000384,1.830861
0.142945,1.550987,0.066945,1.767277,0.014720,0.000512,0.001408,0.001248,0.000352,1.788653
0.152033,1.577932,0.073281,1.810830,0.014720,0.000448,0.001472,0.001280,0.000416,1.832654
0.136609,1.571788,0.071232,1.787309,0.016288,0.000832,0.001728,0.001120,0.000320,1.810957
0.174337,1.571468,0.079744,1.833165,0.016385,0.000480,0.001664,0.001184,0.000320,1.856814
0.161953,1.557196,0.069312,1.794733,0.016416,0.000576,0.001664,0.001184,0.000384,1.818445
0.170145,1.579147,0.076864,1.835597,0.016448,0.000480,0.001440,0.001632,0.000320,1.859853
0.154593,1.555691,0.070369,1.788205,0.016416,0.000480,0.001504,0.001216,0.000352,1.811437
