TEE[0-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
9.199526,0.000704,0.003232,0.014049,0.000352,9.224999
1.814112,0.000896,0.002528,0.002208,0.000352,1.828064
1.756285,0.000704,0.002368,0.001728,0.000641,1.768222
1.767710,0.000704,0.002464,0.001632,0.000384,1.782174
1.749820,0.000896,0.002785,0.001312,0.000416,1.762525
1.788446,0.000800,0.002656,0.001376,0.000384,1.801279
1.749884,0.000800,0.002465,0.001344,0.000416,1.761341
1.762365,0.000704,0.002592,0.001376,0.000448,1.773982
1.776414,0.000704,0.002912,0.001216,0.000448,1.788830
1.807039,0.000832,0.002688,0.001184,0.000384,1.819456
1.779134,0.000832,0.002593,0.001248,0.000384,1.791103
1.768541,0.000736,0.002592,0.001184,0.000352,1.780254
1.782238,0.000768,0.002656,0.001120,0.000352,1.794495
1.771262,0.000704,0.002368,0.001216,0.000384,1.783838
1.736124,0.000704,0.003424,0.001216,0.000352,1.748765
1.773149,0.000800,0.002560,0.001184,0.000384,1.785118
1.737340,0.000768,0.002497,0.001184,0.000384,1.748989
1.815232,0.000768,0.002432,0.001152,0.000384,1.827265
1.770237,0.000768,0.002560,0.001249,0.000352,1.782750
1.747804,0.000736,0.002336,0.001152,0.000352,1.759324
1.776637,0.000736,0.002432,0.001152,0.000320,1.787998
1.816736,0.000897,0.002464,0.001184,0.000384,1.828833
1.762525,0.000896,0.002496,0.001312,0.000384,1.775454
1.775710,0.000864,0.003168,0.001216,0.000480,1.789790
1.779262,0.000768,0.002496,0.001152,0.000416,1.792351
1.787551,0.000864,0.002720,0.001280,0.000448,1.801119
1.812704,0.000832,0.002688,0.001216,0.000352,1.825376
1.765822,0.000704,0.002528,0.001184,0.000352,1.777694
1.792894,0.000736,0.002592,0.001216,0.000352,1.804959
1.750300,0.000736,0.002624,0.001184,0.000384,1.762685
1.803103,0.000832,0.003360,0.001313,0.000384,1.817216
1.740412,0.000768,0.002752,0.001216,0.000384,1.752540
1.802207,0.000832,0.002784,0.001216,0.000352,1.815647
1.787871,0.000800,0.002688,0.001216,0.000352,1.800191
1.777406,0.000864,0.002593,0.001216,0.000384,1.790335
1.738139,0.000768,0.002592,0.001184,0.000416,1.749948
1.804191,0.000928,0.002560,0.001216,0.000416,1.816447
1.739164,0.000704,0.002528,0.001217,0.000416,1.750845
1.799359,0.000928,0.002560,0.001184,0.000384,1.811647
1.735452,0.000832,0.002560,0.001216,0.000384,1.747580
1.791966,0.000832,0.002464,0.001120,0.000385,1.803039
1.733627,0.000800,0.002368,0.001536,0.000416,1.745436
1.748540,0.000864,0.002465,0.001088,0.000384,1.760861
1.769277,0.000832,0.002720,0.001184,0.000384,1.782813
1.793791,0.000768,0.002464,0.001184,0.000384,1.805599
1.751197,0.000864,0.002496,0.001120,0.000384,1.762973
1.799519,0.000736,0.002688,0.001216,0.000384,1.811007
1.766621,0.000768,0.002304,0.001120,0.000384,1.778141
1.764509,0.000768,0.002336,0.001216,0.000416,1.776126
1.773565,0.000832,0.002497,0.001248,0.000416,1.785342
1.762877,0.000736,0.002368,0.001120,0.000416,1.775005
1.757501,0.000800,0.002432,0.001184,0.000384,1.768925
1.757372,0.000704,0.002656,0.001216,0.000352,1.769565
1.765149,0.000832,0.002464,0.001184,0.000384,1.776734
1.758365,0.000864,0.002592,0.001248,0.000416,1.771549
1.769725,0.000864,0.002496,0.001344,0.000352,1.782206
1.780734,0.000800,0.002592,0.001120,0.000416,1.792030
1.724602,0.000832,0.002560,0.001120,0.000352,1.736667
1.751132,0.000832,0.002496,0.001217,0.000384,1.763133
1.756316,0.000768,0.002369,0.001152,0.000352,1.768221
1.789086,0.000832,0.002720,0.001152,0.000352,1.801215
1.738908,0.000672,0.002688,0.001088,0.000288,1.750237
1.804703,0.000800,0.002400,0.001120,0.000448,1.817279
1.761533,0.000736,0.002592,0.001185,0.000384,1.773342
1.784862,0.000832,0.002496,0.001120,0.000416,1.796382
1.738683,0.000768,0.002305,0.001120,0.000352,1.750204
1.744284,0.000768,0.002400,0.001152,0.000384,1.755356
1.778942,0.000864,0.002560,0.001120,0.000353,1.791007
1.792895,0.000896,0.002400,0.001056,0.000384,1.804703
1.759516,0.000736,0.002432,0.001184,0.000384,1.770941
1.779550,0.000736,0.002336,0.001120,0.000352,1.790686
1.774429,0.000768,0.002368,0.001120,0.000320,1.786110
1.784637,0.000832,0.002560,0.001024,0.000352,1.795870
1.767133,0.000864,0.002464,0.001152,0.000384,1.779454
1.770366,0.000736,0.002496,0.001120,0.000384,1.780830
1.784670,0.000704,0.002432,0.001088,0.000384,1.795550
1.749404,0.000832,0.002400,0.001120,0.000352,1.760220
1.762493,0.000800,0.002496,0.001152,0.000416,1.773693
1.730651,0.000768,0.002304,0.000992,0.000320,1.742012
1.727514,0.000736,0.002656,0.001152,0.000416,1.740667
1.766301,0.000704,0.002336,0.001152,0.000352,1.777437
1.763133,0.000736,0.002208,0.001184,0.000384,1.774621
1.764829,0.000864,0.002432,0.001216,0.000384,1.776158
1.811679,0.000800,0.002336,0.001056,0.000384,1.822783
1.769181,0.000832,0.002400,0.001120,0.000384,1.780637
1.802815,0.000768,0.002496,0.001120,0.000384,1.814175
1.734107,0.001120,0.002304,0.001152,0.000384,1.746523
1.803966,0.000800,0.002240,0.001184,0.000416,1.815807
1.792670,0.000928,0.002241,0.001120,0.000384,1.803903
1.800510,0.000800,0.002497,0.001216,0.000384,1.812159
1.735259,0.000800,0.002208,0.001152,0.000385,1.747388
1.762044,0.000704,0.002369,0.001184,0.000384,1.773949
1.735131,0.000769,0.002368,0.001184,0.000416,1.746108
1.810751,0.000800,0.002400,0.001120,0.000384,1.821951
1.766685,0.000800,0.002432,0.001056,0.000352,1.777917
1.760445,0.000800,0.002592,0.001120,0.000320,1.771933
1.745820,0.000704,0.002432,0.001089,0.000384,1.756669
1.813823,0.000864,0.002432,0.001184,0.000448,1.825215
1.758749,0.000800,0.002336,0.001216,0.000416,1.769981
1.778430,0.000864,0.002432,0.001120,0.000384,1.789598
1.755356,0.000768,0.002336,0.001120,0.000320,1.766045
1.788349,0.000864,0.002496,0.001088,0.000352,1.800863
1.739739,0.000864,0.002624,0.001088,0.000352,1.753148
1.771357,0.000896,0.002464,0.001056,0.000352,1.782398
1.739835,0.000768,0.002369,0.001184,0.000352,1.751036
1.753724,0.000704,0.002496,0.001088,0.000352,1.765149
1.748027,0.000736,0.002400,0.001248,0.000384,1.759452
1.808766,0.000896,0.002464,0.001216,0.000352,1.820191
1.759260,0.000832,0.002272,0.001120,0.000384,1.770269
1.793758,0.000960,0.003136,0.001184,0.000352,1.807135
1.744796,0.000832,0.002400,0.001216,0.000384,1.756572
