IN[0],INFER[0-6],OUT[6],TEE[0-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.109665,9.187043,0.065792,9.368932,0.000832,0.003488,0.002144,0.000544,9.379812
0.150369,1.570668,0.069408,1.798701,0.000864,0.003200,0.001664,0.000576,1.808589
0.165697,1.584396,0.073408,1.829709,0.001312,0.003425,0.000992,0.000384,1.839406
0.182914,1.567371,0.066881,1.823822,0.000896,0.002912,0.001440,0.000576,1.832782
0.146529,1.587852,0.069409,1.810926,0.000832,0.002880,0.001600,0.000576,1.819886
0.131873,1.563596,0.069440,1.770637,0.000800,0.002688,0.001088,0.000384,1.778253
0.167745,1.579724,0.068128,1.820141,0.000864,0.002560,0.001120,0.000384,1.827725
0.139361,1.563371,0.063041,1.770957,0.000800,0.002496,0.001056,0.000384,1.778317
0.168545,1.582539,0.064417,1.820365,0.000928,0.002464,0.001600,0.000384,1.828653
0.169377,1.560939,0.063489,1.798861,0.000832,0.002496,0.000992,0.000416,1.806221
0.168514,1.581003,0.071809,1.827534,0.000960,0.002944,0.001088,0.000448,1.837614
0.146561,1.564907,0.067233,1.784365,0.000832,0.006080,0.000896,0.000352,1.795117
0.180386,1.581835,0.070209,1.837742,0.000896,0.003040,0.001120,0.000480,1.846542
0.169473,1.563308,0.066208,1.804781,0.000832,0.002496,0.001056,0.000416,1.812397
0.171074,1.581227,0.073601,1.831982,0.000832,0.002720,0.001056,0.000416,1.839726
0.175777,1.562828,0.064032,1.808077,0.000832,0.002656,0.001120,0.000480,1.815597
0.167361,1.576395,0.066657,1.816269,0.000832,0.002432,0.001024,0.000320,1.823341
0.150209,1.563148,0.066208,1.786317,0.000768,0.002560,0.000992,0.000416,1.793645
0.143905,1.572171,0.067585,1.789677,0.000768,0.002336,0.001056,0.000448,1.797037
0.157505,1.566219,0.067840,1.799917,0.000992,0.004000,0.001248,0.000608,1.809357
0.144353,1.571308,0.073856,1.796109,0.001024,0.003648,0.000992,0.000384,1.805261
0.182017,1.565260,0.067488,1.821837,0.000832,0.002464,0.001088,0.000384,1.829037
0.149921,1.569643,0.069344,1.795245,0.000928,0.002560,0.001024,0.000352,1.802862
0.167873,1.589099,0.075105,1.839181,0.000768,0.002272,0.000928,0.000352,1.846317
0.174913,1.564108,0.070208,1.814861,0.000832,0.002432,0.001088,0.000416,1.822189
0.182113,1.604748,0.080129,1.873582,0.000800,0.002944,0.001056,0.000512,1.881870
0.174113,1.563275,0.069121,1.812813,0.000832,0.002752,0.001120,0.000352,1.820685
0.135329,1.579499,0.071905,1.794029,0.000832,0.002496,0.001056,0.000352,1.801805
0.141249,1.561867,0.068769,1.778285,0.000864,0.002528,0.001344,0.000384,1.785933
0.162785,1.583212,0.072544,1.826349,0.000832,0.002624,0.001120,0.000384,1.833933
0.167425,1.566380,0.070208,1.810349,0.000800,0.002528,0.001792,0.000384,1.818413
0.174465,1.599500,0.075232,1.858861,0.000992,0.002656,0.001056,0.000352,1.867341
0.161761,1.566123,0.070497,1.805645,0.000928,0.002592,0.001376,0.000352,1.813709
0.157473,1.583499,0.072577,1.821037,0.000928,0.002656,0.001056,0.000352,1.829069
0.182401,1.563435,0.069153,1.821229,0.000992,0.002816,0.001152,0.000320,1.829389
0.176737,1.583147,0.070625,1.837453,0.000800,0.002656,0.001408,0.000480,1.845901
0.151489,1.564651,0.069025,1.791949,0.000960,0.002592,0.001056,0.000384,1.799757
0.184066,1.583403,0.076449,1.850958,0.000864,0.003008,0.001440,0.000512,1.859822
0.158850,1.567307,0.071361,1.804878,0.000832,0.002656,0.001056,0.000416,1.813198
0.157089,1.586860,0.077856,1.829485,0.000960,0.002816,0.001376,0.000512,1.838733
0.148161,1.567275,0.069537,1.792589,0.000832,0.002720,0.000992,0.000448,1.800333
0.150913,1.581259,0.078688,1.819021,0.000960,0.002752,0.001184,0.000416,1.827309
0.145921,1.567212,0.069632,1.790381,0.000928,0.002592,0.001184,0.000384,1.798221
0.177601,1.563851,0.065057,1.812941,0.000832,0.002720,0.001056,0.000352,1.820813
0.150081,1.562028,0.063264,1.780525,0.000864,0.002816,0.001120,0.000384,1.788397
0.189921,1.561132,0.062720,1.819245,0.000736,0.002976,0.001024,0.000320,1.826797
0.142881,1.565131,0.066560,1.780620,0.000800,0.002497,0.001216,0.000384,1.788045
0.170657,1.572108,0.065568,1.813709,0.000800,0.002304,0.000928,0.000384,1.820717
0.169089,1.562572,0.065472,1.803629,0.000800,0.002336,0.001024,0.000416,1.810701
0.149281,1.561963,0.063616,1.780557,0.000704,0.002336,0.000992,0.000416,1.787533
0.172258,1.560363,0.085025,1.823790,0.000736,0.002464,0.001024,0.000352,1.831054
0.176609,1.562731,0.063745,1.808813,0.000800,0.002496,0.001024,0.000448,1.816173
0.171201,1.577451,0.065985,1.820685,0.000768,0.005792,0.001056,0.000384,1.831341
0.172417,1.563979,0.064193,1.806733,0.000768,0.002464,0.000992,0.000416,1.813997
0.168737,1.576203,0.064449,1.814765,0.000768,0.002496,0.000896,0.000384,1.822349
0.168673,1.565963,0.064065,1.804493,0.000672,0.003072,0.001056,0.000384,1.812301
0.144930,1.575691,0.071649,1.798382,0.000768,0.002432,0.000992,0.000448,1.805710
0.167298,1.561611,0.065728,1.800013,0.000704,0.002272,0.000992,0.000320,1.806765
0.131809,1.577676,0.069120,1.784429,0.000800,0.002240,0.001056,0.000480,1.791469
0.169025,1.557387,0.063073,1.794125,0.000704,0.002336,0.000992,0.000288,1.800877
0.178434,1.573291,0.068288,1.825997,0.000864,0.002433,0.001152,0.000320,1.833518
0.177505,1.562252,0.062944,1.807597,0.000800,0.002528,0.001120,0.000384,1.815053
0.148193,1.581835,0.070785,1.807597,0.000896,0.002912,0.001440,0.000352,1.816269
0.164129,1.566059,0.070465,1.808781,0.001088,0.003456,0.001280,0.000576,1.818061
0.169442,1.580651,0.067169,1.823726,0.000800,0.002592,0.000960,0.000416,1.831374
0.170433,1.560012,0.063232,1.798701,0.000832,0.002400,0.001152,0.000416,1.806157
0.145185,1.577835,0.068225,1.797805,0.000672,0.002464,0.001408,0.000352,1.805261
0.131073,1.563115,0.066849,1.767149,0.000896,0.002336,0.001088,0.000320,1.774317
0.168386,1.578891,0.066817,1.819662,0.000736,0.002592,0.001120,0.000256,1.827342
0.167713,1.565355,0.066625,1.805741,0.000864,0.002176,0.001056,0.000384,1.812845
0.168705,1.581228,0.070400,1.828493,0.000928,0.002720,0.001056,0.000416,1.836365
0.135073,1.563052,0.067136,1.772141,0.000896,0.002560,0.001600,0.000608,1.781005
0.151746,1.579563,0.072129,1.810254,0.000800,0.002496,0.001056,0.000352,1.817742
0.164257,1.562251,0.064321,1.795757,0.000768,0.002528,0.001056,0.000384,1.803021
0.143777,1.577003,0.066657,1.793869,0.000704,0.002432,0.001088,0.000448,1.801197
0.154113,1.565196,0.068864,1.793229,0.000800,0.003136,0.001120,0.000448,1.801325
0.172162,1.577931,0.068833,1.824846,0.000704,0.003136,0.001120,0.000480,1.833678
0.174273,1.573996,0.066944,1.821069,0.000672,0.002592,0.001664,0.000352,1.829165
0.149153,1.590668,0.072353,1.820366,0.000960,0.003072,0.001280,0.000448,1.829070
0.170305,1.570667,0.067009,1.814573,0.000864,0.002944,0.001152,0.000352,1.822701
0.171553,1.564619,0.067649,1.812557,0.000928,0.002752,0.001312,0.000384,1.820749
0.178017,1.566028,0.069952,1.820269,0.000928,0.002624,0.001184,0.000384,1.828269
0.121697,1.561932,0.065440,1.756621,0.000864,0.002496,0.001216,0.000448,1.764653
0.156097,1.563180,0.066976,1.792973,0.000832,0.002560,0.001248,0.000384,1.800845
0.155457,1.565452,0.065824,1.794765,0.000992,0.003488,0.001664,0.000416,1.804301
0.173122,1.582059,0.067009,1.829486,0.000864,0.002848,0.001472,0.000608,1.838510
0.147073,1.563979,0.065921,1.783725,0.000896,0.002752,0.001280,0.000384,1.791981
0.176929,1.587275,0.071136,1.841229,0.000896,0.002528,0.001248,0.000352,1.849133
0.167617,1.560747,0.064897,1.798957,0.000864,0.002464,0.001344,0.000448,1.806797
0.160993,1.582283,0.072161,1.821613,0.000768,0.002528,0.001216,0.000384,1.829549
0.149922,1.563627,0.065856,1.786317,0.000832,0.002560,0.001280,0.000384,1.794189
0.153569,1.581388,0.068224,1.809773,0.000832,0.002560,0.001408,0.000608,1.818413
0.147777,1.562987,0.062113,1.778637,0.000864,0.002528,0.001120,0.000352,1.786445
0.139425,1.596620,0.072384,1.814317,0.000832,0.002880,0.001056,0.000320,1.822221
0.163617,1.562444,0.066208,1.798285,0.000832,0.003232,0.001120,0.000384,1.806605
0.171873,1.576331,0.072769,1.826061,0.000800,0.003136,0.001088,0.000384,1.834157
0.130817,1.559500,0.063488,1.759757,0.000704,0.002304,0.001216,0.000352,1.766925
0.163137,1.581387,0.079969,1.830285,0.000736,0.002368,0.000960,0.000352,1.837133
0.162945,1.559340,0.066688,1.793901,0.000800,0.003040,0.001248,0.000320,1.801901
0.168066,1.574859,0.066721,1.815150,0.000832,0.002176,0.001152,0.000384,1.822414
