IN[0],INFER[0-7],OUT[7],TEE[0-7],Layer[8],Layer[9],Layer[10],classifier
0.131684,9.086702,0.071522,9.297396,0.004320,0.002720,0.000576,9.309332
0.130020,1.581999,0.082946,1.801941,0.003488,0.001664,0.000480,1.810198
0.141509,1.565902,0.062786,1.774869,0.002688,0.001024,0.000320,1.781333
0.143333,1.624816,0.081410,1.855383,0.002369,0.001024,0.000352,1.861336
0.176485,1.562606,0.062690,1.808085,0.002528,0.001120,0.000416,1.814485
0.112355,1.588015,0.068930,1.774868,0.002337,0.000992,0.000416,1.780981
0.157285,1.576015,0.062370,1.801558,0.002528,0.001120,0.000416,1.808214
0.136164,1.592880,0.069570,1.803670,0.002400,0.001120,0.000320,1.810550
0.114819,1.574575,0.061986,1.756180,0.002368,0.001056,0.000352,1.762292
0.105091,1.607248,0.073506,1.792373,0.002496,0.001216,0.000416,1.799798
0.114947,1.573679,0.061826,1.754964,0.002496,0.000800,0.000320,1.760852
0.165189,1.579535,0.069922,1.820598,0.005569,0.001056,0.000416,1.830775
0.145061,1.562702,0.070018,1.784533,0.003712,0.000960,0.000352,1.791829
0.157124,1.586544,0.077026,1.825974,0.002752,0.001024,0.000352,1.833078
0.135364,1.562382,0.066402,1.771092,0.003201,0.001184,0.000320,1.778229
0.133668,1.592463,0.070434,1.801493,0.002592,0.001184,0.000481,1.808918
0.116195,1.576335,0.064066,1.761844,0.002720,0.001024,0.000352,1.768212
0.134948,1.586447,0.072770,1.800598,0.002784,0.001184,0.000512,1.808790
0.116099,1.560623,0.061794,1.743636,0.002496,0.000960,0.000320,1.749716
0.118083,1.577039,0.069890,1.772340,0.002560,0.001120,0.000384,1.779061
0.152580,1.563471,0.062754,1.783765,0.002496,0.001056,0.000384,1.790165
0.153317,1.587567,0.086979,1.832727,0.003296,0.001088,0.000448,1.839991
0.126308,1.561583,0.065314,1.759125,0.002304,0.000928,0.000384,1.765077
0.146181,1.581167,0.073410,1.807478,0.002752,0.001280,0.000416,1.814486
0.120772,1.562543,0.068834,1.758837,0.002752,0.000896,0.000384,1.765237
0.129924,1.580047,0.074754,1.790485,0.002848,0.000864,0.000416,1.796853
0.111556,1.573423,0.062817,1.752917,0.002528,0.000896,0.000448,1.758773
0.145029,1.641520,0.121123,1.915577,0.005440,0.001248,0.000448,1.926649
0.145925,1.562542,0.064482,1.779317,0.002560,0.001152,0.000416,1.785813
0.170789,1.592527,0.065346,1.835767,0.002688,0.001056,0.000384,1.842231
0.150116,1.562511,0.064002,1.782261,0.002592,0.001120,0.000416,1.788917
0.149221,1.563118,0.064514,1.784373,0.002945,0.001216,0.000416,1.791382
0.148613,1.566926,0.065281,1.786709,0.003552,0.001216,0.000480,1.794710
0.147140,1.574607,0.065410,1.793557,0.002784,0.001088,0.000448,1.800117
0.148229,1.590479,0.073762,1.819894,0.003136,0.001184,0.000416,1.828278
0.145572,1.556847,0.063970,1.773269,0.002592,0.001088,0.000384,1.779541
0.147557,1.592751,0.100707,1.847703,0.002976,0.001152,0.000416,1.854679
0.144164,1.563375,0.063202,1.777173,0.002624,0.000992,0.000352,1.783317
0.151460,1.592144,0.081314,1.833142,0.004768,0.001248,0.000384,1.841942
0.147909,1.567182,0.066978,1.788693,0.002432,0.001408,0.000416,1.795190
0.147941,1.581231,0.071330,1.806550,0.003328,0.001280,0.000384,1.813846
0.133956,1.564142,0.064929,1.770261,0.003104,0.001440,0.000416,1.777589
0.145988,1.598864,0.081954,1.834102,0.005600,0.001120,0.000416,1.844886
