TEE[0-8],Layer[9],Layer[10],classifier
9.191579,0.002944,0.000672,9.200988
1.779286,0.002112,0.000576,1.788535
1.785398,0.001888,0.000576,1.793462
1.772278,0.001920,0.000352,1.780662
1.794710,0.001920,0.000416,1.803927
1.736851,0.001920,0.000416,1.745716
1.782966,0.002112,0.000448,1.792790
1.772949,0.001857,0.000384,1.781718
1.772182,0.001824,0.000480,1.781462
1.773141,0.001889,0.000384,1.781174
1.806103,0.001856,0.000416,1.814775
1.768213,0.001664,0.000384,1.775797
1.781558,0.001728,0.000384,1.789462
1.770262,0.001728,0.000416,1.778390
1.794582,0.001600,0.000384,1.801943
1.761941,0.001536,0.000384,1.768917
1.791959,0.002144,0.000512,1.802359
1.777590,0.001696,0.000384,1.786199
1.763509,0.001280,0.000352,1.770997
1.776726,0.001472,0.000416,1.785494
1.772277,0.001408,0.000416,1.780886
1.749492,0.001376,0.000384,1.757748
1.764437,0.001312,0.000352,1.772054
1.767158,0.001440,0.000416,1.775798
1.765334,0.001472,0.000448,1.773014
1.757141,0.001440,0.000385,1.764662
1.738324,0.001312,0.000288,1.745108
1.756309,0.001472,0.000320,1.764437
1.791031,0.001472,0.000448,1.799319
1.753364,0.001632,0.000416,1.777205
1.778485,0.001536,0.000416,1.786774
1.759797,0.001440,0.000480,1.767445
1.773237,0.001312,0.000384,1.780566
1.806935,0.001376,0.000417,1.813944
1.772406,0.001376,0.000384,1.779318
1.774966,0.001280,0.000480,1.783062
1.760629,0.001216,0.000416,1.767413
1.793494,0.001344,0.000416,1.801335
1.772661,0.001632,0.000384,1.781237
1.768629,0.001408,0.000448,1.776021
1.782198,0.001504,0.000416,1.789942
1.801015,0.001632,0.000608,1.807927
1.765814,0.001344,0.000416,1.772502
1.794903,0.001568,0.000416,1.803063
1.750037,0.001504,0.000416,1.756853
1.768341,0.001408,0.000416,1.776437
1.729812,0.001344,0.000384,1.737268
1.786166,0.001281,0.000416,1.793559
1.731411,0.001408,0.000416,1.739508
1.748340,0.001185,0.000384,1.755253
1.769845,0.001313,0.000416,1.776310
1.764085,0.001248,0.000352,1.770421
1.731283,0.001312,0.000384,1.737459
1.795734,0.001440,0.000384,1.803095
1.759508,0.001408,0.000416,1.766677
1.798614,0.001376,0.000416,1.806295
1.767157,0.001472,0.000384,1.774453
1.783894,0.001312,0.000480,1.792183
1.731955,0.001408,0.000384,1.739636
1.779126,0.001408,0.000384,1.786454
1.769621,0.001536,0.000352,1.777110
1.786390,0.001505,0.000416,1.793751
1.768565,0.001536,0.000384,1.776342
1.785238,0.001472,0.000416,1.793558
1.750356,0.001408,0.000416,1.757748
1.773717,0.001569,0.000416,1.781334
1.719442,0.001408,0.000416,1.726323
1.799926,0.001473,0.000448,1.808183
1.756948,0.001633,0.000416,1.766069
1.751125,0.001376,0.000416,1.758933
1.768373,0.001440,0.000416,1.774709
1.806903,0.001312,0.000416,1.813527
1.736916,0.001472,0.000448,1.744468
1.787958,0.001504,0.000352,1.796054
1.760788,0.001633,0.000416,1.768246
1.783766,0.001408,0.000384,1.791670
1.775765,0.001281,0.000416,1.782934
1.783605,0.001376,0.000416,1.791766
