IN[0],INFER[0-8],OUT[8],TEE[0-8],Layer[9],Layer[10],classifier
0.088866,9.082798,0.069026,9.246834,0.003008,0.000608,9.253298
0.165124,1.572366,0.070050,1.815382,0.002368,0.000640,1.820855
0.144356,1.569583,0.064610,1.784309,0.001792,0.000384,1.788629
0.157444,1.571982,0.067938,1.805429,0.001952,0.000448,1.810678
0.156741,1.571246,0.065282,1.800853,0.002816,0.000768,1.806837
0.151012,1.587151,0.076899,1.822646,0.002240,0.000512,1.827606
0.149892,1.572239,0.071650,1.800437,0.001472,0.000480,1.804373
0.148260,1.587503,0.074018,1.816310,0.001472,0.000512,1.820502
0.148453,1.568814,0.064449,1.788245,0.001505,0.000448,1.792630
0.142372,1.580015,0.075714,1.804469,0.001632,0.000448,1.808854
0.148740,1.579343,0.061058,1.796277,0.001536,0.000448,1.801429
0.146021,1.591407,0.102627,1.847543,0.001408,0.000512,1.852695
0.149605,1.568335,0.078466,1.803702,0.001536,0.000416,1.808022
0.160324,1.591727,0.072610,1.834006,0.002848,0.000928,1.840822
0.172901,1.575951,0.066498,1.825079,0.003008,0.000672,1.831799
0.154629,1.587983,0.076930,1.827030,0.002048,0.000992,1.832342
0.139940,1.574031,0.071874,1.792789,0.002720,0.000640,1.798166
0.157733,1.592815,0.068770,1.826679,0.002720,0.000768,1.832343
0.122819,1.570894,0.065282,1.766260,0.001696,0.000736,1.771604
0.133284,1.584655,0.071202,1.797173,0.001408,0.000512,1.802133
0.133444,1.567566,0.066690,1.773940,0.001440,0.000416,1.778132
0.149957,1.586063,0.126564,1.870776,0.001344,0.000640,1.875000
0.175333,1.569103,0.063938,1.814646,0.001440,0.000416,1.818806
0.142180,1.590128,0.077922,1.818070,0.001600,0.000416,1.823222
0.147333,1.572494,0.062786,1.791445,0.001792,0.000544,1.795957
0.154212,1.590287,0.069794,1.823574,0.002368,0.000384,1.829718
0.146949,1.566702,0.064322,1.784245,0.001568,0.000448,1.788373
0.170949,1.582319,0.067298,1.827094,0.001536,0.000768,1.831702
0.143460,1.568143,0.063873,1.781524,0.001600,0.000704,1.786229
0.147812,1.568207,0.068802,1.790805,0.001568,0.000768,1.795541
0.145765,1.569710,0.068226,1.790613,0.001505,0.000512,1.794838
0.146372,1.566479,0.063906,1.783541,0.001472,0.000480,1.788149
0.150629,1.569166,0.064354,1.790965,0.001408,0.000480,1.795253
0.132260,1.566222,0.072547,1.777013,0.001504,0.000448,1.781109
0.134852,1.568270,0.111780,1.821142,0.001536,0.000576,1.825430
0.148580,1.576110,0.071138,1.804534,0.002720,0.000480,1.809878
0.153220,1.596720,0.078946,1.835894,0.001600,0.000608,1.841014
0.164709,1.572654,0.065922,1.810805,0.002497,0.000704,1.816054
0.130308,1.589551,0.078595,1.805590,0.001728,0.000704,1.809878
0.129860,1.568302,0.062018,1.765556,0.001440,0.000448,1.769556
0.146212,1.588047,0.081379,1.822742,0.001472,0.000512,1.826838
0.145636,1.570319,0.064194,1.786773,0.001536,0.000480,1.791029
0.153924,1.584911,0.079490,1.828182,0.001952,0.000480,1.833462
0.145509,1.571438,0.069250,1.793846,0.001824,0.000416,1.798038
0.154981,1.583983,0.072354,1.819510,0.001536,0.000576,1.823862
0.144997,1.568174,0.063074,1.782261,0.001376,0.000448,1.786037
0.141924,1.583983,0.076130,1.809045,0.001408,0.000448,1.813974
0.127204,1.563438,0.061570,1.757876,0.001536,0.000384,1.761716
0.142340,1.583375,0.077474,1.809846,0.001696,0.000416,1.814966
0.131716,1.564335,0.061122,1.762709,0.001632,0.000416,1.766741
0.146148,1.582799,0.087171,1.822198,0.001408,0.000384,1.826326
0.135140,1.564718,0.069410,1.774580,0.001440,0.000416,1.778580
0.160004,1.590351,0.073538,1.833974,0.002112,0.000384,1.839222
0.132388,1.566766,0.064962,1.769652,0.001504,0.000416,1.773780
0.133028,1.589775,0.074690,1.804854,0.001664,0.000448,1.808950
0.127427,1.567246,0.062786,1.763444,0.001568,0.000512,1.767796
0.144645,1.581903,0.079106,1.812246,0.001664,0.000512,1.816566
0.129028,1.564942,0.062786,1.762644,0.001536,0.000416,1.766580
0.143108,1.578767,0.069890,1.798005,0.001376,0.000448,1.801589
0.159045,1.571471,0.072386,1.810582,0.002368,0.000896,1.816086
0.143493,1.587407,0.073730,1.811926,0.001760,0.000544,1.817110
0.147940,1.567823,0.063330,1.785525,0.001696,0.000576,1.789717
0.125892,1.593231,0.071394,1.796854,0.001536,0.000448,1.801782
0.148581,1.571503,0.071746,1.799798,0.001728,0.000544,1.804054
0.152709,1.588751,0.084995,1.834807,0.001856,0.000480,1.839991
0.146148,1.569167,0.068546,1.789429,0.001408,0.000416,1.793685
0.156805,1.573199,0.070658,1.807190,0.001984,0.000544,1.812566
0.157573,1.576687,0.065314,1.807958,0.001856,0.000480,1.812470
0.140421,1.566414,0.062274,1.774325,0.001536,0.000320,1.778325
0.166437,1.565711,0.061889,1.799509,0.001312,0.000352,1.803318
0.136484,1.564046,0.063970,1.769844,0.001344,0.000352,1.773620
0.134532,1.567599,0.063042,1.771349,0.001472,0.000576,1.775541
0.127108,1.564623,0.060994,1.758549,0.001312,0.000416,1.762197
0.143429,1.566990,0.065762,1.783477,0.001440,0.000544,1.787509
0.148740,1.569678,0.066658,1.791477,0.001376,0.000480,1.795573
0.148933,1.567310,0.063650,1.785717,0.001440,0.000544,1.790229
0.142212,1.565807,0.064578,1.779189,0.001472,0.000544,1.784245
0.144293,1.564910,0.078883,1.793334,0.001248,0.000448,1.797238
0.139813,1.566478,0.064706,1.776149,0.001312,0.000384,1.780309
0.144292,1.581583,0.072195,1.804342,0.001376,0.000416,1.808278
0.166853,1.562894,0.061954,1.797333,0.001248,0.000480,1.800981
0.150660,1.585520,0.098339,1.841463,0.001408,0.000416,1.845591
0.144901,1.570510,0.065762,1.786965,0.001344,0.000416,1.790869
0.151717,1.603247,0.083875,1.844823,0.001536,0.000512,1.849079
0.144548,1.565710,0.066273,1.782581,0.001472,0.000512,1.786997
0.145413,1.592335,0.083203,1.827607,0.001632,0.000480,1.832055
0.146821,1.565166,0.063650,1.780917,0.001344,0.000416,1.784789
0.149029,1.580591,0.076738,1.812214,0.001280,0.000512,1.816310
0.145092,1.565135,0.063426,1.779829,0.001344,0.000448,1.783861
0.130724,1.580559,0.071907,1.789974,0.001312,0.000416,1.794870
0.147588,1.565966,0.062241,1.781652,0.001344,0.000417,1.785493
0.152581,1.581103,0.081186,1.822966,0.001376,0.000480,1.828278
0.142629,1.563790,0.062882,1.775701,0.001248,0.000384,1.780405
0.136164,1.603184,0.079522,1.825974,0.001696,0.000512,1.830294
