IN[0],INFER[0-9],OUT[9],TEE[0-9],Layer[10],classifier
0.098723,9.096270,0.063458,9.265203,0.001088,9.268627
0.134404,1.597648,0.082786,1.821462,0.000832,1.825238
0.144932,1.577518,0.063906,1.792277,0.000832,1.794805
0.133092,1.603504,0.074498,1.818166,0.000736,1.821366
0.150660,1.583855,0.066146,1.807573,0.000704,1.810005
0.161701,1.605936,0.067842,1.843511,0.000768,1.846615
0.166469,1.577006,0.074883,1.830007,0.000832,1.833079
0.152484,1.584911,0.068514,1.813142,0.000864,1.816022
0.150021,1.584655,0.094627,1.837271,0.000704,1.840023
0.152933,1.573743,0.074690,1.808918,0.000800,1.811638
0.185541,1.606511,0.078243,1.878776,0.000832,1.881816
0.151909,1.592495,0.067586,1.818806,0.000833,1.821431
0.149220,1.599696,0.076066,1.832374,0.000768,1.835542
0.150244,1.585807,0.069570,1.813174,0.000800,1.815702
0.149445,1.590191,0.122884,1.870456,0.000768,1.873560
0.152933,1.574767,0.067522,1.802006,0.000672,1.804534
0.153669,1.586351,0.073666,1.821046,0.000704,1.823959
0.137348,1.574319,0.066338,1.785429,0.000704,1.788181
0.152388,1.596272,0.077282,1.832374,0.000736,1.834902
0.151493,1.573807,0.068546,1.800950,0.000736,1.803574
0.152549,1.602767,0.079939,1.843863,0.000768,1.846967
0.150501,1.571567,0.068514,1.796534,0.000832,1.799254
0.149796,1.589743,0.074754,1.821686,0.000800,1.824790
0.151172,1.574863,0.067874,1.800693,0.000704,1.803125
0.150373,1.604048,0.119651,1.882072,0.000704,1.884312
0.149796,1.584143,0.067362,1.808117,0.000832,1.810710
0.143172,1.596336,0.083842,1.830454,0.000800,1.833591
0.166629,1.581679,0.064610,1.818934,0.000672,1.821238
0.146500,1.597615,0.074403,1.825814,0.000640,1.828567
0.149381,1.581999,0.066338,1.804246,0.000736,1.807254
0.172166,1.572686,0.087715,1.840119,0.000704,1.842359
0.145732,1.568751,0.065378,1.786197,0.000768,1.788757
0.148228,1.581263,0.065730,1.801717,0.000608,1.804022
0.147237,1.568654,0.069730,1.791445,0.000608,1.793558
0.139652,1.580047,0.068674,1.794742,0.000704,1.797142
0.148068,1.578127,0.065218,1.797269,0.000704,1.799477
0.144868,1.581615,0.064226,1.796853,0.000800,1.799157
0.146021,1.622416,0.084419,1.861080,0.000640,1.863896
0.133380,1.569806,0.069794,1.779637,0.000704,1.781813
0.152325,1.612592,0.085442,1.858071,0.000736,1.860887
0.149540,1.576431,0.068258,1.801845,0.000672,1.804501
0.134372,1.595759,0.072514,1.809525,0.000640,1.812278
0.148388,1.583375,0.070530,1.808597,0.000704,1.810965
0.146308,1.590191,0.073218,1.816501,0.000704,1.819478
0.146116,1.567791,0.065090,1.785077,0.000672,1.787317
0.151813,1.596079,0.078307,1.831543,0.000736,1.833847
0.174789,1.594831,0.066690,1.842582,0.000704,1.844950
0.146628,1.619984,0.080483,1.855159,0.000800,1.858135
0.149668,1.569039,0.064898,1.789845,0.000800,1.792501
0.134564,1.601711,0.076835,1.820502,0.000736,1.823542
0.147460,1.582543,0.065218,1.801813,0.000704,1.804277
0.147109,1.600655,0.078243,1.832695,0.000768,1.835671
0.148676,1.580751,0.067842,1.804021,0.000736,1.806389
0.148644,1.601488,0.080322,1.837302,0.000704,1.839990
0.150725,1.577295,0.065730,1.799670,0.000608,1.801910
0.173061,1.586991,0.079235,1.845975,0.000704,1.848951
0.167365,1.569198,0.064482,1.806965,0.000672,1.809301
0.132868,1.602032,0.078082,1.818614,0.000640,1.820726
0.151685,1.569359,0.072546,1.800534,0.000704,1.802774
0.126532,1.587759,0.073442,1.794773,0.000704,1.797302
0.121924,1.570447,0.071234,1.768789,0.000768,1.771221
0.121955,1.597136,0.070594,1.795669,0.000768,1.798422
0.118468,1.584271,0.065122,1.772725,0.000704,1.775125
0.128419,1.583279,0.068610,1.785749,0.000800,1.788437
0.139108,1.597648,0.062914,1.805142,0.000672,1.807414
0.129732,1.580079,0.067490,1.782933,0.000672,1.785557
0.110723,1.583375,0.062946,1.762516,0.000672,1.764692
0.119012,1.630768,0.084675,1.839063,0.000864,1.841399
0.151589,1.570062,0.066146,1.794773,0.000704,1.797589
0.136036,1.590704,0.079938,1.813526,0.000640,1.816118
0.146820,1.569294,0.066402,1.789013,0.000672,1.791285
0.140612,1.594447,0.075299,1.815798,0.000832,1.818262
0.147236,1.581423,0.067202,1.801813,0.000704,1.804149
0.165189,1.581807,0.066210,1.819414,0.000800,1.821782
0.146148,1.569679,0.065442,1.787925,0.000736,1.790293
0.116707,1.576463,0.065570,1.764148,0.000608,1.766292
0.123363,1.577935,0.065410,1.772468,0.000608,1.774580
0.117123,1.569038,0.067714,1.759220,0.000704,1.761556
0.131620,1.576399,0.063746,1.777717,0.000736,1.780053
0.146853,1.593999,0.064578,1.811574,0.000672,1.814038
0.120707,1.576750,0.063202,1.765652,0.000640,1.767892
0.121284,1.568942,0.064034,1.760724,0.000704,1.763892
0.122276,1.569230,0.070466,1.767028,0.000608,1.769172
0.132484,1.579247,0.062402,1.778901,0.000704,1.781237
0.139332,1.582799,0.061058,1.788405,0.000768,1.790997
0.151653,1.568910,0.064385,1.791413,0.000608,1.793750
0.149092,1.574735,0.065698,1.795669,0.000640,1.797845
0.150917,1.597071,0.068642,1.823286,0.000704,1.825559
0.152325,1.608336,0.075554,1.844631,0.000768,1.847607
0.153893,1.570255,0.067170,1.797878,0.000672,1.800246
0.150757,1.587855,0.079234,1.824054,0.000705,1.826839
0.153092,1.575535,0.073730,1.807733,0.000800,1.810293
0.149796,1.586447,0.072419,1.814806,0.000672,1.817654
0.175109,1.598031,0.067074,1.847159,0.000768,1.849719
0.150084,1.600048,0.074274,1.831542,0.000768,1.834486
0.147141,1.571246,0.072451,1.796566,0.000864,1.798998
0.149284,1.606320,0.116100,1.879576,0.000800,1.882552
0.151780,1.581711,0.068578,1.808853,0.000800,1.811253
0.152004,1.596528,0.074562,1.831382,0.000896,1.834486
0.150373,1.572110,0.066370,1.794677,0.000704,1.797205
0.155108,1.586608,0.080450,1.829238,0.000768,1.832406
0.148260,1.570575,0.064418,1.789077,0.000736,1.791413
0.151620,1.606512,0.079394,1.845271,0.000832,1.848695
0.174181,1.571599,0.065218,1.817590,0.000736,1.819958
0.150276,1.620209,0.090434,1.868247,0.000800,1.871287
0.145637,1.569454,0.064866,1.786005,0.000672,1.788469
0.147172,1.598511,0.074786,1.828406,0.000768,1.831414
0.148324,1.573327,0.069090,1.797589,0.000672,1.799893
0.151972,1.591088,0.092610,1.843254,0.000800,1.846391
0.153444,1.583471,0.068514,1.811606,0.000704,1.814006
0.192389,1.608560,0.068194,1.876151,0.000800,1.879319
0.151781,1.572782,0.066850,1.798421,0.000704,1.800982
0.151525,1.596911,0.068514,1.823542,0.000672,1.825910
0.150981,1.584751,0.066562,1.809014,0.000864,1.811702
0.150181,1.573999,0.067554,1.798294,0.000800,1.800886
0.153573,1.587119,0.075714,1.823350,0.000736,1.825846
0.150852,1.571375,0.069730,1.798997,0.000768,1.801525
0.150629,1.587343,0.071938,1.818422,0.000704,1.821686
0.133188,1.581775,0.072514,1.794869,0.000800,1.797685
0.149988,1.605104,0.074370,1.837046,0.000704,1.840118
0.147812,1.582351,0.073378,1.809845,0.000704,1.812341
0.149444,1.592143,0.087971,1.837910,0.000672,1.841014
0.151013,1.572334,0.073827,1.804342,0.000640,1.806742
0.145092,1.588911,0.080130,1.820950,0.000800,1.824214
0.150660,1.573135,0.071810,1.802581,0.000832,1.805269
0.150404,1.589008,0.082146,1.828694,0.000640,1.830998
0.151077,1.579023,0.066882,1.803766,0.000736,1.806614
0.152389,1.588815,0.076034,1.825046,0.000736,1.828310
0.152676,1.580079,0.069634,1.809877,0.000736,1.812757
0.150276,1.598128,0.076130,1.832246,0.000640,1.835158
0.152197,1.578383,0.066562,1.803798,0.000640,1.806166
0.148516,1.590448,0.079970,1.826678,0.000704,1.829910
0.147685,1.583855,0.066882,1.804694,0.000640,1.806998
0.149860,1.599248,0.074306,1.831574,0.000704,1.834614
0.137060,1.585807,0.065730,1.795990,0.000864,1.798646
0.154213,1.609071,0.089666,1.860855,0.000640,1.863127
0.156869,1.582159,0.071618,1.818198,0.000672,1.820534
0.159909,1.591663,0.071458,1.831094,0.000768,1.834294
0.140900,1.585263,0.068674,1.802773,0.000832,1.805461
0.139364,1.580335,0.067874,1.794389,0.000768,1.797141
0.136420,1.586095,0.066690,1.796277,0.000832,1.798997
0.152965,1.582255,0.068738,1.810774,0.000800,1.813622
0.152581,1.598959,0.081475,1.841335,0.000736,1.845047
0.150660,1.586896,0.066978,1.811318,0.000704,1.813494
0.177221,1.597232,0.073058,1.855319,0.000768,1.858839
0.133828,1.578927,0.065250,1.784821,0.000832,1.787477
0.154084,1.601103,0.082531,1.845527,0.000832,1.848887
0.151877,1.601103,0.076355,1.837559,0.000768,1.840791
0.155461,1.596655,0.079843,1.840375,0.000896,1.843607
0.151749,1.582383,0.076834,1.818230,0.000736,1.820758
0.148740,1.589519,0.072002,1.818134,0.000864,1.821398
0.153636,1.599887,0.070946,1.831286,0.000832,1.833750
0.151876,1.605648,0.083618,1.849558,0.000832,1.852630
0.151844,1.584079,0.069634,1.813781,0.000864,1.816885
0.150244,1.591888,0.080578,1.830294,0.000736,1.833206
0.149413,1.587919,0.075010,1.819350,0.000704,1.821526
0.131140,1.597455,0.079426,1.815958,0.000704,1.819030
0.119652,1.585935,0.070434,1.784117,0.000896,1.786805
0.156324,1.592815,0.104739,1.862167,0.000832,1.865687
0.153764,1.574799,0.069826,1.805077,0.000768,1.807733
0.153989,1.592399,0.079395,1.834327,0.000832,1.837847
