Layer[0],TEE[1-10],classifier
0.505332,8.115621,8.689851
0.417712,0.705245,1.190864
0.428561,0.700188,1.194031
0.415761,0.698844,1.184239
0.415920,0.712285,1.192175
0.428401,0.716093,1.210832
0.415888,0.697180,1.175663
0.416017,0.691547,1.175823
0.416560,0.713949,1.204528
0.416785,0.714396,1.197840
0.416721,0.717852,1.202064
0.416529,0.706140,1.186480
0.416241,0.688700,1.180943
0.416016,0.702557,1.184879
0.415601,0.680347,1.160303
0.416368,0.689980,1.171086
0.416849,0.736958,1.224113
0.416176,0.675739,1.154094
0.415921,0.706492,1.189456
0.415633,0.714109,1.201232
0.416017,0.709340,1.193104
0.416432,0.695132,1.179791
0.428433,0.725309,1.222545
0.414801,0.715676,1.200080
0.415696,0.711133,1.197359
0.428625,0.704316,1.195792
0.415633,0.691228,1.169135
0.416273,0.705244,1.185616
0.430545,0.693948,1.188176
0.415568,0.691388,1.172398
0.415441,0.715516,1.203344
0.415409,0.701596,1.183567
0.415568,0.712125,1.196399
0.415985,0.734653,1.221745
0.416208,0.675995,1.154830
0.415313,0.713116,1.198960
0.416112,0.728061,1.234225
0.416208,0.721661,1.208848
0.415921,0.680091,1.166415
0.416016,0.694172,1.178831
0.416017,0.688860,1.175471
0.416177,0.678235,1.162767
0.416176,0.733566,1.218960
0.415441,0.699708,1.179439
0.415824,0.708477,1.190351
0.429969,0.711069,1.205104
0.415792,0.727293,1.217328
0.415280,0.707581,1.189615
0.429777,0.732797,1.228305
0.416049,0.701116,1.188624
0.416336,0.721981,1.210352
0.415728,0.732286,1.217136
0.414480,0.683996,1.165326
0.415121,0.690619,1.169615
0.415440,0.708861,1.189231
0.415248,0.686460,1.165710
0.415793,0.702364,1.182575
0.416305,0.707516,1.193456
0.415217,0.704060,1.184816
0.416177,0.740925,1.223761
0.415633,0.701308,1.182927
0.415825,0.702268,1.180816
0.428721,0.702204,1.194352
0.416529,0.714205,1.197488
0.415152,0.726109,1.212432
0.442290,0.681019,1.186639
0.415280,0.676123,1.156750
0.415409,0.688475,1.168303
0.416561,0.674779,1.155022
0.416593,0.716573,1.201648
0.416529,0.748638,1.236530
0.415792,0.727645,1.210064
0.415921,0.698364,1.180111
0.415792,0.740190,1.223216
0.415441,0.718652,1.199760
0.415249,0.708604,1.190800
0.415761,0.722749,1.205937
0.415441,0.706524,1.189616
0.415409,0.712316,1.198384
0.434866,0.734013,1.234290
0.415441,0.703228,1.193488
0.416112,0.693756,1.175823
0.415857,0.693083,1.174319
0.415856,0.702556,1.185551
0.415664,0.721661,1.204688
0.415985,0.698684,1.184751
0.415536,0.704252,1.186031
0.415536,0.733214,1.220272
0.415729,0.697884,1.181551
0.415729,0.706396,1.192080
0.416529,0.726013,1.209200
0.414993,0.713372,1.197424
0.416689,0.703548,1.190352
0.439569,0.694204,1.200368
0.415984,0.699484,1.178319
0.415888,0.695068,1.175823
0.424305,0.741086,1.232977
0.416336,0.716093,1.204208
0.416881,0.759967,1.254066
0.419728,0.714172,1.202864
0.418033,0.711900,1.199120
0.416849,0.717245,1.205168
0.416464,0.704252,1.186959
0.415665,0.705276,1.187600
0.435537,0.717821,1.222929
0.417905,0.720445,1.210768
0.417360,0.707133,1.193455
0.415952,0.708925,1.196623
0.416816,0.713821,1.201232
0.416368,0.735998,1.223472
0.418673,0.741854,1.234226
0.416177,0.713181,1.197296
0.416305,0.723677,1.212336
0.415824,0.698875,1.182351
0.416369,0.710653,1.196272
0.434897,0.760447,1.266034
0.416113,0.714236,1.201296
0.416625,0.718973,1.224305
0.416688,0.713117,1.198127
0.415729,0.714269,1.198032
0.415985,0.758302,1.246802
0.415697,0.707516,1.190704
0.415697,0.709468,1.193872
0.416209,0.728477,1.212337
0.416561,0.703900,1.186255
0.415569,0.702396,1.192208
0.432881,0.699708,1.200624
0.416049,0.710941,1.196464
0.416209,0.707452,1.190384
0.415664,0.703420,1.189391
0.415793,0.739965,1.225361
0.417041,0.721821,1.207537
0.415568,0.694043,1.176495
0.415409,0.704860,1.186288
0.418513,0.764766,1.251026
0.415632,0.709277,1.193103
0.415985,0.704444,1.186671
0.433330,0.698460,1.197712
0.415953,0.700796,1.183792
0.415441,0.703516,1.187984
0.433233,0.711197,1.212240
0.415248,0.724509,1.209104
0.415728,0.756702,1.240241
0.416048,0.711037,1.196207
0.416529,0.711292,1.195472
0.415633,0.729597,1.215857
0.416560,0.716412,1.199600
0.415601,0.739038,1.224625
0.415792,0.729853,1.212048
0.415633,0.749886,1.236466
0.415440,0.701404,1.185615
0.432529,0.699644,1.198319
0.415537,0.697180,1.179087
