Layer[0],IN[1],INFER[1-10],OUT[10],TEE[1-10],classifier
0.496815,0.162565,8.027086,0.082402,8.277109,8.778788
0.398732,0.187077,0.640467,0.068450,0.900699,1.303751
0.395148,0.157028,0.611570,0.067970,0.840568,1.239461
0.396140,0.165093,0.609586,0.068610,0.847417,1.247205
0.411980,0.168197,0.620434,0.069410,0.862137,1.278533
0.396460,0.184133,0.611474,0.066465,0.866106,1.266534
0.395852,0.188358,0.625426,0.085923,0.903931,1.303623
0.395083,0.148068,0.609874,0.072322,0.834360,1.233476
0.395020,0.144068,0.620178,0.073603,0.841881,1.241605
0.395180,0.183109,0.635251,0.072322,0.896762,1.296486
0.394507,0.143237,0.622354,0.070338,0.841337,1.239204
0.394987,0.139941,0.618514,0.068002,0.830265,1.228644
0.406220,0.137125,0.606002,0.072226,0.819225,1.229413
0.394764,0.139460,0.616146,0.065858,0.825304,1.223396
0.394220,0.140388,0.617971,0.096162,0.858201,1.255781
0.394571,0.166724,0.607090,0.067010,0.844824,1.243717
0.394764,0.185606,0.615250,0.067970,0.872858,1.270822
0.394572,0.138884,0.616530,0.078403,0.838073,1.236229
0.396235,0.203046,0.622994,0.073282,0.904250,1.307174
0.395340,0.142404,0.608498,0.067906,0.822936,1.221732
0.409868,0.161989,0.609682,0.068834,0.844249,1.257573
0.395244,0.158020,0.605170,0.066946,0.833976,1.232164
0.395275,0.141732,0.617458,0.070594,0.833944,1.233060
0.394635,0.144709,0.616050,0.068226,0.833017,1.230820
0.395180,0.174373,0.607890,0.064930,0.850489,1.248741
0.395148,0.182245,0.635027,0.074531,0.896315,1.295015
0.395148,0.128868,0.622098,0.064898,0.819928,1.218692
0.395340,0.140036,0.605682,0.066978,0.816216,1.215332
0.395500,0.136868,0.631027,0.074178,0.846521,1.246405
0.394827,0.155397,0.606866,0.066978,0.833305,1.231620
0.394828,0.178661,0.620691,0.068194,0.871546,1.270406
0.410476,0.157797,0.620690,0.070018,0.852474,1.266534
0.395084,0.133828,0.611218,0.069890,0.819608,1.218468
0.394828,0.155237,0.607762,0.067842,0.834617,1.232933
0.394987,0.139748,0.615954,0.069410,0.828824,1.227748
0.394540,0.128900,0.619218,0.065698,0.817752,1.215748
0.394636,0.152325,0.619442,0.077314,0.853113,1.251397
0.394123,0.133604,0.606098,0.068546,0.812152,1.210372
0.394700,0.160325,0.620434,0.071010,0.855833,1.254694
0.394380,0.136868,0.629874,0.077155,0.849209,1.246437
0.394924,0.132612,0.606130,0.067010,0.809560,1.207972
0.394731,0.142244,0.613970,0.066434,0.826105,1.224100
0.409644,0.133380,0.607666,0.065826,0.810872,1.224196
0.395339,0.157157,0.609490,0.065794,0.836089,1.235204
0.396620,0.153668,0.607634,0.068418,0.833816,1.234980
0.394699,0.144325,0.616434,0.077762,0.842617,1.240997
0.394476,0.146084,0.621235,0.070626,0.841945,1.240773
0.394348,0.178629,0.626066,0.110211,0.919195,1.318631
0.395500,0.159109,0.610258,0.076450,0.849785,1.249509
0.394476,0.163172,0.609938,0.068802,0.845913,1.244229
0.418509,0.181061,0.617298,0.069314,0.872858,1.295527
0.394699,0.147781,0.608594,0.068386,0.828825,1.227140
0.395467,0.163589,0.611922,0.070914,0.850489,1.249349
0.395468,0.155717,0.607378,0.067970,0.834713,1.233733
0.394668,0.144484,0.608114,0.066914,0.823352,1.221924
0.395372,0.160804,0.634706,0.080291,0.879482,1.279078
0.394828,0.152613,0.608434,0.067266,0.832089,1.230853
0.395307,0.167173,0.606674,0.069058,0.847289,1.247780
0.395243,0.195366,0.635155,0.074850,0.909243,1.308550
0.395916,0.147589,0.617458,0.067842,0.836569,1.236741
0.394828,0.158308,0.605106,0.067170,0.834104,1.232580
0.394892,0.190566,0.605778,0.066594,0.866490,1.265254
0.394956,0.159589,0.606994,0.068962,0.839769,1.238597
0.394699,0.154724,0.623027,0.075682,0.857401,1.255973
0.395052,0.161093,0.603698,0.065762,0.834425,1.233285
0.394604,0.189253,0.608658,0.067746,0.869434,1.268294
0.394828,0.187430,0.605330,0.068226,0.864922,1.263814
0.395116,0.183238,0.609106,0.068738,0.865210,1.265478
0.395179,0.159589,0.608370,0.072098,0.844185,1.243300
0.413836,0.159781,0.617490,0.068898,0.849945,1.267973
0.394924,0.195206,0.608594,0.067330,0.874970,1.273766
0.395467,0.164357,0.633619,0.092515,0.895067,1.295014
0.396300,0.165253,0.608370,0.069122,0.846617,1.246949
0.395084,0.165893,0.619378,0.068418,0.857498,1.256838
0.394988,0.157572,0.631379,0.075298,0.868313,1.267430
0.394764,0.158469,0.604818,0.069026,0.836089,1.235141
0.394572,0.157893,0.609106,0.068802,0.839641,1.238437
0.411468,0.163397,0.618963,0.070850,0.857178,1.273190
0.395499,0.159461,0.608722,0.068034,0.839865,1.239268
0.395116,0.143812,0.622066,0.077027,0.847033,1.246437
0.394828,0.164613,0.606226,0.067298,0.841849,1.240965
0.394507,0.150660,0.609106,0.068546,0.831928,1.231044
0.395532,0.148292,0.625811,0.082242,0.861561,1.261509
0.394604,0.157348,0.608722,0.067970,0.837912,1.236964
0.394764,0.157540,0.609650,0.068258,0.839320,1.238277
0.413036,0.157349,0.617714,0.068802,0.847641,1.264485
0.394476,0.182245,0.609362,0.066722,0.862009,1.260965
0.394732,0.162821,0.609362,0.091619,0.868186,1.267334
0.394795,0.189350,0.605426,0.067138,0.866234,1.265029
0.395755,0.157220,0.609938,0.068994,0.840504,1.240228
0.394540,0.157636,0.622770,0.085475,0.869722,1.268198
0.394572,0.190950,0.608242,0.068642,0.872090,1.271078
0.394508,0.162501,0.608338,0.068770,0.843577,1.241957
