Layer[0],IN[1],INFER[1-1],OUT[1],TEE[1-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.550448,0.161093,0.063650,0.064610,0.292841,0.197638,0.005600,0.047425,0.000832,0.013409,0.000384,0.001408,0.002592,0.000768,1.120961
0.396043,0.145765,0.063266,0.068706,0.281641,0.195942,0.005472,0.047233,0.000768,0.013921,0.000352,0.001792,0.001408,0.000576,0.952860
0.396235,0.158820,0.061410,0.064706,0.288424,0.193446,0.005280,0.047426,0.001024,0.014304,0.000352,0.001824,0.001472,0.000608,0.959644
0.395980,0.200742,0.086018,0.089411,0.381195,0.193606,0.005280,0.048737,0.000800,0.013793,0.000352,0.001504,0.001408,0.000640,1.051583
0.395563,0.165189,0.059970,0.070914,0.300969,0.194022,0.005120,0.049506,0.000640,0.014272,0.000384,0.001536,0.000864,0.000544,0.971548
0.394763,0.144357,0.060898,0.063841,0.272712,0.197318,0.005088,0.049282,0.000608,0.013760,0.000352,0.001536,0.000896,0.000576,0.944252
0.395116,0.139524,0.051617,0.062402,0.257095,0.192518,0.005088,0.066978,0.000576,0.013825,0.000352,0.001472,0.000928,0.000352,0.941948
0.394059,0.145797,0.050081,0.062434,0.262152,0.195302,0.005056,0.048386,0.000576,0.013440,0.000320,0.001440,0.000832,0.000352,0.929115
0.394124,0.136036,0.062690,0.066850,0.269128,0.193670,0.005088,0.047969,0.000544,0.013825,0.000384,0.001408,0.000896,0.000320,0.934492
0.394251,0.150277,0.061858,0.063458,0.279241,0.195109,0.005281,0.048033,0.000608,0.013409,0.000352,0.001600,0.000928,0.000352,0.946588
0.407565,0.152356,0.058338,0.066434,0.281704,0.194054,0.005120,0.047905,0.000608,0.013441,0.000416,0.001408,0.000896,0.000384,0.961277
0.395020,0.147044,0.050210,0.081122,0.281768,0.195750,0.005056,0.047906,0.000608,0.013504,0.000384,0.001504,0.001024,0.000352,0.951388
0.394188,0.171269,0.058594,0.069826,0.304265,0.196134,0.005152,0.048322,0.000608,0.013568,0.000352,0.001408,0.000960,0.000320,0.973789
0.398124,0.149124,0.049538,0.060130,0.262664,0.211046,0.005248,0.048386,0.000608,0.013728,0.000384,0.001440,0.000896,0.000352,0.951388
0.394380,0.154565,0.048257,0.059874,0.265896,0.195782,0.005184,0.047201,0.000608,0.013441,0.000384,0.001440,0.000896,0.000416,0.932988
0.394476,0.144356,0.048386,0.064802,0.260776,0.194438,0.005216,0.047425,0.000640,0.013409,0.000352,0.001408,0.000992,0.000352,0.926748
0.395564,0.138436,0.050306,0.062434,0.254472,0.192357,0.005025,0.047105,0.000576,0.013376,0.000384,0.001408,0.000832,0.000320,0.918972
0.394764,0.152324,0.060866,0.062146,0.278536,0.193190,0.009184,0.047426,0.000576,0.013472,0.000384,0.001728,0.000992,0.000288,0.948796
0.393867,0.156581,0.059938,0.069314,0.289097,0.192390,0.005024,0.047201,0.000512,0.013505,0.000416,0.001440,0.000960,0.000352,0.951900
0.395692,0.191878,0.059906,0.066594,0.321706,0.192773,0.005088,0.047234,0.000544,0.013504,0.000384,0.001472,0.000992,0.000384,0.987485
0.421197,0.182341,0.059681,0.070434,0.315977,0.194374,0.005120,0.049314,0.000832,0.014656,0.000384,0.001568,0.001248,0.000352,1.013823
0.394923,0.162052,0.048642,0.062402,0.276296,0.193126,0.009440,0.047457,0.000768,0.013889,0.000384,0.001504,0.001216,0.000416,0.947740
0.399564,0.164197,0.060033,0.064098,0.291496,0.193094,0.005120,0.047682,0.000768,0.013824,0.000320,0.001536,0.000928,0.000288,0.963228
0.394828,0.156228,0.060642,0.086947,0.307593,0.196582,0.005152,0.049601,0.000576,0.013953,0.000384,0.001504,0.001024,0.000384,0.979261
0.398956,0.159941,0.048865,0.066978,0.278888,0.192934,0.005216,0.047330,0.000544,0.013632,0.000352,0.001440,0.000992,0.000352,0.948156
0.401388,0.195270,0.050849,0.062530,0.312393,0.194118,0.005856,0.049249,0.001024,0.013984,0.000384,0.001696,0.001856,0.000800,0.993789
