Layer[0],IN[1],INFER[1-2],OUT[2],TEE[1-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.489807,0.125796,7.945867,0.075107,8.151154,0.010432,0.047713,0.000800,0.013505,0.000384,0.001504,0.011776,0.000576,8.735331
0.397675,0.168517,0.533167,0.067650,0.773142,0.006337,0.048993,0.000608,0.013633,0.000416,0.001472,0.001120,0.000352,1.251685
0.399436,0.175365,0.534224,0.069090,0.782263,0.012288,0.048034,0.000576,0.013984,0.000384,0.001440,0.001120,0.000352,1.268773
0.400140,0.164101,0.553137,0.075266,0.797496,0.005696,0.049314,0.000608,0.013920,0.000384,0.001536,0.001024,0.000384,1.279398
0.395436,0.173733,0.533136,0.070178,0.780663,0.011872,0.049058,0.000864,0.014112,0.000384,0.001440,0.001184,0.000384,1.263493
0.400140,0.155013,0.531631,0.069123,0.759927,0.005312,0.048225,0.000832,0.014113,0.000384,0.001440,0.001056,0.000352,1.239813
0.412076,0.170661,0.540944,0.076130,0.791319,0.006401,0.047777,0.000608,0.013888,0.000416,0.001440,0.001056,0.000384,1.282886
0.400844,0.165669,0.532912,0.067650,0.769911,0.010016,0.051042,0.000640,0.014112,0.000416,0.001473,0.001024,0.000384,1.257286
0.395020,0.167077,0.531344,0.069314,0.771319,0.013568,0.064162,0.000832,0.013857,0.000544,0.001504,0.001024,0.000384,1.269670
0.395948,0.169381,0.530576,0.067618,0.771415,0.007744,0.047969,0.000769,0.013696,0.000416,0.001440,0.001120,0.000384,1.248229
0.399787,0.197221,0.533424,0.076707,0.811320,0.006368,0.047489,0.000608,0.013601,0.000384,0.001504,0.001280,0.000352,1.289606
0.399820,0.159333,0.548560,0.079939,0.792088,0.005600,0.047361,0.000608,0.013505,0.000384,0.001472,0.001152,0.000320,1.269158
0.399500,0.154692,0.529456,0.067010,0.754742,0.005248,0.047426,0.000736,0.013472,0.000352,0.001472,0.001184,0.000352,1.231012
0.398892,0.143461,0.531727,0.066946,0.745750,0.012161,0.047265,0.000608,0.013505,0.000384,0.001440,0.001120,0.000352,1.229797
0.413485,0.172005,0.542864,0.070882,0.789751,0.006848,0.047938,0.000768,0.013536,0.000416,0.001472,0.001088,0.000320,1.282982
0.399820,0.164325,0.527984,0.065858,0.761783,0.013600,0.047905,0.000800,0.013569,0.000448,0.001472,0.000928,0.000352,1.249061
0.395244,0.161893,0.531344,0.069250,0.766167,0.005248,0.047457,0.000832,0.029825,0.000640,0.001568,0.001088,0.000384,1.256549
0.394988,0.177733,0.530448,0.072610,0.784567,0.008032,0.048322,0.000768,0.013568,0.000448,0.001408,0.001152,0.000352,1.262533
0.399884,0.152357,0.530160,0.068610,0.754967,0.007136,0.048673,0.000832,0.013569,0.000416,0.001536,0.001216,0.000320,1.235781
0.396236,0.171813,0.550192,0.079907,0.806296,0.010880,0.049506,0.000832,0.013536,0.000416,0.001504,0.001248,0.000384,1.289638
