Layer[0],IN[1],INFER[1-3],OUT[3],TEE[1-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.488270,0.128452,7.952460,0.073730,8.158770,0.050562,0.000608,0.013536,0.000416,0.001504,0.010304,0.000576,8.731555
0.397548,0.176421,0.553072,0.071938,0.824472,0.049474,0.000640,0.013952,0.000384,0.001504,0.001344,0.000576,1.296646
0.395692,0.196806,0.549744,0.073666,0.824185,0.049057,0.000640,0.013920,0.000384,0.001473,0.001184,0.000608,1.294119
0.395819,0.167749,0.539632,0.066402,0.777655,0.049186,0.000640,0.013888,0.000416,0.001536,0.001120,0.000320,1.247460
0.395788,0.167493,0.548848,0.068194,0.788279,0.049409,0.000576,0.013824,0.000384,0.001536,0.001088,0.000640,1.258245
0.395500,0.167365,0.539280,0.066114,0.776503,0.049153,0.000640,0.013697,0.000352,0.001536,0.001184,0.000320,1.247013
0.395084,0.172389,0.555696,0.122403,0.854905,0.051618,0.000640,0.014272,0.000352,0.001760,0.001088,0.000384,1.328103
0.395116,0.168101,0.539632,0.068066,0.780247,0.049474,0.000640,0.014304,0.000416,0.001568,0.001184,0.000576,1.251493
0.395211,0.144133,0.539952,0.070434,0.758679,0.049921,0.001056,0.014273,0.000448,0.001536,0.001120,0.000352,1.229796
0.415276,0.152293,0.540976,0.068962,0.766231,0.049121,0.000640,0.013697,0.000352,0.001536,0.001184,0.000384,1.255941
0.395372,0.165573,0.539824,0.064962,0.774007,0.052002,0.000640,0.013696,0.000384,0.001568,0.001184,0.000576,1.246149
0.394828,0.195718,0.539248,0.068738,0.807288,0.050657,0.000704,0.013665,0.000416,0.001536,0.001152,0.000384,1.277318
0.395276,0.159653,0.537167,0.065281,0.766006,0.049089,0.000608,0.013632,0.000384,0.001536,0.001280,0.000416,1.234981
0.394988,0.167109,0.539088,0.067522,0.777399,0.048609,0.000640,0.014081,0.000384,0.001600,0.001120,0.000384,1.245797
0.395115,0.168549,0.557105,0.084898,0.814937,0.048417,0.000576,0.013504,0.000384,0.001568,0.001216,0.000352,1.283334
0.395436,0.166405,0.536560,0.066914,0.773751,0.050401,0.000609,0.013536,0.000416,0.001568,0.001120,0.000384,1.245189
0.395755,0.168901,0.539024,0.067938,0.779831,0.048993,0.000672,0.013697,0.000416,0.001536,0.001184,0.000384,1.249285
0.412780,0.168452,0.548912,0.068034,0.788760,0.048865,0.000640,0.013505,0.000384,0.001472,0.001088,0.000384,1.274854
0.394604,0.155941,0.540208,0.065986,0.765751,0.056994,0.000608,0.013536,0.000352,0.001440,0.001120,0.000384,1.241381
