Layer[0],IN[1],INFER[1-4],OUT[4],TEE[1-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.530148,0.189730,8.055129,0.067137,8.316764,0.001024,0.014656,0.000384,0.001504,0.002496,0.000608,8.874976
0.418819,0.161153,0.618724,0.069345,0.853606,0.000992,0.015488,0.000608,0.001792,0.001440,0.000384,1.299081
0.417763,0.150593,0.598628,0.064896,0.818309,0.001088,0.014849,0.000416,0.001696,0.000960,0.000352,1.260873
0.417699,0.172289,0.590885,0.063296,0.830278,0.000896,0.016608,0.000384,0.001600,0.001152,0.000416,1.274217
0.415683,0.179521,0.596004,0.064289,0.844358,0.000896,0.014496,0.000352,0.001536,0.000992,0.000384,1.283945
0.416162,0.149538,0.596260,0.063072,0.812614,0.000800,0.014400,0.000416,0.001600,0.000960,0.000352,1.252296
0.416899,0.157057,0.599429,0.069152,0.829446,0.000736,0.015168,0.000384,0.001472,0.001056,0.000384,1.270473
0.416387,0.150113,0.595812,0.062817,0.812518,0.000704,0.014144,0.000352,0.001472,0.000832,0.000352,1.251753
0.415939,0.148097,0.596069,0.063232,0.811142,0.000768,0.014080,0.000448,0.001440,0.000800,0.000384,1.249769
0.416995,0.177665,0.606788,0.066561,0.854982,0.000704,0.014144,0.000416,0.001536,0.001024,0.000352,1.294953
0.416418,0.138497,0.586181,0.063840,0.792166,0.000800,0.013984,0.000480,0.001376,0.000864,0.000352,1.231209
0.415779,0.166689,0.587716,0.077825,0.836358,0.000960,0.014144,0.000384,0.001440,0.000896,0.000352,1.275209
0.423235,0.246402,0.599428,0.068417,0.919943,0.001248,0.015200,0.000384,0.002112,0.002752,0.000608,1.375786
0.417251,0.167713,0.598596,0.063713,0.835718,0.001024,0.018304,0.000416,0.001600,0.001120,0.000384,1.281225
0.416291,0.184418,0.593860,0.089953,0.873191,0.001184,0.015744,0.000448,0.001568,0.001152,0.000384,1.315082
0.416835,0.165474,0.597188,0.067040,0.833894,0.000832,0.014368,0.000416,0.001536,0.000992,0.000416,1.274313
0.417411,0.183586,0.589124,0.066272,0.843430,0.000896,0.014849,0.000416,0.001568,0.001216,0.000544,1.287722
0.419299,0.195394,0.610788,0.067392,0.879174,0.000832,0.014336,0.000416,0.001536,0.001184,0.000576,1.322538
0.418339,0.193410,0.601252,0.064640,0.864614,0.000896,0.015296,0.000416,0.001505,0.000928,0.000320,1.307658
0.417411,0.150273,0.601572,0.064993,0.822342,0.000960,0.015328,0.000416,0.001568,0.001344,0.000416,1.265065
0.434851,0.181409,0.591621,0.071296,0.849030,0.000896,0.014880,0.000384,0.001600,0.001248,0.000416,1.310441
0.416739,0.180289,0.589252,0.069761,0.843718,0.000864,0.014944,0.000448,0.001600,0.001280,0.000384,1.286025
0.417155,0.177825,0.606693,0.073568,0.863078,0.000864,0.016096,0.000416,0.001536,0.001408,0.000352,1.307433
0.417955,0.202689,0.588389,0.068000,0.863590,0.000992,0.015392,0.000352,0.001760,0.001088,0.000448,1.307401
0.417155,0.217890,0.592420,0.070560,0.885030,0.000928,0.015520,0.000608,0.001760,0.001184,0.000576,1.328458
0.430147,0.165729,0.591844,0.070464,0.832710,0.000832,0.015072,0.000416,0.001792,0.001088,0.000384,1.288745
0.417571,0.180033,0.588165,0.069312,0.842310,0.001152,0.015744,0.000608,0.001824,0.000992,0.000384,1.287049
0.417123,0.206402,0.608452,0.082273,0.902663,0.000928,0.016224,0.000448,0.001664,0.001056,0.000352,1.347882
0.417411,0.177890,0.589924,0.069216,0.841510,0.001024,0.015744,0.000640,0.001792,0.001152,0.000352,1.285930
0.417027,0.167201,0.590245,0.069888,0.832070,0.000960,0.015456,0.000608,0.001728,0.001088,0.000384,1.275369
0.416931,0.228418,0.598980,0.072960,0.904998,0.000800,0.014689,0.000416,0.001504,0.001056,0.000416,1.346122
0.417283,0.202114,0.590052,0.067808,0.864390,0.001024,0.015617,0.000608,0.001696,0.000992,0.000352,1.308042
0.417091,0.161825,0.588389,0.067040,0.821542,0.001024,0.015680,0.000608,0.001696,0.001056,0.000640,1.265033
0.416931,0.169825,0.586628,0.067297,0.828038,0.001024,0.014560,0.000384,0.001408,0.000992,0.000352,1.269417
0.416611,0.174369,0.588260,0.071745,0.838662,0.000832,0.014432,0.000416,0.001504,0.001088,0.000416,1.280169
0.417027,0.177762,0.607908,0.072609,0.863431,0.000832,0.014720,0.000416,0.001600,0.001088,0.000384,1.305514
0.416483,0.176834,0.587492,0.067552,0.836230,0.001088,0.014401,0.000416,0.001536,0.001056,0.000352,1.277578
0.416803,0.182209,0.591204,0.071073,0.848518,0.000992,0.014912,0.000480,0.001472,0.001312,0.000608,1.290729
0.435907,0.180257,0.598596,0.069985,0.853446,0.000832,0.014528,0.000416,0.001536,0.000992,0.000384,1.314473
0.416163,0.177505,0.589508,0.069185,0.840550,0.000832,0.014368,0.000384,0.001504,0.000960,0.000640,1.281449
0.421667,0.178593,0.605188,0.070881,0.859206,0.001088,0.015264,0.000480,0.001504,0.000992,0.000384,1.306826
0.416803,0.204706,0.589380,0.069537,0.867943,0.000960,0.014688,0.000384,0.001536,0.001408,0.000576,1.311018
0.422691,0.178017,0.588388,0.070305,0.841830,0.000960,0.014560,0.000352,0.001568,0.001280,0.000384,1.290665
0.434627,0.175873,0.589060,0.069025,0.839302,0.000896,0.015200,0.000416,0.001536,0.001056,0.000352,1.300073
0.415683,0.187938,0.587044,0.066624,0.846150,0.000960,0.015456,0.000480,0.001536,0.001120,0.000352,1.288010
0.417219,0.177954,0.591044,0.091168,0.864934,0.001024,0.014401,0.000448,0.001600,0.001184,0.000544,1.307882
0.416419,0.210402,0.589188,0.066881,0.870919,0.000928,0.014400,0.000448,0.001568,0.001152,0.000384,1.312938
0.417411,0.187234,0.591620,0.071265,0.855047,0.001120,0.015232,0.000640,0.001792,0.001056,0.000352,1.299146
0.416771,0.191425,0.588356,0.068833,0.853159,0.000992,0.014752,0.000640,0.001792,0.001056,0.000416,1.295370
0.416162,0.192097,0.589956,0.069249,0.856102,0.000896,0.015136,0.000608,0.001824,0.001056,0.000352,1.299305
0.416291,0.173569,0.586340,0.066144,0.830501,0.000897,0.016096,0.000576,0.001440,0.001312,0.000576,1.273929
0.416675,0.170530,0.588228,0.067456,0.830566,0.000832,0.014944,0.000384,0.001568,0.001056,0.000576,1.272745
0.416835,0.166721,0.588453,0.065856,0.825062,0.000928,0.014784,0.000608,0.001568,0.001184,0.000608,1.267241
0.416067,0.154209,0.603876,0.068353,0.830918,0.000832,0.014464,0.000352,0.001984,0.001120,0.000576,1.273129
0.416899,0.174690,0.598820,0.067968,0.845574,0.000832,0.015456,0.000352,0.001568,0.000992,0.000608,1.288746
0.419491,0.178498,0.592228,0.069536,0.845286,0.000832,0.014688,0.000416,0.001568,0.001024,0.000576,1.291849
0.434467,0.173922,0.598052,0.069664,0.846182,0.000768,0.014656,0.000416,0.001600,0.001056,0.000577,1.306346
0.416291,0.159905,0.588164,0.067169,0.819462,0.000960,0.014656,0.000416,0.001536,0.001024,0.000576,1.261161
0.417283,0.159649,0.604804,0.070177,0.839334,0.000768,0.014400,0.000448,0.001600,0.001056,0.000608,1.281449
0.417795,0.172097,0.601636,0.071617,0.849766,0.000960,0.014688,0.000416,0.001600,0.001056,0.000352,1.293353
0.417699,0.180322,0.589316,0.068416,0.842503,0.000960,0.014560,0.000416,0.001760,0.001088,0.000576,1.285898
0.416995,0.194594,0.590308,0.069024,0.859206,0.000992,0.014497,0.000384,0.001536,0.001056,0.000384,1.301418
0.417539,0.178082,0.591044,0.069696,0.843590,0.001056,0.015872,0.000608,0.001824,0.001408,0.000320,1.288553
0.416547,0.176065,0.588901,0.068544,0.837830,0.000896,0.014400,0.000608,0.001696,0.001088,0.000576,1.280137
0.421827,0.212290,0.587524,0.067360,0.871142,0.001024,0.014528,0.000416,0.001696,0.001024,0.000384,1.317257
0.417475,0.179681,0.588677,0.067968,0.840774,0.000992,0.014752,0.000416,0.001600,0.001472,0.000416,1.284649
0.417379,0.176513,0.603844,0.071073,0.855398,0.000896,0.015520,0.000384,0.001696,0.001088,0.000576,1.298473
0.416195,0.175553,0.590084,0.067393,0.837030,0.000864,0.014528,0.000448,0.001504,0.001024,0.000480,1.277993
0.417091,0.173153,0.588196,0.066496,0.832102,0.000864,0.014656,0.000448,0.001568,0.001088,0.000576,1.273801
0.438659,0.171873,0.588996,0.067105,0.831718,0.000832,0.014208,0.000384,0.001440,0.000960,0.000384,1.294313
0.416771,0.176993,0.600548,0.068449,0.850214,0.000864,0.015552,0.000384,0.001504,0.001024,0.000352,1.292137
0.416707,0.178210,0.604068,0.079297,0.865895,0.000832,0.015200,0.000480,0.001472,0.001120,0.000576,1.308138
0.417283,0.174689,0.587845,0.066880,0.833542,0.000800,0.014560,0.000416,0.001504,0.001056,0.000576,1.275113
0.416067,0.201665,0.586308,0.064801,0.856806,0.000896,0.014976,0.000384,0.001472,0.000992,0.000320,1.298505
0.444899,0.166593,0.588772,0.067361,0.826598,0.000864,0.014560,0.000480,0.001536,0.000928,0.000576,1.296361
