Layer[0],IN[1],INFER[1-5],OUT[5],TEE[1-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.533795,0.175362,8.060121,0.067969,8.308060,0.015168,0.000672,0.001728,0.011776,0.000672,8.879391
0.424547,0.177825,0.590788,0.068609,0.841894,0.015616,0.000704,0.001728,0.001120,0.000320,1.291721
0.417763,0.172066,0.610212,0.075489,0.864359,0.017152,0.000480,0.001888,0.001504,0.000384,1.309002
0.422723,0.160417,0.589445,0.066368,0.820358,0.015456,0.000512,0.001472,0.001280,0.000416,1.268105
0.417187,0.162465,0.588324,0.065697,0.820486,0.015232,0.000480,0.001472,0.001312,0.000384,1.262441
0.417475,0.195394,0.589796,0.070113,0.858951,0.015104,0.000448,0.001536,0.001408,0.000384,1.301258
0.416323,0.170497,0.588325,0.066496,0.829670,0.015008,0.000480,0.001504,0.001280,0.000448,1.270441
0.420867,0.159841,0.588356,0.064865,0.817382,0.015008,0.000480,0.001536,0.001536,0.000416,1.262569
0.417091,0.172258,0.592324,0.068608,0.837510,0.015072,0.000512,0.001504,0.001505,0.000416,1.279274
0.421155,0.171425,0.589988,0.067233,0.833926,0.014688,0.000512,0.001504,0.001120,0.000416,1.278985
0.416739,0.172353,0.607044,0.071873,0.855654,0.016256,0.000448,0.001568,0.001120,0.000416,1.298313
0.421411,0.170882,0.588452,0.068576,0.831942,0.015040,0.000480,0.001568,0.001344,0.000416,1.277705
0.420707,0.165089,0.589700,0.071809,0.830214,0.016544,0.000480,0.001504,0.001120,0.000416,1.276201
0.438436,0.170465,0.600548,0.065185,0.840134,0.014560,0.000512,0.001568,0.001088,0.000384,1.302378
0.421347,0.162145,0.589029,0.064896,0.819622,0.014496,0.000640,0.001440,0.000992,0.000416,1.264521
0.417411,0.195521,0.593541,0.100064,0.894406,0.016672,0.000896,0.001440,0.001504,0.000544,1.341769
0.416579,0.197314,0.588804,0.065920,0.855750,0.015584,0.000480,0.001472,0.001344,0.000352,1.297353
0.421763,0.202753,0.588869,0.066848,0.862822,0.025152,0.000640,0.001664,0.001120,0.000384,1.320201
0.417315,0.196097,0.588548,0.066753,0.855814,0.014912,0.000768,0.001536,0.001120,0.000416,1.297929
0.421380,0.173953,0.592516,0.068385,0.839142,0.014784,0.000480,0.001472,0.001152,0.000352,1.286474
0.421827,0.204802,0.592132,0.071040,0.872198,0.015040,0.000768,0.001568,0.001184,0.000320,1.319465
0.417891,0.175265,0.591653,0.068384,0.839238,0.014848,0.000736,0.001408,0.001216,0.000416,1.282761
0.421315,0.174433,0.591332,0.069761,0.839366,0.014848,0.000544,0.001600,0.001120,0.000384,1.285257
0.416419,0.204802,0.608100,0.082561,0.899879,0.021280,0.000704,0.001504,0.001088,0.000384,1.349002
0.421859,0.164738,0.590788,0.069056,0.829094,0.014976,0.000480,0.001504,0.001088,0.000384,1.275977
0.421187,0.161921,0.589508,0.067265,0.823334,0.015168,0.000480,0.001696,0.001152,0.000416,1.270473
0.458532,0.173377,0.589316,0.068737,0.835238,0.015136,0.000736,0.001664,0.001152,0.000416,1.318954
0.421571,0.175330,0.591364,0.069824,0.841030,0.015072,0.000480,0.001600,0.001216,0.000416,1.288521
0.417443,0.175713,0.606852,0.089537,0.876326,0.019456,0.000544,0.001536,0.001120,0.000384,1.322857
0.421603,0.199873,0.588612,0.072033,0.864838,0.017184,0.000768,0.001440,0.001216,0.000384,1.314697
0.421795,0.208162,0.589508,0.067873,0.870215,0.014816,0.000768,0.001472,0.001216,0.000416,1.317578
0.439235,0.173538,0.605796,0.071137,0.854983,0.018496,0.000960,0.001536,0.001312,0.000384,1.324042
0.423171,0.172481,0.590437,0.068640,0.835782,0.014624,0.000480,0.001600,0.001312,0.000384,1.282953
0.416867,0.172769,0.590340,0.093345,0.860710,0.020928,0.000832,0.001824,0.001184,0.000416,1.309097
0.417059,0.177314,0.592036,0.073152,0.847142,0.017377,0.000512,0.001856,0.001152,0.000416,1.292682
0.416707,0.167841,0.586852,0.067201,0.826182,0.015488,0.000736,0.001504,0.001120,0.000416,1.268553
0.421123,0.171521,0.606244,0.070241,0.852006,0.015072,0.000448,0.001408,0.001120,0.000416,1.297193
0.420643,0.168481,0.587684,0.067712,0.827686,0.014816,0.000704,0.001440,0.001088,0.000352,1.272201
0.421251,0.169249,0.587780,0.067553,0.828358,0.014912,0.000736,0.001408,0.000992,0.000384,1.273417
0.435907,0.196002,0.588612,0.065952,0.854342,0.014689,0.000704,0.001472,0.001088,0.000352,1.314826
0.419203,0.170529,0.587300,0.066273,0.828614,0.014624,0.000800,0.001376,0.001024,0.000384,1.271721
0.421379,0.210113,0.607045,0.087072,0.909318,0.018816,0.000768,0.001376,0.001056,0.000416,1.359209
0.416867,0.169825,0.589892,0.072577,0.836294,0.016864,0.000512,0.001472,0.001248,0.000928,1.280009
0.420707,0.192098,0.586372,0.070817,0.853287,0.014560,0.000736,0.001440,0.000960,0.000384,1.297738
0.443331,0.158593,0.589509,0.069248,0.821254,0.019136,0.000512,0.001472,0.001184,0.000416,1.292713
0.420899,0.165409,0.584612,0.068161,0.822118,0.014528,0.000672,0.001504,0.001184,0.000416,1.266953
0.421251,0.168097,0.587620,0.089889,0.849478,0.014560,0.000576,0.001472,0.001120,0.000352,1.294537
0.421603,0.168769,0.588452,0.071969,0.833126,0.014496,0.000896,0.001440,0.001184,0.000416,1.279081
0.421731,0.163745,0.587684,0.066785,0.821894,0.014688,0.000704,0.001440,0.001024,0.000384,1.267017
0.421251,0.168098,0.605604,0.070272,0.847783,0.019552,0.000960,0.001536,0.000960,0.000384,1.298058
0.420899,0.158049,0.587716,0.068993,0.818566,0.014880,0.000448,0.001664,0.001120,0.000416,1.263785
0.417475,0.177538,0.589636,0.073376,0.844582,0.014689,0.000512,0.001504,0.001120,0.000416,1.287050
0.438883,0.178914,0.591620,0.073440,0.847942,0.014656,0.000576,0.001536,0.001152,0.000416,1.311946
0.417507,0.164129,0.586500,0.067361,0.821830,0.014496,0.000448,0.001440,0.001120,0.000384,1.262665
0.417763,0.172865,0.605669,0.073536,0.856262,0.014560,0.000512,0.001536,0.001024,0.000384,1.297353
0.416611,0.172609,0.587044,0.068257,0.832134,0.019040,0.000480,0.001440,0.001120,0.000416,1.276809
