Layer[0],IN[1],INFER[1-6],OUT[6],TEE[1-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.510724,0.153313,8.078362,0.064832,8.301755,0.001024,0.002528,0.002688,0.000640,8.826431
0.417411,0.177570,0.609828,0.073441,0.866375,0.000832,0.003264,0.001920,0.000640,1.296170
0.416355,0.173857,0.637957,0.080640,0.897222,0.001056,0.002624,0.001152,0.000448,1.323785
0.416675,0.209825,0.606309,0.069568,0.890022,0.000736,0.002656,0.001248,0.000640,1.317609
0.416259,0.174946,0.616932,0.074049,0.869767,0.000864,0.002272,0.001440,0.000384,1.295978
0.433987,0.215106,0.615876,0.071137,0.906279,0.000960,0.005664,0.001120,0.000480,1.355338
0.416611,0.211809,0.604837,0.075808,0.897286,0.001184,0.002880,0.001280,0.000448,1.325545
0.416067,0.215681,0.623237,0.079904,0.924134,0.001184,0.003040,0.001120,0.000384,1.352137
0.416259,0.174753,0.604996,0.069985,0.854310,0.000768,0.002720,0.001120,0.000448,1.280969
0.416899,0.179393,0.617445,0.070880,0.872134,0.000992,0.002272,0.001056,0.000480,1.299593
0.416483,0.188801,0.612452,0.068833,0.875110,0.000864,0.002368,0.001120,0.000480,1.301737
0.415939,0.176066,0.618116,0.069889,0.868711,0.000800,0.002368,0.001120,0.000416,1.295210
0.415715,0.173825,0.605860,0.069537,0.854022,0.000928,0.002976,0.001120,0.000384,1.280809
0.416067,0.210146,0.604100,0.073729,0.892391,0.000992,0.005792,0.000960,0.000416,1.322442
0.415555,0.176193,0.604037,0.073568,0.858246,0.000736,0.002976,0.001120,0.000416,1.284329
0.415363,0.211617,0.621413,0.071776,0.909734,0.000832,0.004672,0.001088,0.000384,1.337641
0.415683,0.162113,0.616197,0.067776,0.850918,0.000672,0.002496,0.001184,0.000384,1.276969
0.415299,0.178721,0.604356,0.069953,0.857830,0.000896,0.003168,0.001344,0.000384,1.284361
0.432547,0.178114,0.602916,0.068609,0.854183,0.000800,0.002496,0.001088,0.000384,1.297130
0.415747,0.161697,0.606276,0.070529,0.843270,0.000832,0.002784,0.001216,0.000448,1.270089
0.415747,0.177409,0.625317,0.073312,0.881062,0.000897,0.002464,0.001120,0.000416,1.307050
0.415043,0.158753,0.614692,0.067297,0.845638,0.000864,0.002944,0.001088,0.000480,1.271657
0.415875,0.144065,0.604164,0.068320,0.820902,0.000832,0.002816,0.001120,0.000896,1.248329
0.443940,0.167521,0.602852,0.067713,0.842726,0.000672,0.002784,0.001024,0.000672,1.297386
0.415299,0.178689,0.602148,0.066497,0.851398,0.000832,0.002464,0.000928,0.000384,1.276457
0.416771,0.169922,0.601764,0.071520,0.847718,0.000768,0.002273,0.000992,0.000448,1.274218
0.415587,0.204577,0.618597,0.070976,0.898598,0.000864,0.002400,0.001024,0.000416,1.323785
0.415555,0.172897,0.603364,0.069313,0.849510,0.000896,0.002368,0.001056,0.000384,1.275177
0.415395,0.166337,0.618052,0.069472,0.858566,0.000896,0.002656,0.001088,0.000480,1.285033
0.415107,0.209090,0.604612,0.068545,0.886631,0.000800,0.005728,0.001088,0.000608,1.315690
0.416355,0.162881,0.601444,0.067521,0.835718,0.000864,0.002368,0.001120,0.000384,1.261129
0.431235,0.170337,0.615397,0.067200,0.857414,0.000768,0.002528,0.001024,0.000416,1.299113
0.415139,0.174498,0.604196,0.067201,0.849991,0.000864,0.002496,0.000992,0.000480,1.275562
0.415907,0.208193,0.622501,0.079584,0.914214,0.000736,0.002688,0.001120,0.000480,1.340425
0.421763,0.273826,0.614948,0.077408,0.972807,0.001536,0.003872,0.002912,0.000576,1.415146
0.417475,0.205505,0.607397,0.075616,0.893638,0.001120,0.002848,0.001728,0.000640,1.323657
0.437603,0.187265,0.622949,0.070656,0.886182,0.001152,0.002688,0.001440,0.000352,1.336361
0.416003,0.173921,0.605860,0.068737,0.853126,0.001024,0.002592,0.001184,0.000416,1.279881
