Layer[0],IN[1],INFER[1-7],OUT[7],TEE[1-7],Layer[8],Layer[9],Layer[10],classifier
0.511631,0.122788,8.016173,0.067938,8.211955,0.002656,0.015553,0.000896,8.749251
0.417517,0.214918,0.612178,0.068802,0.900090,0.003520,0.001633,0.000576,1.331560
0.396236,0.177989,0.603858,0.065986,0.851257,0.002208,0.000864,0.000320,1.254885
0.397067,0.185317,0.622770,0.074082,0.886138,0.003456,0.001344,0.000896,1.294598
0.395596,0.163109,0.606866,0.066594,0.840441,0.002944,0.001248,0.000416,1.245253
0.396460,0.196230,0.605394,0.062946,0.868282,0.002592,0.001184,0.000640,1.273734
0.421132,0.226855,0.622739,0.067298,0.921756,0.004096,0.001920,0.000608,1.358696
0.400588,0.148068,0.605490,0.062914,0.820472,0.002816,0.001440,0.000448,1.230820
0.396780,0.168549,0.603954,0.094211,0.870906,0.003136,0.001536,0.000704,1.279142
0.401036,0.186150,0.602930,0.064609,0.857465,0.002912,0.001600,0.000640,1.268710
0.401580,0.173253,0.601810,0.063074,0.841977,0.002592,0.001280,0.000672,1.254565
0.400236,0.155012,0.619347,0.070146,0.848569,0.002656,0.001216,0.000704,1.258213
0.395692,0.185157,0.609266,0.063138,0.861209,0.002528,0.001216,0.000704,1.265765
0.412524,0.155365,0.615218,0.071170,0.845625,0.002656,0.001120,0.000640,1.268101
0.413676,0.148420,0.612274,0.064994,0.829304,0.002656,0.001088,0.000704,1.252677
0.395852,0.168581,0.605362,0.065602,0.843673,0.002688,0.001216,0.000672,1.249637
0.396011,0.152517,0.621010,0.081827,0.859130,0.002336,0.001184,0.000288,1.263365
0.395436,0.151972,0.611346,0.069603,0.836697,0.002336,0.001120,0.000320,1.241029
0.399820,0.142788,0.601265,0.065058,0.812728,0.002144,0.001024,0.000352,1.220420
0.400204,0.161349,0.622610,0.109604,0.897339,0.002624,0.001184,0.000512,1.307815
0.400267,0.196069,0.601170,0.064674,0.866073,0.002528,0.001184,0.000640,1.278757
0.399660,0.137348,0.598450,0.062242,0.801816,0.002944,0.001248,0.000416,1.210660
0.413772,0.186598,0.612626,0.064610,0.867546,0.002496,0.001152,0.000416,1.290630
0.395723,0.183814,0.601042,0.066306,0.854842,0.002496,0.001088,0.000384,1.259237
0.399915,0.180358,0.615986,0.067362,0.867642,0.002464,0.001024,0.000384,1.276133
0.400268,0.179238,0.600881,0.062850,0.846457,0.002464,0.001313,0.000448,1.256838
0.397419,0.150661,0.609970,0.068226,0.833273,0.002400,0.001280,0.000416,1.240868
0.396331,0.159045,0.606674,0.063842,0.834681,0.002432,0.001280,0.000640,1.241572
0.396012,0.151844,0.602962,0.067394,0.825976,0.002272,0.001056,0.000320,1.230020
0.396204,0.151140,0.598770,0.061762,0.815288,0.002592,0.001248,0.000352,1.220612
0.418252,0.162981,0.611346,0.074786,0.853017,0.002560,0.001216,0.000640,1.281541
0.400971,0.159876,0.600050,0.063042,0.826744,0.002432,0.001120,0.000352,1.235876
0.395436,0.161957,0.626738,0.107459,0.899579,0.002112,0.000672,0.000352,1.302055
0.399820,0.171909,0.597650,0.064546,0.837881,0.002688,0.000928,0.000352,1.245989
0.395052,0.149636,0.599570,0.059394,0.812312,0.002144,0.000640,0.000576,1.214660
0.400428,0.154373,0.614802,0.075970,0.849146,0.002304,0.000896,0.000640,1.258150
0.400876,0.175557,0.600978,0.064674,0.845049,0.002912,0.000896,0.000576,1.254661
0.400171,0.146757,0.599186,0.068034,0.817465,0.003776,0.000864,0.000384,1.226564
0.416876,0.155621,0.610482,0.067714,0.837497,0.002240,0.000896,0.000320,1.262533
0.399915,0.153413,0.614066,0.064866,0.836057,0.001952,0.000928,0.000384,1.243940
0.397484,0.178053,0.606002,0.068610,0.856601,0.002944,0.001472,0.000384,1.264517
0.395788,0.190470,0.602770,0.065730,0.862650,0.002368,0.000992,0.000256,1.266598
0.400428,0.184230,0.603826,0.064482,0.856122,0.002272,0.001184,0.000320,1.264934
0.395596,0.149156,0.618450,0.071427,0.842841,0.002208,0.000832,0.000352,1.245829
0.400268,0.177189,0.601266,0.064802,0.846937,0.002272,0.000960,0.000320,1.255237
0.400267,0.133412,0.599090,0.068994,0.805016,0.002240,0.000928,0.000320,1.212547
0.432621,0.172357,0.599826,0.062146,0.838201,0.002720,0.001120,0.000352,1.279526
0.395116,0.131204,0.599442,0.062177,0.796439,0.002017,0.000800,0.000320,1.198884
0.399788,0.165701,0.604274,0.061506,0.835481,0.002496,0.001344,0.000704,1.245989
0.400075,0.154085,0.615602,0.062082,0.835321,0.002112,0.000672,0.000320,1.242340
0.401452,0.170405,0.604242,0.067554,0.846617,0.002688,0.001152,0.000384,1.257381
0.395564,0.149412,0.619123,0.072802,0.844889,0.002528,0.000960,0.000384,1.249509
0.396139,0.152069,0.601202,0.070818,0.828121,0.005024,0.001184,0.000480,1.235428
0.395532,0.151332,0.601970,0.072386,0.829656,0.002720,0.001088,0.000640,1.234020
0.396364,0.167333,0.602578,0.068994,0.842969,0.002784,0.000960,0.000352,1.247877
0.396140,0.179173,0.600594,0.068802,0.852537,0.003904,0.000928,0.000672,1.259301
0.395820,0.160420,0.600018,0.065154,0.829400,0.005440,0.001088,0.000417,1.237061
0.395756,0.166405,0.612850,0.073730,0.856857,0.003745,0.001120,0.000352,1.262534
0.396619,0.160997,0.603314,0.066498,0.835193,0.002944,0.001088,0.000672,1.241636
0.397195,0.146564,0.625426,0.088515,0.864953,0.002688,0.001312,0.000704,1.272037
0.396524,0.153317,0.602161,0.067586,0.826969,0.002880,0.001248,0.000608,1.233573
0.395787,0.165188,0.601809,0.066946,0.838008,0.002944,0.001217,0.000640,1.243845
0.396523,0.185926,0.613234,0.064130,0.867642,0.002912,0.001184,0.000384,1.273381
0.395564,0.166021,0.603794,0.065506,0.839257,0.002944,0.001152,0.000608,1.244357
0.396620,0.171813,0.603762,0.070882,0.850809,0.002817,0.001312,0.000448,1.257670
0.396076,0.166437,0.603378,0.067586,0.841465,0.002880,0.001216,0.000608,1.247205
0.396107,0.163684,0.603666,0.091171,0.862393,0.002688,0.001248,0.000576,1.267589
0.396363,0.165797,0.620755,0.072386,0.863226,0.002624,0.001248,0.000672,1.269285
0.396524,0.150084,0.601618,0.064450,0.820152,0.002656,0.001120,0.000672,1.226020
0.396940,0.151876,0.602706,0.077058,0.835608,0.002848,0.001248,0.000416,1.242117
0.413868,0.150373,0.618738,0.072770,0.845945,0.003072,0.001184,0.000672,1.270117
0.396364,0.162789,0.621778,0.068514,0.857018,0.003232,0.001280,0.000416,1.263046
0.396715,0.160549,0.603986,0.070434,0.838681,0.002688,0.001184,0.000448,1.244196
0.396076,0.159877,0.603538,0.070018,0.837113,0.002592,0.001216,0.000384,1.242277
0.397068,0.163493,0.601585,0.063970,0.832824,0.002528,0.001248,0.000384,1.238629
0.398571,0.169861,0.629458,0.074466,0.878297,0.002496,0.001248,0.000384,1.286982
0.396940,0.165893,0.604369,0.066562,0.840824,0.002848,0.001248,0.000416,1.247333
