Layer[0],TEE[1-8],Layer[9],Layer[10],classifier
0.530230,8.191691,0.013600,0.000704,8.744001
0.418609,0.773663,0.002336,0.000864,1.203984
0.430641,0.755743,0.001280,0.000416,1.193808
0.416785,0.753566,0.001153,0.000352,1.177360
0.416241,0.809216,0.001217,0.000384,1.232882
0.415824,0.741790,0.001120,0.000320,1.164687
0.415568,0.746782,0.001248,0.000384,1.169071
0.418513,0.799776,0.001440,0.000384,1.229233
0.416016,0.762623,0.001280,0.000448,1.186767
0.416432,0.769759,0.001344,0.000416,1.196240
0.416753,0.801024,0.001696,0.000384,1.227217
0.416273,0.770975,0.001248,0.000320,1.194864
0.416369,0.744734,0.001088,0.000576,1.167759
0.416464,0.776864,0.001152,0.000352,1.199056
0.416272,0.752318,0.001152,0.000352,1.175119
0.415728,0.761119,0.001216,0.000320,1.182799
0.429809,0.734910,0.001152,0.000320,1.170799
0.415889,0.733822,0.001152,0.000320,1.155247
0.415344,0.762750,0.001569,0.000352,1.186288
0.427154,0.759102,0.000960,0.000288,1.192208
0.416273,0.789952,0.001280,0.000416,1.214897
0.415568,0.786367,0.001216,0.000416,1.208944
0.416113,0.814113,0.001024,0.000384,1.237234
0.415601,0.784064,0.001152,0.000352,1.205521
0.415537,0.765151,0.001280,0.000384,1.187888
0.415344,0.736798,0.001120,0.000320,1.158606
0.415889,0.758623,0.001184,0.000320,1.180912
0.415536,0.752286,0.001248,0.000288,1.173775
0.415281,0.734014,0.001088,0.000320,1.155535
0.415088,0.757598,0.001056,0.000352,1.179087
0.417201,0.788384,0.001472,0.000416,1.215633
0.415568,0.764735,0.001120,0.000544,1.186832
0.415825,0.758974,0.001216,0.000288,1.180943
0.430194,0.752510,0.001088,0.000320,1.188112
0.415440,0.754175,0.001120,0.000544,1.175119
0.415473,0.755838,0.001056,0.000320,1.176752
0.433714,0.780767,0.001152,0.000352,1.220882
0.419825,0.749854,0.001024,0.000576,1.175760
0.416145,0.762271,0.001216,0.000352,1.185488
0.415856,0.763454,0.001120,0.000384,1.185488
0.417393,0.769663,0.001408,0.000448,1.197328
0.416273,0.779743,0.001312,0.000416,1.204880
0.416081,0.749566,0.001345,0.000416,1.173808
0.416048,0.764095,0.001216,0.000416,1.187088
0.415857,0.809025,0.001280,0.000448,1.232978
0.416433,0.765151,0.001248,0.000384,1.189104
0.415632,0.769023,0.001216,0.000384,1.192240
0.433073,0.766911,0.001216,0.000384,1.208304
0.415569,0.757502,0.001152,0.000384,1.181711
0.415857,0.800256,0.001312,0.000416,1.224881
0.436338,0.773823,0.001408,0.000416,1.219217
0.417009,0.754270,0.001344,0.000416,1.179695
0.415633,0.796320,0.001472,0.000416,1.219217
0.416241,0.802272,0.001184,0.000352,1.225681
0.415441,0.769567,0.001248,0.000417,1.192785
0.415473,0.783967,0.001281,0.000416,1.206609
0.416016,0.767135,0.001216,0.000608,1.191120
0.415729,0.772767,0.001280,0.000384,1.196784
0.416465,0.807009,0.001184,0.000352,1.232594
0.415825,0.773855,0.001248,0.000576,1.199120
0.416593,0.779423,0.001408,0.000384,1.205201
0.430865,0.775647,0.001280,0.000384,1.214833
0.415377,0.755934,0.001280,0.000384,1.178927
0.415152,0.748159,0.001472,0.000384,1.171023
0.415665,0.768639,0.001216,0.000416,1.191952
0.416625,0.767039,0.001216,0.000384,1.190896
0.415472,0.778047,0.001216,0.000416,1.201328
0.416273,0.766111,0.001344,0.000384,1.190160
0.415569,0.775967,0.001280,0.000416,1.200624
0.415729,0.782944,0.001280,0.000416,1.206801
0.416369,0.779872,0.001344,0.000384,1.204817
0.415665,0.767583,0.001280,0.000352,1.191856
0.433521,0.758623,0.001184,0.000320,1.199888
0.415953,0.769375,0.001280,0.000352,1.192048
0.415985,0.757471,0.001184,0.000640,1.180880
0.415473,0.765695,0.001152,0.000384,1.189584
0.416112,0.754879,0.001312,0.000352,1.178895
0.415889,0.787488,0.001344,0.000384,1.211345
0.416529,0.761759,0.001312,0.000416,1.187344
0.416177,0.780063,0.001248,0.000384,1.204177
0.416209,0.831554,0.001216,0.000320,1.254547
0.415313,0.755775,0.001184,0.000384,1.177168
0.416080,0.759263,0.001216,0.000384,1.181871
0.415473,0.777439,0.001216,0.000416,1.200176
0.415184,0.759487,0.001120,0.000384,1.181391
0.415921,0.780543,0.001216,0.000384,1.203664
0.429490,0.768671,0.001216,0.000416,1.207985
0.415921,0.745470,0.001216,0.000384,1.169231
0.415952,0.761855,0.001120,0.000608,1.185903
0.415441,0.770976,0.001184,0.000352,1.195057
0.415857,0.780447,0.001505,0.000416,1.205201
0.415344,0.782880,0.001248,0.000352,1.205553
0.416369,0.757023,0.001152,0.000320,1.180112
0.415217,0.751070,0.001280,0.000416,1.173903
0.415665,0.787424,0.001440,0.000352,1.211665
0.415856,0.755551,0.001248,0.000384,1.179503
0.416433,0.760319,0.001376,0.000384,1.184368
0.436082,0.775583,0.001408,0.000416,1.220177
0.416049,0.807200,0.001280,0.000448,1.231250
0.416049,0.768031,0.001344,0.000384,1.192656
0.434641,0.764383,0.001248,0.000320,1.206832
0.415217,0.753759,0.001120,0.000384,1.176176
0.415665,0.792672,0.001312,0.000640,1.216881
0.415600,0.775808,0.001216,0.000576,1.198448
0.416144,0.761407,0.001248,0.000320,1.184399
