Layer[0],IN[1],INFER[1-8],OUT[8],TEE[1-8],Layer[9],Layer[10],classifier
0.494670,0.139172,8.022477,0.065026,8.231635,0.003040,0.000448,8.735938
0.397483,0.142052,0.637907,0.076674,0.860729,0.001536,0.000352,1.264325
0.396076,0.116323,0.606962,0.063298,0.790743,0.001216,0.000352,1.192003
0.396940,0.143684,0.616530,0.062210,0.826296,0.001216,0.000288,1.229028
0.396779,0.135428,0.616018,0.060034,0.815320,0.001312,0.000352,1.217988
0.396140,0.165893,0.608978,0.064770,0.843545,0.001312,0.000384,1.246053
0.397420,0.139204,0.618578,0.066338,0.827544,0.001312,0.000320,1.230436
0.407948,0.135812,0.617266,0.067266,0.823864,0.001248,0.000352,1.236900
0.395436,0.145124,0.619666,0.060642,0.829048,0.001216,0.000320,1.229572
0.395404,0.162725,0.619442,0.089475,0.875226,0.001248,0.000320,1.275814
0.396620,0.150693,0.615986,0.063266,0.833529,0.001600,0.000384,1.237221
0.397196,0.138148,0.600562,0.063297,0.805432,0.001184,0.000352,1.207204
0.396332,0.182342,0.621810,0.084163,0.892027,0.001344,0.000352,1.294823
0.396204,0.149956,0.612627,0.061825,0.828184,0.001120,0.000320,1.229381
0.395564,0.157732,0.613426,0.061857,0.836440,0.001088,0.000352,1.236900
0.408908,0.140837,0.600305,0.062305,0.807576,0.001248,0.000352,1.222500
0.395660,0.140612,0.613138,0.060450,0.817848,0.001184,0.000320,1.218116
0.395852,0.138948,0.598834,0.058882,0.800184,0.000992,0.000352,1.200804
0.408524,0.133572,0.611730,0.063298,0.812280,0.001248,0.000352,1.226244
0.395371,0.139428,0.612755,0.061185,0.816760,0.001088,0.000288,1.216388
0.395723,0.145317,0.606386,0.059873,0.814712,0.001120,0.000320,1.215332
0.395020,0.125188,0.613074,0.062818,0.804440,0.001216,0.000352,1.204196
0.395180,0.132164,0.610930,0.061218,0.807640,0.001344,0.000352,1.208260
0.396076,0.155908,0.633427,0.075170,0.867897,0.001280,0.000320,1.269253
0.395244,0.139876,0.602066,0.061538,0.806840,0.001440,0.000320,1.207940
0.395788,0.170213,0.619538,0.064642,0.857721,0.001280,0.000352,1.259333
0.396076,0.133091,0.632978,0.077219,0.847513,0.001280,0.000352,1.248997
0.395436,0.107299,0.598226,0.059969,0.768918,0.001216,0.000320,1.169219
0.396203,0.151141,0.611730,0.060514,0.826585,0.001088,0.000288,1.227716
0.409804,0.148484,0.613395,0.059009,0.824248,0.001120,0.000320,1.238500
0.396204,0.149509,0.606162,0.064290,0.823417,0.001120,0.000224,1.225669
0.396107,0.147237,0.601361,0.061185,0.813400,0.001248,0.000288,1.215043
0.395243,0.185798,0.610738,0.065058,0.865914,0.001472,0.000384,1.268422
0.397451,0.133252,0.612050,0.063009,0.812056,0.001376,0.000352,1.214916
0.396747,0.222407,0.642163,0.077922,0.946492,0.001792,0.000608,1.351112
0.396844,0.172613,0.612626,0.067074,0.856153,0.001280,0.000416,1.259045
0.395980,0.145060,0.606098,0.063106,0.817304,0.001376,0.000384,1.218980
0.397996,0.190949,0.639282,0.065762,0.899610,0.001281,0.000448,1.302663
0.397100,0.151204,0.619443,0.063618,0.837593,0.001248,0.000352,1.239461
0.396139,0.157284,0.621459,0.063554,0.845625,0.001248,0.000352,1.246469
0.409164,0.146308,0.602002,0.061122,0.812856,0.001120,0.000384,1.228356
0.395500,0.140548,0.598898,0.060066,0.803576,0.001184,0.000416,1.203844
0.395756,0.145028,0.611506,0.092899,0.854265,0.001152,0.000416,1.255045
