Layer[0],TEE[1-9],Layer[10],classifier
0.508756,8.148519,0.000992,8.666268
0.418833,0.791391,0.000800,1.219281
0.416529,0.793888,0.000672,1.216497
0.415665,0.778335,0.000576,1.200912
0.416144,0.795967,0.000512,1.218193
0.435442,0.811616,0.000608,1.253490
0.416017,0.772255,0.000608,1.194992
0.415697,0.802336,0.000608,1.224657
0.416209,0.761375,0.000672,1.184848
0.416081,0.763167,0.000672,1.186064
0.420529,0.789599,0.000864,1.217713
0.417872,0.782559,0.000672,1.209168
0.416400,0.774720,0.000576,1.197552
0.420241,0.831522,0.000640,1.258483
0.415697,0.771423,0.000672,1.193424
0.415440,0.766462,0.000736,1.188047
0.433778,0.772895,0.000704,1.213073
0.420400,0.771263,0.000704,1.199056
0.416689,0.774463,0.000832,1.198384
0.433937,0.777471,0.000769,1.218673
0.415824,0.779679,0.000768,1.203536
0.416176,0.791263,0.000800,1.214513
0.420081,0.777824,0.000800,1.205009
0.416529,0.760830,0.000736,1.184111
0.420049,0.791616,0.000768,1.218001
0.420337,0.767423,0.000640,1.194128
0.420465,0.774399,0.000864,1.201872
0.453778,0.775711,0.000704,1.237041
0.415825,0.752254,0.000736,1.175887
0.416145,0.745598,0.000576,1.167663
0.437554,0.766271,0.000768,1.212529
0.416113,0.775327,0.000672,1.197168
0.415409,0.774303,0.000672,1.195184
0.416752,0.809313,0.000640,1.232913
0.419984,0.810944,0.000800,1.237553
0.415505,0.794112,0.000704,1.216625
0.420337,0.777151,0.000800,1.204112
0.420145,0.789280,0.000832,1.217745
0.446450,0.823553,0.000704,1.278355
0.415953,0.778688,0.000800,1.201841
0.415921,0.781696,0.000736,1.205617
0.420048,0.776223,0.000736,1.203729
0.416528,0.794943,0.000832,1.218417
0.416145,0.797888,0.000864,1.220753
0.420529,0.776799,0.000737,1.205105
0.420049,0.807297,0.000768,1.234194
0.416528,0.794400,0.000736,1.218416
0.416049,0.779711,0.000896,1.203184
0.416433,0.770111,0.000864,1.195344
0.434673,0.804704,0.000768,1.247250
0.416273,0.783871,0.000832,1.209457
0.416816,0.777727,0.000832,1.201840
0.416593,0.769311,0.000736,1.192624
0.416464,0.773151,0.000768,1.196432
0.419217,0.796768,0.000704,1.222770
0.416081,0.773439,0.000864,1.196560
0.419025,0.777791,0.000832,1.204016
0.416209,0.818401,0.000800,1.241426
0.420081,0.778816,0.000640,1.206833
0.416753,0.806816,0.000800,1.230833
0.430929,0.781855,0.000608,1.220689
0.419985,0.773567,0.000736,1.200848
0.420849,0.797889,0.000704,1.226866
0.420081,0.761535,0.000640,1.188016
