Layer[0],IN[1],INFER[1-9],OUT[9],TEE[1-9],Layer[10],classifier
0.492079,0.184485,8.039374,0.073250,8.302261,0.001280,8.800900
0.397195,0.179461,0.615058,0.068674,0.867162,0.000736,1.270565
0.404012,0.158725,0.612018,0.064770,0.839289,0.000672,1.249541
0.398188,0.160389,0.613042,0.067458,0.844729,0.000672,1.248773
0.418540,0.149861,0.607698,0.070082,0.831161,0.000704,1.255301
0.401195,0.143172,0.607602,0.066114,0.820856,0.000704,1.227652
0.396364,0.160645,0.640211,0.076514,0.881562,0.000704,1.284198
0.400332,0.155909,0.607282,0.066722,0.833433,0.000800,1.238533
0.396588,0.157861,0.606514,0.065058,0.833465,0.000640,1.235141
0.397036,0.157509,0.628018,0.114884,0.903963,0.000864,1.306695
0.397131,0.181381,0.610034,0.068898,0.864121,0.000704,1.266917
0.400140,0.155301,0.607250,0.068162,0.834297,0.000704,1.239429
0.415980,0.165477,0.611570,0.068290,0.849241,0.000736,1.272517
0.400396,0.144452,0.607922,0.064962,0.821336,0.000736,1.226884
0.401099,0.152228,0.621586,0.071011,0.848601,0.000736,1.255397
0.400204,0.158757,0.607570,0.067362,0.837593,0.000704,1.242981
0.396779,0.157733,0.607154,0.071970,0.840377,0.000864,1.242692
0.396044,0.142212,0.624210,0.080003,0.850297,0.000704,1.251557
0.400620,0.146212,0.608050,0.066818,0.824984,0.000704,1.230373
0.396076,0.155877,0.606417,0.067074,0.833337,0.000864,1.234757
0.416716,0.161925,0.618482,0.069314,0.853433,0.000800,1.275750
0.397004,0.158468,0.609490,0.067682,0.839481,0.000800,1.241989
0.400428,0.145412,0.607153,0.087746,0.844089,0.000640,1.250245
0.396204,0.157956,0.610323,0.067682,0.839737,0.000800,1.240773
0.395948,0.153605,0.604273,0.067778,0.829304,0.000704,1.230661
0.397163,0.158564,0.622803,0.076322,0.861273,0.000704,1.263333
0.396620,0.158981,0.610546,0.076162,0.849593,0.000736,1.251557
0.396684,0.155652,0.607698,0.065826,0.832760,0.000800,1.234404
0.418540,0.160165,0.618034,0.069538,0.851385,0.000640,1.275205
0.396044,0.145252,0.606546,0.066530,0.822040,0.000672,1.222724
0.400620,0.183078,0.606418,0.066850,0.859866,0.000736,1.265766
0.396428,0.191877,0.607506,0.067874,0.870969,0.000800,1.273637
0.396332,0.163877,0.608658,0.068642,0.845177,0.000768,1.246917
0.396044,0.159717,0.621106,0.085091,0.869466,0.000640,1.271014
0.400172,0.155717,0.606258,0.066050,0.831385,0.000672,1.236645
0.400588,0.157573,0.607698,0.068034,0.837017,0.000832,1.242981
0.426829,0.162533,0.609970,0.069282,0.845209,0.000800,1.278470
0.400395,0.145604,0.619186,0.068674,0.837144,0.000800,1.243140
0.396524,0.147300,0.609138,0.067010,0.827256,0.000768,1.229188
0.402251,0.150180,0.607058,0.066658,0.827640,0.000864,1.235300
0.396171,0.157733,0.606098,0.068194,0.835673,0.000736,1.237188
0.400555,0.149381,0.624114,0.076643,0.854554,0.000864,1.261158
0.400364,0.164101,0.606450,0.068674,0.843161,0.000704,1.249221
0.395915,0.149924,0.609522,0.066978,0.830232,0.000704,1.231364
0.396748,0.171557,0.608850,0.067650,0.851865,0.000704,1.254021
0.400012,0.161125,0.608018,0.067522,0.840665,0.000736,1.245925
0.397100,0.161317,0.609138,0.067906,0.842137,0.000800,1.244837
0.410508,0.158981,0.624178,0.067074,0.853753,0.000800,1.269765
0.396171,0.156261,0.609778,0.068866,0.839097,0.000672,1.240388
0.400556,0.167493,0.624210,0.072515,0.868282,0.000864,1.274246
0.445806,0.165669,0.619634,0.073474,0.863513,0.000800,1.314727
0.401484,0.152836,0.610194,0.070562,0.838040,0.000897,1.246757
0.396107,0.195782,0.616082,0.069826,0.887291,0.000704,1.288614
0.400524,0.156933,0.607314,0.069634,0.837913,0.000832,1.244229
0.400780,0.157765,0.608978,0.067234,0.837561,0.000896,1.243653
0.400268,0.164869,0.610770,0.074786,0.854009,0.000704,1.259622
0.397292,0.151140,0.605618,0.068002,0.828280,0.000832,1.231364
0.395339,0.188102,0.626451,0.123939,0.942172,0.000896,1.343239
0.396427,0.166565,0.606898,0.065858,0.843065,0.000672,1.244196
0.395883,0.158052,0.606898,0.067618,0.836120,0.000800,1.236964
0.421740,0.159813,0.619218,0.070594,0.853433,0.000864,1.280966
0.401452,0.157989,0.609138,0.067138,0.838777,0.000704,1.246629
0.402284,0.153797,0.611250,0.072130,0.841529,0.000704,1.248901
0.402572,0.163877,0.610866,0.070498,0.849401,0.000800,1.257701
0.395500,0.164037,0.609906,0.067618,0.845017,0.000736,1.245349
0.395500,0.154788,0.636115,0.077218,0.872121,0.000768,1.273094
0.395788,0.177669,0.626995,0.066370,0.874554,0.000768,1.274598
0.395563,0.138597,0.615986,0.062754,0.820921,0.000832,1.220740
0.396043,0.149093,0.621938,0.062466,0.837049,0.000672,1.237380
0.396076,0.159589,0.607570,0.065378,0.836953,0.000608,1.238245
0.395628,0.136356,0.614706,0.064034,0.819256,0.000704,1.219204
0.410348,0.145957,0.605906,0.066946,0.822585,0.000800,1.238277
0.400268,0.153925,0.608178,0.065538,0.831161,0.000672,1.236773
0.400492,0.141220,0.624979,0.085730,0.856345,0.000576,1.262117
0.395659,0.156325,0.606450,0.064770,0.831033,0.000576,1.231396
