Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],IN[10],INFER[10-10],OUT[10],TEE[10-10],classifier
0.508463,0.017984,0.195206,0.004800,0.047266,0.000768,0.013408,0.000544,0.001408,0.002528,0.161701,0.034305,0.000064,0.199206,0.999773
0.397164,0.017472,0.193350,0.004864,0.047521,0.000800,0.013505,0.000352,0.001728,0.001568,0.105091,0.034913,0.000032,0.142564,0.827928
0.396043,0.017505,0.192742,0.004896,0.047937,0.001024,0.013953,0.000352,0.001536,0.001376,0.110051,0.031617,0.000064,0.144580,0.829144
0.397387,0.017601,0.192038,0.005280,0.048641,0.000800,0.014113,0.000416,0.001536,0.001280,0.106787,0.035393,0.000064,0.144836,0.830744
0.416588,0.017633,0.192134,0.004832,0.049217,0.000608,0.014209,0.000416,0.001568,0.001312,0.105763,0.035809,0.000032,0.144004,0.849529
0.396556,0.017728,0.191814,0.004928,0.048322,0.000832,0.014272,0.000384,0.001472,0.001344,0.110692,0.034817,0.000064,0.148133,0.833305
0.396331,0.017568,0.192134,0.004864,0.048769,0.000608,0.014113,0.000384,0.001568,0.001056,0.106947,0.031425,0.000064,0.140868,0.825336
0.395724,0.017760,0.192390,0.004864,0.049026,0.000864,0.013920,0.000384,0.001472,0.001216,0.108323,0.031745,0.000096,0.143268,0.827800
0.397707,0.017505,0.191590,0.004864,0.048609,0.000608,0.013697,0.000384,0.001472,0.001216,0.119427,0.035585,0.000064,0.158308,0.843032
0.396267,0.017601,0.191686,0.004896,0.048449,0.000576,0.013697,0.000320,0.001536,0.001184,0.106947,0.034657,0.000064,0.144068,0.827128
0.395435,0.017761,0.192070,0.004864,0.047681,0.000576,0.013601,0.000352,0.001504,0.001120,0.104195,0.031457,0.000064,0.138244,0.820056
0.395852,0.017696,0.191430,0.004800,0.062306,0.000832,0.013600,0.000352,0.001536,0.001249,0.106019,0.036033,0.000064,0.144740,0.842041
