Layer[0],Layer[1],IN[2],INFER[2-10],OUT[10],TEE[2-10],classifier
0.490158,0.017921,0.107491,7.995308,0.070306,8.177425,8.690944
0.398380,0.017856,0.130724,0.589938,0.083618,0.808664,1.230692
0.396716,0.017376,0.117956,0.613874,0.072482,0.808888,1.226596
0.397004,0.017761,0.152164,0.592978,0.078786,0.828184,1.248293
0.397132,0.017888,0.129988,0.590930,0.073378,0.798776,1.217572
0.396075,0.017921,0.091523,0.615666,0.073282,0.784247,1.201571
0.396524,0.017440,0.104899,0.597330,0.064290,0.770487,1.188387
0.396044,0.017889,0.102371,0.598642,0.064513,0.769142,1.187172
0.395980,0.018048,0.446733,0.603538,0.065250,1.119841,1.538029
0.396236,0.017793,0.114339,0.584689,0.065538,0.768022,1.185379
0.395787,0.017473,0.106147,0.587313,0.071299,0.768471,1.186019
0.395948,0.017984,0.110020,0.586897,0.065474,0.766743,1.184675
0.398540,0.017952,0.138756,0.593265,0.068706,0.805175,1.226628
0.396268,0.017664,0.137604,0.615603,0.087874,0.845305,1.264581
0.396331,0.017537,0.128708,0.585649,0.068770,0.787255,1.205763
0.397356,0.017825,0.130948,0.588145,0.067874,0.791223,1.211460
0.395084,0.017793,0.147076,0.606610,0.070370,0.827928,1.245573
0.394956,0.017665,0.131876,0.602609,0.068514,0.806584,1.224741
0.395148,0.017824,0.128868,0.599666,0.066658,0.798680,1.216356
0.414668,0.017792,0.135300,0.589618,0.069282,0.798008,1.235653
0.394539,0.017888,0.131076,0.603122,0.067618,0.805912,1.222916
0.395212,0.017632,0.131460,0.611410,0.083523,0.832057,1.249925
0.394699,0.017761,0.132548,0.592465,0.068002,0.796983,1.213955
0.394988,0.017793,0.128387,0.590066,0.069058,0.791703,1.210276
0.395980,0.021184,0.140068,0.603794,0.075971,0.823577,1.244965
0.395084,0.017697,0.138244,0.602066,0.068770,0.812440,1.229189
0.395307,0.017761,0.127076,0.589937,0.067010,0.787639,1.204259
0.417100,0.017697,0.162405,0.585713,0.067426,0.819320,1.259013
0.395468,0.017568,0.141444,0.585010,0.068162,0.798296,1.215876
0.396139,0.017601,0.137924,0.585009,0.077091,0.803416,1.220996
0.395084,0.021248,0.130724,0.587537,0.066113,0.787703,1.208228
0.396140,0.017664,0.140805,0.584817,0.066914,0.796088,1.214084
0.396491,0.017761,0.139940,0.604338,0.073026,0.820888,1.239620
0.394764,0.017761,0.135588,0.587601,0.071458,0.798743,1.216004
0.396268,0.017696,0.130532,0.587281,0.066690,0.787959,1.206115
0.394956,0.017665,0.132228,0.601521,0.066402,0.803511,1.220292
0.395500,0.017536,0.129316,0.604562,0.065410,0.802872,1.220228
0.394156,0.017440,0.124516,0.584241,0.064610,0.776439,1.192195
0.413772,0.017313,0.138884,0.594162,0.067330,0.804024,1.239397
0.396172,0.017729,0.127011,0.587826,0.065410,0.783575,1.201892
0.395179,0.017600,0.130596,0.589073,0.065538,0.788727,1.205699
0.395180,0.017505,0.136932,0.600593,0.064706,0.805879,1.222820
0.396524,0.017728,0.137092,0.588753,0.065058,0.794232,1.213220
0.396492,0.017568,0.127108,0.604722,0.078498,0.813880,1.232580
0.396108,0.017344,0.127556,0.590353,0.066818,0.788023,1.205411
0.396268,0.017665,0.127491,0.584082,0.065602,0.780695,1.199428
0.395371,0.017473,0.134564,0.601746,0.072098,0.812184,1.229092
0.395467,0.017665,0.138724,0.586865,0.064162,0.793303,1.210947
0.394636,0.017600,0.131492,0.586194,0.064994,0.786104,1.202340
0.411213,0.017856,0.139204,0.601106,0.067362,0.811000,1.245029
0.395308,0.017568,0.138116,0.599346,0.064706,0.805592,1.222788
0.394828,0.017696,0.139108,0.587026,0.064162,0.793944,1.211108
0.396299,0.017760,0.131012,0.589841,0.065986,0.790583,1.209123
0.394156,0.017728,0.133412,0.586962,0.064386,0.788504,1.205156
0.396204,0.017824,0.130532,0.605938,0.083938,0.824185,1.242821
0.395084,0.017793,0.136964,0.601585,0.064354,0.806551,1.223876
0.395724,0.017985,0.138980,0.585713,0.064674,0.792631,1.210692
0.395532,0.017760,0.128452,0.603186,0.095491,0.832473,1.250373
0.396651,0.017664,0.125764,0.585713,0.064354,0.779447,1.197795
0.395531,0.017536,0.134020,0.587089,0.064386,0.789239,1.206531
0.409868,0.017761,0.138980,0.596786,0.066658,0.805752,1.237637
0.395116,0.017728,0.138821,0.585777,0.063074,0.791032,1.207812
0.395307,0.017697,0.131364,0.589777,0.065698,0.790391,1.208227
0.394508,0.017569,0.124163,0.584242,0.063586,0.775383,1.191492
0.395180,0.017601,0.128452,0.586481,0.063522,0.781879,1.198628
0.395180,0.017696,0.138596,0.615762,0.073122,0.831225,1.248453
0.395468,0.017569,0.137892,0.586705,0.064226,0.792471,1.210180
0.394731,0.017505,0.131300,0.587281,0.063746,0.786007,1.202243
0.394571,0.017505,0.129764,0.604049,0.081506,0.819032,1.235076
0.395211,0.017697,0.129508,0.587185,0.064706,0.784759,1.201987
0.395020,0.017664,0.135940,0.586546,0.064258,0.790040,1.206788
0.416620,0.017568,0.138244,0.584145,0.066946,0.792536,1.230884
0.395947,0.017793,0.142052,0.585969,0.064706,0.796471,1.215011
0.395820,0.017601,0.128707,0.588178,0.064706,0.784631,1.201924
0.395243,0.017568,0.127684,0.596178,0.065345,0.792696,1.209636
0.396204,0.017728,0.139108,0.584593,0.064322,0.791351,1.209380
0.394572,0.017697,0.127652,0.603473,0.085283,0.819832,1.236101
0.395788,0.017569,0.126788,0.585617,0.064194,0.780119,1.197636
0.394476,0.017536,0.136997,0.583857,0.063554,0.787832,1.203908
0.395692,0.017537,0.139652,0.612306,0.067010,0.822648,1.240581
0.395692,0.017665,0.129379,0.584594,0.066370,0.783799,1.201156
0.395564,0.017825,0.138564,0.583665,0.063938,0.789591,1.207652
0.420620,0.017569,0.142404,0.595858,0.067810,0.809400,1.252645
0.395403,0.017441,0.117859,0.587218,0.062946,0.771351,1.188291
0.395340,0.017792,0.123620,0.584241,0.062402,0.773847,1.191203
0.407756,0.017600,0.128932,0.596178,0.064674,0.793240,1.222724
0.395980,0.017664,0.128068,0.588946,0.064674,0.784920,1.202660
0.395020,0.017312,0.128452,0.585457,0.079875,0.797208,1.213892
0.394636,0.017568,0.139396,0.583890,0.065282,0.792088,1.208484
0.395435,0.018049,0.138404,0.586449,0.063362,0.791287,1.208835
0.395116,0.017857,0.125731,0.603601,0.115684,0.848313,1.265510
0.395723,0.017633,0.133700,0.589841,0.065570,0.792311,1.210467
0.394444,0.017504,0.125924,0.583665,0.063874,0.776919,1.193699
0.395212,0.017697,0.140004,0.603314,0.064194,0.811480,1.228901
0.396588,0.017473,0.138628,0.588145,0.064834,0.795095,1.213540
0.395308,0.017536,0.136484,0.586002,0.068866,0.794840,1.212036
0.410604,0.017665,0.137668,0.596626,0.065090,0.803096,1.236005
0.394540,0.017729,0.121571,0.585361,0.063649,0.774038,1.190499
0.395532,0.017664,0.123044,0.585969,0.063618,0.776343,1.194115
0.395051,0.017857,0.130628,0.587985,0.065250,0.787447,1.204867
0.395435,0.017728,0.133220,0.585585,0.064130,0.786231,1.203971
0.395820,0.017696,0.133572,0.599538,0.072386,0.810648,1.229764
0.395915,0.017569,0.126532,0.584881,0.065058,0.780471,1.198691
0.395243,0.017441,0.122020,0.586961,0.063746,0.776215,1.193283
0.395084,0.017537,0.124515,0.601618,0.067874,0.797239,1.213892
0.394572,0.017632,0.127684,0.583762,0.063329,0.778487,1.195108
0.395371,0.017505,0.139812,0.582161,0.062658,0.788439,1.204771
0.411469,0.017792,0.139908,0.599634,0.064322,0.807128,1.240773
0.395884,0.017537,0.132868,0.588305,0.064834,0.789527,1.207428
0.395115,0.017761,0.134916,0.581009,0.063714,0.783063,1.199427
0.395179,0.017728,0.137476,0.584433,0.065218,0.790583,1.207651
0.395148,0.020801,0.138820,0.584721,0.064290,0.791351,1.212356
0.394827,0.017377,0.128964,0.603730,0.079746,0.816088,1.233124
0.396331,0.017825,0.154596,0.585074,0.064930,0.807896,1.225668
0.394540,0.017664,0.119684,0.584529,0.065922,0.773463,1.190627
0.395147,0.017537,0.126244,0.612754,0.070754,0.813016,1.229540
0.395627,0.017729,0.129156,0.585745,0.063810,0.782167,1.199939
0.395275,0.017729,0.131172,0.586641,0.064994,0.785975,1.203011
0.412332,0.017728,0.148741,0.582769,0.063202,0.798040,1.232164
0.395276,0.017728,0.136836,0.583954,0.065090,0.789304,1.206468
