Layer[0],Layer[1],TEE[2-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.528117,0.017537,8.040608,0.013505,0.048514,0.001024,0.013440,0.000385,0.001504,0.002880,0.000576,8.677722
0.416945,0.017249,0.680251,0.005408,0.050562,0.001024,0.013409,0.000352,0.001504,0.001248,0.000320,1.197712
0.436529,0.017857,0.685371,0.005728,0.048354,0.000800,0.014177,0.000416,0.001600,0.001408,0.000608,1.222960
0.416017,0.017728,0.701628,0.005441,0.050466,0.000832,0.013952,0.000576,0.001472,0.001216,0.000385,1.220337
0.416272,0.017633,0.674651,0.005632,0.048162,0.000832,0.014049,0.000352,0.001664,0.001184,0.000384,1.190991
0.416432,0.017472,0.696380,0.005664,0.049058,0.000864,0.013729,0.000320,0.001568,0.001120,0.000576,1.213040
0.416016,0.017696,0.685692,0.005248,0.048098,0.000800,0.014016,0.000352,0.001601,0.001024,0.000384,1.200336
0.415889,0.017505,0.702428,0.005440,0.048066,0.000832,0.013856,0.000352,0.001664,0.001056,0.000320,1.217969
0.416113,0.017505,0.679355,0.005312,0.048482,0.000832,0.013536,0.000320,0.001536,0.000992,0.000384,1.193168
0.416689,0.017568,0.686172,0.005280,0.048162,0.000800,0.013441,0.000384,0.001504,0.001024,0.000416,1.200464
0.415857,0.017409,0.715420,0.005440,0.048834,0.000832,0.013921,0.000384,0.001536,0.001024,0.000832,1.230353
0.416209,0.017409,0.681691,0.005504,0.048962,0.000768,0.013441,0.000320,0.001536,0.001536,0.000384,1.196496
0.415793,0.017569,0.699580,0.005312,0.048738,0.001024,0.013472,0.000352,0.001505,0.000960,0.000384,1.213553
0.433585,0.017440,0.696892,0.005408,0.048194,0.000832,0.013793,0.000416,0.001760,0.001248,0.000352,1.230673
0.415760,0.017633,0.676475,0.005280,0.049090,0.001056,0.013505,0.000352,0.001536,0.000960,0.000352,1.190959
0.416624,0.017473,0.706908,0.005216,0.050914,0.001024,0.013409,0.000352,0.001792,0.001024,0.000352,1.224208
0.416240,0.017441,0.689979,0.005313,0.048386,0.000800,0.013408,0.000320,0.001504,0.001152,0.000352,1.203791
0.416560,0.017568,0.680859,0.005345,0.048354,0.000768,0.013568,0.000320,0.001504,0.001024,0.000384,1.196047
0.416337,0.017536,0.708285,0.005248,0.048610,0.000768,0.013473,0.000384,0.001536,0.001024,0.000352,1.222769
0.415761,0.017697,0.685275,0.005248,0.047906,0.000800,0.013473,0.000352,0.001440,0.000928,0.000320,1.197968
0.416049,0.017729,0.692059,0.005409,0.049282,0.001024,0.013408,0.000352,0.001536,0.000992,0.000352,1.206992
0.433297,0.017505,0.683067,0.005408,0.048066,0.000832,0.013537,0.000320,0.001504,0.000992,0.000384,1.214864
0.415632,0.017536,0.687164,0.005696,0.048162,0.000800,0.013536,0.000384,0.001568,0.001056,0.000352,1.200720
0.416369,0.017505,0.686523,0.005344,0.048482,0.000800,0.013921,0.000352,0.001568,0.001024,0.000352,1.202032
0.415632,0.017728,0.688860,0.005312,0.048322,0.000832,0.013409,0.000384,0.001536,0.000992,0.000384,1.202896
0.416176,0.017537,0.703100,0.005536,0.048706,0.000832,0.013473,0.000352,0.001504,0.000992,0.000352,1.217584
0.415953,0.017633,0.727260,0.005440,0.049122,0.000800,0.013504,0.000352,0.001504,0.001057,0.000800,1.242834
0.416400,0.017729,0.664859,0.005408,0.048258,0.000832,0.013600,0.000384,0.001504,0.001057,0.000384,1.180111
0.415344,0.017409,0.680443,0.005473,0.048098,0.000800,0.013568,0.000352,0.001440,0.001216,0.000384,1.194191
0.415729,0.017377,0.693307,0.005376,0.048226,0.001024,0.013537,0.000352,0.001472,0.000992,0.000352,1.206608
0.415248,0.017153,0.683611,0.005281,0.047873,0.000833,0.013408,0.000352,0.001472,0.001088,0.000800,1.196111
0.416208,0.017408,0.666843,0.005504,0.047970,0.000832,0.013505,0.000352,0.001472,0.000960,0.000352,1.180079
0.434289,0.017729,0.688347,0.005601,0.050690,0.000800,0.013696,0.000416,0.001472,0.001024,0.000833,1.222737
0.415921,0.017601,0.680827,0.005728,0.048418,0.000800,0.013793,0.000352,0.001536,0.000992,0.000544,1.196080
0.415504,0.017472,0.672667,0.005344,0.048290,0.000800,0.013537,0.000384,0.001440,0.001056,0.000352,1.185615
0.416240,0.017312,0.675451,0.005376,0.047874,0.000832,0.013537,0.000384,0.001472,0.000960,0.000320,1.188527
0.415793,0.017569,0.689051,0.005504,0.048610,0.000800,0.013473,0.000384,0.001408,0.000960,0.000320,1.203632
0.415696,0.017633,0.720701,0.005600,0.048738,0.000800,0.013569,0.000384,0.001504,0.000960,0.000384,1.235441
0.415696,0.017441,0.678715,0.005408,0.048322,0.000768,0.013889,0.000352,0.001440,0.000864,0.000320,1.190735
0.415569,0.017569,0.657082,0.005312,0.048130,0.000800,0.013697,0.000384,0.001440,0.000928,0.000288,1.170191
0.416113,0.017505,0.701692,0.005472,0.048802,0.000832,0.013665,0.000352,0.001440,0.000960,0.000352,1.217489
0.415921,0.017441,0.683963,0.005408,0.051074,0.001056,0.013537,0.000384,0.001440,0.000896,0.000352,1.199696
0.415281,0.017568,0.678427,0.005344,0.050370,0.000832,0.013440,0.000384,0.001505,0.001120,0.000384,1.194064
0.432849,0.017825,0.682747,0.005248,0.048738,0.000864,0.013537,0.000352,0.001504,0.001120,0.000352,1.214064
0.415760,0.017537,0.676667,0.005440,0.047682,0.000800,0.013569,0.000416,0.001536,0.001024,0.000832,1.189775
0.416272,0.017536,0.683739,0.005472,0.048674,0.001024,0.013504,0.000352,0.001472,0.000992,0.000832,1.198512
0.416721,0.017504,0.675194,0.005473,0.048194,0.001024,0.013600,0.000384,0.001536,0.001024,0.000352,1.190191
0.415536,0.017728,0.683612,0.005280,0.048098,0.000832,0.013472,0.000320,0.001504,0.001024,0.000609,1.197264
0.416048,0.017280,0.687516,0.005376,0.048290,0.000800,0.013472,0.000352,0.001472,0.001056,0.000384,1.200336
0.416881,0.017696,0.695483,0.005344,0.048482,0.000800,0.013761,0.000352,0.001536,0.001600,0.000768,1.213552
0.416976,0.017760,0.693692,0.005472,0.048674,0.000832,0.014049,0.000384,0.001632,0.001600,0.000800,1.214480
0.420817,0.017633,0.769054,0.005440,0.049666,0.000833,0.014144,0.000384,0.001792,0.002144,0.000576,1.295539
0.416112,0.017473,0.680603,0.005472,0.048546,0.000864,0.014657,0.000384,0.001536,0.001088,0.000576,1.197040
0.415697,0.017633,0.676443,0.005280,0.048290,0.000832,0.014433,0.000352,0.001536,0.001024,0.000416,1.190480
0.431986,0.017632,0.688284,0.005408,0.048770,0.000768,0.014049,0.000352,0.001408,0.001248,0.000544,1.219153
0.416656,0.017568,0.673947,0.005632,0.052546,0.000833,0.013632,0.000352,0.001472,0.000992,0.000384,1.192975
0.416305,0.017441,0.692123,0.005665,0.048354,0.000864,0.032705,0.000448,0.001600,0.001088,0.000320,1.226993
0.415536,0.017473,0.685563,0.005280,0.048578,0.000832,0.014081,0.000352,0.001408,0.001152,0.000608,1.199344
0.415825,0.017697,0.672955,0.005440,0.050722,0.000800,0.013441,0.000352,0.001440,0.000928,0.000832,1.189296
0.415473,0.017505,0.690363,0.005345,0.047777,0.000833,0.013504,0.000320,0.001408,0.001056,0.000800,1.203216
0.415665,0.017793,0.679803,0.005440,0.048546,0.000800,0.013761,0.000352,0.001504,0.001056,0.000352,1.193552
0.415440,0.017537,0.665915,0.005408,0.048418,0.000800,0.013440,0.000384,0.001441,0.000960,0.000800,1.179727
0.416304,0.017664,0.696476,0.005472,0.048258,0.000800,0.013409,0.000352,0.001504,0.000992,0.000800,1.210800
0.416337,0.017760,0.677947,0.005377,0.048258,0.000800,0.013472,0.000352,0.001504,0.000992,0.000320,1.192463
0.415217,0.017536,0.681724,0.005472,0.050818,0.000864,0.013472,0.000352,0.001409,0.001024,0.000576,1.197424
0.432881,0.017889,0.677563,0.005472,0.048514,0.000832,0.013441,0.000320,0.001472,0.000896,0.000832,1.208240
0.415633,0.017793,0.685595,0.005632,0.050498,0.000800,0.013728,0.000320,0.001408,0.000928,0.000832,1.203376
0.415697,0.017792,0.689628,0.005504,0.047970,0.000832,0.013729,0.000384,0.001536,0.001056,0.000352,1.203888
0.414704,0.017633,0.676763,0.005344,0.048066,0.000800,0.013441,0.000352,0.001504,0.001472,0.000352,1.188911
